Date,Settle
2014-02-18,7.695
2014-02-19,7.633
2014-02-20,8.09
2014-02-21,7.917
2014-02-24,7.686
2014-02-25,7.872
2014-02-26,7.854
2014-02-27,7.86
2014-02-28,7.874
2014-03-03,7.874
2014-03-04,7.874
2014-03-05,8.915
2014-03-06,9.03
2014-03-07,9.965
2014-03-11,10.139
2014-03-12,9.756
2014-03-13,9.523
2014-03-14,9.17
2014-03-17,8.596
2014-03-18,9.027
2014-03-19,9.095
2014-03-20,9.062
2014-03-21,8.953
2014-03-24,8.827
2014-03-25,8.788
2014-03-26,8.887
2014-03-27,8.872
2014-03-28,8.825
2014-03-31,8.798
2014-04-01,8.798
2014-04-02,8.614
2014-04-03,8.785
2014-04-04,9.218
2014-04-07,10.422
2014-04-08,10.068
2014-04-09,9.799
2014-04-10,10.229
2014-04-11,10.0
2014-04-14,9.744
2014-04-15,9.657
2014-04-16,9.632
2014-04-17,9.963
2014-04-21,10.167
2014-04-22,9.974
2014-04-23,9.932
2014-04-24,9.556
2014-04-25,9.622
2014-04-28,9.627
2014-04-29,9.57
2014-04-30,9.524
2014-05-01,9.524
2014-05-02,7.185
2014-05-05,7.06
2014-05-06,6.456
2014-05-07,7.087
2014-05-08,7.396
2014-05-09,7.453
2014-05-12,7.837
2014-05-13,7.769
2014-05-14,8.078
2014-05-15,8.106
2014-05-16,7.862
2014-05-19,8.288
2014-05-20,8.29
2014-05-21,8.35
2014-05-22,8.498
2014-05-23,8.624
2014-05-27,8.734
2014-05-28,8.867
2014-05-29,8.772
2014-05-30,8.778
2014-06-02,8.778
2014-06-03,8.102
2014-06-04,7.69
2014-06-05,8.218
2014-06-06,7.905
2014-06-09,8.247
2014-06-10,8.141
2014-06-11,8.085
2014-06-12,7.93
2014-06-13,7.432
2014-06-16,7.787
2014-06-17,8.074
2014-06-18,7.875
2014-06-19,8.262
2014-06-20,8.183
2014-06-23,8.532
2014-06-24,8.172
2014-06-25,8.198
2014-06-26,8.355
2014-06-27,8.452
2014-06-30,8.54
2014-07-01,8.54
2014-07-02,10.253
2014-07-03,10.884
2014-07-07,11.257
2014-07-08,11.697
2014-07-09,12.047
2014-07-10,12.65
2014-07-11,12.936
2014-07-14,12.99
2014-07-15,13.047
2014-07-16,12.403
2014-07-17,11.904
2014-07-18,12.063
2014-07-21,12.196
2014-07-22,12.25
2014-07-23,11.89
2014-07-24,11.84
2014-07-25,11.467
2014-07-28,11.647
2014-07-29,11.766
2014-07-30,11.58
2014-07-31,11.539
2014-08-01,11.539
2014-08-04,3.198
2014-08-05,3.572
2014-08-06,4.201
2014-08-07,4.398
2014-08-08,4.247
2014-08-11,5.024
2014-08-12,7.045
2014-08-13,5.291
2014-08-14,4.531
2014-08-15,4.676
2014-08-18,5.215
2014-08-19,5.758
2014-08-20,5.405
2014-08-21,5.626
2014-08-22,5.641
2014-08-25,5.645
2014-08-26,5.68
2014-08-27,5.671
2014-08-28,5.845
2014-08-29,5.859
2014-09-02,5.859
2014-09-03,8.117
2014-09-04,7.937
2014-09-05,8.428
2014-09-08,8.291
2014-09-09,8.61
2014-09-10,9.143
2014-09-11,9.045
2014-09-12,9.87
2014-09-15,11.01
2014-09-16,9.642
2014-09-17,9.867
2014-09-18,9.991
2014-09-19,9.917
2014-09-22,9.866
2014-09-23,9.915
2014-09-24,10.053
2014-09-25,10.032
2014-09-26,9.877
2014-09-29,9.798
2014-09-30,9.983
2014-10-01,9.983
2014-10-02,4.373
2014-10-03,4.065
2014-10-06,4.594
2014-10-07,4.238
2014-10-08,3.903
2014-10-09,3.965
2014-10-10,3.774
2014-10-13,4.272
2014-10-14,3.799
2014-10-15,3.683
2014-10-16,4.267
2014-10-17,4.122
2014-10-20,3.897
2014-10-21,4.078
2014-10-22,3.716
2014-10-23,4.04
2014-10-24,3.803
2014-10-27,4.084
2014-10-28,4.271
2014-10-29,4.352
2014-10-30,4.426
2014-10-31,4.37
2014-11-03,4.477
2014-11-04,4.489
2014-11-05,4.642
2014-11-06,5.364
2014-11-07,5.293
2014-11-10,5.198
2014-11-11,5.069
2014-11-12,5.191
2014-11-13,5.317
2014-11-14,5.316
2014-11-17,5.012
2014-11-18,5.471
2014-11-19,5.353
2014-11-20,4.473
2014-11-21,5.121
2014-11-24,5.121
2014-11-25,5.566
2014-11-26,6.089
2014-11-28,5.491
2014-12-01,5.356
2014-12-02,4.998
2014-12-03,4.752
2014-12-04,4.575
2014-12-05,4.421
2014-12-08,4.417
2014-12-09,4.628
2014-12-10,4.561
2014-12-12,4.798
2014-12-15,4.75
2014-12-16,4.757
2014-12-17,4.989
2014-12-18,5.144
2014-12-19,4.884
2014-12-22,4.799
2014-12-23,4.94
2014-12-24,4.521
2014-12-26,5.068
2015-01-02,3.786
2015-01-05,4.318
2015-01-06,4.225
2015-01-07,4.273
2015-01-08,4.5
2015-01-09,4.241
2015-01-12,4.259
2015-01-13,4.446
2015-01-14,5.627
2015-01-15,5.302
2015-01-16,5.453
2015-01-20,5.24
2015-01-21,5.356
2015-01-22,5.693
2015-01-23,5.649
2015-01-26,4.996
2015-01-27,5.884
2015-01-29,6.835
2015-01-30,7.106
2015-02-02,7.507
2015-02-03,7.726
2015-02-04,7.169
2015-02-05,6.673
2015-02-06,7.646
2015-02-09,7.853
2015-02-10,8.474
2015-02-11,8.742
2015-02-12,7.971
2015-02-13,8.251
2015-02-17,6.649
2015-02-18,7.901
2015-02-19,8.76
2015-02-20,8.936
2015-02-23,9.445
2015-02-24,9.619
2015-02-25,11.276
2015-02-26,11.392
2015-02-27,11.693
2015-03-02,12.107
2015-03-03,12.762
2015-03-04,12.586
2015-03-05,12.274
2015-03-06,12.774
2015-03-09,14.229
2015-03-10,13.951
2015-03-11,13.209
2015-03-12,13.386
2015-03-13,13.266
2015-03-16,12.913
2015-03-17,13.189
2015-03-18,12.939
2015-03-19,13.263
2015-03-20,13.353
2015-03-23,13.355
2015-03-24,13.575
2015-03-25,13.456
2015-03-26,13.31
2015-03-27,13.378
2015-03-30,13.395
2015-03-31,13.38
2015-04-01,13.38
2015-04-02,13.38
2015-04-06,10.445
2015-04-07,10.951
2015-04-08,9.813
2015-04-09,9.672
2015-04-10,10.261
2015-04-13,10.44
2015-04-14,10.87
2015-04-15,11.209
2015-04-16,10.893
2015-04-17,11.223
2015-04-20,11.193
2015-04-21,11.15
2015-04-22,11.455
2015-04-23,11.656
2015-04-24,11.831
2015-04-27,12.003
2015-04-28,11.965
2015-04-29,11.824
2015-04-30,11.795
2015-05-01,11.795
2015-05-04,12.389
2015-05-05,12.912
2015-05-06,11.557
2015-05-07,11.893
2015-05-08,12.598
2015-05-11,13.442
2015-05-12,13.804
2015-05-13,13.972
2015-05-14,14.594
2015-05-15,14.975
2015-05-18,15.508
2015-05-19,15.628
2015-05-20,15.69
2015-05-21,15.511
2015-05-22,15.616
2015-05-26,15.409
2015-05-27,15.485
2015-05-28,15.568
2015-05-29,15.489
2015-06-01,15.489
2015-06-02,15.235
2015-06-03,15.774
2015-06-04,15.365
2015-06-05,16.068
2015-06-08,16.627
2015-06-09,17.442
2015-06-10,17.799
2015-06-11,17.821
2015-06-12,18.025
2015-06-15,18.081
