Date,Settle
2014-03-05,2.2913
2014-03-06,2.3359
2014-03-07,2.3035
2014-03-11,2.2852
2014-03-12,2.3439
2014-03-13,2.3959
2014-03-14,2.4028
2014-03-17,2.3902
2014-03-18,2.4502
2014-03-19,2.5089
2014-03-20,2.5451
2014-03-21,2.5611
2014-03-24,2.6008
2014-03-25,2.597
2014-03-26,2.5917
2014-03-27,2.6021
2014-03-28,2.6245
2014-03-31,2.701
2014-04-01,2.788
2014-04-02,2.5128
2014-04-03,2.3363
2014-04-04,2.422
2014-04-07,2.3848
2014-04-08,2.3284
2014-04-09,2.3234
2014-04-10,2.4041
2014-04-11,2.396
2014-04-14,2.3715
2014-04-15,2.3311
2014-04-16,2.2869
2014-04-17,2.2954
2014-04-21,2.3042
2014-04-22,2.3149
2014-04-23,2.3206
2014-04-24,2.3087
2014-04-25,2.3159
2014-04-28,2.3192
2014-04-29,2.3212
2014-04-30,2.186
2014-05-01,2.116
2014-05-02,2.057
2014-05-05,2.0135
2014-05-06,2.0041
2014-05-07,2.0567
2014-05-08,2.1291
2014-05-09,2.1334
2014-05-12,2.118
2014-05-13,2.115
2014-05-14,2.1315
2014-05-15,2.1389
2014-05-16,2.1693
2014-05-19,2.1625
2014-05-20,2.1541
2014-05-21,2.1788
2014-05-22,2.1896
2014-05-23,2.193
2014-05-27,2.191
2014-05-28,2.1958
2014-05-29,2.199
2014-05-30,2.246
2014-06-02,2.22
2014-06-03,2.1933
2014-06-04,2.13
2014-06-05,2.1157
2014-06-06,2.1544
2014-06-09,2.1565
2014-06-10,2.1477
2014-06-11,2.1203
2014-06-12,2.1375
2014-06-13,2.15
2014-06-16,2.1545
2014-06-17,2.145
2014-06-18,2.1102
2014-06-19,2.1062
2014-06-20,2.1176
2014-06-23,2.1144
2014-06-24,2.1128
2014-06-25,2.1144
2014-06-26,2.1212
2014-06-27,2.1219
2014-06-30,2.051
2014-07-01,2.032
2014-07-02,2.0635
2014-07-03,2.089
2014-07-07,2.095
2014-07-08,2.1277
2014-07-09,2.1385
2014-07-10,2.1175
2014-07-11,2.1052
2014-07-14,2.1084
2014-07-15,2.1019
2014-07-16,2.1013
2014-07-17,2.1063
2014-07-18,2.1
2014-07-21,2.0934
2014-07-22,2.0974
2014-07-23,2.1031
2014-07-24,2.1026
2014-07-25,2.1112
2014-07-28,2.1196
2014-07-29,2.1188
2014-07-30,2.114
2014-07-31,1.993
2014-08-01,2.003
2014-08-04,2.0078
2014-08-05,1.9698
2014-08-06,1.9818
2014-08-07,2.006
2014-08-08,2.022
2014-08-11,2.047
2014-08-12,2.0504
2014-08-13,2.1123
2014-08-14,2.1123
2014-08-15,2.1055
2014-08-18,2.0926
2014-08-19,2.0875
2014-08-20,2.0894
2014-08-21,2.0984
2014-08-22,2.1044
2014-08-25,2.0999
2014-08-26,2.0945
2014-08-27,2.0991
2014-08-28,2.102
2014-08-29,2.033
2014-09-02,2.029
2014-09-03,2.0014
2014-09-04,1.9869
2014-09-05,2.01
2014-09-08,1.9906
2014-09-09,1.9502
2014-09-10,1.9152
2014-09-11,1.8739
2014-09-12,1.8683
2014-09-15,1.8723
2014-09-16,1.8844
2014-09-17,1.8201
2014-09-18,1.8
2014-09-19,1.7988
2014-09-22,1.7908
2014-09-23,1.7857
2014-09-24,1.7838
2014-09-25,1.783
2014-09-26,1.7799
2014-09-29,1.781
2014-09-30,1.568
2014-10-01,1.527
2014-10-02,1.4849
2014-10-03,1.5004
2014-10-06,1.5265
2014-10-07,1.5554
