Date,Settle
2014-03-05,0.066
2014-03-06,0.0794
2014-03-07,0.0991
2014-03-11,0.0709
2014-03-12,0.067
2014-03-13,0.0633
2014-03-14,0.0604
2014-03-17,0.0556
2014-03-18,0.0522
2014-03-19,0.0475
2014-03-20,0.0505
2014-03-21,0.0438
2014-03-24,0.0443
2014-03-25,0.0428
2014-03-26,0.0431
2014-03-27,0.0424
2014-03-28,0.0424
2014-03-31,0.0426
2014-04-01,0.0425
2014-04-02,0.0055
2014-04-03,0.0112
2014-04-04,0.0087
2014-04-07,0.0118
2014-04-08,0.01
2014-04-09,0.0086
2014-04-10,0.0085
2014-04-11,0.0067
2014-04-14,0.0043
2014-04-15,0.0042
2014-04-16,0.0038
2014-04-17,0.0042
2014-04-21,0.0046
2014-04-22,0.0036
2014-04-23,0.0036
2014-04-24,0.0033
2014-04-25,0.0035
2014-04-28,0.0034
2014-04-29,0.0038
2014-04-30,0.0039
2014-05-01,0.0038
2014-05-02,0.0075
2014-05-05,0.0146
2014-05-06,0.0078
2014-05-07,0.0058
2014-05-08,0.0062
2014-05-09,0.0101
2014-05-12,0.0114
2014-05-13,0.008
2014-05-14,0.007
2014-05-15,0.0051
2014-05-16,0.0038
2014-05-19,0.0032
2014-05-20,0.003
2014-05-21,0.0027
2014-05-22,0.0022
2014-05-23,0.0022
2014-05-27,0.0029
2014-05-28,0.003
2014-05-29,0.0028
2014-05-30,0.003
2014-06-02,0.0031
2014-06-03,0.0086
2014-06-04,0.0043
2014-06-05,0.0048
2014-06-06,0.0054
2014-06-09,0.0057
2014-06-10,0.0064
2014-06-11,0.0058
2014-06-12,0.0055
2014-06-13,0.005
2014-06-16,0.0051
2014-06-17,0.0054
2014-06-18,0.0051
2014-06-19,0.0042
2014-06-20,0.0038
2014-06-23,0.0035
2014-06-24,0.0039
2014-06-25,0.0038
2014-06-26,0.0037
2014-06-27,0.0037
2014-06-30,0.004
2014-07-01,0.004
2014-07-02,0.0117
2014-07-03,0.0172
2014-07-07,0.0165
2014-07-08,0.0155
2014-07-09,0.0167
2014-07-10,0.0133
2014-07-11,0.0131
2014-07-14,0.0133
2014-07-15,0.0099
2014-07-16,0.0088
2014-07-17,0.0086
2014-07-18,0.0081
2014-07-21,0.0081
2014-07-22,0.0085
2014-07-23,0.0085
2014-07-24,0.0085
2014-07-25,0.0087
2014-07-28,0.0085
2014-07-29,0.0086
2014-07-30,0.0086
