Date,Settle
2005-06-20,315.0
2005-06-21,313.25
2005-06-22,314.5
2005-06-23,315.5
2005-06-24,315.5
2005-06-27,313.5
2005-06-28,310.25
2005-06-29,310.45
2005-06-30,308.5
2005-07-01,310.25
2005-07-05,314.5
2005-07-06,316.0
2005-07-07,314.0
2005-07-08,312.0
2005-07-11,311.25
2005-07-12,314.0
2005-07-13,313.75
2005-07-14,312.0
2005-07-15,312.0
2005-07-18,311.75
2005-07-19,309.75
2005-07-20,309.0
2005-07-21,309.0
2005-07-22,309.75
2005-07-25,310.05
2005-07-26,310.5
2005-07-27,312.0
2005-07-28,314.25
2005-07-29,314.75
2005-08-01,317.5
2005-08-02,319.0
2005-08-03,318.5
2005-08-04,319.5
2005-08-05,318.5
2005-08-08,317.0
2005-08-09,312.75
2005-08-10,316.0
2005-08-11,317.75
2005-08-12,317.13
2005-08-15,316.0
2005-08-16,316.95
2005-08-17,315.25
2005-08-18,314.4
2005-08-19,316.5
2005-08-22,317.75
2005-08-23,316.75
2005-08-24,317.0
2005-08-25,315.75
2005-08-26,316.0
2005-08-29,317.5
2005-08-30,320.25
2005-08-31,320.5
2005-09-01,325.25
2005-09-02,324.75
2005-09-06,325.5
2005-09-07,322.25
2005-09-08,322.75
2005-09-09,323.5
2005-09-12,321.75
2005-09-13,319.5
2005-09-14,319.3
2005-09-15,320.0
2005-09-16,319.75
2005-09-19,324.7
2005-09-20,323.75
2005-09-21,326.0
2005-09-22,327.5
2005-09-23,324.75
2005-09-26,325.0
2005-09-27,326.5
2005-09-28,331.0
2005-09-29,331.5
2005-09-30,332.75
2005-10-03,335.5
2005-10-04,332.8
2005-10-05,332.75
2005-10-06,330.5
2005-10-07,331.5
2005-10-10,332.5
2005-10-11,334.75
2005-10-12,336.25
2005-10-13,335.25
2005-10-14,333.5
2005-10-17,336.75
2005-10-18,335.75
2005-10-19,334.25
2005-10-20,332.0
2005-10-21,332.0
2005-10-24,331.75
2005-10-26,335.75
2005-10-28,331.5
2005-10-31,327.25
2005-11-01,327.25
2005-11-02,327.25
2005-11-03,330.0
2005-11-04,329.5
2005-11-07,329.0
2005-11-08,330.5
2005-11-09,330.0
2005-11-10,329.25
2005-11-11,331.3
2005-11-14,332.0
2005-11-15,330.5
2005-11-16,332.5
2005-11-17,332.5
2005-11-18,332.0
2005-11-21,331.75
2005-11-22,332.75
2005-11-23,331.0
2005-11-28,331.25
2005-11-29,331.5
2005-11-30,333.25
2005-12-01,339.5
2005-12-02,340.75
2005-12-05,342.75
2005-12-06,341.75
2005-12-07,341.75
2005-12-08,345.0
2005-12-09,344.25
2005-12-12,348.75
2005-12-13,349.8
2005-12-14,345.75
