Date,Settle
2013-11-08,57.225
2013-11-14,57.5
2013-11-15,57.5
2013-11-18,57.5
2013-11-19,57.025
2013-11-21,57.3
2013-11-22,58.25
2013-11-25,58.975
2013-11-26,58.675
2013-11-28,58.675
2013-11-29,58.675
2013-12-03,59.5
2013-12-04,59.5
2013-12-05,59.5
2013-12-06,59.5
2013-12-09,59.5
2013-12-10,60.0
2013-12-11,60.25
2013-12-12,58.975
2013-12-13,58.75
2013-12-16,58.75
2013-12-17,58.75
2013-12-18,58.5
2013-12-19,58.5
2013-12-20,57.75
2013-12-23,57.75
2013-12-24,57.5
2013-12-25,57.5
2013-12-26,57.5
2013-12-27,57.5
2013-12-30,57.5
2014-01-03,58.5
2014-01-06,58.5
2014-01-07,58.075
2014-01-08,58.75
2014-01-10,60.0
2014-01-13,60.0
2014-01-15,60.25
2014-01-16,60.25
2014-01-17,60.375
2014-01-20,60.375
2014-01-22,60.375
2014-01-23,60.375
2014-01-24,59.7
2014-01-27,59.7
2014-01-28,59.7
2014-01-30,59.775
2014-01-31,59.775
2014-02-04,59.875
2014-02-05,60.25
2014-02-06,62.725
2014-02-07,62.725
2014-02-10,62.95
2014-02-11,62.95
2014-02-12,62.95
2014-02-13,62.95
2014-02-14,62.95
2014-02-17,62.95
2014-02-18,62.925
2014-02-19,62.925
2014-02-20,62.875
2014-02-21,62.875
2014-02-24,62.875
2014-02-25,62.875
2014-02-26,62.875
2014-02-27,62.875
2014-02-28,62.875
2014-03-03,62.875
2014-03-04,62.875
2014-03-05,62.95
2014-03-06,63.525
2014-03-07,64.0
2014-03-11,64.05
2014-03-12,64.15
2014-03-13,65.0
2014-03-14,65.0
2014-03-17,65.0
2014-03-18,65.0
2014-03-19,65.0
2014-03-20,65.1
2014-03-21,65.1
2014-03-24,65.2
2014-03-25,65.2
2014-03-26,65.2
2014-03-27,65.2
2014-03-28,65.2
2014-03-31,65.2
2014-04-01,65.2
2014-04-02,66.25
2014-04-03,67.0
2014-04-04,67.0
2014-04-07,67.0
2014-04-08,67.0
2014-04-09,67.0
2014-04-10,67.1
2014-04-11,67.85
2014-04-14,68.15
2014-04-15,68.15
2014-04-16,68.15
2014-04-17,67.175
2014-04-21,67.175
2014-04-22,67.175
2014-04-23,67.175
2014-04-24,67.25
2014-04-25,67.25
2014-04-28,67.25
2014-04-29,67.25
2014-04-30,67.55
2014-05-01,68.5
2014-05-02,68.025
2014-05-05,68.025
2014-05-06,67.9
2014-05-07,67.9
2014-05-08,67.5
2014-05-09,66.75
2014-05-12,67.05
2014-05-13,66.75
2014-05-14,67.025
2014-05-15,66.4
2014-05-16,66.85
2014-05-19,67.1
2014-05-20,67.1
2014-05-21,67.1
2014-05-22,67.65
2014-05-23,67.65
2014-05-27,67.65
2014-05-28,66.95
2014-05-29,66.95
2014-05-30,67.5
2014-06-02,67.5
2014-06-03,67.5
2014-06-04,68.375
2014-06-05,67.575
2014-06-06,67.575
2014-06-09,67.45
2014-06-10,67.45
2014-06-11,67.325
2014-06-12,66.5
2014-06-13,66.5
2014-06-16,66.5
2014-06-17,66.5
2014-06-18,67.175
2014-06-19,67.6
2014-06-20,67.65
2014-06-23,67.8
2014-06-24,67.8
2014-06-25,67.8
2014-06-26,67.8
2014-06-27,67.8
2014-06-30,67.8
2014-07-01,67.8
2014-07-02,66.0
2014-07-03,66.5
2014-07-07,66.325
2014-07-08,66.325
2014-07-09,66.325
2014-07-10,66.75
2014-07-11,67.0
2014-07-14,67.25
2014-07-15,67.25
2014-07-16,67.25
2014-07-17,67.5
2014-07-18,67.95
2014-07-21,67.95
2014-07-22,67.95
2014-07-23,67.95
2014-07-24,68.175
2014-07-25,68.175
2014-07-28,68.2
2014-07-29,68.2
2014-07-30,67.775
2014-07-31,68.75
2014-08-01,68.75
2014-08-04,68.75
2014-08-05,68.75
2014-08-06,68.75
2014-08-07,68.75
2014-08-08,68.775
2014-08-11,68.775
2014-08-12,68.95
2014-08-13,69.1
2014-08-14,69.125
2014-08-15,69.125
2014-08-18,69.125
2014-08-19,69.125
2014-08-20,69.125
2014-08-21,69.125
2014-08-22,69.125
2014-08-25,69.125
2014-08-26,69.125
2014-08-27,69.125
2014-08-28,68.7
2014-08-29,68.7
2014-09-02,68.7
2014-09-03,68.7
2014-09-04,65.875
2014-09-05,66.75
2014-09-08,66.75
2014-09-09,67.0
2014-09-10,67.0
2014-09-11,67.0
2014-09-12,67.0
2014-09-15,67.0
2014-09-16,67.5
2014-09-17,67.5
2014-09-18,67.0
