Date,Settle
1988-01-04,77.72
1988-01-05,77.55
1988-01-06,78.35
1988-01-07,79.32
1988-01-08,78.77
1988-01-11,79.1
1988-01-12,79.62
1988-01-13,80.0
1988-01-14,80.2
1988-01-15,80.92
1988-01-18,81.42
1988-01-19,82.27
1988-01-20,82.2
1988-01-21,82.3
1988-01-22,82.07
1988-01-25,81.7
1988-01-26,81.5
1988-01-27,81.4
1988-01-28,81.8
1988-01-29,78.45
1988-02-01,79.92
1988-02-02,80.17
1988-02-03,81.27
1988-02-04,81.12
1988-02-05,81.02
1988-02-08,82.07
1988-02-09,83.22
1988-02-10,83.15
1988-02-11,83.15
1988-02-12,83.3
1988-02-16,83.37
1988-02-17,83.85
1988-02-18,82.5
1988-02-19,83.55
1988-02-22,82.52
1988-02-23,81.02
1988-02-24,80.92
1988-02-25,80.67
1988-02-26,80.72
1988-02-29,79.75
1988-03-01,80.42
1988-03-02,80.27
1988-03-03,79.07
1988-03-04,79.32
1988-03-07,80.35
1988-03-08,81.0
1988-03-09,81.27
1988-03-10,81.55
1988-03-11,81.65
1988-03-14,82.85
1988-03-15,82.72
1988-03-16,82.4
1988-03-17,81.82
1988-03-18,82.12
1988-03-21,82.07
1988-03-22,82.35
1988-03-23,82.45
1988-03-24,82.2
1988-03-25,82.72
1988-03-28,82.95
1988-03-29,82.82
1988-03-30,82.75
1988-03-31,82.77
1988-04-04,79.4
1988-04-05,79.55
1988-04-06,79.57
1988-04-07,79.57
1988-04-08,80.1
1988-04-11,80.85
1988-04-12,80.02
1988-04-13,79.64
1988-04-14,79.47
1988-04-15,79.67
1988-04-18,79.07
1988-04-19,78.95
1988-04-20,79.3
1988-04-21,79.4
1988-04-22,79.97
1988-04-25,79.95
1988-04-26,80.2
1988-04-27,80.75
1988-04-28,80.65
1988-04-29,78.67
1988-05-02,78.7
1988-05-03,79.45
1988-05-04,79.55
1988-05-05,79.75
1988-05-06,79.77
1988-05-09,80.05
1988-05-10,80.2
1988-05-11,80.0
1988-05-12,80.4
1988-05-13,80.77
1988-05-16,80.65
1988-05-17,80.85
1988-05-18,81.27
1988-05-19,80.65
1988-05-20,80.9
1988-05-23,80.9
1988-05-24,81.0
1988-05-25,80.95
1988-05-26,80.97
1988-05-27,76.22
1988-05-31,76.35
1988-06-01,76.22
1988-06-02,76.6
1988-06-03,75.92
1988-06-06,75.17
1988-06-07,75.92
1988-06-08,75.57
1988-06-09,75.3
1988-06-10,75.25
1988-06-13,74.0
1988-06-14,73.27
1988-06-15,71.77
1988-06-16,72.0
1988-06-17,71.8
1988-06-20,70.3
1988-06-21,71.0
1988-06-22,70.65
1988-06-23,69.77
1988-06-24,70.85
1988-06-27,71.55
1988-06-28,73.05
1988-06-29,74.55
1988-06-30,73.97
1988-07-01,73.67
1988-07-05,75.12
1988-07-06,74.37
1988-07-07,74.75
1988-07-08,74.52
1988-07-11,76.02
1988-07-12,75.72
1988-07-13,74.22
1988-07-14,73.97
1988-07-15,74.75
1988-07-18,76.25
1988-07-19,76.1
1988-07-20,75.57
1988-07-21,76.5
1988-07-22,77.37
1988-07-25,77.75
1988-07-26,77.57
1988-07-27,78.82
1988-07-28,79.75
1988-07-29,79.45
1988-08-01,78.37
1988-08-02,77.85
1988-08-03,78.47
1988-08-04,79.5
1988-08-05,79.52
1988-08-08,79.37
1988-08-09,79.9
1988-08-10,81.22
1988-08-11,80.9
1988-08-12,81.05
1988-08-15,81.75
1988-08-16,81.95
1988-08-17,82.25
1988-08-18,82.0
1988-08-19,82.1
1988-08-22,81.55
1988-08-23,81.42
1988-08-24,81.75
1988-08-25,81.8
1988-08-26,82.25
1988-08-29,82.25
1988-08-30,81.82
1988-08-31,81.7
1988-09-01,81.05
1988-09-02,81.35
1988-09-06,81.07
1988-09-07,81.65
1988-09-08,80.7
1988-09-09,79.77
1988-09-12,79.65
1988-09-13,79.32
1988-09-14,79.9
1988-09-15,79.75
1988-09-16,79.8
1988-09-19,79.85
1988-09-20,80.37
1988-09-21,79.75
1988-09-22,79.2
1988-09-23,79.25
1988-09-26,80.17
1988-09-27,79.8
1988-09-28,80.17
1988-09-29,80.22
1988-09-30,82.45
1988-10-03,82.5
1988-10-04,82.15
1988-10-05,81.72
1988-10-06,81.77
1988-10-07,82.3
1988-10-10,81.75
1988-10-11,81.55
1988-10-12,81.75
1988-10-13,81.97
1988-10-14,82.0
1988-10-17,82.22
1988-10-18,81.8
1988-10-19,81.9
1988-10-20,81.85
1988-10-21,81.7
1988-10-24,81.95
1988-10-25,81.9
1988-10-26,81.42
1988-10-27,81.45
1988-10-28,81.8
1988-10-31,82.02
1988-11-01,81.67
1988-11-02,81.65
1988-11-03,81.2
1988-11-04,81.5
1988-11-07,81.45
1988-11-08,81.45
1988-11-09,81.1
1988-11-10,81.1
1988-11-11,81.35
1988-11-14,81.6
1988-11-15,82.05
1988-11-16,81.95
1988-11-17,81.67
1988-11-18,81.97
1988-11-21,81.45
1988-11-22,81.62
1988-11-23,82.35
1988-11-25,82.67
1988-11-28,82.45
1988-11-29,82.7
1988-11-30,82.42
1988-12-01,83.15
1988-12-02,82.32
1988-12-05,82.55
1988-12-06,82.25
1988-12-07,82.17
1988-12-08,81.92
1988-12-09,83.0
1988-12-12,83.95
1988-12-13,83.97
1988-12-14,84.3
1988-12-15,84.05
1988-12-16,84.17
1988-12-19,83.85
1988-12-20,83.82
1988-12-21,84.17
1988-12-22,83.9
1988-12-23,84.22
1988-12-27,84.17
1988-12-28,84.3
1988-12-29,84.15
1988-12-30,84.15
1989-01-03,84.32
1989-01-04,84.15
1989-01-05,84.45
1989-01-06,84.35
1989-01-09,84.97
1989-01-10,85.27
1989-01-11,84.92
1989-01-12,85.05
1989-01-13,84.9
1989-01-16,84.8
1989-01-17,85.0
1989-01-18,84.47
1989-01-19,84.37
1989-01-20,84.0
1989-01-23,83.72
1989-01-24,83.55
1989-01-25,83.65
1989-01-26,83.2
1989-01-27,83.17
1989-01-30,84.27
1989-01-31,84.47
1989-02-01,84.75
1989-02-02,84.67
1989-02-03,84.65
1989-02-06,84.47
1989-02-07,84.5
1989-02-08,84.42
1989-02-09,82.92
1989-02-10,82.15
1989-02-13,82.72
1989-02-14,82.25
1989-02-15,81.82
1989-02-16,81.72
1989-02-17,82.95
1989-02-21,84.3
1989-02-22,84.17
1989-02-23,83.75
1989-02-24,83.62
1989-02-27,82.92
1989-02-28,82.8
1989-03-01,82.52
1989-03-02,82.75
1989-03-03,82.42
1989-03-06,82.1
1989-03-07,82.0
1989-03-08,81.65
1989-03-09,80.87
1989-03-10,81.25
1989-03-13,81.2
1989-03-14,81.15
1989-03-15,80.9
1989-03-16,80.6
1989-03-17,79.67
1989-03-20,80.05
1989-03-21,79.8
1989-03-22,79.65
1989-03-23,79.8
1989-03-27,81.97
1989-03-28,81.85
1989-03-29,81.7
1989-03-30,81.4
1989-03-31,81.2
1989-04-03,79.8
1989-04-04,79.5
1989-04-05,79.87
1989-04-06,78.67
1989-04-07,77.62
1989-04-10,77.17
1989-04-11,77.17
1989-04-12,76.4
1989-04-13,75.65
1989-04-14,75.75
1989-04-17,76.1
1989-04-18,76.37
1989-04-19,75.4
1989-04-20,75.27
1989-04-21,75.77
1989-04-24,75.85
1989-04-25,75.4
1989-04-26,75.45
1989-04-27,75.45
1989-04-28,76.52
1989-05-01,76.3
1989-05-02,76.72
1989-05-03,76.65
1989-05-04,76.95
1989-05-05,76.97
1989-05-08,76.77
1989-05-09,76.95
1989-05-10,77.15
1989-05-11,77.15
1989-05-12,77.45
1989-05-15,77.32
1989-05-16,77.12
1989-05-17,77.27
1989-05-18,76.97
1989-05-19,76.77
1989-05-22,77.0
1989-05-23,77.07
1989-05-24,76.72
1989-05-25,76.9
1989-05-26,77.22
1989-05-30,76.52
1989-05-31,76.45
1989-06-01,77.95
1989-06-02,77.62
1989-06-05,79.07
1989-06-06,78.85
1989-06-07,79.02
1989-06-08,79.02
1989-06-09,79.95
1989-06-12,80.67
1989-06-13,80.75
1989-06-14,80.45
1989-06-15,80.97
1989-06-16,80.97
1989-06-19,81.82
1989-06-20,81.35
1989-06-21,81.0
1989-06-22,81.3
1989-06-23,81.12
1989-06-26,81.52
1989-06-27,81.25
1989-06-28,81.07
1989-06-29,81.22
1989-06-30,80.87
1989-07-03,80.35
1989-07-05,80.62
1989-07-06,81.02
1989-07-07,80.82
1989-07-10,80.97
1989-07-11,81.47
1989-07-12,81.75
1989-07-13,82.95
1989-07-14,82.95
1989-07-17,83.82
1989-07-18,83.55
1989-07-19,83.65
1989-07-20,83.72
1989-07-21,83.85
1989-07-24,83.9
1989-07-25,83.67
1989-07-26,83.52
1989-07-27,83.07
1989-07-28,83.07
1989-07-31,83.5
1989-08-01,83.45
1989-08-02,83.62
1989-08-03,84.07
1989-08-04,84.5
1989-08-07,84.57
1989-08-08,84.57
1989-08-09,84.9
1989-08-10,84.67
1989-08-11,85.0
1989-08-14,84.97
1989-08-15,84.5
1989-08-16,84.57
1989-08-17,84.65
1989-08-18,84.57
1989-08-21,84.12
1989-08-22,84.2
1989-08-23,84.3
1989-08-24,84.1
1989-08-25,83.67
1989-08-28,83.37
1989-08-29,83.62
1989-08-30,83.5
1989-08-31,83.67
1989-09-01,82.45
1989-09-05,82.0
1989-09-06,82.07
1989-09-07,82.6
1989-09-08,82.17
1989-09-11,82.27
1989-09-12,82.62
1989-09-13,83.0
1989-09-14,83.32
1989-09-15,83.37
1989-09-18,83.52
1989-09-19,83.17
1989-09-20,82.9
1989-09-21,83.1
1989-09-22,83.25
1989-09-25,83.1
1989-09-26,83.25
1989-09-27,83.1
1989-09-28,83.05
1989-09-29,82.95
1989-10-02,82.6
1989-10-03,82.75
1989-10-04,83.15
1989-10-05,83.12
1989-10-06,82.97
1989-10-09,82.75
1989-10-10,82.95
1989-10-11,83.15
1989-10-12,83.1
1989-10-13,83.42
1989-10-16,82.7
1989-10-17,83.1
1989-10-18,83.0
1989-10-19,83.0
1989-10-20,82.8
1989-10-23,83.05
1989-10-24,82.8
1989-10-25,83.05
1989-10-26,83.07
1989-10-27,82.4
1989-10-30,82.55
1989-10-31,83.12
1989-11-01,83.12
1989-11-02,82.72
1989-11-03,82.85
1989-11-06,82.95
1989-11-07,83.05
1989-11-08,83.12
1989-11-09,83.17
1989-11-10,83.15
1989-11-13,83.3
1989-11-14,83.05
1989-11-15,83.3
1989-11-16,83.1
1989-11-17,83.15
1989-11-20,83.1
1989-11-21,83.22
1989-11-22,83.45
1989-11-24,83.7
1989-11-27,83.75
1989-11-28,83.55
1989-11-29,83.72
1989-11-30,83.9
1989-12-01,82.85
1989-12-04,82.8
1989-12-05,82.97
1989-12-06,82.92
1989-12-07,82.95
1989-12-08,82.77
1989-12-11,83.17
1989-12-12,83.37
1989-12-13,83.42
1989-12-14,83.72
1989-12-15,84.27
1989-12-18,84.57
1989-12-19,84.6
1989-12-20,84.55
1989-12-21,84.8
1989-12-22,84.82
1989-12-26,85.25
1989-12-27,84.82
1989-12-28,84.7
1989-12-29,84.85
1990-01-02,84.7
1990-01-03,84.47
1990-01-04,84.55
1990-01-05,84.57
1990-01-08,84.67
1990-01-09,84.65
1990-01-10,84.27
1990-01-11,84.37
1990-01-12,83.85
1990-01-15,83.35
1990-01-16,83.32
1990-01-17,83.87
1990-01-18,83.77
1990-01-19,83.85
1990-01-22,84.3
1990-01-23,84.42
1990-01-24,84.5
1990-01-25,84.5
1990-01-26,83.42
1990-01-29,83.27
1990-01-30,83.27
1990-01-31,82.52
1990-02-01,82.62
1990-02-02,83.05
1990-02-05,83.17
1990-02-06,82.67
1990-02-07,82.55
1990-02-08,82.42
1990-02-09,81.77
1990-02-12,81.85
1990-02-13,82.07
1990-02-14,81.97
1990-02-15,82.02
1990-02-16,82.17
1990-02-20,81.47
1990-02-21,80.25
1990-02-22,80.42
1990-02-23,80.22
1990-02-26,79.85
1990-02-27,80.0
1990-02-28,80.4
1990-03-01,80.5
1990-03-02,80.47
1990-03-05,80.82
1990-03-06,81.35
1990-03-07,81.47
1990-03-08,81.87
1990-03-09,82.1
1990-03-12,82.47
1990-03-13,83.15
1990-03-14,82.77
1990-03-15,82.6
1990-03-16,82.72
1990-03-19,82.95
1990-03-20,82.2
1990-03-21,82.35
1990-03-22,82.65
1990-03-23,82.65
1990-03-26,82.87
1990-03-27,82.75
1990-03-28,82.75
1990-03-29,82.67
1990-03-30,82.15
1990-04-02,82.62
1990-04-03,82.6
1990-04-04,82.27
1990-04-05,82.8
1990-04-06,83.6
1990-04-09,83.75
1990-04-10,84.1
1990-04-11,83.8
1990-04-12,84.0
1990-04-16,84.1
1990-04-17,83.95
1990-04-18,84.1
1990-04-19,84.05
1990-04-20,84.05
1990-04-23,83.9
1990-04-24,83.85
1990-04-25,84.27
1990-04-26,84.27
1990-04-27,82.15
1990-04-30,82.65
1990-05-01,82.55
1990-05-02,82.72
1990-05-03,83.67
1990-05-04,83.85
1990-05-07,84.65
1990-05-08,84.2
1990-05-09,84.52
1990-05-10,84.6
1990-05-11,84.82
1990-05-14,84.75
1990-05-15,84.75
1990-05-16,84.75
1990-05-17,84.82
1990-05-18,85.52
1990-05-21,85.67
1990-05-22,85.52
1990-05-23,85.6
1990-05-24,85.55
1990-05-25,83.77
1990-05-29,83.9
1990-05-30,83.57
1990-05-31,83.65
1990-06-01,84.37
1990-06-04,85.02
1990-06-05,84.97
1990-06-06,85.45
1990-06-07,85.1
1990-06-08,85.35
1990-06-11,85.45
1990-06-12,84.97
1990-06-13,84.97
1990-06-14,84.72
1990-06-15,84.65
1990-06-18,85.37
1990-06-19,85.55
1990-06-20,85.3
1990-06-21,85.42
1990-06-22,84.75
1990-06-25,84.47
1990-06-26,84.55
1990-06-27,84.2
1990-06-28,84.37
1990-06-29,84.02
1990-07-02,83.45
1990-07-03,83.25
1990-07-05,83.87
1990-07-06,84.55
1990-07-09,85.27
1990-07-10,85.27
1990-07-11,85.42
1990-07-12,86.27
1990-07-13,87.42
1990-07-16,87.37
1990-07-17,87.2
1990-07-18,87.35
1990-07-19,87.32
1990-07-20,87.75
1990-07-23,87.3
1990-07-24,88.37
1990-07-25,88.77
1990-07-26,88.62
1990-07-27,89.12
1990-07-30,89.27
1990-07-31,89.82
1990-08-01,89.47
1990-08-02,88.85
1990-08-03,88.47
1990-08-06,88.55
1990-08-07,89.67
1990-08-08,89.95
1990-08-09,89.85
1990-08-10,89.52
1990-08-13,90.07
1990-08-14,89.9
1990-08-15,90.0
1990-08-16,89.97
1990-08-17,89.65
1990-08-20,89.67
1990-08-21,89.87
1990-08-22,89.52
1990-08-23,88.95
1990-08-24,88.17
1990-08-27,88.7
1990-08-28,88.57
1990-08-29,88.77
1990-08-30,88.82
1990-08-31,86.77
1990-09-04,87.02
1990-09-05,87.02
1990-09-06,87.0
1990-09-07,87.37
1990-09-10,87.7
1990-09-11,87.75
1990-09-12,87.6
1990-09-13,88.2
1990-09-14,88.75
1990-09-17,89.17
1990-09-18,89.25
1990-09-19,89.37
1990-09-20,89.47
1990-09-21,89.47
1990-09-24,89.25
1990-09-25,89.02
1990-09-26,89.17
1990-09-27,89.35
1990-09-28,86.97
1990-10-01,88.12
1990-10-02,87.82
1990-10-03,87.75
1990-10-04,87.75
1990-10-05,87.82
1990-10-08,88.15
1990-10-09,88.12
1990-10-10,87.7
1990-10-11,87.37
1990-10-12,87.62
1990-10-15,87.32
1990-10-16,87.1
1990-10-17,86.8
1990-10-18,86.92
1990-10-19,86.85
1990-10-22,86.8
1990-10-23,87.17
1990-10-24,87.2
1990-10-25,87.32
1990-10-26,87.17
1990-10-29,87.07
1990-10-30,87.27
1990-10-31,87.72
1990-11-01,87.35
1990-11-02,87.22
1990-11-05,87.32
1990-11-06,87.9
1990-11-07,87.97
1990-11-08,87.6
1990-11-09,88.15
1990-11-12,88.15
1990-11-13,88.35
1990-11-14,88.55
1990-11-15,88.67
1990-11-16,87.7
1990-11-19,87.8
1990-11-20,87.6
1990-11-21,87.77
1990-11-23,88.02
1990-11-26,88.22
1990-11-27,87.45
1990-11-28,87.35
1990-11-29,87.77
1990-11-30,87.6
1990-12-03,87.6
1990-12-04,87.32
1990-12-05,87.72
1990-12-06,88.22
1990-12-07,88.87
1990-12-10,89.0
1990-12-11,88.72
1990-12-12,88.72
1990-12-13,88.87
1990-12-14,89.17
1990-12-17,89.3
1990-12-18,89.22
1990-12-19,88.75
1990-12-20,88.65
1990-12-21,88.62
1990-12-24,88.82
1990-12-26,89.5
1990-12-27,89.2
1990-12-28,89.17
1990-12-31,89.4
1991-01-02,89.1
1991-01-03,89.15
1991-01-04,89.4
1991-01-07,89.22
1991-01-08,88.85
1991-01-09,88.8
1991-01-10,89.17
1991-01-11,89.05
1991-01-14,87.55
1991-01-15,87.22
1991-01-16,87.35
1991-01-17,88.22
1991-01-18,88.4
1991-01-21,88.75
1991-01-22,89.17
1991-01-23,89.45
1991-01-24,89.9
1991-01-25,90.1
1991-01-28,90.5
1991-01-29,90.47
1991-01-30,90.75
1991-01-31,90.72
1991-02-01,87.62
1991-02-04,87.62
1991-02-05,87.72
1991-02-06,88.4
1991-02-07,88.72
1991-02-08,88.47
1991-02-11,88.47
1991-02-12,88.87
1991-02-13,88.87
1991-02-14,88.65
1991-02-15,88.65
1991-02-19,88.85
1991-02-20,89.02
1991-02-21,88.92
1991-02-22,88.85
