Date,Settle
1988-10-03,91.71
1988-10-04,91.71
1988-10-05,91.73
1988-10-06,91.7
1988-10-07,91.78
1988-10-10,91.77
1988-10-11,91.78
1988-10-12,91.74
1988-10-13,91.74
1988-10-14,91.77
1988-10-17,91.77
1988-10-18,91.75
1988-10-19,91.72
1988-10-20,91.72
1988-10-21,91.71
1988-10-24,91.71
1988-10-25,91.71
1988-10-26,91.73
1988-10-27,91.75
1988-10-28,91.74
1988-10-31,91.73
1988-11-01,91.74
1988-11-02,91.71
1988-11-03,91.68
1988-11-04,91.66
1988-11-07,91.62
1988-11-08,91.6
1988-11-09,91.6
1988-11-10,91.6
1988-11-11,91.6
1988-11-14,91.62
1988-11-15,91.55
1988-11-16,91.58
1988-11-17,91.63
1988-11-18,91.66
1988-11-21,91.66
1988-11-22,91.65
1988-11-23,91.66
1988-11-25,91.65
1988-11-28,91.65
1988-11-29,91.65
1988-11-30,91.66
1988-12-01,91.65
1988-12-02,90.95
1988-12-05,90.95
1988-12-06,91.04
1988-12-07,91.07
1988-12-08,91.09
1988-12-09,91.1
1988-12-12,91.1
1988-12-13,91.1
1988-12-14,91.13
1988-12-15,91.12
1988-12-16,91.09
1988-12-19,91.1
1988-12-20,91.08
1988-12-21,91.1
1988-12-22,91.1
1988-12-23,91.14
1988-12-27,91.17
1988-12-28,91.15
1988-12-29,91.14
1988-12-30,91.2
1989-01-03,90.9
1989-01-04,90.85
1989-01-05,90.87
1989-01-06,90.89
1989-01-09,90.88
1989-01-10,90.86
1989-01-11,90.83
1989-01-12,90.85
1989-01-13,90.87
1989-01-16,90.87
1989-01-17,90.85
1989-01-18,90.87
1989-01-19,90.89
1989-01-20,90.9
1989-01-23,90.9
1989-01-24,90.9
1989-01-25,90.89
1989-01-26,90.89
1989-01-27,90.89
1989-01-30,90.88
1989-01-31,90.88
1989-02-01,90.12
1989-02-02,90.78
1989-02-03,90.72
1989-02-06,90.7
1989-02-07,90.75
1989-02-08,90.76
1989-02-09,90.76
1989-02-10,90.72
1989-02-13,90.73
1989-02-14,90.72
1989-02-15,90.72
1989-02-16,90.71
1989-02-17,90.73
1989-02-21,90.74
1989-02-22,90.74
1989-02-23,90.66
1989-02-24,90.65
1989-02-27,90.64
1989-02-28,90.63
1989-03-01,90.36
1989-03-02,90.1
1989-03-03,90.12
1989-03-06,90.14
1989-03-07,90.15
1989-03-08,90.16
1989-03-09,90.11
1989-03-10,90.07
1989-03-13,90.09
1989-03-14,90.1
1989-03-15,90.12
1989-03-16,90.11
1989-03-17,90.08
1989-03-20,90.09
1989-03-21,90.1
1989-03-22,90.12
1989-03-23,90.12
1989-03-27,90.13
1989-03-28,90.12
1989-03-29,90.13
1989-03-30,90.13
1989-03-31,90.14
1989-04-03,90.5
1989-04-04,90.03
1989-04-05,90.05
1989-04-06,90.08
1989-04-07,90.12
1989-04-10,90.12
1989-04-11,90.13
1989-04-12,90.15
1989-04-13,90.13
1989-04-14,90.16
1989-04-17,90.16
1989-04-18,90.18
1989-04-19,90.17
1989-04-20,90.15
1989-04-21,90.15
1989-04-24,90.15
1989-04-25,90.15
1989-04-26,90.15
1989-04-27,90.16
1989-04-28,90.16
1989-05-01,90.4
1989-05-02,90.13
1989-05-03,90.13
1989-05-04,90.11
1989-05-05,90.13
1989-05-08,90.12
1989-05-09,90.11
1989-05-10,90.12
1989-05-11,90.13
1989-05-12,90.17
1989-05-15,90.19
1989-05-16,90.18
1989-05-17,90.19
1989-05-18,90.17
1989-05-19,90.18
1989-05-22,90.21
1989-05-23,90.21
1989-05-24,90.19
1989-05-25,90.2
1989-05-26,90.21
1989-05-30,90.21
1989-05-31,90.2
1989-06-01,90.81
1989-06-02,90.41
1989-06-05,90.44
1989-06-06,90.45
1989-06-07,90.46
1989-06-08,90.46
1989-06-09,90.47
1989-06-12,90.48
1989-06-13,90.48
1989-06-14,90.47
1989-06-15,90.47
