Date,Settle
2014-02-18,77.2
2014-02-19,77.53
2014-02-20,77.77
2014-02-21,77.77
2014-02-24,88.61
2014-02-25,92.31
2014-02-26,93.83
2014-02-27,97.86
2014-02-28,97.86
2014-03-03,97.86
2014-03-04,97.86
2014-03-05,97.86
2014-03-07,85.76
2014-03-11,85.83
2014-03-12,85.78
2014-03-13,84.78
2014-03-14,84.78
2014-03-17,83.81
2014-03-18,82.81
2014-03-19,82.04
2014-03-20,81.18
2014-03-21,81.18
2014-03-24,80.38
2014-03-25,80.13
2014-03-26,79.39
2014-03-27,78.39
2014-03-28,78.39
2014-03-31,77.36
2014-04-01,77.36
2014-04-02,77.36
2014-04-03,77.36
2014-04-04,77.36
2014-04-07,45.42
2014-04-08,45.4
2014-04-09,45.5
2014-04-10,45.61
2014-04-11,45.48
2014-04-14,45.67
2014-04-15,45.98
2014-04-16,46.11
2014-04-17,46.08
2014-04-21,46.27
2014-04-22,46.22
2014-04-23,46.02
2014-04-24,45.98
2014-04-25,45.98
2014-04-28,46.49
2014-04-29,46.83
2014-04-30,46.83
2014-05-01,46.83
2014-05-02,46.83
2014-05-05,46.83
2014-05-06,49.7
2014-05-07,49.98
2014-05-08,49.8
2014-05-09,49.8
2014-05-12,49.96
2014-05-13,49.76
2014-05-14,49.41
2014-05-15,49.17
2014-05-16,49.17
2014-05-19,48.74
2014-05-20,48.94
2014-05-21,48.8
2014-05-22,48.49
2014-05-23,48.49
2014-05-27,49.08
2014-05-28,49.02
2014-05-29,48.82
2014-05-30,48.82
2014-06-02,48.82
2014-06-03,48.82
2014-06-04,48.82
2014-06-05,48.82
2014-06-06,52.92
2014-06-09,51.66
2014-06-10,50.98
2014-06-11,50.25
2014-06-12,49.33
2014-06-13,49.33
2014-06-16,49.1
2014-06-17,49.51
2014-06-18,49.33
2014-06-19,48.84
2014-06-20,48.84
2014-06-23,48.47
2014-06-24,47.99
2014-06-25,47.54
2014-06-26,47.3
2014-06-27,47.3
2014-06-30,47.74
2014-07-01,47.74
2014-07-02,47.74
2014-07-03,47.74
2014-07-07,47.74
2014-07-08,57.23
2014-07-09,56.12
2014-07-10,54.96
2014-07-11,54.96
2014-07-14,52.65
2014-07-15,51.61
2014-07-16,50.32
2014-07-17,49.23
2014-07-18,49.23
2014-07-21,47.79
2014-07-22,46.68
2014-07-23,45.39
2014-07-24,44.15
2014-07-25,44.15
2014-07-28,41.69
2014-07-29,40.39
2014-07-30,39.18
2014-07-31,39.18
2014-08-01,39.18
2014-08-04,39.18
2014-08-05,39.18
2014-08-06,39.18
2014-08-07,40.69
2014-08-08,40.69
2014-08-11,40.03
2014-08-12,39.68
2014-08-13,39.26
2014-08-14,38.77
2014-08-15,38.77
2014-08-18,38.31
2014-08-19,38.23
2014-08-20,38.29
2014-08-21,38.33
2014-08-22,38.33
2014-08-25,38.77
2014-08-26,38.66
2014-08-27,38.46
2014-08-28,38.35
2014-08-29,38.35
2014-09-02,38.35
2014-09-03,38.35
2014-09-04,38.35
2014-09-05,38.35
2014-09-08,42.22
2014-09-09,42.13
2014-09-10,41.89
2014-09-11,41.6
2014-09-12,41.6
2014-09-15,41.16
2014-09-16,40.86
2014-09-17,40.52
2014-09-18,40.24
2014-09-19,40.24
2014-09-22,40.06
2014-09-23,39.9
2014-09-24,39.72
2014-09-25,39.54
2014-09-26,39.54
2014-09-29,39.33
2014-09-30,39.33
2014-10-01,39.33
2014-10-02,39.33
2014-10-03,39.33
2014-10-06,39.33
2014-10-07,42.07
2014-10-08,41.85
2014-10-09,41.68
2014-10-10,41.68
2014-10-13,41.37
2014-10-14,41.27
2014-10-15,41.08
2014-10-16,40.77
2014-10-17,40.77
2014-10-20,40.38
2014-10-21,40.17
2014-10-22,40.1
2014-10-23,39.74
2014-10-24,39.74
2014-10-27,39.03
2014-10-28,38.76
2014-10-29,38.49
2014-10-30,38.24
2014-10-31,38.24
2014-11-03,38.24
2014-11-04,38.24
