Date,Settle
2014-12-15,116.3125
2014-12-17,116.5
2014-12-18,114.84375
2014-12-19,115.6875
2014-12-22,116.375
2014-12-23,114.1875
2014-12-24,114.34375
2014-12-26,114.8125
2015-01-02,117.71875
2015-01-05,120.0625
2015-01-06,122.6875
2015-01-07,122.625
2015-01-08,120.5
2015-01-09,121.71875
2015-01-12,123.34375
2015-01-13,123.8125
2015-01-14,125.03125
2015-01-15,125.875
2015-01-16,125.25
2015-01-20,126.125
2015-01-21,125.125
2015-01-22,124.375
2015-01-23,126.25
2015-01-26,126.0625
2015-01-27,126.09375
2015-01-29,128.46875
2015-01-30,130.125
2015-02-02,130.5
2015-02-03,127.09375
2015-02-04,126.78125
2015-02-05,126.09375
2015-02-06,123.59375
2015-02-09,123.59375
2015-02-10,122.3125
2015-02-11,122.5625
2015-02-12,122.4375
2015-02-13,121.4375
2015-02-17,118.5
2015-02-18,119.65625
2015-02-19,118.5625
2015-02-20,118.6875
2015-02-23,114.28125
2015-02-24,115.71875
2015-02-25,116.375
2015-02-26,115.4375
2015-02-27,115.78125
2015-03-02,114.0
2015-03-03,113.25
2015-03-04,113.0
2015-03-05,113.125
2015-03-06,110.4375
2015-03-09,111.40625
2015-03-10,113.34375
2015-03-11,114.53125
2015-03-12,114.71875
2015-03-13,114.0625
2015-03-16,114.6875
2015-03-17,116.15625
2015-03-18,118.5625
2015-03-19,118.96875
2015-03-20,119.46875
2015-03-23,119.625
2015-03-24,120.8125
2015-03-25,119.8125
2015-03-26,117.34375
2015-03-27,118.96875
2015-03-30,118.4375
2015-03-31,118.5625
2015-04-01,120.125
2015-04-02,119.03125
2015-04-06,117.71875
2015-04-07,118.875
2015-04-08,119.28125
2015-04-09,117.625
2015-04-10,117.84375
2015-04-13,118.0625
2015-04-14,119.0625
2015-04-15,118.8125
2015-04-16,118.9375
2015-04-17,120.53125
2015-04-20,119.21875
2015-04-21,119.4375
2015-04-22,118.09375
2015-04-23,118.875
2015-04-24,118.6875
2015-04-27,118.875
2015-04-28,117.0625
2015-04-29,115.59375
2015-04-30,115.15625
2015-05-01,113.5625
2015-05-04,112.5
2015-05-05,111.78125
2015-05-06,110.03125
2015-05-07,111.875
2015-05-08,112.03125
2015-05-11,108.9375
2015-05-12,109.40625
2015-05-13,108.46875
2015-05-14,108.96875
2015-05-15,112.09375
2015-05-18,110.28125
2015-05-19,110.03125
2015-05-20,109.8125
2015-05-21,111.4375
2015-05-22,110.59375
2015-05-26,112.59375
2015-05-27,112.78125
2015-05-28,112.25
2015-05-29,113.1875
2015-06-01,110.90625
2015-06-02,109.625
2015-06-03,107.65625
2015-06-04,108.6875
2015-06-05,106.78125
2015-06-08,107.0
2015-06-09,106.15625
2015-06-10,105.3125
2015-06-11,107.15625
2015-06-12,107.3125
2015-06-15,101.53125
2015-06-16,102.5625
2015-06-17,102.0
2015-06-18,101.0625
2015-06-19,103.03125
2015-06-22,101.125
2015-06-23,100.0
2015-06-24,100.5625
2015-06-25,99.84375
2015-06-26,98.0
2015-06-29,100.96875
2015-06-30,100.6875
2015-07-01,99.25
2015-07-02,99.125
2015-07-06,101.21875
2015-07-07,102.71875
2015-07-08,103.46875
2015-07-09,101.34375
2015-07-10,99.4375
2015-07-14,99.75
2015-07-15,100.875
2015-07-16,101.125
2015-07-17,101.6875
2015-07-20,101.4375
2015-07-21,101.96875
2015-07-22,102.53125
2015-07-23,103.875
2015-07-24,103.90625
2015-07-27,104.5625
2015-07-28,104.3125
2015-07-29,103.71875
2015-07-30,104.3125
2015-07-31,105.21875
2015-08-03,106.9375
2015-08-04,106.03125
2015-08-05,104.5625
2015-08-06,105.34375
2015-08-07,107.09375
2015-08-10,105.75
2015-08-11,108.0625
2015-08-12,107.8125
2015-08-13,107.0
2015-08-14,107.0625
2015-08-17,107.96875
2015-08-18,106.65625
2015-08-19,107.40625
2015-08-20,109.03125
2015-08-21,109.46875
2015-08-24,110.34375
2015-08-25,107.71875
2015-08-26,106.59375
2015-08-27,106.34375
2015-08-28,106.40625
2015-08-31,105.90625
2015-09-01,106.625
2015-09-02,105.9375
2015-09-03,106.03125
2015-09-04,107.25
2015-09-08,105.8125
2015-09-09,106.875
2015-09-10,105.96875
2015-09-11,106.59375
2015-09-14,106.4375
2015-12-14,101.8125
2015-12-15,100.9375
2015-12-16,100.5625
2015-12-17,101.875
2015-12-18,102.25
2015-12-21,101.9375
2015-12-22,101.125
2015-12-23,100.90625
2015-12-24,101.53125
2015-12-28,102.09375
2015-12-29,100.25
