Date,Settle
2014-02-18,62.44
2014-02-19,61.98
2014-02-20,61.43
2014-02-21,61.1
2014-02-24,56.96
2014-02-25,56.46
2014-02-26,56.39
2014-02-27,56.19
2014-02-28,56.9
2014-03-03,60.13
2014-03-04,60.13
2014-03-05,60.13
2014-03-06,60.13
2014-03-07,60.13
2014-03-10,60.13
2014-03-11,60.13
2014-03-12,60.13
2014-03-13,60.13
2014-03-14,63.06
2014-03-17,61.73
2014-03-18,61.83
2014-03-19,61.73
2014-03-20,61.44
2014-03-21,61.01
2014-03-24,58.41
2014-03-25,58.4
2014-03-26,58.43
2014-03-27,58.87
2014-03-28,59.87
2014-03-31,57.59
2014-04-01,57.37
2014-04-02,57.37
2014-04-03,57.37
2014-04-04,57.37
2014-04-07,57.37
2014-04-08,57.37
2014-04-09,57.37
2014-04-10,57.37
2014-04-11,57.37
2014-04-14,35.59
2014-04-15,35.36
2014-04-16,35.19
2014-04-17,35.17
2014-04-21,34.18
2014-04-22,34.0
2014-04-23,33.79
2014-04-24,33.66
2014-04-25,33.64
2014-04-28,33.14
2014-04-29,32.94
2014-04-30,32.81
2014-05-01,32.8
2014-05-02,32.8
2014-05-05,32.8
2014-05-06,32.8
2014-05-07,32.8
2014-05-08,32.8
2014-05-09,32.8
2014-05-12,32.8
2014-05-13,32.8
2014-05-14,32.37
2014-05-15,32.29
2014-05-16,32.23
2014-05-19,32.38
2014-05-20,32.29
2014-05-21,32.24
2014-05-22,32.18
2014-05-23,32.12
2014-05-27,32.22
2014-05-28,32.1
2014-05-29,31.99
2014-05-30,31.86
2014-06-02,31.7
2014-06-03,31.7
2014-06-04,31.7
2014-06-05,31.7
2014-06-06,31.7
2014-06-09,31.7
2014-06-10,31.7
2014-06-11,31.7
2014-06-12,31.7
2014-06-13,33.31
2014-06-16,31.63
2014-06-17,31.36
2014-06-18,31.24
2014-06-19,31.18
2014-06-20,31.07
2014-06-23,31.26
2014-06-24,31.05
2014-06-25,30.87
2014-06-26,30.82
2014-06-27,30.75
2014-06-30,31.21
2014-07-01,31.08
2014-07-02,31.08
2014-07-03,31.08
2014-07-07,31.08
2014-07-08,31.08
2014-07-09,31.08
2014-07-10,31.08
2014-07-11,31.08
2014-07-14,31.08
2014-07-15,33.62
2014-07-16,33.4
2014-07-17,33.13
2014-07-18,32.83
2014-07-21,31.74
2014-07-22,31.49
2014-07-23,31.23
2014-07-24,30.98
2014-07-25,30.77
2014-07-28,30.42
2014-07-29,30.25
2014-07-30,29.76
2014-07-31,29.39
2014-08-01,29.05
2014-08-04,29.05
2014-08-05,29.05
2014-08-06,29.05
2014-08-07,29.05
2014-08-08,29.05
2014-08-11,29.05
2014-08-12,29.05
2014-08-13,29.05
2014-08-14,29.49
2014-08-15,29.32
2014-08-18,29.02
2014-08-19,28.92
2014-08-20,28.79
2014-08-21,28.7
2014-08-22,28.62
2014-08-25,29.05
2014-08-26,28.92
2014-08-27,28.78
2014-08-28,28.69
2014-08-29,28.65
2014-09-02,28.8
2014-09-03,28.8
2014-09-04,28.8
2014-09-05,28.8
2014-09-08,28.8
2014-09-09,28.8
2014-09-10,28.8
2014-09-11,28.8
2014-09-12,28.8
2014-09-15,31.22
2014-09-16,31.04
2014-09-17,30.93
2014-09-18,30.83
2014-09-19,30.71
2014-09-22,30.98
2014-09-23,30.91
2014-09-24,30.8
2014-09-25,30.65
2014-09-26,30.57
2014-09-29,30.66
2014-09-30,30.78
2014-10-01,30.68
2014-10-02,30.68
2014-10-03,30.68
2014-10-06,30.68
2014-10-07,30.68
2014-10-08,30.68
2014-10-09,30.68
2014-10-10,30.68
2014-10-13,30.68
2014-10-14,30.59
2014-10-15,30.52
2014-10-16,30.58
2014-10-17,30.5
2014-10-20,29.88
2014-10-21,30.01
2014-10-22,29.92
2014-10-23,29.89
2014-10-24,29.92
2014-10-27,29.79
2014-10-28,29.91
2014-10-29,29.7
2014-10-30,29.57
2014-10-31,29.66
2014-11-03,29.6
2014-11-04,29.6
2014-11-05,29.6
2014-11-06,29.6
2014-11-07,29.6
2014-11-10,29.6
2014-11-11,29.6
2014-11-12,29.6
2014-11-13,29.6
2014-11-14,33.62
2014-11-17,33.41
2014-11-18,33.26
2014-11-19,33.25
2014-11-20,33.44
2014-11-21,33.39
2014-11-24,34.45
2014-11-25,34.2
2014-11-26,33.98
2014-11-28,33.98
2014-12-01,32.83
2014-12-02,32.83
2014-12-03,32.83
2014-12-04,32.83
2014-12-05,32.83
2014-12-08,32.83
2014-12-09,32.83
2014-12-10,32.83
2014-12-11,32.83
2014-12-12,37.03
2014-12-15,36.26
2014-12-17,35.82
2014-12-18,35.57
2014-12-19,35.36
2014-12-22,35.53
2014-12-23,34.51
2014-12-24,34.2
2014-12-26,34.2
2015-01-02,42.27
2015-01-07,39.04
2015-01-08,38.94
2015-01-09,39.93
2015-01-12,39.13
2015-01-13,38.86
2015-01-14,38.64
2015-01-15,38.84
2015-01-16,38.72
2015-01-20,36.4
2015-01-21,36.14
2015-01-22,35.85
2015-01-23,35.55
2015-01-26,33.56
2015-01-27,33.25
2015-01-29,32.96
2015-01-30,32.89
2015-02-02,32.49
2015-02-03,32.49
2015-02-04,32.49
2015-02-05,32.49
2015-02-06,32.49
2015-02-09,32.49
2015-02-10,32.49
2015-02-11,32.49
2015-02-12,32.49
2015-02-13,35.97
2015-02-17,39.88
2015-02-18,40.67
2015-02-19,41.85
2015-02-20,43.36
2015-02-23,57.16
2015-02-24,57.44
2015-02-25,60.25
2015-02-26,60.95
2015-02-27,61.03
2015-03-02,63.36
2015-03-03,63.36
2015-03-04,63.36
2015-03-05,63.36
2015-03-06,63.36
2015-03-10,63.36
2015-03-11,63.36
2015-03-12,63.36
2015-03-13,41.18
2015-03-16,39.93
2015-03-17,40.18
2015-03-18,39.79
2015-03-19,39.72
2015-03-20,39.61
2015-03-23,39.09
2015-03-24,39.08
2015-03-25,38.9
2015-03-26,38.89
2015-03-27,38.82
2015-03-30,40.29
2015-04-01,39.89
2015-04-02,39.89
2015-04-06,39.89
2015-04-07,39.89
2015-04-08,39.89
2015-04-09,39.89
2015-04-10,39.89
2015-04-13,39.89
2015-04-14,39.89
2015-04-15,28.56
2015-04-16,28.52
2015-04-17,28.53
2015-04-20,28.56
2015-04-21,28.37
2015-04-22,28.31
2015-04-23,28.35
2015-04-24,28.44
2015-04-27,29.43
2015-04-28,29.8
2015-04-29,29.83
2015-04-30,29.9
2015-05-01,29.47
2015-05-04,29.47
2015-05-05,29.47
2015-05-06,29.47
2015-05-07,29.47
2015-05-08,29.47
2015-05-11,29.47
2015-05-12,29.47
2015-05-13,29.47
2015-05-14,27.89
2015-05-15,27.8
2015-05-18,28.17
2015-05-19,28.11
2015-05-20,27.93
2015-05-21,27.83
2015-05-22,27.72
2015-05-26,24.41
2015-05-27,24.16
2015-05-28,24.02
2015-05-29,23.79
2015-06-01,25.28
2015-06-02,25.28
2015-06-03,25.28
2015-06-04,25.28
2015-06-05,25.28
2015-06-08,25.28
2015-06-09,25.28
2015-06-10,25.28
2015-06-11,25.28
2015-06-12,24.15
2015-06-16,25.33
2015-06-17,25.27
2015-06-18,25.24
2015-06-19,25.15
2015-06-22,25.69
2015-06-23,25.58
2015-06-24,25.53
2015-06-25,25.43
2015-06-26,25.28
2015-07-01,24.26
2015-07-02,24.26
2015-07-06,24.26
2015-07-07,24.26
2015-07-08,24.26
2015-07-09,24.26
2015-07-10,24.26
2015-07-14,24.26
2015-07-15,24.3
2015-07-16,24.21
2015-07-17,24.05
2015-07-20,25.03
2015-07-21,25.01
2015-07-22,25.04
2015-07-23,24.93
2015-07-24,24.75
2015-07-27,26.17
2015-07-28,26.1
2015-07-29,26.07
2015-07-30,26.02
2015-07-31,25.96
2015-08-03,25.78
2015-08-04,25.78
2015-08-05,25.78
2015-08-06,25.78
2015-08-07,25.78
2015-08-10,25.78
2015-08-11,25.78
2015-08-12,25.78
2015-08-13,25.78
2015-08-14,24.7
2015-08-17,24.39
2015-08-18,24.31
2015-08-19,24.25
