Date,Settle
2014-02-18,89.52
2014-02-19,87.7
2014-02-20,85.29
2014-02-21,85.29
2014-02-24,83.78
2014-02-25,84.29
2014-02-26,86.54
2014-02-27,88.32
2014-02-28,88.32
2014-03-03,88.32
2014-03-04,88.32
2014-03-05,88.32
2014-03-07,88.32
2014-03-11,88.32
2014-03-12,88.32
2014-03-13,88.32
2014-03-14,108.84
2014-03-17,106.98
2014-03-18,105.26
2014-03-19,103.41
2014-03-20,101.41
2014-03-21,101.41
2014-03-24,101.56
2014-03-25,100.86
2014-03-26,99.96
2014-03-27,98.01
2014-03-28,98.01
2014-03-31,96.19
2014-04-01,96.19
2014-04-02,96.19
2014-04-03,96.19
2014-04-04,96.19
2014-04-07,96.19
2014-04-08,96.19
2014-04-09,96.19
2014-04-10,96.19
2014-04-11,96.19
2014-04-14,44.66
2014-04-15,44.6
2014-04-16,44.47
2014-04-17,44.05
2014-04-21,43.5
2014-04-22,43.21
2014-04-23,43.06
2014-04-24,42.97
2014-04-25,42.97
2014-04-28,43.07
2014-04-29,43.1
2014-04-30,43.1
2014-05-01,43.1
2014-05-02,43.1
2014-05-05,43.1
2014-05-06,43.1
2014-05-07,43.1
2014-05-08,43.1
2014-05-09,43.1
2014-05-12,43.1
2014-05-13,43.1
2014-05-14,43.0
2014-05-15,42.4
2014-05-16,42.4
2014-05-19,41.4
2014-05-20,40.86
2014-05-21,40.46
2014-05-22,39.86
2014-05-23,39.86
2014-05-27,38.84
2014-05-28,38.32
2014-05-29,38.09
2014-05-30,38.09
2014-06-02,38.09
2014-06-03,38.09
2014-06-04,38.09
2014-06-05,38.09
2014-06-06,38.09
2014-06-09,38.09
2014-06-10,38.09
2014-06-11,38.09
2014-06-12,38.09
2014-06-13,50.27
2014-06-16,50.99
2014-06-17,52.9
2014-06-18,52.8
2014-06-19,51.97
2014-06-20,51.97
2014-06-23,50.88
2014-06-24,50.44
2014-06-25,49.97
2014-06-26,49.58
2014-06-27,49.58
2014-06-30,49.86
2014-07-01,49.86
2014-07-02,49.86
2014-07-03,49.86
2014-07-07,49.86
2014-07-08,49.86
2014-07-09,49.86
2014-07-10,49.86
2014-07-11,49.86
2014-07-14,49.86
2014-07-15,46.3
2014-07-16,45.84
2014-07-17,45.38
2014-07-18,45.38
2014-07-21,45.27
2014-07-22,45.48
2014-07-23,45.15
2014-07-24,44.68
2014-07-25,44.68
2014-07-28,43.67
2014-07-29,43.08
2014-07-30,42.59
2014-07-31,42.59
2014-08-01,42.59
2014-08-04,42.59
2014-08-05,42.59
2014-08-06,42.59
2014-08-07,42.59
2014-08-08,42.59
2014-08-11,42.59
2014-08-12,42.59
2014-08-13,42.59
2014-08-14,39.2
2014-08-15,39.2
2014-08-18,38.07
2014-08-19,37.66
2014-08-20,37.17
2014-08-21,36.66
2014-08-22,36.66
2014-08-25,36.64
2014-08-26,36.54
2014-08-27,36.11
2014-08-28,35.63
2014-08-29,35.63
2014-09-02,35.63
2014-09-03,35.63
2014-09-04,35.63
2014-09-05,35.63
2014-09-08,35.63
2014-09-09,35.63
2014-09-10,35.63
2014-09-11,35.63
2014-09-12,35.63
2014-09-15,42.53
2014-09-16,42.97
2014-09-17,43.56
2014-09-18,44.11
2014-09-19,44.11
2014-09-22,43.69
2014-09-23,43.54
2014-09-24,43.41
2014-09-25,43.17
2014-09-26,43.17
2014-09-29,43.02
2014-09-30,43.02
2014-10-01,43.02
2014-10-02,43.02
2014-10-03,43.02
2014-10-06,43.02
2014-10-07,43.02
2014-10-08,43.02
2014-10-09,43.02
2014-10-10,43.02
2014-10-13,43.02
2014-10-14,40.95
2014-10-15,41.1
2014-10-16,40.95
2014-10-17,40.95
2014-10-20,40.61
2014-10-21,40.32
2014-10-22,40.06
2014-10-23,39.7
2014-10-24,39.7
2014-10-27,39.69
2014-10-28,39.54
2014-10-29,39.73
2014-10-30,39.65
2014-10-31,39.65
2014-11-03,39.65
2014-11-04,39.65
2014-11-05,39.65
2014-11-06,39.65
2014-11-07,39.65
2014-11-10,39.65
2014-11-11,39.65
2014-11-12,39.65
2014-11-13,39.65
2014-11-14,40.62
2014-11-17,40.99
2014-11-18,41.51
2014-11-19,41.52
2014-11-20,41.1
2014-11-21,41.1
2014-11-24,39.41
2014-11-25,39.14
2014-11-26,39.14
2014-11-28,39.14
2014-12-01,38.72
2014-12-02,38.72
2014-12-03,38.72
2014-12-04,38.72
2014-12-05,38.72
2014-12-08,38.72
2014-12-09,38.72
2014-12-10,38.72
2014-12-11,38.72
2014-12-12,47.28
