Date,Settle
2014-02-18,89.04
2014-02-19,87.45
2014-02-20,86.01
2014-02-21,86.01
2014-02-24,84.91
2014-02-25,84.32
2014-02-26,88.71
2014-02-27,90.99
2014-02-28,90.99
2014-03-03,90.99
2014-03-04,90.99
2014-03-05,90.99
2014-03-06,90.99
2014-03-07,95.82
2014-03-11,93.23
2014-03-12,96.88
2014-03-13,96.22
2014-03-14,96.22
2014-03-17,96.72
2014-03-18,95.46
2014-03-19,94.36
2014-03-20,93.0
2014-03-21,93.0
2014-03-24,94.23
2014-03-25,95.01
2014-03-26,95.78
2014-03-27,93.8
2014-03-28,92.83
2014-03-31,91.45
2014-04-01,91.45
2014-04-02,91.45
2014-04-03,91.45
2014-04-04,91.45
2014-04-07,48.11
2014-04-08,47.7
2014-04-09,47.26
2014-04-10,46.82
2014-04-11,46.82
2014-04-14,46.96
2014-04-15,47.02
2014-04-16,46.8
2014-04-17,46.74
2014-04-21,46.37
2014-04-22,46.32
2014-04-23,46.33
2014-04-24,46.23
2014-04-25,46.23
2014-04-28,46.69
2014-04-29,47.27
2014-04-30,47.27
2014-05-01,47.27
2014-05-02,47.27
2014-05-05,47.27
2014-05-06,51.68
2014-05-07,51.98
2014-05-08,52.17
2014-05-09,52.17
2014-05-12,52.11
2014-05-13,51.54
2014-05-14,50.98
2014-05-15,50.36
2014-05-16,50.36
2014-05-19,48.91
2014-05-20,48.2
2014-05-21,47.5
2014-05-22,46.83
2014-05-23,46.83
2014-05-27,46.19
2014-05-28,45.49
2014-05-29,45.0
2014-05-30,45.0
2014-06-02,45.0
2014-06-03,45.0
2014-06-04,45.0
2014-06-05,45.0
2014-06-06,57.59
2014-06-09,56.07
2014-06-10,55.24
2014-06-11,54.28
2014-06-12,53.1
2014-06-13,53.1
2014-06-16,52.33
2014-06-17,52.99
2014-06-18,52.34
2014-06-19,51.33
2014-06-20,51.33
2014-06-23,49.57
2014-06-24,48.95
2014-06-25,48.87
2014-06-26,48.23
2014-06-27,48.23
2014-06-30,48.03
2014-07-01,48.03
2014-07-02,48.03
2014-07-03,48.03
2014-07-07,48.03
2014-07-08,72.84
2014-07-09,71.27
2014-07-10,69.61
2014-07-11,69.61
2014-07-14,67.74
2014-07-15,66.81
2014-07-16,65.87
2014-07-17,64.94
2014-07-18,64.94
2014-07-21,59.12
2014-07-22,57.96
2014-07-23,56.13
2014-07-24,54.35
2014-07-25,54.35
2014-07-28,50.55
2014-07-29,48.56
2014-07-30,46.68
2014-07-31,46.68
2014-08-01,47.38
2014-08-04,46.68
2014-08-05,46.68
2014-08-06,46.68
2014-08-07,45.69
2014-08-08,45.69
2014-08-11,44.49
2014-08-12,43.99
2014-08-13,43.23
2014-08-14,42.3
2014-08-15,42.3
2014-08-18,40.87
2014-08-19,40.3
2014-08-20,39.82
2014-08-21,39.47
2014-08-22,39.47
2014-08-25,38.63
2014-08-26,38.61
2014-08-27,38.16
2014-08-28,37.46
2014-08-29,37.46
2014-09-02,37.46
2014-09-03,37.46
2014-09-04,37.46
2014-09-05,37.46
2014-09-08,46.7
2014-09-09,46.65
2014-09-10,46.78
2014-09-11,46.14
2014-09-12,46.14
2014-09-15,44.39
2014-09-16,43.54
2014-09-17,42.57
2014-09-18,41.48
2014-09-19,41.48
2014-09-22,39.75
2014-09-23,38.84
2014-09-24,37.97
2014-09-25,37.17
2014-09-26,37.17
2014-09-29,35.99
2014-09-30,35.99
2014-10-01,35.99
