Date,Settle
2014-03-05,0.51369
2014-03-06,0.51369
2014-03-07,0.51673
2014-03-11,0.52435
2014-03-12,0.51935
2014-03-13,0.51625
2014-03-14,0.51911
2014-03-17,0.51649
2014-03-18,0.51649
2014-03-19,0.51756
2014-03-20,0.51804
2014-03-21,0.51804
2014-03-24,0.51804
2014-03-25,0.51685
2014-03-26,0.51685
2014-03-27,0.51702
2014-03-28,0.51762
2014-03-31,0.51762
2014-04-01,0.51625
2014-04-02,0.5125
2014-04-03,0.52
2014-04-04,0.52
2014-04-07,0.52
2014-04-08,0.51949
2014-04-09,0.52313
2014-04-10,0.52653
2014-04-11,0.53131
2014-04-14,0.535
2014-04-15,0.53023
2014-04-16,0.52835
2014-04-17,0.53233
2014-04-21,0.53369
2014-04-22,0.53608
2014-04-23,0.54017
2014-04-24,0.54102
2014-04-25,0.54102
2014-04-28,0.54085
2014-04-29,0.53994
2014-04-30,0.54068
2014-05-01,0.57
2014-05-02,0.57
2014-05-05,0.57
2014-05-06,0.57
2014-05-07,0.56062
2014-05-08,0.55386
2014-05-09,0.55205
2014-05-12,0.54778
2014-05-13,0.54778
2014-05-14,0.5442
2014-05-15,0.5442
2014-05-16,0.54807
2014-05-19,0.5492
2014-05-20,0.54767
2014-05-21,0.54767
2014-05-22,0.54949
2014-05-23,0.54949
2014-05-27,0.54903
2014-05-28,0.54938
2014-05-29,0.54887
2014-05-30,0.54893
2014-06-02,0.55
2014-06-03,0.55476
2014-06-04,0.55024
2014-06-05,0.56202
2014-06-06,0.56202
2014-06-09,0.56202
2014-06-10,0.5522
2014-06-11,0.5497
2014-06-12,0.54661
2014-06-13,0.54804
2014-06-16,0.55131
2014-06-17,0.55488
2014-06-18,0.55702
2014-06-19,0.55845
2014-06-20,0.56137
2014-06-23,0.55887
2014-06-24,0.55679
2014-06-25,0.55679
2014-06-26,0.55643
2014-06-27,0.55607
2014-06-30,0.55589
2014-07-01,0.54875
2014-07-02,0.55114
2014-07-03,0.55457
2014-07-07,0.57398
2014-07-08,0.57398
2014-07-09,0.58125
2014-07-10,0.59489
2014-07-11,0.61193
2014-07-14,0.6175
2014-07-15,0.61676
2014-07-16,0.61676
2014-07-17,0.61813
2014-07-18,0.61062
2014-07-21,0.61062
2014-07-22,0.61062
2014-07-23,0.6242
2014-07-24,0.61393
2014-07-25,0.61334
2014-07-28,0.61555
2014-07-29,0.61932
2014-07-30,0.62011
2014-07-31,0.61938
2014-08-01,0.6225
2014-08-04,0.69
2014-08-05,0.68107
2014-08-06,0.68199
2014-08-07,0.6825
2014-08-08,0.68113
2014-08-11,0.68015
2014-08-12,0.67921
2014-08-13,0.66452
2014-08-14,0.66881
2014-08-15,0.66881
2014-08-18,0.66881
2014-08-19,0.6731
2014-08-20,0.67237
2014-08-21,0.67262
2014-08-22,0.67405
2014-08-25,0.67524
2014-08-26,0.67548
2014-08-27,0.67744
2014-08-28,0.67982
2014-08-29,0.51125
2014-09-02,0.70375
2014-09-03,0.69065
2014-09-04,0.68613
2014-09-05,0.68185
2014-09-08,0.69196
2014-09-09,0.69958
2014-09-10,0.70137
2014-09-11,0.69895
2014-09-12,0.70661
2014-09-15,0.7159
2014-09-16,0.70851
2014-09-17,0.73132
2014-09-18,0.73024
2014-09-19,0.7331
2014-09-22,0.7331
2014-09-23,0.72048
2014-09-24,0.72048
2014-09-25,0.7187
2014-09-26,0.71679
2014-09-29,0.71632
2014-09-30,0.71578
2014-10-01,0.65125
2014-10-02,0.65603
2014-10-03,0.67772
2014-10-06,0.68424
2014-10-07,0.68011
2014-10-08,0.68011
2014-10-09,0.67918
2014-10-10,0.67484
2014-10-13,0.6569
2014-10-14,0.65918
2014-10-15,0.65989
2014-10-16,0.65467
2014-10-17,0.65527
2014-10-20,0.6444
2014-10-21,0.6444
2014-10-22,0.63902
2014-10-23,0.63408
2014-10-24,0.63375
2014-10-27,0.63484
2014-10-28,0.63484
2014-10-29,0.63114
2014-10-30,0.63288
2014-10-31,0.55875
2014-11-03,0.55875
2014-11-04,0.5625
2014-11-05,0.5375
2014-11-06,0.51434
2014-11-07,0.52421
2014-11-10,0.52329
2014-11-11,0.52243
2014-11-12,0.52559
2014-11-13,0.52487
2014-11-14,0.54526
2014-11-17,0.54467
2014-11-18,0.54309
2014-11-19,0.53434
2014-11-20,0.53197
2014-11-21,0.53329
2014-11-24,0.53355
2014-11-25,0.53257
2014-11-26,0.53204
2014-11-28,0.53204
2014-12-01,0.495
2014-12-02,0.48068
2014-12-03,0.47159
2014-12-04,0.4689
2014-12-05,0.45085
2014-12-08,0.45085
2014-12-09,0.43477
2014-12-10,0.43563
2014-12-12,0.42125
2014-12-15,0.41102
2014-12-16,0.41352
2014-12-17,0.42261
2014-12-18,0.43182
2014-12-19,0.43182
2014-12-22,0.42864
2014-12-23,0.42864
2014-12-24,0.43136
2014-12-26,0.43136
2015-01-02,0.43
2015-01-05,0.42525
2015-01-06,0.42525
2015-01-07,0.3915
2015-01-08,0.3935
2015-01-09,0.38413
2015-01-12,0.37188
2015-01-13,0.37188
2015-01-14,0.37788
2015-01-15,0.37994
2015-01-16,0.37681
2015-01-20,0.37119
2015-01-21,0.37219
2015-01-22,0.37219
2015-01-23,0.37519
2015-01-26,0.37269
2015-01-27,0.37319
2015-01-29,0.37244
2015-01-30,0.37219
2015-02-02,0.35
2015-02-03,0.35947
2015-02-04,0.36283
2015-02-05,0.36809
2015-02-06,0.36414
2015-02-09,0.3577
2015-02-10,0.35171
2015-02-11,0.35013
2015-02-12,0.35013
2015-02-13,0.35342
2015-02-17,0.34987
2015-02-18,0.35145
2015-02-19,0.35053
2015-02-20,0.35132
2015-02-23,0.3523
2015-02-24,0.35257
2015-02-25,0.35217
2015-02-26,0.35191
2015-02-27,0.35178
2015-03-02,0.34125
2015-03-03,0.34125
2015-03-04,0.33545
2015-03-05,0.33977
2015-03-06,0.33977
