Date,Settle
2014-02-18,955.601
2014-02-19,955.338
2014-02-20,958.281
2014-02-21,955.554
2014-02-24,955.405
2014-02-25,954.951
2014-02-26,955.371
2014-02-27,954.894
2014-02-28,954.463
2014-03-03,954.463
2014-03-04,954.463
2014-03-06,957.791
2014-03-07,962.621
2014-03-11,959.671
2014-03-12,955.798
2014-03-13,951.034
2014-03-14,954.671
2014-03-17,939.779
2014-03-18,941.729
2014-03-19,937.484
2014-03-20,939.751
2014-03-21,939.504
2014-03-24,941.354
2014-03-25,942.141
2014-03-26,943.184
2014-03-27,943.271
2014-03-28,941.874
2014-03-31,942.56
2014-04-01,942.56
2014-04-02,971.273
2014-04-03,981.265
2014-04-04,985.871
2014-04-07,985.688
2014-04-08,999.446
2014-04-09,1002.311
2014-04-10,1002.559
2014-04-11,1001.701
2014-04-14,1007.604
2014-04-15,1009.019
2014-04-16,1008.976
2014-04-17,1010.738
2014-04-21,1014.492
2014-04-22,1011.351
2014-04-23,1011.236
2014-04-24,1010.778
2014-04-25,1009.753
2014-04-28,1008.592
2014-04-29,1009.346
2014-04-30,1008.788
2014-05-01,1008.788
2014-05-02,1000.898
2014-05-05,990.43
2014-05-06,981.535
2014-05-07,988.745
2014-05-08,985.184
2014-05-09,983.571
2014-05-12,987.255
2014-05-13,991.118
2014-05-14,997.274
2014-05-15,997.7
2014-05-16,997.572
2014-05-19,997.186
2014-05-20,997.03
2014-05-21,999.973
2014-05-22,1000.558
2014-05-23,1001.563
2014-05-27,999.907
2014-05-28,1000.263
2014-05-29,1000.367
2014-05-30,1000.275
2014-06-02,1000.275
2014-06-03,997.748
2014-06-04,991.917
2014-06-05,997.444
2014-06-06,994.068
2014-06-09,1005.358
2014-06-10,1005.061
2014-06-11,1009.747
2014-06-12,1026.896
2014-06-13,1023.257
2014-06-16,1026.1
2014-06-17,1029.317
2014-06-18,1031.966
2014-06-19,1038.245
2014-06-20,1038.238
2014-06-23,1039.561
2014-06-24,1037.038
2014-06-25,1035.987
2014-06-26,1036.122
2014-06-27,1036.638
2014-06-30,1036.262
2014-07-01,1036.262
2014-07-02,1035.699
2014-07-03,1035.54
2014-07-07,1038.309
2014-07-08,1034.193
2014-07-09,1027.191
2014-07-10,1033.463
2014-07-11,1020.629
2014-07-14,1023.816
2014-07-15,1019.207
2014-07-16,1012.401
2014-07-17,1010.236
2014-07-18,1006.88
2014-07-21,1008.975
2014-07-22,1009.41
2014-07-23,1008.426
2014-07-24,1007.24
2014-07-25,1008.746
2014-07-28,1007.671
2014-07-29,1010.046
2014-07-30,1007.986
2014-07-31,1007.739
2014-08-01,1007.739
2014-08-04,936.501
2014-08-05,932.018
2014-08-06,940.012
2014-08-07,950.896
2014-08-08,947.574
2014-08-11,949.09
2014-08-12,955.502
2014-08-13,948.817
2014-08-14,932.43
2014-08-15,939.383
2014-08-18,935.036
2014-08-19,940.995
2014-08-20,941.576
2014-08-21,944.937
2014-08-22,944.924
2014-08-25,945.289
2014-08-26,944.543
2014-08-27,943.901
2014-08-28,943.658
2014-08-29,943.888
2014-09-02,943.888
2014-09-03,942.094
2014-09-04,936.686
2014-09-05,935.203
2014-09-08,930.313
2014-09-09,927.673
2014-09-10,925.21
2014-09-11,926.909
2014-09-12,928.421
2014-09-15,929.27
2014-09-16,933.523
2014-09-17,931.29
2014-09-18,929.777
2014-09-19,934.177
2014-09-22,930.965
2014-09-23,930.925
2014-09-24,932.643
2014-09-25,932.466
2014-09-26,930.723
2014-09-29,930.199
2014-09-30,929.648
2014-10-01,929.648
2014-10-02,867.226
2014-10-03,862.41
2014-10-06,861.306
2014-10-07,865.835
2014-10-08,856.343
2014-10-09,845.989
2014-10-10,842.011
2014-10-13,841.134
2014-10-14,815.23
2014-10-15,805.002
2014-10-16,813.588
2014-10-17,813.339
2014-10-20,807.109
2014-10-21,811.064
2014-10-22,806.895
2014-10-23,811.708
2014-10-24,809.697
2014-10-27,809.718
2014-10-28,811.205
2014-10-29,812.161
2014-10-30,811.966
2014-10-31,811.674
2014-11-03,811.674
2014-11-04,745.024
2014-11-05,749.659
2014-11-06,757.705
2014-11-07,759.65
2014-11-10,753.23
2014-11-11,754.505
2014-11-12,752.466
2014-11-13,733.02
2014-11-14,742.294
2014-11-17,741.22
2014-11-18,745.243
2014-11-19,746.472
2014-11-20,745.201
2014-11-21,749.18
2014-11-24,748.114
2014-11-25,748.014
2014-11-26,748.352
2014-11-28,744.625
2014-12-01,744.625
2014-12-02,626.854
2014-12-03,619.878
2014-12-04,616.94
2014-12-05,610.382
2014-12-08,592.87
2014-12-09,596.57
2014-12-10,578.633
2014-12-12,567.535
2014-12-15,561.672
2014-12-16,559.586
2014-12-17,562.97
2014-12-18,557.383
2014-12-19,560.405
2014-12-22,558.058
2014-12-23,560.092
2014-12-24,556.472
2014-12-26,556.387
2015-01-02,560.863
2015-01-05,471.105
2015-01-06,457.882
2015-01-07,459.062
2015-01-08,461.909
2015-01-09,458.825
2015-01-12,447.656
2015-01-13,443.462
2015-01-14,458.528
2015-01-15,447.685
2015-01-16,458.628
2015-01-20,450.285
2015-01-21,452.581
2015-01-22,452.375
2015-01-23,453.573
2015-01-26,451.006
2015-01-27,452.969
2015-01-29,453.145
2015-01-30,453.381
2015-02-02,453.381
2015-02-03,550.75
2015-02-04,512.772
2015-02-05,527.939
2015-02-06,545.292
2015-02-09,553.479
2015-02-10,544.085
2015-02-11,533.589
2015-02-12,555.42
2015-02-13,573.63
2015-02-17,565.304
2015-02-18,561.945
2015-02-19,568.697
2015-02-20,572.528
2015-02-23,567.018
2015-02-24,561.473
2015-02-25,594.202
2015-02-26,586.587
2015-02-27,611.083
2015-03-02,592.045
2015-03-03,607.391
2015-03-04,602.248
2015-03-05,596.762
2015-03-06,600.422
2015-03-09,606.091
2015-03-10,585.922
2015-03-11,591.005
2015-03-12,590.73
2015-03-13,586.465
2015-03-16,578.765
2015-03-17,579.747
2015-03-18,588.936
2015-03-19,585.324
2015-03-20,587.719
2015-03-23,587.315
2015-03-24,586.854
2015-03-25,591.563
2015-03-26,593.281
2015-03-27,592.251
2015-03-30,592.471
2015-03-31,592.75
2015-04-01,592.75
2015-04-02,592.75
2015-04-06,607.889
2015-04-07,617.447
2015-04-08,583.778
2015-04-09,589.42
2015-04-10,601.792
2015-04-13,602.345
2015-04-14,609.958
2015-04-15,629.555
2015-04-16,628.888
2015-04-17,628.48
2015-04-20,628.415
2015-04-21,622.658
2015-04-22,626.178
2015-04-23,632.054
2015-04-24,633.265
2015-04-27,632.663
2015-04-28,631.787
2015-04-29,631.884
2015-04-30,632.2
2015-05-01,632.2
2015-05-04,680.639
2015-05-05,690.864
2015-05-06,681.836
2015-05-07,668.915
2015-05-08,667.771
2015-05-11,667.795
2015-05-12,680.208
2015-05-13,680.136
2015-05-14,683.782
2015-05-15,683.628
2015-05-18,681.558
2015-05-19,673.91
2015-05-20,678.316
2015-05-21,682.389
2015-05-22,680.251
2015-05-26,677.015
2015-05-27,674.232
2015-05-28,675.103
2015-05-29,675.276
2015-06-01,675.276
2015-06-02,691.241
2015-06-03,688.012
2015-06-04,673.192
2015-06-05,687.89
2015-06-08,682.664
2015-06-09,698.554
2015-06-10,708.465
2015-06-11,709.501
2015-06-12,706.304
2015-06-15,704.495
2015-06-16,707.857
2015-06-17,705.199
2015-06-18,706.81
2015-06-19,701.329
2015-06-22,696.969
2015-06-23,700.181
2015-06-24,699.242
2015-06-25,699.841
