Date,Settle
2014-03-05,915.984
2014-03-06,919.024
2014-03-07,924.671
2014-03-11,926.106
2014-03-12,923.36
2014-03-13,924.013
2014-03-14,930.265
2014-03-17,920.5
2014-03-18,923.597
2014-03-19,921.629
2014-03-20,924.08
2014-03-21,925.613
2014-03-24,926.053
2014-03-25,925.664
2014-03-26,925.739
2014-03-27,926.531
2014-03-28,926.729
2014-03-31,926.821
2014-04-01,926.821
2014-04-02,908.175
2014-04-03,917.287
2014-04-04,919.949
2014-04-07,917.3
2014-04-08,929.527
2014-04-09,928.732
2014-04-10,927.551
2014-04-11,929.666
2014-04-14,937.751
2014-04-15,935.634
2014-04-16,935.057
2014-04-17,934.784
2014-04-21,936.16
2014-04-22,936.808
2014-04-23,937.606
2014-04-24,940.121
2014-04-25,938.619
2014-04-28,938.323
2014-04-29,939.259
2014-04-30,939.167
2014-05-01,939.167
2014-05-02,939.167
2014-05-05,928.879
2014-05-06,927.45
2014-05-07,939.858
2014-05-08,942.584
2014-05-09,936.719
2014-05-12,938.342
2014-05-13,941.171
2014-05-14,945.609
2014-05-15,942.439
2014-05-16,944.024
2014-05-19,943.489
2014-05-20,946.516
2014-05-21,950.812
2014-05-22,950.5
2014-05-23,951.796
2014-05-27,951.317
2014-05-28,950.768
2014-05-29,950.859
2014-05-30,950.9
2014-06-02,950.9
2014-06-03,932.131
2014-06-04,927.313
2014-06-05,934.367
2014-06-06,933.426
2014-06-09,945.415
2014-06-10,943.066
2014-06-11,945.827
2014-06-12,958.911
2014-06-13,958.181
2014-06-16,959.789
2014-06-17,960.221
2014-06-18,962.892
2014-06-19,964.973
2014-06-20,964.98
2014-06-23,963.615
2014-06-24,964.0
2014-06-25,963.356
2014-06-26,962.879
2014-06-27,963.566
2014-06-30,963.607
2014-07-01,963.607
2014-07-02,967.876
2014-07-03,969.268
2014-07-07,963.029
2014-07-08,960.134
2014-07-09,956.572
2014-07-10,961.787
2014-07-11,957.059
2014-07-14,963.586
2014-07-15,964.144
2014-07-16,959.401
2014-07-17,961.996
2014-07-18,961.048
2014-07-21,964.606
2014-07-22,963.396
2014-07-23,963.676
2014-07-24,962.477
2014-07-25,964.236
2014-07-28,963.167
2014-07-29,962.992
2014-07-30,962.444
2014-07-31,962.477
2014-08-01,962.477
2014-08-04,918.232
2014-08-05,904.071
2014-08-06,910.038
2014-08-07,917.884
2014-08-08,912.062
2014-08-11,912.653
2014-08-12,905.014
2014-08-13,910.705
2014-08-14,898.008
2014-08-15,904.953
2014-08-18,897.81
2014-08-19,900.465
2014-08-20,904.574
2014-08-21,903.618
2014-08-22,903.312
2014-08-25,904.113
2014-08-26,905.528
2014-08-27,906.249
2014-08-28,905.79
2014-08-29,878.365
2014-09-02,886.7
2014-09-03,906.663
2014-09-04,898.344
2014-09-05,889.893
2014-09-08,886.986
2014-09-09,879.182
2014-09-10,874.79
2014-09-11,878.157
2014-09-12,875.738
2014-09-15,876.579
2014-09-16,879.257
2014-09-17,877.543
2014-09-18,874.539
2014-09-19,876.803
2014-09-22,873.242
2014-09-23,872.534
2014-09-24,872.184
2014-09-25,871.008
2014-09-26,870.755
2014-09-29,870.729
2014-09-30,870.688
2014-10-01,870.688
2014-10-02,823.357
2014-10-03,811.856
2014-10-06,815.959
2014-10-07,807.437
2014-10-08,790.738
2014-10-09,768.706
2014-10-10,767.345
2014-10-13,765.142
2014-10-14,747.092
2014-10-15,739.961
2014-10-16,741.864
2014-10-17,745.262
2014-10-20,743.01
2014-10-21,746.487
2014-10-22,741.316
2014-10-23,745.581
2014-10-24,743.699
2014-10-27,741.893
2014-10-28,742.295
2014-10-29,743.737
2014-10-30,742.892
2014-10-31,742.613
2014-11-03,742.613
2014-11-04,700.636
2014-11-05,1693.508
2014-11-06,691.219
2014-11-07,687.334
2014-11-10,670.323
2014-11-11,674.559
2014-11-12,676.651
2014-11-13,661.191
2014-11-14,670.711
2014-11-17,672.409
2014-11-18,668.119
2014-11-19,671.298
2014-11-20,673.155
2014-11-21,675.274
2014-11-24,673.418
2014-11-25,671.946
2014-11-26,671.895
2014-11-28,669.238
2014-12-01,669.238
2014-12-02,595.451
2014-12-03,591.836
2014-12-04,595.079
2014-12-05,585.042
2014-12-08,562.449
2014-12-09,564.31
2014-12-10,546.583
2014-12-11,541.172
2014-12-12,536.333
2014-12-15,536.042
2014-12-16,531.484
2014-12-17,531.426
2014-12-18,525.105
2014-12-19,532.463
2014-12-22,529.221
2014-12-23,531.87
2014-12-24,528.7
2014-12-26,528.778
2015-01-02,457.258
2015-01-05,435.013
2015-01-06,421.526
2015-01-07,421.94
2015-01-08,421.543
2015-01-09,423.653
2015-01-12,414.16
2015-01-13,415.245
2015-01-14,429.084
2015-01-15,421.529
2015-01-16,429.75
2015-01-20,423.769
2015-01-21,428.078
2015-01-22,425.101
2015-01-23,424.798
2015-01-26,424.339
2015-01-27,426.7
2015-01-29,426.834
2015-01-30,426.869
2015-02-02,426.869
2015-02-03,526.884
2015-02-04,489.147
2015-02-05,499.27
2015-02-06,510.472
2015-02-09,521.053
2015-02-10,511.816
2015-02-11,509.782
2015-02-12,522.472
2015-02-13,527.029
2015-02-17,530.451
2015-02-18,509.677
2015-02-19,525.009
2015-02-20,525.06
2015-02-23,524.515
2015-02-24,523.622
2015-02-25,527.182
2015-02-26,526.388
2015-02-27,527.139
2015-03-02,527.139
2015-03-03,550.328
2015-03-04,550.792
2015-03-05,539.997
2015-03-06,536.525
2015-03-10,518.67
2015-03-11,528.001
2015-03-12,524.097
2015-03-13,516.593
2015-03-16,514.17
2015-03-17,512.49
2015-03-18,521.223
2015-03-19,517.43
2015-03-20,521.122
2015-03-23,523.292
2015-03-24,524.099
2015-03-25,527.543
2015-03-26,530.561
2015-03-27,527.462
2015-03-30,527.752
2015-03-31,527.466
2015-04-01,527.466
2015-04-02,527.466
2015-04-06,530.984
2015-04-07,529.367
2015-04-08,504.579
2015-04-09,510.547
2015-04-10,520.88
2015-04-13,524.507
2015-04-14,530.007
2015-04-15,549.386
2015-04-16,550.154
2015-04-17,546.401
2015-04-20,544.412
2015-04-21,539.901
