Date,Settle
1988-01-04,188.25
1988-01-05,188.25
1988-01-06,192.25
1988-01-07,189.25
1988-01-08,188.5
1988-01-11,188.75
1988-01-12,188.5
1988-01-13,190.5
1988-01-14,192.0
1988-01-15,193.5
1988-01-18,192.5
1988-01-19,190.5
1988-01-20,191.5
1988-01-21,190.25
1988-01-22,192.0
1988-01-25,193.5
1988-01-26,192.5
1988-01-27,192.0
1988-01-28,193.5
1988-01-29,195.0
1988-02-01,194.25
1988-02-02,193.5
1988-02-03,192.25
1988-02-04,195.0
1988-02-05,193.5
1988-02-08,191.75
1988-02-09,191.0
1988-02-10,190.0
1988-02-11,189.5
1988-02-12,190.5
1988-02-16,191.75
1988-02-17,191.75
1988-02-18,191.75
1988-02-19,191.75
1988-02-22,190.75
1988-02-23,190.75
1988-02-24,190.25
1988-02-25,191.0
1988-02-26,190.25
1988-02-29,194.5
1988-03-01,194.5
1988-03-02,193.5
1988-03-03,186.0
1988-03-04,186.75
1988-03-07,190.75
1988-03-08,192.0
1988-03-09,184.25
1988-03-10,181.25
1988-03-11,188.75
1988-03-14,190.0
1988-03-15,188.5
1988-03-16,189.5
1988-03-17,194.0
1988-03-18,196.0
1988-03-21,190.5
1988-03-22,195.5
1988-03-23,167.75
1988-03-24,168.5
1988-03-25,168.75
1988-03-28,166.75
1988-03-29,163.75
1988-03-30,160.0
1988-03-31,161.5
1988-04-04,164.0
1988-04-05,166.0
1988-04-06,165.0
1988-04-07,165.0
1988-04-08,166.75
1988-04-11,167.75
1988-04-12,166.5
1988-04-13,162.75
1988-04-14,161.5
1988-04-15,160.0
1988-04-18,164.75
1988-04-19,168.5
1988-04-20,166.5
1988-04-21,163.25
1988-04-22,164.5
1988-04-25,165.0
1988-04-26,165.5
1988-04-27,167.0
1988-04-28,161.0
1988-04-29,159.25
1988-05-02,158.5
1988-05-03,157.25
1988-05-04,160.25
1988-05-05,160.0
1988-05-06,161.0
1988-05-09,159.25
1988-05-10,161.75
1988-05-11,158.5
1988-05-12,155.25
1988-05-13,157.25
1988-05-16,163.75
1988-05-17,161.0
1988-05-18,163.25
1988-05-19,166.0
1988-05-20,173.75
1988-05-23,170.75
1988-05-24,175.0
1988-05-25,172.0
1988-05-26,171.0
1988-05-27,172.75
1988-05-31,182.5
1988-06-01,179.25
1988-06-02,186.5
1988-06-03,196.5
1988-06-06,206.5
1988-06-07,221.5
1988-06-08,235.0
1988-06-09,250.0
1988-06-10,260.0
1988-06-13,262.0
1988-06-14,269.25
1988-06-15,279.25
1988-06-16,289.25
1988-06-17,298.0
1988-06-20,308.0
1988-06-21,318.0
1988-06-22,333.0
1988-06-23,348.0
1988-06-24,363.0
1988-06-27,378.0
1988-06-28,363.0
1988-06-29,335.0
1988-06-30,353.0
1988-07-01,332.0
1988-07-05,322.0
1988-07-06,323.0
1988-07-07,301.0
1988-07-08,293.0
1988-07-11,266.0
1988-07-12,279.0
1988-07-13,304.5
1988-07-14,308.0
1988-07-15,311.5
1988-07-18,287.0
1988-07-19,290.0
1988-07-20,270.0
1988-07-21,267.5
1988-07-22,260.0
1988-07-25,254.0
1988-07-26,244.0
1988-07-27,249.0
1988-07-28,256.5
1988-07-29,271.5
1988-08-01,281.5
1988-08-02,288.75
1988-08-03,283.5
1988-08-04,286.5
1988-08-05,283.5
1988-08-08,273.5
1988-08-09,268.0
1988-08-10,271.5
1988-08-11,274.5
1988-08-12,280.0
1988-08-15,287.5
1988-08-16,277.5
1988-08-17,270.5
1988-08-18,261.0
1988-08-19,259.0
1988-08-22,249.0
1988-08-23,247.5
1988-08-24,254.0
1988-08-25,254.0
1988-08-26,254.0
1988-08-29,249.5
1988-08-30,254.5
1988-08-31,256.5
1988-09-01,260.25
1988-09-02,259.5
1988-09-06,271.0
1988-09-07,269.5
1988-09-08,266.5
1988-09-09,263.0
1988-09-12,261.0
1988-09-13,265.0
1988-09-14,268.0
1988-09-15,265.0
1988-09-16,258.0
1988-09-19,252.0
1988-09-20,250.5
1988-09-21,249.0
1988-09-22,258.25
1988-09-23,254.5
1988-09-26,244.5
1988-09-27,246.0
1988-09-28,245.5
1988-09-29,242.0
1988-09-30,241.5
1988-10-03,248.5
1988-10-04,249.25
1988-10-05,246.75
1988-10-06,246.25
1988-10-07,244.25
1988-10-10,247.0
1988-10-11,254.75
1988-10-12,256.75
1988-10-13,257.5
1988-10-14,252.5
1988-10-17,255.25
1988-10-18,257.5
1988-10-19,258.25
1988-10-20,254.75
1988-10-21,250.25
1988-10-24,244.75
1988-10-25,236.5
1988-10-26,240.0
1988-10-27,232.25
1988-10-28,235.25
1988-10-31,236.0
1988-11-01,232.5
1988-11-02,230.5
1988-11-03,222.0
1988-11-04,217.0
1988-11-07,225.0
1988-11-08,223.0
1988-11-09,223.0
1988-11-10,215.5
1988-11-11,212.25
1988-11-14,213.75
1988-11-15,210.0
1988-11-16,205.25
1988-11-17,204.0
1988-11-18,200.5
1988-11-21,206.0
1988-11-22,209.0
1988-11-23,212.25
1988-11-25,215.0
1988-11-28,205.0
1988-11-29,195.5
1988-11-30,195.5
1988-12-01,191.0
1988-12-02,194.25
1988-12-05,191.0
1988-12-06,198.25
1988-12-07,199.0
1988-12-08,203.75
1988-12-09,205.75
1988-12-12,207.5
1988-12-13,209.5
1988-12-14,211.5
1988-12-15,214.0
1988-12-16,221.5
1988-12-19,225.25
1988-12-20,221.0
1988-12-21,232.5
1988-12-22,232.0
1988-12-23,237.0
1988-12-27,242.75
1988-12-28,238.5
1988-12-29,239.5
1988-12-30,243.75
1989-01-03,245.0
1989-01-04,245.5
1989-01-05,245.0
1989-01-06,242.75
1989-01-09,237.75
1989-01-10,239.0
1989-01-11,236.0
1989-01-12,237.75
1989-01-13,243.0
1989-01-16,233.0
1989-01-17,233.0
1989-01-18,237.75
1989-01-19,234.0
1989-01-20,234.0
1989-01-23,236.0
1989-01-24,235.25
1989-01-25,225.25
1989-01-26,220.0
1989-01-27,212.0
1989-01-30,215.75
1989-01-31,221.75
1989-02-01,217.0
1989-02-02,216.75
1989-02-03,218.75
1989-02-06,214.5
1989-02-07,214.0
1989-02-08,209.5
1989-02-09,206.0
1989-02-10,206.75
1989-02-13,204.25
1989-02-14,209.0
1989-02-15,208.5
1989-02-16,204.25
1989-02-17,205.75
1989-02-21,213.0
1989-02-22,213.0
1989-02-23,206.5
1989-02-24,206.25
1989-02-27,199.25
1989-02-28,204.75
1989-03-01,202.75
1989-03-02,208.75
1989-03-03,205.5
1989-03-06,209.75
1989-03-07,210.0
1989-03-08,205.0
1989-03-09,207.0
1989-03-10,207.0
1989-03-13,209.75
1989-03-14,209.5
1989-03-15,208.25
1989-03-16,208.5
1989-03-17,208.0
1989-03-20,209.0
1989-03-21,207.25
1989-03-22,208.25
1989-03-23,205.25
1989-03-27,195.25
1989-03-28,196.75
1989-03-29,197.0
1989-03-30,189.0
1989-03-31,187.25
1989-04-03,187.0
1989-04-04,188.0
1989-04-05,183.0
1989-04-06,186.75
1989-04-07,185.5
1989-04-10,187.0
1989-04-11,183.5
1989-04-12,179.0
1989-04-13,184.0
1989-04-14,191.75
1989-04-17,199.0
1989-04-18,198.25
1989-04-19,197.0
1989-04-20,198.0
1989-04-21,202.5
1989-04-24,196.25
1989-04-25,189.0
1989-04-26,183.25
1989-04-27,177.25
1989-04-28,178.0
1989-05-01,184.5
1989-05-02,184.25
1989-05-03,187.0
1989-05-04,191.75
1989-05-05,196.75
1989-05-08,192.5
1989-05-09,188.5
1989-05-10,186.0
1989-05-11,184.5
1989-05-12,188.5
1989-05-15,190.5
1989-05-16,184.0
1989-05-17,183.5
1989-05-18,183.0
1989-05-19,180.5
1989-05-22,175.0
1989-05-23,175.0
1989-05-24,173.5
1989-05-25,173.5
1989-05-26,170.0
1989-05-30,165.25
1989-05-31,166.75
1989-06-01,171.75
1989-06-02,169.25
1989-06-05,169.0
1989-06-06,162.5
1989-06-07,162.5
1989-06-08,165.0
1989-06-09,162.5
1989-06-12,158.0
1989-06-13,161.5
1989-06-14,167.25
1989-06-15,166.5
1989-06-16,164.5
1989-06-19,171.25
1989-06-20,168.25
1989-06-21,163.0
1989-06-22,157.0
1989-06-23,152.5
1989-06-26,148.25
1989-06-27,153.5
1989-06-28,150.5
1989-06-29,146.25
1989-06-30,149.5
1989-07-03,157.0
1989-07-05,168.0
1989-07-06,160.0
1989-07-07,157.75
1989-07-10,147.0
1989-07-11,144.25
1989-07-12,143.75
1989-07-13,148.25
1989-07-14,150.5
1989-07-17,138.5
1989-07-18,142.0
1989-07-19,146.5
1989-07-20,143.5
1989-07-21,150.0
1989-07-24,143.0
1989-07-25,143.0
1989-07-26,142.75
1989-07-27,143.0
1989-07-28,136.0
1989-07-31,130.5
1989-08-01,133.0
1989-08-02,133.25
1989-08-03,135.75
1989-08-04,140.25
1989-08-07,139.0
1989-08-08,136.0
1989-08-09,136.0
1989-08-10,137.5
1989-08-11,141.5
1989-08-14,136.5
1989-08-15,139.5
1989-08-16,138.0
1989-08-17,137.0
1989-08-18,138.25
1989-08-21,138.75
1989-08-22,141.0
1989-08-23,139.25
1989-08-24,138.0
1989-08-25,134.75
1989-08-28,134.75
1989-08-29,134.5
1989-08-30,132.5
1989-08-31,135.0
1989-09-01,133.75
1989-09-05,134.75
1989-09-06,135.0
1989-09-07,136.25
1989-09-08,138.0
1989-09-11,138.25
1989-09-12,136.5
1989-09-13,134.0
1989-09-14,134.5
1989-09-15,137.0
1989-09-18,135.25
1989-09-19,134.0
1989-09-20,135.0
1989-09-21,141.5
1989-09-22,140.75
1989-09-25,142.0
1989-09-26,143.5
1989-09-27,144.5
1989-09-28,145.75
1989-09-29,144.0
1989-10-02,146.75
1989-10-03,147.75
1989-10-04,146.25
1989-10-05,147.25
1989-10-06,143.5
1989-10-09,140.5
1989-10-10,140.5
1989-10-11,140.5
1989-10-12,140.75
1989-10-13,140.25
1989-10-16,142.5
1989-10-17,143.75
1989-10-18,144.25
1989-10-19,146.0
1989-10-20,144.75
1989-10-23,145.75
1989-10-24,145.25
1989-10-25,146.0
1989-10-26,145.75
1989-10-27,143.25
1989-10-30,142.75
1989-10-31,142.5
1989-11-01,143.5
1989-11-02,145.25
1989-11-03,145.5
1989-11-06,143.75
1989-11-07,143.5
1989-11-08,142.25
1989-11-09,142.5
1989-11-10,143.25
1989-11-13,144.25
1989-11-14,144.5
1989-11-15,145.75
1989-11-16,147.25
1989-11-17,147.5
1989-11-20,145.5
1989-11-21,145.5
1989-11-22,146.75
1989-11-24,146.75
1989-11-27,143.0
1989-11-28,143.75
1989-11-29,142.75
1989-11-30,142.75
1989-12-01,143.75
1989-12-04,143.0
1989-12-05,144.25
1989-12-06,143.5
1989-12-07,144.0
1989-12-08,144.0
1989-12-11,144.25
1989-12-12,144.5
1989-12-13,143.75
1989-12-14,143.75
1989-12-15,143.5
1989-12-18,142.0
1989-12-19,140.0
1989-12-20,152.25
1989-12-21,154.5
1989-12-22,154.25
1989-12-26,153.0
1989-12-27,152.5
1989-12-28,154.0
1989-12-29,153.5
1990-01-02,151.25
1990-01-03,153.0
1990-01-04,150.75
1990-01-05,151.75
1990-01-08,150.75
1990-01-09,149.5
1990-01-10,145.0
1990-01-11,143.5
1990-01-12,143.0
1990-01-15,143.5
1990-01-16,142.25
1990-01-17,139.5
1990-01-18,138.25
1990-01-19,139.0
1990-01-22,136.75
1990-01-23,138.5
1990-01-24,139.0
1990-01-25,137.0
1990-01-26,137.25
1990-01-29,138.25
1990-01-30,137.25
1990-01-31,135.25
1990-02-01,135.75
1990-02-02,136.0
1990-02-05,135.0
1990-02-06,135.5
1990-02-07,137.25
1990-02-08,137.0
1990-02-09,138.0
1990-02-12,139.5
1990-02-13,139.5
1990-02-14,141.0
1990-02-15,140.5
1990-02-16,138.25
1990-02-20,134.75
1990-02-21,136.25
1990-02-22,137.5
1990-02-23,137.5
1990-02-26,136.5
1990-02-27,136.5
1990-02-28,141.25
1990-03-01,143.5
1990-03-02,144.25
1990-03-05,146.0
1990-03-06,145.75
1990-03-07,144.5
1990-03-08,145.75
1990-03-09,146.0
1990-03-12,147.25
1990-03-13,145.5
1990-03-14,144.5
1990-03-15,144.0
1990-03-16,146.0
1990-03-19,148.5
1990-03-20,146.5
1990-03-21,146.25
1990-03-22,149.75
1990-03-23,147.75
1990-03-26,149.5
1990-03-27,148.0
1990-03-28,145.25
1990-03-29,146.75
1990-03-30,150.0
1990-04-02,151.25
1990-04-03,152.25
1990-04-04,152.25
1990-04-05,152.75
1990-04-06,151.75
1990-04-09,149.75
1990-04-10,151.0
1990-04-11,151.0
1990-04-12,149.75
1990-04-16,153.0
1990-04-17,157.75
1990-04-18,157.5
1990-04-19,157.75
1990-04-20,157.5
1990-04-23,157.75
1990-04-24,157.0
1990-04-25,158.75
1990-04-26,160.25
1990-04-27,162.25
1990-04-30,165.25
1990-05-01,164.75
1990-05-02,168.5
1990-05-03,166.5
1990-05-04,166.75
1990-05-07,168.0
1990-05-08,166.0
1990-05-09,165.0
1990-05-10,165.5
1990-05-11,160.0
1990-05-14,156.5
1990-05-15,156.0
1990-05-16,154.0
1990-05-17,154.5
1990-05-18,149.0
1990-05-21,144.5
1990-05-22,150.75
1990-05-23,151.5
1990-05-24,152.5
1990-05-25,154.5
1990-05-29,146.25
1990-05-30,142.5
1990-05-31,144.5
1990-06-01,144.0
1990-06-04,143.0
1990-06-05,146.5
1990-06-06,146.25
1990-06-07,149.25
1990-06-08,148.25
1990-06-11,147.25
1990-06-12,146.0
1990-06-13,143.75
1990-06-14,141.0
1990-06-15,138.5
1990-06-18,142.25
1990-06-19,141.5
1990-06-20,140.5
1990-06-21,140.75
1990-06-22,134.5
1990-06-25,138.25
1990-06-26,137.0
1990-06-27,136.25
1990-06-28,135.75
1990-06-29,135.5
1990-07-02,139.25
1990-07-03,140.0
1990-07-05,135.5
1990-07-06,131.0
1990-07-09,127.5
1990-07-10,129.0
1990-07-11,125.5
1990-07-12,124.75
1990-07-13,125.5
1990-07-16,121.5
1990-07-17,119.75
1990-07-18,119.0
1990-07-19,117.5
1990-07-20,119.25
1990-07-23,127.0
1990-07-24,128.25
1990-07-25,129.0
1990-07-26,133.0
1990-07-27,130.0
1990-07-30,128.0
1990-07-31,129.5
1990-08-01,123.0
1990-08-02,118.75
1990-08-03,114.0
1990-08-06,116.75
1990-08-07,117.25
1990-08-08,117.25
1990-08-09,119.5
1990-08-10,119.5
1990-08-13,116.0
1990-08-14,116.0
1990-08-15,116.75
1990-08-16,118.0
1990-08-17,115.75
1990-08-20,116.25
1990-08-21,117.5
1990-08-22,116.75
1990-08-23,119.25
1990-08-24,118.0
1990-08-27,113.5
1990-08-28,108.5
1990-08-29,104.75
1990-08-30,101.0
1990-08-31,105.0
1990-09-04,107.75
1990-09-05,108.75
1990-09-06,111.25
1990-09-07,108.5
1990-09-10,107.25
1990-09-11,111.5
1990-09-12,111.5
1990-09-13,107.0
1990-09-14,107.0
1990-09-17,109.25
1990-09-18,110.75
1990-09-19,110.0
1990-09-20,114.5
1990-09-21,113.25
1990-09-24,112.5
1990-09-25,114.5
1990-09-26,114.25
1990-09-27,116.0
1990-09-28,121.0
1990-10-01,119.25
1990-10-02,123.0
1990-10-03,123.75
1990-10-04,123.25
1990-10-05,121.5
1990-10-08,123.5
1990-10-09,122.25
1990-10-10,123.0
1990-10-11,119.75
1990-10-12,119.25
1990-10-15,119.75
1990-10-16,119.0
1990-10-17,123.25
1990-10-18,123.0
1990-10-19,123.0
1990-10-22,124.25
1990-10-23,124.0
1990-10-24,124.25
1990-10-25,123.75
1990-10-26,120.0
1990-10-29,119.0
1990-10-30,121.0
1990-10-31,121.25
1990-11-01,121.0
1990-11-02,121.5
1990-11-05,121.0
1990-11-06,120.0
1990-11-07,121.0
1990-11-08,121.5
1990-11-09,117.5
1990-11-12,114.5
1990-11-13,112.25
1990-11-14,107.75
1990-11-15,109.75
1990-11-16,111.75
1990-11-19,111.5
1990-11-20,108.25
1990-11-21,107.5
1990-11-23,108.5
1990-11-26,104.5
1990-11-27,107.25
1990-11-28,107.0
1990-11-29,107.25
1990-11-30,112.0
1990-12-03,113.75
1990-12-04,111.5
1990-12-05,110.0
1990-12-06,111.75
1990-12-07,110.25
1990-12-10,110.25
1990-12-11,110.75
1990-12-12,110.0
1990-12-13,108.0
1990-12-14,108.5
1990-12-17,109.5
1990-12-18,106.5
1990-12-19,105.25
1990-12-20,112.0
1990-12-21,111.25
1990-12-24,112.5
1990-12-26,114.75
1990-12-27,113.0
1990-12-28,112.75
1990-12-31,110.25
1991-01-02,109.5
1991-01-03,109.25
1991-01-04,110.0
1991-01-07,113.0
1991-01-08,109.75
1991-01-09,111.75
1991-01-10,112.0
1991-01-11,110.5
1991-01-14,111.25
1991-01-15,112.5
1991-01-16,114.5
1991-01-17,115.5
1991-01-18,113.5
1991-01-21,112.5
1991-01-22,112.25
1991-01-23,107.75
1991-01-24,108.5
1991-01-25,110.25
1991-01-28,109.0
1991-01-29,109.75
1991-01-30,109.25
1991-01-31,108.75
1991-02-01,109.0
1991-02-04,109.5
1991-02-05,109.0
1991-02-06,108.25
1991-02-07,108.5
1991-02-08,111.0
1991-02-11,110.0
1991-02-12,108.0
1991-02-13,108.75
1991-02-14,109.25
1991-02-15,109.25
1991-02-19,109.0
1991-02-20,108.25
1991-02-21,107.75
1991-02-22,107.5
1991-02-25,109.5
1991-02-26,109.0
1991-02-27,107.0
1991-02-28,110.25
1991-03-01,116.25
1991-03-04,119.25
1991-03-05,120.5
1991-03-06,120.25
1991-03-07,119.5
1991-03-08,120.5
1991-03-11,118.0
1991-03-12,123.5
1991-03-13,126.5
1991-03-14,126.0
1991-03-15,119.0
1991-03-18,118.5
1991-03-19,117.25
1991-03-20,122.5
1991-03-21,122.25
1991-03-22,123.5
1991-03-25,123.25
1991-03-26,122.0
1991-03-27,122.25
1991-03-28,126.0
1991-04-01,131.75
1991-04-02,131.25
1991-04-03,130.25
1991-04-04,126.5
1991-04-05,126.5
1991-04-08,127.5
1991-04-09,123.5
1991-04-10,126.25
1991-04-11,125.0
1991-04-12,125.75
1991-04-15,123.75
1991-04-16,121.75
1991-04-17,121.25
1991-04-18,121.75
1991-04-19,123.0
1991-04-22,123.5
1991-04-23,124.75
1991-04-24,124.75
1991-04-25,123.75
1991-04-26,123.25
1991-04-29,119.0
1991-04-30,121.5
1991-05-01,122.5
1991-05-02,123.5
1991-05-03,125.5
1991-05-06,126.5
1991-05-07,125.25
1991-05-08,124.0
1991-05-09,126.0
1991-05-10,127.0
1991-05-13,125.25
