Date,Settle
2014-02-18,137.16
2014-02-19,136.14
2014-02-20,134.75
2014-02-21,132.42
2014-02-24,129.8
2014-02-25,130.08
2014-02-26,130.95
2014-02-27,132.49
2014-02-28,132.49
2014-03-03,132.49
2014-03-04,132.49
2014-03-05,132.49
2014-03-06,132.49
2014-03-07,141.68
2014-03-10,138.97
2014-03-11,137.39
2014-03-12,136.12
2014-03-13,135.84
2014-03-14,131.86
2014-03-17,128.6
2014-03-18,127.21
2014-03-19,125.51
2014-03-20,123.84
2014-03-21,119.53
2014-03-24,112.91
2014-03-25,111.97
2014-03-26,110.94
2014-03-27,109.27
2014-03-28,104.33
2014-03-31,97.68
2014-04-01,97.68
2014-04-02,97.68
2014-04-03,97.68
2014-04-04,97.68
2014-04-07,45.36
2014-04-08,45.23
2014-04-09,45.08
2014-04-10,44.78
2014-04-11,44.2
2014-04-14,43.07
2014-04-15,42.97
2014-04-16,42.9
2014-04-17,42.65
2014-04-21,40.87
2014-04-22,40.64
2014-04-23,40.45
2014-04-24,40.27
2014-04-25,40.04
2014-04-28,38.92
2014-04-29,38.7
2014-04-30,38.7
2014-05-01,38.7
2014-05-02,38.7
2014-05-05,38.7
2014-05-06,36.87
2014-05-07,36.68
2014-05-08,36.47
2014-05-09,36.28
2014-05-12,35.73
2014-05-13,35.61
2014-05-14,35.5
2014-05-15,35.36
2014-05-16,35.12
2014-05-19,34.28
2014-05-20,34.03
2014-05-21,33.84
2014-05-22,33.63
2014-05-23,33.08
2014-05-27,32.2
2014-05-28,32.01
2014-05-29,31.8
2014-05-30,31.45
2014-06-02,31.45
2014-06-03,31.45
2014-06-04,31.45
2014-06-05,31.45
2014-06-06,37.94
2014-06-09,37.06
2014-06-10,36.87
2014-06-11,36.7
2014-06-12,36.44
2014-06-13,36.13
2014-06-16,35.42
2014-06-17,35.41
2014-06-18,35.38
2014-06-19,35.21
2014-06-20,34.56
2014-06-23,33.3
2014-06-24,33.07
2014-06-25,32.94
2014-06-26,32.72
2014-06-27,32.6
2014-06-30,32.19
2014-07-01,32.19
2014-07-02,32.19
2014-07-03,32.19
2014-07-07,32.19
2014-07-08,38.59
2014-07-09,38.29
2014-07-10,37.93
2014-07-11,37.09
2014-07-14,35.96
2014-07-15,35.75
2014-07-16,35.48
2014-07-17,35.07
2014-07-18,34.17
2014-07-21,32.5
2014-07-22,32.27
2014-07-23,32.02
2014-07-24,31.64
2014-07-25,31.36
2014-07-28,30.07
2014-07-29,29.71
2014-07-30,29.29
2014-07-31,29.29
2014-08-01,29.29
2014-08-04,29.29
2014-08-05,29.29
2014-08-06,29.29
2014-08-07,28.64
2014-08-08,28.45
2014-08-11,28.17
2014-08-12,28.05
2014-08-13,27.87
2014-08-14,27.64
2014-08-15,27.07
2014-08-18,26.11
2014-08-19,25.97
2014-08-20,25.8
2014-08-21,25.63
2014-08-22,25.44
2014-08-25,24.95
2014-08-26,25.07
2014-08-27,25.04
2014-08-28,24.9
2014-08-29,24.5
