Date,Settle
2014-02-18,7.176
2014-02-19,7.037
2014-02-20,7.433
2014-02-21,7.392
2014-02-24,7.198
2014-02-25,7.109
2014-02-26,7.116
2014-02-27,7.009
2014-02-28,7.061
2014-03-03,7.061
2014-03-04,16.315
2014-03-05,16.016
2014-03-06,15.943
2014-03-07,16.182
2014-03-10,16.12
2014-03-11,16.37
2014-03-12,16.408
2014-03-13,16.092
2014-03-14,15.998
2014-03-17,15.299
2014-03-18,15.47
2014-03-19,15.264
2014-03-20,15.459
2014-03-21,15.478
2014-03-24,15.305
2014-03-25,15.182
2014-03-26,15.384
2014-03-27,15.471
2014-03-28,15.427
2014-03-31,15.388
2014-04-01,14.938
2014-04-02,15.591
2014-04-03,16.094
2014-04-04,16.324
2014-04-07,16.824
2014-04-08,17.172
2014-04-09,17.788
2014-04-10,18.074
2014-04-11,18.318
2014-04-14,17.936
2014-04-15,17.868
2014-04-16,17.72
2014-04-17,18.006
2014-04-21,18.359
2014-04-22,18.702
2014-04-23,18.727
2014-04-24,18.4
2014-04-25,18.424
2014-04-28,18.427
2014-04-29,18.438
2014-04-30,18.367
2014-05-01,15.97
2014-05-02,15.442
2014-05-05,14.883
2014-05-06,14.592
2014-05-07,14.794
2014-05-08,14.456
2014-05-09,14.329
2014-05-12,14.5
2014-05-13,14.419
2014-05-14,14.897
2014-05-15,14.903
2014-05-16,14.758
2014-05-19,14.771
2014-05-20,14.632
2014-05-21,14.743
2014-05-22,14.942
2014-05-23,15.069
2014-05-27,15.0
2014-05-28,15.039
2014-05-29,15.058
2014-05-30,15.045
2014-06-02,15.449
2014-06-03,15.424
2014-06-04,15.281
2014-06-05,15.707
2014-06-06,15.305
2014-06-09,15.771
2014-06-10,15.696
2014-06-11,16.099
2014-06-12,16.365
2014-06-13,15.72
2014-06-16,15.776
2014-06-17,15.919
2014-06-18,15.703
2014-06-19,15.834
2014-06-20,15.947
2014-06-23,15.904
2014-06-24,16.004
2014-06-25,15.827
2014-06-26,15.898
2014-06-27,15.94
2014-06-30,15.943
2014-07-01,15.346
2014-07-02,15.768
2014-07-03,15.87
2014-07-07,15.364
2014-07-08,15.734
2014-07-09,15.043
2014-07-10,15.302
2014-07-11,15.071
2014-07-14,15.249
2014-07-15,15.068
2014-07-16,14.548
2014-07-17,14.186
2014-07-18,14.062
2014-07-21,14.423
2014-07-22,14.38
2014-07-23,13.894
2014-07-24,13.876
2014-07-25,13.862
2014-07-28,13.878
2014-07-29,13.985
2014-07-30,13.985
2014-07-31,13.981
2014-08-01,10.038
2014-08-04,8.775
2014-08-05,9.102
2014-08-06,9.97
2014-08-07,10.413
2014-08-08,10.16
2014-08-11,10.302
2014-08-12,10.813
2014-08-13,10.601
2014-08-14,10.205
2014-08-15,10.143
2014-08-18,10.209
2014-08-19,10.936
2014-08-20,10.939
2014-08-21,11.309
2014-08-22,11.297
2014-08-25,11.324
2014-08-26,11.463
2014-08-27,11.326
2014-08-28,11.38
2014-08-29,10.856
2014-09-02,6.016
2014-09-03,6.914
2014-09-04,7.015
2014-09-05,7.189
2014-09-08,6.894
2014-09-09,7.158
2014-09-10,7.282
2014-09-11,7.168
2014-09-12,7.565
2014-09-15,7.894
2014-09-16,7.927
2014-09-17,8.173
2014-09-18,8.545
2014-09-19,9.101
2014-09-22,9.178
2014-09-23,9.736
2014-09-24,10.066
2014-09-25,10.49
2014-09-26,10.154
2014-09-29,10.274
2014-09-30,10.171
2014-10-01,8.398
2014-10-02,7.503
2014-10-03,7.346
2014-10-06,8.212
2014-10-07,7.258
