Date,Settle
2014-03-05,4.918
2014-03-06,4.892
2014-03-07,5.928
2014-03-11,5.18
2014-03-12,5.464
2014-03-13,6.488
2014-03-14,6.341
2014-03-17,5.744
2014-03-18,6.083
2014-03-19,6.616
2014-03-20,7.153
2014-03-21,7.668
2014-03-24,7.649
2014-03-25,7.499
2014-03-26,11.861
2014-03-27,8.243
2014-03-28,8.096
2014-03-31,7.897
2014-04-01,7.897
2014-04-02,8.636
2014-04-03,8.933
2014-04-04,9.149
2014-04-07,8.574
2014-04-08,8.146
2014-04-09,7.614
2014-04-10,7.378
2014-04-11,7.383
2014-04-14,8.088
2014-04-15,8.405
2014-04-16,8.516
2014-04-17,8.734
2014-04-21,8.554
2014-04-22,8.836
2014-04-23,8.966
2014-04-24,10.18
2014-04-25,9.361
2014-04-28,8.44
2014-04-29,9.066
2014-04-30,9.105
2014-05-01,9.105
2014-05-02,6.964
2014-05-05,8.194
2014-05-06,7.439
2014-05-07,8.272
2014-05-08,9.542
2014-05-09,9.948
2014-05-12,10.079
2014-05-13,10.107
2014-05-14,10.088
2014-05-15,9.573
2014-05-16,9.717
2014-05-19,10.072
2014-05-20,10.235
2014-05-21,10.255
2014-05-22,10.449
2014-05-23,12.915
2014-05-27,11.161
2014-05-28,10.821
2014-05-29,10.941
2014-05-30,10.973
2014-06-02,10.973
2014-06-03,13.744
2014-06-04,12.201
2014-06-05,11.434
2014-06-06,11.339
2014-06-09,10.67
2014-06-10,10.857
2014-06-11,10.913
2014-06-12,10.437
2014-06-13,10.501
2014-06-16,9.759
2014-06-17,9.788
2014-06-18,10.655
2014-06-19,9.805
2014-06-20,9.567
2014-06-23,9.569
2014-06-24,9.496
2014-06-25,9.569
2014-06-26,8.924
2014-06-27,9.341
2014-06-30,9.325
2014-07-01,9.325
2014-07-02,5.438
2014-07-03,5.816
2014-07-07,6.114
2014-07-08,6.035
2014-07-09,6.322
2014-07-10,6.117
2014-07-11,5.842
2014-07-14,5.684
2014-07-15,4.545
2014-07-16,4.463
2014-07-17,4.278
2014-07-18,3.997
2014-07-21,3.787
2014-07-22,3.757
2014-07-23,4.36
2014-07-24,3.367
2014-07-25,4.519
2014-07-28,3.819
2014-07-29,3.717
2014-07-30,3.388
2014-07-31,3.479
2014-08-01,3.479
2014-08-04,7.512
2014-08-05,7.02
2014-08-06,6.806
2014-08-07,6.942
2014-08-08,6.367
2014-08-11,5.649
2014-08-12,5.609
2014-08-13,5.613
2014-08-14,5.716
2014-08-15,5.709
2014-08-18,5.604
2014-08-19,5.591
2014-08-20,5.615
2014-08-21,5.676
2014-08-22,5.69
2014-08-25,5.764
2014-08-26,6.17
2014-08-27,6.287
2014-08-28,6.37
2014-08-29,6.437
2014-09-02,6.437
2014-09-03,8.106
2014-09-04,7.832
2014-09-05,7.59
2014-09-08,7.265
2014-09-09,7.141
2014-09-10,6.666
2014-09-11,6.58
2014-09-12,6.357
2014-09-15,6.689
2014-09-16,6.781
2014-09-17,6.589
2014-09-18,6.657
2014-09-19,6.634
2014-09-22,6.77
2014-09-23,6.805
2014-09-24,6.858
2014-09-25,6.895
2014-09-26,6.963
2014-09-29,7.07
2014-09-30,7.11
2014-10-01,7.11
2014-10-02,7.277
2014-10-03,7.278
2014-10-06,7.278
2014-10-07,7.011
2014-10-08,6.52
2014-10-09,6.22
2014-10-10,6.102
2014-10-13,5.702
2014-10-14,5.921
2014-10-15,5.897
2014-10-16,5.951
2014-10-17,6.719
2014-10-20,6.817
2014-10-21,6.626
2014-10-22,4.773
2014-10-23,6.607
2014-10-24,6.633
2014-10-27,6.734
2014-10-28,6.757
2014-10-29,6.83
2014-10-30,6.886
2014-10-31,7.02
2014-11-03,7.02
2014-11-04,7.766
2014-11-05,7.194
2014-11-06,7.028
2014-11-07,6.877
2014-11-10,6.41
2014-11-11,6.506
2014-11-12,6.335
2014-11-13,5.72
2014-11-14,4.756
2014-11-17,5.338
2014-11-18,5.247
2014-11-19,5.23
2014-11-20,3.132
2014-11-21,6.456
2014-11-24,5.478
2014-11-25,4.625
2014-11-26,4.585
2014-11-28,5.236
2014-12-01,5.236
2014-12-02,4.291
2014-12-03,3.845
2014-12-04,3.356
2014-12-05,3.039
2014-12-08,3.064
2014-12-09,2.8
2014-12-10,3.075
2014-12-11,3.022
2014-12-12,3.077
2014-12-15,3.067
2014-12-16,3.399
2014-12-17,3.193
2014-12-18,2.886
2014-12-19,2.913
2014-12-22,2.99
2014-12-23,3.766
2014-12-24,2.506
2014-12-26,0.01
2015-01-02,7.642
2015-01-05,7.286
2015-01-06,6.13
2015-01-07,5.772
2015-01-08,5.639
2015-01-09,5.751
2015-01-12,5.755
2015-01-13,5.608
2015-01-14,5.565
2015-01-15,5.584
2015-01-16,5.884
2015-01-20,5.705
2015-01-21,5.689
2015-01-22,5.79
2015-01-23,5.918
2015-01-26,6.1
2015-01-27,6.262
2015-01-29,6.72
2015-01-30,7.048
2015-02-02,7.048
2015-02-03,10.233
2015-02-04,10.881
2015-02-05,10.693
2015-02-06,10.301
2015-02-09,9.555
2015-02-10,9.811
2015-02-11,10.133
2015-02-12,10.493
2015-02-13,11.021
2015-02-17,9.433
2015-02-18,9.717
2015-02-19,9.718
2015-02-20,9.717
2015-02-23,10.054
2015-02-24,10.378
2015-02-25,10.77
2015-02-26,11.383
2015-02-27,12.033
2015-03-02,12.033
2015-03-03,12.02
2015-03-04,11.797
2015-03-05,11.452
2015-03-06,11.284
2015-03-09,14.469
2015-03-10,9.813
2015-03-11,9.502
2015-03-12,10.197
2015-03-13,9.97
2015-03-16,9.388
2015-03-17,8.79
2015-03-18,8.981
2015-03-19,9.221
2015-03-20,9.491
2015-03-23,9.744
2015-03-24,10.048
2015-03-25,10.298
2015-03-26,10.575
2015-03-27,10.846
2015-03-30,11.106
2015-03-31,11.357
2015-04-01,11.357
2015-04-02,11.357
2015-04-06,10.612
2015-04-07,10.659
2015-04-08,10.29
2015-04-09,11.361
2015-04-10,11.301
2015-04-13,12.159
2015-04-14,11.233
2015-04-15,11.415
2015-04-16,10.462
2015-04-17,10.732
2015-04-20,10.938
2015-04-21,11.127
2015-04-22,11.282
2015-04-23,11.479
2015-04-24,12.602
2015-04-27,11.987
2015-04-28,12.275
2015-04-29,12.509
2015-04-30,12.805
2015-05-01,12.805
2015-05-04,12.429
2015-05-05,14.363
2015-05-06,15.93
2015-05-07,14.916
2015-05-08,15.758
2015-05-11,16.333
2015-05-12,16.783
2015-05-13,14.705
2015-05-14,17.117
2015-05-15,16.071
2015-05-18,16.423
2015-05-19,15.836
2015-05-20,16.193
2015-05-21,16.496
2015-05-22,15.654
2015-05-26,16.509
2015-05-27,16.86
2015-05-28,17.155
2015-05-29,17.479
2015-06-01,17.479
2015-06-02,8.234
2015-06-03,6.562
2015-06-04,8.094
2015-06-05,6.333
2015-06-08,4.972
2015-06-09,4.922
2015-06-10,4.114
2015-06-11,5.06
2015-06-12,5.223
2015-06-15,3.934
2015-06-16,3.871
2015-06-17,4.688
2015-06-18,4.255
2015-06-19,3.788
2015-06-22,3.86
2015-06-23,4.38
2015-06-24,4.357
2015-06-25,4.667
2015-06-26,4.966
2015-06-30,5.423
2015-07-01,5.423
2015-07-02,6.883
2015-07-06,7.66
2015-07-07,8.158
2015-07-08,7.934
2015-07-09,6.235
2015-07-10,6.123
2015-07-14,5.962
2015-07-15,6.807
2015-07-16,5.764
2015-07-17,6.885
2015-07-20,4.865
2015-07-21,5.059
2015-07-22,5.246
2015-07-23,5.353
2015-07-24,6.581
2015-07-27,5.522
2015-07-28,5.726
2015-07-29,6.002
2015-07-30,5.561
2015-07-31,5.634
2015-08-03,5.634
2015-08-04,8.326
2015-08-05,8.144
2015-08-06,7.547
2015-08-07,7.059
2015-08-10,7.366
2015-08-11,7.686
2015-08-12,7.744
2015-08-13,7.693
2015-08-14,7.393
2015-08-17,7.414
2015-08-18,7.475
2015-08-19,7.527
2015-08-20,7.499
2015-08-21,7.039
2015-08-24,6.803
2015-08-25,6.775
2015-08-26,6.771
2015-08-27,7.276
2015-08-28,8.26
2015-08-31,6.872
2015-09-01,6.872
2015-09-02,4.649
2015-09-03,4.662
2015-09-04,4.692
2015-09-08,5.139
2015-09-09,5.577
2015-09-10,4.937
2015-09-11,4.576
2015-09-14,4.923
2015-09-15,4.778
2015-09-16,4.45
2015-09-17,3.808
2015-09-18,3.82
2015-09-21,3.47
2015-09-22,2.903
2015-09-23,3.288
2015-09-24,3.189
2015-09-25,3.556
2015-09-28,3.723
2015-09-29,3.789
2015-09-30,3.843
2015-10-01,3.843
2015-10-02,6.526
2015-10-05,7.612
2015-10-06,7.971
2015-10-07,7.963
2015-10-08,7.938
2015-10-09,7.649
2015-10-12,7.574
2015-10-13,7.593
2015-10-14,7.611
2015-10-15,6.885
2015-10-16,7.042
2015-10-19,7.013
2015-10-20,6.95
2015-10-21,4.305
2015-10-22,7.052
2015-10-23,6.757
2015-10-26,6.428
2015-10-27,6.618
2015-10-28,7.868
2015-10-29,6.81
2015-10-30,6.858
2015-11-02,6.858
2015-11-03,5.494
2015-11-04,5.44
2015-11-05,5.405
2015-11-06,5.502
2015-11-09,5.911
2015-11-10,5.853
2015-11-11,6.045
2015-11-12,5.711
2015-11-13,5.826
2015-11-16,5.509
2015-11-17,5.409
2015-11-18,5.271
2015-11-19,5.262
2015-11-20,5.201
2015-11-23,5.088
2015-11-24,5.163
2015-11-25,5.136
2015-11-27,5.174
2015-11-30,5.168
2015-12-01,5.168
2015-12-02,6.02
2015-12-03,6.282
2015-12-04,5.96
2015-12-07,5.915
2015-12-08,5.858
2015-12-09,5.794
2015-12-10,5.472
2015-12-11,5.041
2015-12-14,5.002
2015-12-15,4.862
2015-12-16,4.966
2015-12-17,4.97
2015-12-18,5.172
2015-12-21,5.093
2015-12-22,5.031
2015-12-23,5.889
2015-12-24,4.744
2015-12-28,4.073
2015-12-29,5.247
2015-12-30,4.549
2015-12-31,5.062
2016-01-04,4.506
2016-01-05,4.283
2016-01-06,4.193
2016-01-07,4.082
2016-01-08,4.206
2016-01-11,4.19
2016-01-12,4.365
2016-01-13,4.495
2016-01-14,7.905
2016-01-15,4.007
2016-01-19,3.764
2016-01-20,3.412
2016-01-21,3.625
2016-01-22,3.916
2016-01-25,3.683
2016-01-26,3.599
2016-01-27,3.455
2016-01-28,3.482
2016-01-29,3.457
2016-02-01,3.457
2016-02-02,3.322
2016-02-03,3.446
2016-02-04,3.435
2016-02-05,3.63
2016-02-08,3.692
2016-02-09,3.63
2016-02-10,3.679
2016-02-11,3.596
2016-02-12,2.939
2016-02-16,3.195
2016-02-17,3.217
2016-02-18,0.0
2016-02-19,3.654
2016-02-22,3.682
2016-02-23,3.785
2016-02-24,3.809
2016-02-25,3.859
2016-02-26,3.816
2016-02-29,3.78
2016-03-01,4.539
2016-03-04,1.8
2016-03-07,1.769
2016-03-08,1.597
2016-03-09,1.524
2016-03-10,1.64
2016-03-11,1.281
2016-03-14,1.29
2016-03-15,1.302
2016-03-16,1.396
2016-03-17,1.414
2016-03-18,1.643
2016-03-21,2.742
2016-03-22,2.773
2016-03-23,1.952
2016-03-24,1.986
2016-03-28,1.946
2016-03-29,2.26
2016-03-30,2.149
2016-03-31,2.094
2016-04-01,2.094
2016-04-04,2.094
2016-04-05,3.587
2016-04-06,3.752
2016-04-07,3.36
2016-04-08,3.165
2016-04-11,3.581
2016-04-12,3.619
2016-04-13,3.557
2016-04-14,3.562
2016-04-15,3.576
2016-04-18,3.581
2016-04-19,3.599
2016-04-20,3.594
2016-04-21,1.343
2016-04-22,3.263
2016-04-25,2.802
2016-04-26,4.004
2016-04-27,3.777
