Date,Settle
2014-02-18,609.464
2014-02-19,607.772
2014-02-20,608.743
2014-02-21,608.935
2014-02-24,608.005
2014-02-25,608.029
2014-02-26,607.325
2014-02-27,607.063
2014-02-28,606.926
2014-03-03,606.926
2014-03-04,606.926
2014-03-05,593.084
2014-03-06,598.274
2014-03-07,599.322
2014-03-11,598.273
2014-03-12,597.489
2014-03-13,596.701
2014-03-14,599.949
2014-03-17,598.0
2014-03-18,595.614
2014-03-19,595.447
2014-03-20,595.454
2014-03-21,604.75
2014-03-24,596.579
2014-03-25,595.985
2014-03-26,595.951
2014-03-27,595.981
2014-03-28,596.094
2014-03-31,596.033
2014-04-01,596.033
2014-04-02,585.142
2014-04-03,587.258
2014-04-04,587.269
2014-04-07,583.182
2014-04-08,588.869
2014-04-09,588.978
2014-04-10,588.608
2014-04-11,587.48
2014-04-14,592.269
2014-04-15,590.607
2014-04-16,588.187
2014-04-17,587.748
2014-04-21,588.524
2014-04-22,588.528
2014-04-23,588.383
2014-04-24,587.288
2014-04-25,587.705
2014-04-28,587.788
2014-04-29,587.287
2014-04-30,587.252
2014-05-01,587.252
2014-05-02,585.476
2014-05-05,582.941
2014-05-06,583.056
2014-05-07,589.785
2014-05-08,588.406
2014-05-09,586.154
2014-05-12,587.199
2014-05-13,589.993
2014-05-14,590.917
2014-05-15,590.996
2014-05-16,592.633
2014-05-19,592.327
2014-05-20,593.088
2014-05-21,594.376
2014-05-22,595.022
2014-05-23,594.848
2014-05-27,594.695
2014-05-28,594.368
2014-05-29,594.371
2014-05-30,594.308
2014-06-02,594.308
2014-06-03,597.739
2014-06-04,595.316
2014-06-05,597.124
2014-06-06,595.089
2014-06-09,597.432
2014-06-10,596.62
2014-06-11,598.987
2014-06-12,606.922
2014-06-13,604.502
2014-06-16,606.428
2014-06-17,607.431
2014-06-18,608.305
2014-06-19,610.163
2014-06-20,610.247
2014-06-23,609.956
2014-06-24,609.635
2014-06-25,609.289
2014-06-26,609.243
2014-06-27,608.905
2014-06-30,608.831
2014-07-01,608.831
2014-07-02,603.869
2014-07-03,603.89
2014-07-07,598.668
2014-07-08,594.434
2014-07-09,594.797
2014-07-10,599.551
2014-07-11,593.933
2014-07-14,595.897
2014-07-15,596.378
2014-07-16,597.294
2014-07-17,598.081
2014-07-18,598.25
2014-07-21,598.046
2014-07-22,596.408
2014-07-23,596.437
2014-07-24,597.444
2014-07-25,597.179
2014-07-28,597.179
2014-07-29,597.435
2014-07-30,597.51
2014-07-31,597.446
2014-08-01,597.446
2014-08-04,593.171
2014-08-05,589.33
2014-08-06,587.854
2014-08-07,592.287
2014-08-08,589.876
2014-08-11,588.869
2014-08-12,585.323
2014-08-13,590.897
2014-08-14,583.434
2014-08-15,588.432
2014-08-18,586.532
2014-08-19,586.437
2014-08-20,588.187
2014-08-21,588.189
2014-08-22,586.851
2014-08-25,587.92
2014-08-26,587.169
2014-08-27,588.112
2014-08-28,587.927
2014-08-29,587.914
2014-09-02,587.914
2014-09-03,584.33
2014-09-04,579.338
2014-09-05,577.954
2014-09-08,579.02
2014-09-09,574.918
2014-09-10,576.405
2014-09-11,577.494
2014-09-12,573.163
2014-09-15,571.6
2014-09-16,572.957
2014-09-17,572.838
2014-09-18,571.358
2014-09-19,571.963
2014-09-22,570.321
2014-09-23,570.572
2014-09-24,570.708
2014-09-25,571.148
2014-09-26,570.61
2014-09-29,570.3
2014-09-30,570.49
2014-10-01,570.49
2014-10-02,548.171
2014-10-03,540.037
2014-10-06,539.963
2014-10-07,533.647
2014-10-08,524.929
2014-10-09,517.951
2014-10-10,518.192
2014-10-13,512.942
2014-10-14,496.751
2014-10-15,490.997
2014-10-16,487.985
2014-10-17,496.866
2014-10-20,494.762
2014-10-21,495.636
2014-10-22,492.795
2014-10-23,496.451
2014-10-24,495.197
2014-10-27,494.896
2014-10-28,495.294
2014-10-29,495.93
2014-10-30,495.675
2014-10-31,495.413
2014-11-03,495.413
2014-11-04,461.048
2014-11-05,460.157
2014-11-06,460.923
2014-11-07,464.175
2014-11-10,462.743
2014-11-11,464.104
2014-11-12,461.414
2014-11-13,449.361
2014-11-14,454.224
2014-11-17,452.443
2014-11-18,450.038
2014-11-19,449.019
2014-11-20,451.514
2014-11-21,453.95
2014-11-24,455.505
2014-11-25,453.45
2014-11-26,452.458
2014-11-28,450.453
2014-12-01,450.453
2014-12-02,399.369
2014-12-03,393.577
2014-12-04,391.542
2014-12-05,388.297
2014-12-08,376.046
2014-12-09,377.324
2014-12-10,366.882
2014-12-12,356.965
2014-12-15,353.064
2014-12-16,347.451
2014-12-17,349.861
2014-12-18,346.061
2014-12-19,350.566
2014-12-22,349.587
2014-12-23,350.85
2014-12-24,351.57
2014-12-26,351.57
2015-01-02,294.125
2015-01-05,279.949
2015-01-06,270.212
2015-01-07,272.084
2015-01-08,275.772
2015-01-09,276.452
2015-01-12,268.369
2015-01-13,268.686
2015-01-14,277.078
2015-01-15,269.889
2015-01-16,273.776
2015-01-20,269.362
2015-01-21,271.358
2015-01-22,271.648
2015-01-23,273.235
2015-01-26,272.493
2015-01-27,273.354
2015-01-29,272.676
2015-01-30,272.581
2015-02-02,272.581
2015-02-03,324.297
2015-02-04,307.047
2015-02-05,321.374
2015-02-06,327.794
2015-02-09,330.227
2015-02-10,324.179
2015-02-11,323.987
2015-02-12,334.664
2015-02-13,339.617
2015-02-17,341.44
2015-02-18,337.072
2015-02-19,337.702
2015-02-20,337.488
2015-02-23,333.964
2015-02-24,333.044
2015-02-25,335.112
2015-02-26,334.071
2015-02-27,334.313
2015-03-02,334.313
2015-03-03,339.859
2015-03-04,337.961
2015-03-05,333.465
2015-03-06,331.213
2015-03-10,319.881
2015-03-11,326.679
2015-03-12,322.773
2015-03-13,315.127
2015-03-16,314.528
2015-03-17,314.27
2015-03-18,320.077
2015-03-19,316.677
2015-03-20,316.749
2015-03-23,316.963
2015-03-24,316.002
2015-03-25,317.154
2015-03-26,319.622
2015-03-27,317.183
2015-03-30,316.982
2015-03-31,316.258
2015-04-01,316.258
2015-04-02,316.258
2015-04-06,324.376
2015-04-07,325.327
2015-04-08,310.644
2015-04-09,316.759
2015-04-10,316.96
2015-04-13,323.02
2015-04-14,328.327
2015-04-15,337.709
2015-04-16,338.493
2015-04-17,335.459
2015-04-20,334.962
2015-04-21,333.062
2015-04-22,334.296
2015-04-23,336.859
2015-04-24,335.784
2015-04-27,336.317
2015-04-28,335.708
2015-04-29,335.802
2015-04-30,335.663
2015-05-01,335.663
2015-05-04,369.69
2015-05-05,379.302
2015-05-06,382.98
2015-05-07,372.891
2015-05-08,376.452
