Date,Settle
2014-02-18,58.01
2014-02-19,57.59
2014-02-20,57.09
2014-02-21,56.09
2014-02-24,54.3
2014-02-25,54.44
2014-02-26,55.02
2014-02-27,55.94
2014-02-28,55.94
2014-03-03,55.94
2014-03-04,55.94
2014-03-05,55.94
2014-03-06,55.94
2014-03-07,60.27
2014-03-10,59.01
2014-03-11,58.6
2014-03-12,58.83
2014-03-13,58.88
2014-03-14,57.89
2014-03-17,57.03
2014-03-18,56.65
2014-03-19,56.24
2014-03-20,55.85
2014-03-21,54.63
2014-03-24,53.54
2014-03-25,53.9
2014-03-26,54.25
2014-03-27,53.58
2014-03-28,52.57
2014-03-31,51.06
2014-04-01,51.06
2014-04-02,51.06
2014-04-03,51.06
2014-04-04,51.06
2014-04-07,39.84
2014-04-08,39.67
2014-04-09,39.47
2014-04-10,39.2
2014-04-11,38.73
2014-04-14,37.92
2014-04-15,37.95
2014-04-16,37.89
2014-04-17,37.77
2014-04-21,36.32
2014-04-22,36.14
2014-04-23,36.04
2014-04-24,35.88
2014-04-25,35.7
2014-04-28,34.92
2014-04-29,34.76
2014-04-30,34.76
2014-05-01,34.76
2014-05-02,34.76
2014-05-05,34.76
2014-05-06,35.06
2014-05-07,35.01
2014-05-08,34.96
2014-05-09,35.21
2014-05-12,35.05
2014-05-13,34.95
2014-05-14,34.84
2014-05-15,34.77
2014-05-16,34.77
2014-05-19,34.45
2014-05-20,34.37
2014-05-21,34.34
2014-05-22,34.25
2014-05-23,34.09
2014-05-27,34.12
2014-05-28,34.0
2014-05-29,33.88
2014-05-30,33.75
2014-06-02,33.75
2014-06-03,33.75
2014-06-04,33.75
2014-06-05,33.75
2014-06-06,34.98
2014-06-09,34.36
2014-06-10,34.21
2014-06-11,34.04
2014-06-12,33.82
2014-06-13,33.42
2014-06-16,32.53
2014-06-17,32.46
2014-06-18,32.34
2014-06-19,32.15
2014-06-20,31.87
2014-06-23,31.26
2014-06-24,31.1
2014-06-25,30.98
2014-06-26,30.83
2014-06-27,30.76
2014-06-30,30.35
2014-07-01,30.35
2014-07-02,30.35
2014-07-03,30.35
2014-07-07,30.35
2014-07-08,40.29
2014-07-09,39.9
2014-07-10,39.47
2014-07-11,38.89
2014-07-14,37.6
