Date,Settle
2014-02-18,5.531
2014-02-19,6.046
2014-02-20,6.057
2014-02-21,6.243
2014-02-24,5.712
2014-02-25,5.486
2014-02-26,5.398
2014-02-27,5.37
2014-02-28,5.405
2014-03-03,5.31
2014-03-04,5.31
2014-03-06,4.763
2014-03-07,4.673
2014-03-11,4.697
2014-03-12,4.572
2014-03-13,4.448
2014-03-14,4.491
2014-03-17,4.608
2014-03-18,4.535
2014-03-19,4.588
2014-03-20,4.507
2014-03-21,4.483
2014-03-24,4.446
2014-03-25,4.595
2014-03-26,4.557
2014-03-27,4.564
2014-03-28,4.564
2014-03-31,4.554
2014-04-01,4.52
2014-04-02,4.528
2014-04-03,4.613
2014-04-04,4.578
2014-04-07,4.61
2014-04-08,4.678
2014-04-09,4.716
2014-04-10,4.777
2014-04-11,4.738
2014-04-14,4.674
2014-04-15,4.674
2014-04-16,4.638
2014-04-17,4.821
2014-04-21,4.76
2014-04-22,4.8
2014-04-23,4.781
2014-04-24,4.758
2014-04-25,4.719
2014-04-28,4.738
2014-04-29,4.735
2014-04-30,4.735
2014-05-01,4.73
2014-05-02,4.77
2014-05-05,4.798
2014-05-06,4.908
2014-05-07,4.85
2014-05-08,4.691
2014-05-09,4.657
2014-05-12,4.563
2014-05-13,4.48
2014-05-14,4.492
2014-05-15,4.617
2014-05-16,4.549
2014-05-19,4.582
2014-05-20,4.664
2014-05-21,4.59
2014-05-22,4.478
2014-05-23,4.513
2014-05-27,4.571
2014-05-28,4.589
2014-05-29,4.557
2014-05-30,4.557
2014-06-02,4.56
2014-06-03,4.863
2014-06-04,4.876
2014-06-05,4.931
2014-06-06,4.926
2014-06-09,4.844
2014-06-10,4.725
2014-06-11,4.718
2014-06-12,4.967
2014-06-13,4.934
2014-06-16,4.897
2014-06-17,4.895
2014-06-18,4.843
2014-06-19,4.819
2014-06-20,4.725
2014-06-23,4.664
2014-06-24,4.728
2014-06-25,4.728
2014-06-26,4.678
2014-06-27,4.68
2014-06-30,4.68
2014-07-01,4.68
2014-07-02,4.657
2014-07-03,4.704
2014-07-07,4.532
2014-07-08,4.517
2014-07-09,4.488
2014-07-10,4.438
2014-07-11,4.468
2014-07-14,4.472
2014-07-15,4.445
2014-07-16,4.463
2014-07-17,4.291
2014-07-18,4.294
2014-07-21,4.211
2014-07-22,4.137
2014-07-23,4.114
2014-07-24,4.184
2014-07-25,4.101
2014-07-28,4.094
2014-07-29,4.13
2014-07-30,4.13
2014-07-31,4.128
2014-08-01,4.14
2014-08-04,4.179
2014-08-05,4.229
2014-08-06,4.245
2014-08-07,4.158
2014-08-08,4.224
2014-08-11,4.199
2014-08-12,4.222
2014-08-13,4.092
2014-08-14,4.158
2014-08-15,4.027
2014-08-18,4.029
2014-08-19,4.117
2014-08-20,4.067
2014-08-21,4.14
2014-08-22,4.091
2014-08-25,4.205
2014-08-26,4.203
2014-08-27,4.235
2014-08-28,4.235
2014-08-29,4.235
2014-09-02,4.24
2014-09-03,4.007
2014-09-04,3.985
2014-09-05,3.961
2014-09-08,4.054
2014-09-09,4.169
2014-09-10,4.132
2014-09-11,3.998
2014-09-12,4.033
2014-09-15,4.114
2014-09-16,4.182
2014-09-17,4.206
2014-09-18,4.101
2014-09-19,4.027
2014-09-22,4.044
2014-09-23,4.007
2014-09-24,4.064
2014-09-25,4.078
2014-09-26,4.034
2014-09-29,4.03
2014-09-30,4.03
2014-10-01,4.0
2014-10-02,4.098
2014-10-03,4.192
2014-10-06,4.039
2014-10-07,4.099
2014-10-08,3.993
2014-10-09,3.981
2014-10-10,3.99
2014-10-13,4.038
2014-10-14,3.938
2014-10-15,3.914
2014-10-16,3.9
2014-10-17,3.861
2014-10-20,3.755
2014-10-21,3.79
2014-10-22,3.728
2014-10-23,3.687
2014-10-24,3.68
2014-10-27,3.611
2014-10-28,3.664
2014-10-29,3.698
2014-10-30,3.698
2014-10-31,3.698
2014-11-03,3.67
2014-11-04,4.229
2014-11-05,0.4337
2014-11-06,4.538
2014-11-07,4.51
2014-11-10,4.44
