Date,Settle
2013-09-09,14639.0
2013-09-10,14849.0
2013-09-11,14863.0
2013-09-12,14822.0
2013-09-13,14823.0
2013-09-16,14989.0
2013-09-17,14928.0
2013-09-18,14990.0
2013-09-19,15048.0
2013-09-20,15066.25
2013-09-23,14947.0
2013-09-24,14987.0
2013-09-25,14989.0
2013-09-26,15019.0
2013-09-27,15071.0
2013-09-30,15000.0
2013-10-01,15160.0
2013-10-02,15121.0
2013-10-03,15098.0
2013-10-04,15125.0
2013-10-08,15094.0
2013-10-10,15147.0
2013-10-11,15218.0
2013-10-14,15222.0
2013-10-15,15435.0
2013-10-16,15444.0
2013-10-17,15452.0
2013-10-18,15687.0
2013-10-21,15787.0
2013-10-22,15815.0
2013-10-23,15750.0
2013-10-24,15838.0
2013-10-25,15844.0
2013-10-28,15817.0
2013-10-29,15851.0
2013-10-30,15928.0
2013-10-31,15972.0
2013-11-01,15989.0
2013-11-04,16087.0
2013-11-05,16074.0
2013-11-06,16195.0
2013-11-07,16120.0
2013-11-08,16050.0
2013-11-11,16201.0
2013-11-12,16048.0
2013-11-13,15910.0
2013-11-14,16084.0
2013-11-15,16088.0
2013-11-18,16226.0
2013-11-19,16205.0
2013-11-20,16173.0
2013-11-21,16096.0
2013-11-22,16149.0
2013-11-25,16222.0
2013-11-26,16200.0
2013-11-27,16246.0
2013-11-28,16283.0
2013-11-29,16332.0
2013-12-02,16391.0
2013-12-03,16077.0
2013-12-04,15948.0
2013-12-05,15890.0
2013-12-06,15961.0
2013-12-09,16063.0
2013-12-10,15973.0
2013-12-11,16020.0
2013-12-12,15910.0
2013-12-13,15914.0
2013-12-16,16074.0
2013-12-17,16092.0
2013-12-18,16133.0
2013-12-19,16278.0
2013-12-20,16298.4
2013-12-23,16488.0
2013-12-24,16488.0
2013-12-27,16616.0
2013-12-30,16635.0
2014-01-02,16518.0
2014-01-03,16602.0
2014-01-06,16569.0
2014-01-07,16587.0
2014-01-08,16605.0
2014-01-09,16540.0
2014-01-13,16762.0
2014-01-14,16706.0
2014-01-15,16897.0
2014-01-16,16949.0
2014-01-17,16938.0
2014-01-18,16938.0
2014-01-21,16890.0
2014-01-22,16878.0
2014-01-23,16734.0
2014-01-24,16288.0
2014-01-27,16153.0
2014-01-28,16402.0
2014-01-29,16298.0
2014-01-30,16289.0
2014-01-31,16207.0
2014-02-03,16017.0
2014-02-04,16031.0
2014-02-05,16080.0
2014-02-06,16343.0
2014-02-07,16409.0
2014-02-08,16343.0
2014-02-09,16343.0
2014-02-10,16383.0
2014-02-11,16555.0
2014-02-12,16637.0
2014-02-13,16636.0
2014-02-14,16743.0
2014-02-15,16343.0
2014-02-16,16343.0
2014-02-17,16884.0
2014-02-18,16849.0
2014-02-19,16847.0
2014-02-20,16755.0
2014-02-21,16817.0
2014-02-22,16343.0
2014-02-23,16343.0
2014-02-24,16927.0
2014-02-25,16908.0
2014-02-26,16875.0
2014-02-27,16827.0
2014-02-28,16855.0
2014-03-01,16343.0
2014-03-02,16343.0
2014-03-03,16466.0
2014-03-04,16823.0
