Date,Settle
2013-09-09,73.75
2013-09-10,73.95
2013-09-11,74.35
2013-09-12,73.85
2013-09-13,74.56
2013-09-16,73.66
2013-09-17,73.08
2013-09-18,73.33
2013-09-19,73.46
2013-09-20,73.46
2013-09-23,73.46
2013-09-24,73.46
2013-09-25,73.46
2013-09-26,73.46
2013-09-27,73.46
2013-09-30,73.52
2013-10-01,72.43
2013-10-02,72.83
2013-10-03,73.25
2013-10-04,73.28
2013-10-08,73.21
2013-10-10,73.26
2013-10-11,72.9
2013-10-14,73.07
2013-10-15,73.02
2013-10-16,72.92
2013-10-17,73.4
2013-10-18,73.96
2013-10-21,73.85
2013-10-22,73.85
2013-10-23,74.25
2013-10-24,73.47
2013-10-25,73.29
2013-10-28,72.11
2013-10-29,71.82
2013-10-30,71.76
2013-10-31,71.38
2013-11-01,71.0
2013-11-04,70.68
2013-11-05,70.33
2013-11-06,70.28
2013-11-07,70.27
2013-11-08,70.19
2013-11-11,71.35
2013-11-12,71.43
2013-11-13,71.16
2013-11-14,71.14
2013-11-15,70.52
2013-11-18,70.32
2013-11-19,69.87
2013-11-20,70.0
2013-11-21,70.25
2013-11-22,70.52
2013-11-25,70.67
2013-11-26,70.77
2013-11-27,71.03
2013-11-28,70.74
2013-11-29,71.14
2013-12-02,70.62
2013-12-03,70.79
2013-12-04,70.89
2013-12-05,70.38
2013-12-06,70.32
2013-12-09,70.75
2013-12-10,71.19
2013-12-11,71.02
2013-12-12,70.19
2013-12-13,70.16
2013-12-16,70.3
2013-12-17,70.3
2013-12-18,70.3
2013-12-19,70.3
2013-12-20,70.3
2013-12-23,70.3
2013-12-24,70.3
2013-12-27,70.295
2013-12-30,69.94
2014-01-02,68.93
2014-01-03,68.69
2014-01-06,69.15
2014-01-07,69.37
2014-01-08,68.59
2014-01-09,67.98
2014-01-13,68.72
2014-01-14,68.72
2014-01-15,68.78
2014-01-16,69.14
2014-01-17,68.49
2014-01-18,68.49
2014-01-20,68.68
2014-01-21,68.17
2014-01-22,67.89
2014-01-23,68.54
2014-01-24,67.94
2014-01-27,68.16
2014-01-28,68.19
2014-01-29,67.57
2014-01-30,68.21
2014-01-31,68.64
2014-02-03,69.82
2014-02-04,70.83
2014-02-05,71.18
2014-02-06,71.63
2014-02-07,71.51
2014-02-08,71.63
2014-02-09,71.63
2014-02-10,71.58
2014-02-11,71.33
2014-02-12,71.87
2014-02-13,71.92
2014-02-14,71.94
2014-02-15,71.63
2014-02-16,71.63
2014-02-17,72.13
2014-02-18,73.53
2014-02-19,74.38
2014-02-20,74.61
2014-02-21,74.81
2014-02-22,71.63
2014-02-23,71.63
2014-02-24,76.13
2014-02-25,76.39
2014-02-26,76.27
2014-02-27,77.06
2014-02-28,76.28
2014-03-01,71.63
2014-03-02,71.63
2014-03-03,78.43
2014-03-04,78.44
2014-03-05,79.24
2014-03-06,79.96
2014-03-07,80.63
2014-03-10,80.6
2014-03-11,80.11
2014-03-12,80.19
2014-03-13,80.16
2014-03-14,79.18
2014-03-17,79.04
2014-03-18,79.61
2014-03-19,80.3
2014-03-20,80.19
2014-03-21,80.19
2014-03-24,80.19
2014-03-25,80.19
2014-03-26,80.19
2014-03-27,80.19
2014-03-29,80.07
2014-03-31,79.03
2014-04-01,80.68
2014-04-02,79.66
2014-04-03,79.39
2014-04-04,79.84
2014-04-07,80.45
2014-04-08,81.01
2014-04-09,81.66
2014-04-10,80.93
2014-04-11,80.69
2014-04-14,81.35
2014-04-15,81.49
2014-04-16,82.01
2014-04-17,81.42
2014-04-22,81.24
2014-04-23,81.97
2014-04-24,82.38
2014-04-25,82.75
2014-04-28,82.51
2014-04-29,82.98
2014-04-30,83.22
2014-05-02,81.66
2014-05-05,82.38
2014-05-06,82.03
2014-05-07,82.0
2014-05-08,81.91
2014-05-09,81.66
2014-05-12,80.65
2014-05-13,81.05
2014-05-14,80.69
2014-05-15,80.64
2014-05-16,79.87
2014-05-19,78.97
2014-05-20,79.43
2014-05-21,78.86
2014-05-22,79.25
2014-05-23,79.14
2014-05-26,79.14
2014-05-27,77.99
2014-05-28,77.25
2014-05-29,78.1
2014-05-30,77.78
2014-06-02,77.16
2014-06-03,76.3
2014-06-04,76.44
2014-06-05,75.77
2014-06-06,75.91
2014-06-09,75.48
2014-06-10,75.35
2014-06-11,75.34
2014-06-12,74.52
2014-06-13,75.38
2014-06-16,75.1
2014-06-17,74.1
2014-06-18,74.81
2014-06-19,74.81
2014-06-20,74.81
2014-06-23,74.81
2014-06-24,74.81
2014-06-25,74.81
2014-06-26,74.81
2014-06-27,75.86
2014-06-30,74.93
2014-07-01,71.5
2014-07-02,71.53
2014-07-03,71.52
2014-07-04,71.45
2014-07-07,69.97
2014-07-08,70.23
2014-07-09,69.43
2014-07-10,68.47
2014-07-11,67.77
2014-07-14,67.52
2014-07-15,67.03
2014-07-16,67.73
2014-07-17,67.65
2014-07-18,67.55
2014-07-21,67.13
2014-07-22,66.63
2014-07-23,66.51
2014-07-24,67.27
2014-07-25,67.2
2014-07-28,67.75
2014-07-29,67.12
2014-07-30,67.08
2014-07-31,67.28
2014-08-01,67.27
2014-08-04,67.01
2014-08-05,66.83
2014-08-06,67.53
2014-08-07,67.13
2014-08-08,66.56
2014-08-11,66.75
2014-08-12,65.97
2014-08-13,66.01
2014-08-14,66.0
2014-08-15,66.45
2014-08-18,66.22
2014-08-19,65.55
2014-08-20,65.3
2014-08-21,65.8
2014-08-22,65.9
2014-08-25,65.22
2014-08-26,65.05
2014-08-27,65.7
2014-08-28,66.1
2014-08-29,65.6
2014-09-01,65.75
2014-09-02,66.13
2014-09-03,64.9
2014-09-04,64.05
2014-09-05,64.18
2014-09-08,63.88
2014-09-09,63.2
2014-09-10,62.83
2014-09-11,61.93
2014-09-12,61.55
2014-09-15,61.5
2014-09-16,61.35
2014-09-17,61.15
2014-09-18,60.96
2014-09-19,61.6
2014-09-22,61.6
2014-09-23,61.6
2014-09-24,61.6
2014-09-25,61.6
2014-09-26,59.43
2014-09-29,59.66
2014-09-30,59.93
2014-10-01,59.63
2014-10-02,60.24
2014-10-03,60.47
2014-10-06,61.96
2014-10-07,63.25
2014-10-08,62.38
2014-10-09,62.8
2014-10-10,62.5
2014-10-13,62.56
2014-10-14,63.25
2014-10-15,63.35
2014-10-16,63.53
2014-10-17,63.28
2014-10-20,62.05
2014-10-21,62.4
2014-10-22,62.78
2014-10-23,62.78
2014-10-27,62.75
2014-10-28,63.75
2014-10-29,64.5
2014-10-30,64.85
2014-10-31,64.33
2014-11-03,64.38
2014-11-04,63.4
2014-11-05,62.78
2014-11-06,63.4
2014-11-07,63.0
2014-11-10,63.68
2014-11-11,63.63
2014-11-12,64.8
2014-11-13,65.06
2014-11-14,64.9
2014-11-17,63.72
2014-11-19,63.43
2014-11-20,63.83
2014-11-21,64.33
2014-11-24,64.15
2014-11-25,64.58
2014-11-26,64.85
2014-11-27,65.13
2014-11-28,64.58
2014-12-01,63.75
2014-12-02,63.9
2014-12-03,62.95
2014-12-04,63.38
2014-12-05,63.73
2014-12-08,64.5
2014-12-09,63.93
2014-12-10,64.15
2014-12-11,63.98
