Date,Settle
2013-09-09,2576.0
2013-09-10,2630.8
2013-09-11,2656.3
2013-09-12,2659.5
2013-09-13,2663.6
2013-09-16,2674.0
2013-09-17,2668.3
2013-09-18,2680.8
2013-09-19,2689.6
2013-09-20,2692.82
2013-09-23,2666.7
2013-09-24,2663.3
2013-09-25,2647.0
2013-09-26,2654.5
2013-09-27,2664.6
2013-09-30,2630.4
2013-10-01,2658.9
2013-10-02,2644.3
2013-10-03,2636.4
2013-10-04,2621.2
2013-10-08,2598.4
2013-10-10,2631.5
2013-10-11,2624.4
2013-10-14,2619.4
2013-10-15,2659.8
2013-10-16,2676.6
2013-10-17,2670.8
2013-10-18,2691.3
2013-10-21,2704.4
2013-10-22,2693.0
2013-10-23,2679.6
2013-10-24,2684.9
2013-10-25,2681.3
2013-10-28,2676.7
2013-10-29,2715.6
2013-10-30,2748.7
2013-10-31,2743.2
2013-11-01,2751.3
2013-11-04,2781.8
2013-11-05,2780.2
2013-11-06,2811.3
2013-11-07,2811.9
2013-11-08,2805.0
2013-11-11,2820.4
2013-11-12,2786.0
2013-11-13,2773.5
2013-11-14,2795.1
2013-11-15,2810.3
2013-11-18,2833.7
2013-11-19,2810.6
2013-11-20,2818.9
2013-11-21,2827.9
2013-11-22,2831.4
2013-11-25,2843.3
2013-11-26,2831.3
2013-11-27,2844.0
2013-11-28,2843.7
2013-11-29,2818.6
2013-12-02,2808.4
2013-12-03,2740.8
2013-12-04,2724.9
2013-12-05,2717.6
2013-12-06,2717.6
2013-12-09,2742.6
2013-12-10,2716.2
2013-12-11,2706.2
2013-12-12,2676.1
2013-12-13,2667.8
2013-12-16,2688.0
2013-12-17,2671.7
2013-12-18,2696.5
2013-12-19,2748.1
2013-12-20,2771.87
2013-12-23,2772.9
2013-12-24,2772.9
2013-12-27,2824.9
2013-12-30,2813.1
2014-01-02,2782.7
2014-01-03,2804.8
2014-01-06,2804.8
2014-01-07,2800.1
2014-01-08,2796.5
2014-01-09,2820.6
2014-01-13,2853.0
2014-01-14,2838.7
2014-01-15,2867.3
2014-01-16,2866.7
2014-01-17,2869.5
2014-01-18,2869.5
2014-01-20,2873.0
2014-01-21,2850.3
2014-01-22,2870.6
2014-01-23,2827.7
2014-01-24,2774.6
2014-01-27,2738.2
2014-01-28,2759.3
2014-01-29,2751.7
2014-01-30,2737.9
2014-01-31,2691.8
2014-02-03,2666.0
2014-02-04,2691.6
2014-02-05,2705.4
2014-02-06,2783.1
2014-02-07,2806.0
2014-02-08,2783.1
2014-02-09,2783.1
2014-02-10,2827.1
2014-02-11,2864.8
2014-02-12,2862.5
2014-02-13,2857.9
2014-02-14,2862.4
2014-02-15,2783.1
2014-02-16,2783.1
2014-02-17,2872.9
2014-02-18,2873.2
2014-02-19,2876.4
2014-02-20,2881.1
2014-02-21,2897.0
2014-02-22,2783.1
2014-02-23,2783.1
2014-02-24,2910.4
2014-02-25,2927.0
2014-02-26,2902.3
2014-02-27,2906.7
2014-02-28,2900.5
2014-03-01,2783.1
2014-03-02,2783.1
2014-03-03,2818.9
2014-03-04,2889.4
2014-03-05,2889.5
2014-03-06,2907.4
2014-03-07,2873.8
2014-03-10,2852.8
2014-03-11,2854.5
2014-03-12,2804.6
2014-03-13,2760.0
2014-03-14,2767.7
2014-03-17,2805.9
2014-03-18,2833.1
2014-03-19,2813.6
2014-03-20,2782.8
2014-03-21,2695.9
2014-03-24,2654.3
2014-03-25,2699.3
2014-03-26,2737.8
2014-03-27,2724.5
2014-03-28,2754.4
2014-03-31,2775.5
2014-04-01,2827.9
2014-04-02,2837.1
2014-04-03,2833.9
2014-04-04,2841.3
2014-04-07,2807.8
2014-04-08,2810.0
2014-04-09,2839.8
2014-04-10,2810.1
2014-04-11,2766.1
2014-04-14,2749.2
2014-04-15,2717.5
2014-04-16,2752.8
2014-04-17,2763.4
2014-04-22,2816.5
2014-04-23,2825.0
2014-04-24,2825.4
2014-04-25,2807.4
2014-04-28,2789.0
2014-04-29,2844.2
2014-04-30,2838.4
2014-05-02,2835.8
2014-05-05,2835.6
2014-05-06,2825.2
2014-05-07,2839.4
2014-05-08,2863.1
2014-05-09,2872.7
2014-05-12,2895.8
2014-05-13,2928.0
2014-05-14,2915.8
2014-05-15,2881.0
2014-05-16,2864.2
2014-05-19,2890.1
2014-05-20,2912.6
2014-05-21,2929.5
2014-05-22,2946.0
2014-05-23,2953.3
2014-05-26,2967.1
2014-05-27,2960.0
2014-05-28,2944.4
2014-05-29,2944.4
2014-05-30,2952.8
2014-06-02,2971.8
2014-06-03,2944.9
2014-06-04,2947.6
2014-06-05,2964.8
2014-06-06,2986.6
2014-06-09,2994.8
2014-06-10,2997.2
2014-06-11,2977.9
2014-06-12,2984.9
2014-06-13,2973.9
2014-06-16,2969.0
2014-06-17,2969.7
2014-06-18,2989.2
2014-06-19,3000.3
2014-06-20,3000.3
2014-06-23,3009.8
2014-06-24,2974.2
2014-06-25,2933.8
2014-06-26,2943.2
2014-06-27,2938.0
2014-06-30,2922.2
2014-07-01,2929.3
2014-07-02,2945.2
2014-07-03,2981.7
2014-07-04,2964.6
2014-07-07,2947.8
2014-07-08,2905.6
2014-07-09,2909.0
2014-07-10,2874.5
2014-07-11,2870.1
2014-07-14,2922.0
2014-07-15,2902.4
2014-07-16,2947.4
2014-07-17,2929.7
2014-07-18,2935.4
2014-07-21,2956.6
2014-07-22,2956.5
2014-07-23,2976.1
2014-07-24,2993.8
2014-07-25,2984.2
2014-07-28,2973.3
2014-07-29,2967.8
2014-07-30,2961.8
2014-07-31,2921.6
2014-08-01,2895.9
2014-08-04,2911.4
2014-08-05,2892.9
2014-08-06,2854.0
2014-08-07,2843.3
2014-08-08,2793.1
2014-08-11,2842.2
2014-08-12,2843.6
2014-08-13,2850.4
2014-08-14,2854.0
2014-08-15,2899.6
2014-08-18,2877.8
2014-08-19,2913.4
2014-08-20,2923.7
2014-08-21,2948.8
2014-08-22,2934.1
2014-08-25,2950.2
2014-08-26,2958.5
2014-08-27,2966.8
2014-08-28,2925.3
2014-08-29,2933.0
2014-09-01,2933.1
2014-09-02,2950.8
2014-09-03,2975.5
2014-09-04,3010.3
2014-09-05,3001.3
2014-09-08,3005.9
2014-09-09,2980.3
2014-09-10,2958.1
2014-09-11,2944.0
2014-09-12,2938.8
2014-09-15,2935.8
2014-09-16,2920.5
2014-09-17,2942.2
2014-09-18,2950.9
2014-09-19,2975.0
2014-09-22,2973.4
2014-09-23,2938.1
2014-09-24,2947.1
2014-09-25,2934.2
2014-09-26,2935.2
2014-09-29,2920.1
2014-09-30,2939.3
2014-10-01,2900.0
2014-10-02,2847.0
2014-10-03,2874.9
2014-10-06,2908.7
2014-10-07,2854.7
2014-10-08,2820.8
2014-10-09,2804.5
2014-10-10,2763.0
2014-10-13,2760.4
2014-10-14,2772.1
2014-10-15,2686.5
2014-10-16,2689.4
2014-10-17,2773.8
2014-10-20,2759.1
2014-10-21,2814.5
2014-10-22,2868.5
2014-10-23,2868.5
2014-10-24,2840.1
2014-10-27,2830.6
2014-10-28,2883.7
2014-10-29,2879.0
2014-10-30,2892.5
2014-10-31,2928.3
2014-11-03,2909.7
2014-11-04,2885.7
2014-11-05,2926.5
2014-11-06,2930.3
2014-11-07,2896.5
2014-11-10,2927.3
2014-11-11,2936.0
2014-11-12,2897.3
2014-11-13,2923.9
2014-11-14,2915.6
2014-11-17,2913.3
2014-11-19,2941.6
2014-11-20,2942.2
2014-11-21,3020.7
2014-11-24,3060.8
2014-11-25,3070.2
2014-11-26,3068.5
2014-11-27,3074.7
2014-11-28,3041.7
2014-12-01,3028.4
2014-12-02,3033.9
2014-12-03,3048.7
2014-12-04,3036.4
2014-12-05,3085.7
2014-12-08,3066.6
2014-12-09,3016.2
2014-12-10,3005.8
2014-12-11,2997.6
2014-12-12,2928.4
2014-12-15,2858.6
2014-12-16,2895.0
2014-12-17,2906.7
2014-12-18,2985.9
2014-12-19,2950.0
2014-12-22,2976.4
2014-12-23,3002.4
2014-12-24,3002.4
2014-12-29,3000.0
2014-12-30,2964.7
2014-12-31,2964.7
2015-01-02,2979.3
2015-01-05,2919.2
2015-01-06,2919.2
2015-01-07,2900.1
2015-01-08,2955.4
2015-01-09,2940.8
2015-01-12,2946.7
2015-01-13,2976.2
2015-01-14,2930.0
2015-01-15,2972.6
2015-01-16,3025.8
