Date,Settle
2013-09-09,337.9
2013-09-10,342.4
2013-09-11,346.3
2013-09-12,349.1
2013-09-13,347.6
2013-09-16,354.8
2013-09-17,356.9
2013-09-18,353.2
2013-09-19,367.7
2013-09-20,361.1
2013-09-23,360.64
2013-09-24,358.7
2013-09-25,360.4
2013-09-26,356.6
2013-09-27,353.5
2013-09-30,351.5
2013-10-01,354.5
2013-10-02,354.5
2013-10-03,354.5
2013-10-04,357.6
2013-10-08,357.6
2013-10-10,363.1
2013-10-11,363.8
2013-10-14,363.0
2013-10-15,367.6
2013-10-16,371.0
2013-10-17,371.0
2013-10-18,374.1
2013-10-21,375.3
2013-10-22,379.4
2013-10-23,373.7
2013-10-24,373.5
2013-10-25,372.2
2013-10-28,373.5
2013-10-29,373.1
2013-10-30,374.4
2013-10-31,368.6
2013-11-01,363.2
2013-11-04,364.4
2013-11-05,359.2
2013-11-06,361.2
2013-11-07,360.6
2013-11-08,353.7
2013-11-11,349.7
2013-11-12,351.8
2013-11-13,346.8
2013-11-14,353.6
2013-11-15,357.3
2013-11-18,364.2
2013-11-19,360.1
2013-11-20,362.9
2013-11-21,357.8
2013-11-22,356.2
2013-11-25,357.4
2013-11-26,351.6
2013-11-27,352.8
2013-11-28,352.7
2013-11-29,356.2
2013-12-02,352.7
2013-12-03,347.1
2013-12-04,338.7
2013-12-05,343.7
2013-12-06,348.5
2013-12-09,351.4
2013-12-10,351.3
2013-12-11,350.1
2013-12-12,343.8
2013-12-13,345.5
2013-12-16,345.9
2013-12-17,344.2
2013-12-18,344.7
2013-12-19,344.8
2013-12-20,346.8
2013-12-23,348.547
2013-12-24,354.6
2013-12-27,352.2
2013-12-30,352.7
2014-01-02,351.7
2014-01-03,347.2
2014-01-06,342.2
2014-01-07,344.3
2014-01-08,341.8
2014-01-09,336.4
2014-01-13,344.3
2014-01-14,340.2
2014-01-15,341.2
2014-01-16,341.8
2014-01-17,340.0
2014-01-18,340.0
2014-01-20,340.0
2014-01-21,341.0
2014-01-22,342.3
2014-01-23,339.9
2014-01-24,330.7
2014-01-27,324.5
2014-01-28,325.1
2014-01-29,324.7
2014-01-30,321.7
2014-01-31,319.4
2014-02-03,317.7
2014-02-04,317.3
2014-02-05,319.2
2014-02-06,325.3
2014-02-07,326.6
2014-02-08,325.3
2014-02-09,325.3
2014-02-10,327.7
2014-02-11,327.4
2014-02-12,334.1
2014-02-13,327.5
2014-02-14,335.8
2014-02-15,325.3
2014-02-16,325.3
2014-02-17,340.1
2014-02-18,338.7
2014-02-19,334.4
2014-02-20,331.1
2014-02-21,335.6
2014-02-22,325.3
2014-02-23,325.3
2014-02-24,339.0
2014-02-25,336.2
2014-02-26,331.3
2014-02-27,332.4
2014-02-28,334.9
2014-03-01,325.3
2014-03-02,325.3
2014-03-03,316.4
2014-03-04,327.9
2014-03-05,329.0
2014-03-06,331.9
2014-03-07,329.6
2014-03-10,326.8
2014-03-11,324.6
2014-03-12,321.2
2014-03-13,317.8
2014-03-14,318.8
2014-03-17,324.6
2014-03-18,331.7
2014-03-19,328.2
2014-03-20,323.2
2014-03-21,323.2
2014-03-24,323.7
2014-03-25,330.9
2014-03-26,337.7
2014-03-27,335.6
2014-03-28,340.7
2014-03-31,345.5
2014-04-01,347.7
2014-04-02,345.8
2014-04-03,343.1
2014-04-04,347.5
2014-04-07,342.6
2014-04-08,347.1
2014-04-09,345.4
2014-04-10,351.0
2014-04-11,345.6
2014-04-14,341.7
2014-04-15,334.8
2014-04-16,337.1
2014-04-17,342.2
2014-04-22,343.3
2014-04-23,341.0
2014-04-24,338.6
2014-04-25,335.2
2014-04-28,337.6
2014-04-29,339.5
2014-04-30,340.6
2014-05-02,343.2
2014-05-05,340.7
2014-05-06,344.6
2014-05-07,350.5
2014-05-08,355.7
2014-05-09,350.9
2014-05-12,352.4
2014-05-13,356.4
2014-05-14,359.3
2014-05-15,352.6
2014-05-16,354.8
2014-05-19,358.5
2014-05-20,357.9
2014-05-21,360.9
2014-05-22,364.0
2014-05-23,368.0
2014-05-26,367.8
2014-05-27,361.4
2014-05-28,360.3
2014-05-29,363.0
2014-05-30,361.0
2014-06-02,358.9
2014-06-03,356.9
2014-06-04,357.5
2014-06-05,360.6
2014-06-06,362.2
2014-06-09,365.6
2014-06-10,365.7
2014-06-11,363.8
2014-06-12,365.5
2014-06-13,365.5
2014-06-16,361.9
2014-06-17,359.4
2014-06-18,360.2
2014-06-19,366.6
2014-06-20,364.1
2014-06-23,364.8
2014-06-24,369.4
2014-06-25,363.6
2014-06-26,362.4
2014-06-27,362.2
2014-06-30,360.9
2014-07-01,361.6
2014-07-02,364.2
2014-07-03,363.7
2014-07-04,363.4
2014-07-07,364.8
2014-07-08,365.6
2014-07-09,366.9
2014-07-10,362.2
2014-07-11,364.5
2014-07-14,365.4
2014-07-15,366.1
2014-07-16,369.2
2014-07-17,362.9
2014-07-18,362.3
2014-07-21,357.3
2014-07-22,363.0
2014-07-23,364.5
2014-07-24,365.4
2014-07-25,361.9
2014-07-28,362.7
2014-07-29,361.4
2014-07-30,356.5
2014-07-31,352.9
2014-08-01,353.8
2014-08-04,355.3
2014-08-05,352.6
2014-08-06,345.7
2014-08-07,344.5
2014-08-08,347.6
2014-08-11,354.2
2014-08-12,354.2
2014-08-13,358.0
2014-08-14,359.0
2014-08-15,354.4
2014-08-18,358.5
2014-08-19,361.0
2014-08-20,359.5
2014-08-21,362.5
2014-08-22,358.2
2014-08-25,362.0
2014-08-26,364.4
2014-08-27,364.9
2014-08-28,357.9
2014-08-29,354.7
2014-09-01,356.5
2014-09-02,354.5
2014-09-03,367.3
2014-09-04,366.2
2014-09-05,366.8
2014-09-08,365.3
2014-09-09,360.3
2014-09-10,357.0
2014-09-11,354.6
2014-09-12,351.7
2014-09-15,349.3
2014-09-16,351.8
2014-09-17,351.3
2014-09-18,349.8
2014-09-19,349.3
2014-09-22,342.2
2014-09-23,341.6
2014-09-24,343.0
2014-09-25,337.0
2014-09-26,336.9
2014-09-29,331.9
2014-09-30,332.7
2014-10-01,329.8
2014-10-02,325.7
2014-10-03,327.6
2014-10-06,334.0
2014-10-07,331.3
2014-10-08,327.0
2014-10-09,327.3
2014-10-10,320.3
2014-10-13,326.4
2014-10-14,326.0
2014-10-15,319.9
2014-10-16,319.5
2014-10-17,324.7
2014-10-20,322.5
2014-10-21,330.1
2014-10-22,327.9
2014-10-23,327.9
2014-10-24,330.0
2014-10-27,328.6
2014-10-28,333.6
2014-10-29,338.8
2014-10-30,337.9
2014-10-31,335.9
2014-11-03,336.3
2014-11-04,334.8
2014-11-05,331.4
2014-11-06,325.4
2014-11-07,324.8
2014-11-10,330.0
2014-11-11,328.4
2014-11-12,331.8
2014-11-13,329.6
2014-11-14,330.7
2014-11-17,331.2
2014-11-19,333.5
2014-11-20,335.8
2014-11-21,342.6
2014-11-24,342.8
2014-11-25,339.2
2014-11-26,337.6
2014-11-27,335.0
2014-11-28,331.0
2014-12-01,326.9
2014-12-02,324.0
2014-12-03,325.7
2014-12-04,321.3
2014-12-05,318.6
2014-12-08,311.8
2014-12-09,308.2
2014-12-10,304.6
2014-12-11,297.4
2014-12-12,292.1
2014-12-15,280.3
2014-12-16,279.9
2014-12-17,284.4
2014-12-18,294.0
2014-12-19,295.8
2014-12-22,303.8
2014-12-23,301.5
2014-12-24,301.5
2014-12-29,303.4
2014-12-30,300.1
2014-12-31,300.1
2015-01-02,295.1
2015-01-05,289.8
2015-01-06,293.1
2015-01-07,295.9
2015-01-08,306.2
2015-01-09,300.7
2015-01-12,298.0
2015-01-13,301.4
2015-01-14,298.5
2015-01-15,298.0
2015-01-16,295.9
2015-01-19,295.4
2015-01-20,296.1
2015-01-21,304.7
2015-01-22,310.3
2015-01-23,310.1
2015-01-26,309.3
2015-01-27,306.1
2015-01-28,305.1
2015-01-29,300.4
2015-01-30,297.3
2015-02-02,304.0
2015-02-03,311.6
2015-02-04,309.0
2015-02-05,313.4
2015-02-06,311.4
2015-02-09,309.2
2015-02-10,306.7
2015-02-11,305.0
2015-02-12,310.7
2015-02-13,319.6
2015-02-16,317.4
2015-02-17,314.0
2015-02-18,315.8
2015-02-19,317.2
2015-02-20,315.7
2015-02-23,316.2
2015-02-24,320.0
2015-02-25,318.3
2015-02-26,317.5
2015-02-27,315.3
2015-03-02,311.2
2015-03-03,311.0
2015-03-04,306.7
2015-03-05,309.1
2015-03-06,302.2
2015-03-09,301.1
2015-03-10,291.9
2015-03-11,293.2
2015-03-12,294.2
2015-03-13,287.3
2015-03-16,288.5
2015-03-17,290.6
2015-03-18,291.9
2015-03-19,295.2
2015-03-20,302.6
2015-03-23,303.6
2015-03-24,307.6
2015-03-25,306.1
2015-03-26,301.5
2015-03-27,300.4
2015-03-30,303.8
2015-03-31,304.3
2015-04-01,309.6
2015-04-02,313.4
2015-04-07,319.8
2015-04-08,322.2
2015-04-09,322.1
2015-04-10,322.7
2015-04-13,322.0
2015-04-14,322.9
2015-04-15,322.1
2015-04-16,329.4
2015-04-17,322.8
2015-04-20,321.5
2015-04-21,324.2
2015-04-22,321.9
2015-04-23,326.2
2015-04-24,327.9
2015-04-27,330.9
2015-04-28,334.5
2015-04-29,334.4
2015-04-30,330.2
2015-05-04,328.0
2015-05-05,329.4
2015-05-06,329.0
2015-05-07,326.8
2015-05-08,329.9
2015-05-11,325.7
2015-05-12,327.1
2015-05-13,332.3
2015-05-14,331.2
2015-05-15,333.8
2015-05-18,335.1
2015-05-19,331.6
2015-05-20,329.5
2015-05-21,330.3
2015-05-22,329.3
2015-05-25,329.3
2015-05-26,317.1
2015-05-27,315.0
2015-05-28,312.0
2015-05-29,309.8
2015-06-01,304.5
2015-06-02,307.0
2015-06-03,305.3
2015-06-04,299.4
2015-06-05,298.0
2015-06-08,295.3
2015-06-09,297.6
2015-06-10,304.8
2015-06-11,304.0
2015-06-12,302.2
2015-06-15,300.0
2015-06-16,301.9
2015-06-17,300.2
2015-06-18,307.1
2015-06-19,304.7
2015-06-22,311.5
2015-06-23,311.1
2015-06-24,311.1
2015-06-25,312.8
2015-06-26,310.0
2015-06-29,302.8
