Date,Settle
2013-09-09,4619.0
2013-09-10,4645.0
2013-09-11,4665.0
2013-09-12,4683.0
2013-09-13,4672.0
2013-09-16,4698.0
2013-09-17,4653.0
2013-09-18,4723.0
2013-09-19,4784.0
2013-09-20,4790.0
2013-09-23,4789.67
2013-09-24,4816.0
2013-09-25,4807.0
2013-09-26,4860.0
2013-09-27,4882.0
2013-09-30,4789.0
2013-10-01,4787.0
2013-10-02,4754.0
2013-10-03,4754.0
2013-10-04,4720.0
2013-10-08,4670.0
2013-10-10,4728.0
2013-10-11,4792.0
2013-10-14,4801.0
2013-10-15,4780.0
2013-10-16,4766.0
2013-10-17,4857.0
2013-10-18,4853.0
2013-10-21,4861.0
2013-10-22,4868.0
2013-10-23,4838.0
2013-10-24,4859.0
2013-10-25,4778.0
2013-10-28,4800.0
2013-10-29,4819.0
2013-10-30,4825.0
2013-10-31,4816.0
2013-11-01,4729.0
2013-11-04,4741.5
2013-11-05,4720.0
2013-11-06,4774.0
2013-11-07,4701.0
2013-11-08,4705.0
2013-11-11,4732.0
2013-11-12,4770.0
2013-11-13,4791.5
2013-11-14,4866.0
2013-11-15,4927.0
2013-11-18,4921.5
2013-11-19,4892.0
2013-11-20,4905.0
2013-11-21,4918.5
2013-11-22,4897.5
2013-11-25,4888.0
2013-11-26,4852.0
2013-11-27,4871.5
2013-11-28,4874.5
2013-11-29,4881.5
2013-12-02,4869.0
2013-12-03,4820.5
2013-12-04,4782.0
2013-12-05,4749.5
2013-12-06,4813.0
2013-12-09,4816.0
2013-12-10,4811.0
2013-12-11,4789.0
2013-12-12,4799.0
2013-12-13,4744.0
2013-12-16,4744.0
2013-12-17,4720.0
2013-12-18,4788.0
2013-12-19,4794.0
2013-12-20,4794.0
2013-12-23,4795.959
2013-12-24,4832.0
2013-12-27,4906.0
2013-12-30,4932.0
2014-01-02,4900.0
2014-01-03,4870.0
2014-01-06,4849.0
2014-01-07,4879.0
2014-01-08,4891.0
2014-01-13,4884.0
2014-01-14,4856.0
2014-01-15,4900.0
2014-01-16,4874.0
2014-01-17,4916.0
2014-01-18,4916.0
2014-01-20,4908.0
2014-01-21,4894.0
2014-01-22,4901.0
2014-01-23,4839.0
2014-01-24,4767.0
2014-01-27,4700.0
2014-01-28,4722.0
2014-01-29,4725.0
2014-01-30,4734.0
2014-01-31,4638.0
2014-02-03,4531.0
2014-02-04,4472.0
2014-02-05,4515.0
2014-02-06,4578.0
2014-02-07,4630.0
2014-02-08,4578.0
2014-02-09,4578.0
2014-02-10,4635.0
2014-02-11,4691.0
2014-02-12,4679.0
2014-02-13,4628.0
2014-02-14,4617.0
2014-02-15,4578.0
2014-02-16,4578.0
2014-02-17,4631.0
2014-02-18,4709.0
2014-02-19,4709.0
2014-02-20,4622.0
2014-02-21,4706.0
2014-02-22,4578.0
2014-02-23,4578.0
2014-02-24,4746.0
2014-02-25,4739.0
2014-02-26,4724.0
2014-02-27,4688.0
2014-02-28,4723.0
2014-03-01,4578.0
2014-03-02,4578.0
2014-03-03,4603.0
2014-03-04,4728.0
2014-03-05,4677.0
2014-03-06,4759.0
2014-03-07,4711.0
2014-03-10,4709.0
2014-03-11,4672.0
2014-03-12,4617.0
2014-03-13,4543.0
2014-03-14,4514.0
2014-03-17,4531.0
2014-03-18,4536.0
2014-03-19,4515.0
2014-03-20,4373.0
2014-03-21,4469.0
2014-03-24,4445.0
2014-03-25,4465.0
2014-03-26,4533.0
2014-03-27,4553.0
2014-03-28,4619.0
2014-03-29,4619.0
2014-03-31,4633.0
2014-04-01,4619.0
2014-04-02,4651.0
2014-04-03,4643.0
2014-04-04,4649.0
2014-04-07,4594.0
2014-04-08,4496.0
2014-04-09,4501.0
2014-04-10,4450.0
2014-04-11,4425.0
2014-04-14,4458.0
2014-04-15,4419.0
2014-04-16,4529.0
2014-04-17,4536.0
2014-04-22,4520.0
2014-04-23,4538.0
2014-04-24,4501.0
2014-04-25,4505.0
2014-04-28,4494.0
2014-04-29,4520.0
2014-04-30,4499.0
2014-05-02,4555.0
2014-05-05,4541.0
2014-05-06,4534.0
2014-05-07,4497.0
2014-05-08,4512.0
2014-05-09,4517.0
2014-05-12,4525.0
2014-05-13,4581.0
2014-05-14,4584.0
2014-05-15,4522.0
2014-05-16,4546.0
2014-05-19,4531.0
2014-05-20,4510.0
2014-05-21,4545.0
2014-05-22,4589.0
2014-05-23,4630.0
2014-05-26,4663.0
2014-05-27,4661.0
2014-05-28,4655.0
2014-05-29,4695.0
2014-05-30,4718.0
2014-06-02,4772.0
2014-06-03,4760.0
2014-06-04,4788.0
2014-06-05,4786.0
2014-06-06,4808.0
2014-06-09,4794.0
2014-06-10,4756.0
2014-06-11,4780.0
2014-06-12,4821.0
2014-06-13,4820.0
2014-06-16,4804.0
2014-06-17,4817.0
2014-06-18,4848.0
2014-06-19,4947.0
2014-06-20,4955.0
2014-06-23,4914.0
2014-06-24,4953.0
2014-06-25,4929.0
2014-06-26,4924.0
2014-06-27,4902.0
2014-06-30,4949.0
2014-07-01,5007.0
2014-07-02,5005.0
2014-07-03,4988.0
