Date,Settle
2013-09-09,486.6
2013-09-10,494.1
2013-09-11,500.6
2013-09-12,506.3
2013-09-13,504.8
2013-09-16,511.5
2013-09-17,516.1
2013-09-18,506.6
2013-09-19,529.1
2013-09-20,513.4
2013-09-23,513.34
2013-09-24,514.8
2013-09-25,517.4
2013-09-26,508.4
2013-09-27,505.0
2013-09-30,501.7
2013-10-01,503.4
2013-10-02,503.4
2013-10-03,503.4
2013-10-04,510.3
2013-10-08,508.1
2013-10-10,511.7
2013-10-11,514.6
2013-10-14,510.8
2013-10-15,518.5
2013-10-16,529.1
2013-10-17,529.7
2013-10-18,534.2
2013-10-21,533.9
2013-10-22,540.6
2013-10-23,533.7
2013-10-24,532.2
2013-10-25,528.1
2013-10-28,532.5
2013-10-29,531.5
2013-10-30,534.1
2013-10-31,524.9
2013-11-01,514.3
2013-11-04,516.3
2013-11-05,499.7
2013-11-06,512.1
2013-11-07,509.3
2013-11-08,505.6
2013-11-11,496.5
2013-11-12,498.8
2013-11-13,494.6
2013-11-14,498.2
2013-11-15,515.4
2013-11-18,512.3
2013-11-19,503.0
2013-11-20,510.3
2013-11-21,501.1
2013-11-22,499.7
2013-11-25,503.8
2013-11-26,499.2
2013-11-27,496.0
2013-11-28,501.4
2013-11-29,505.6
2013-12-02,503.3
2013-12-03,483.2
2013-12-04,473.6
2013-12-05,484.5
2013-12-06,501.8
2013-12-09,499.3
2013-12-10,499.5
2013-12-11,494.0
2013-12-12,479.3
2013-12-13,485.1
2013-12-16,485.5
2013-12-17,490.9
2013-12-18,490.7
2013-12-19,494.2
2013-12-20,500.9
2013-12-23,502.449
2013-12-24,509.9
2013-12-27,508.7
2013-12-30,513.1
2014-01-02,505.3
2014-01-03,505.6
2014-01-06,497.2
2014-01-07,501.7
2014-01-08,497.8
2014-01-09,481.9
2014-01-13,498.3
2014-01-14,489.8
2014-01-15,492.9
2014-01-16,494.2
2014-01-17,494.4
2014-01-18,494.4
2014-01-21,497.8
2014-01-22,500.5
2014-01-23,495.0
2014-01-24,475.5
2014-01-27,465.5
2014-01-28,470.2
2014-01-29,471.5
2014-01-30,459.9
2014-01-31,455.0
2014-02-03,458.7
2014-02-04,455.4
2014-02-05,454.5
2014-02-06,454.6
2014-02-07,464.4
2014-02-08,454.6
2014-02-09,454.6
2014-02-10,471.1
2014-02-11,468.1
2014-02-12,479.4
2014-02-13,470.2
2014-02-14,484.8
2014-02-15,454.6
2014-02-16,454.6
2014-02-17,494.6
2014-02-18,492.9
2014-02-19,491.5
2014-02-20,481.9
2014-02-21,487.7
2014-02-22,454.6
2014-02-23,454.6
2014-02-24,499.7
2014-02-25,500.5
2014-02-26,493.5
2014-02-27,499.5
2014-02-28,500.9
2014-03-01,454.6
2014-03-02,454.6
2014-03-03,499.7
2014-03-04,500.5
2014-03-05,506.1
2014-03-06,515.9
2014-03-07,512.4
2014-03-10,508.2
2014-03-11,508.9
2014-03-12,502.0
2014-03-13,503.8
2014-03-14,500.5
2014-03-17,505.9
2014-03-18,510.2
2014-03-19,504.2
2014-03-20,493.0
2014-03-21,501.4
2014-03-24,504.7
2014-03-25,520.7
2014-03-26,527.5
2014-03-27,520.5
2014-03-28,535.1
2014-03-31,530.7
2014-04-01,539.5
2014-04-02,536.7
2014-04-03,530.9
2014-04-04,535.6
2014-04-07,530.0
2014-04-08,543.5
2014-04-09,542.3
2014-04-10,549.1
2014-04-11,536.3
2014-04-14,533.4
2014-04-15,532.2
2014-04-16,532.6
2014-04-17,543.3
2014-04-22,539.1
2014-04-23,536.4
2014-04-24,539.7
2014-04-25,536.5
2014-04-28,535.6
2014-04-29,536.8
2014-04-30,537.1
2014-05-02,546.4
2014-05-05,539.8
2014-05-06,542.5
2014-05-07,541.9
2014-05-08,554.3
2014-05-09,549.2
2014-05-12,555.3
2014-05-13,559.6
2014-05-14,564.6
2014-05-15,561.4
2014-05-16,556.1
2014-05-19,564.5
2014-05-20,557.1
2014-05-21,561.7
2014-05-22,565.2
2014-05-23,570.2
2014-05-26,565.1
2014-05-27,556.6
2014-05-28,553.6
2014-05-29,557.2
2014-05-30,552.1
2014-06-02,544.7
2014-06-03,542.9
2014-06-04,539.2
2014-06-05,545.7
2014-06-06,547.2
2014-06-09,554.2
2014-06-10,556.2
2014-06-11,553.0
2014-06-12,558.9
2014-06-13,555.8
2014-06-16,556.6
2014-06-17,551.8
2014-06-18,552.8
2014-06-19,561.8
2014-06-20,559.8
2014-06-23,562.4
2014-06-24,567.8
2014-06-25,558.3
2014-06-26,561.3
2014-06-27,560.2
2014-06-30,561.8
2014-07-01,563.8
2014-07-02,564.8
2014-07-03,557.6
2014-07-04,565.3
2014-07-07,558.3
2014-07-08,565.8
2014-07-09,565.4
