Date,Settle
2013-09-05,121.48
2013-09-06,121.82
2013-09-09,121.86
2013-09-10,121.53
2013-09-11,121.87
2013-09-12,122.1
2013-09-13,122.13
2013-09-16,122.43
2013-09-17,122.43
2013-09-18,122.3
2013-09-19,122.82
2013-09-20,122.7
2013-09-23,122.93
2013-09-24,123.17
2013-09-25,123.19
2013-09-26,123.14
2013-09-27,123.3
2013-09-30,123.4
2013-10-01,123.38
2013-10-02,123.4
2013-10-03,123.27
2013-10-04,123.18
2013-10-08,123.19
2013-10-10,123.11
2013-10-11,123.24
2013-10-14,123.28
2013-10-15,123.09
2013-10-16,122.97
2013-10-17,123.3
2013-10-18,123.5
2013-10-21,123.4
2013-10-22,123.78
2013-10-23,123.9
2013-10-24,123.84
2013-10-25,123.82
2013-10-28,123.86
2013-10-29,123.96
2013-10-30,124.18
2013-10-31,124.55
2013-11-01,124.66
2013-11-04,124.61
2013-11-05,124.19
2013-11-06,124.2
2013-11-07,124.69
2013-11-08,124.44
2013-11-11,124.46
2013-11-12,124.34
2013-11-13,124.58
2013-11-14,124.68
2013-11-15,124.64
2013-11-18,124.71
2013-11-19,124.59
2013-11-20,124.74
2013-11-21,124.68
2013-11-22,124.61
2013-11-25,124.68
2013-11-26,124.75
2013-11-27,124.75
2013-11-28,124.73
2013-11-29,124.76
2013-12-02,124.69
2013-12-03,124.76
2013-12-04,124.45
2013-12-05,124.15
2013-12-06,124.03
2013-12-09,122.68
2013-12-10,122.71
2013-12-11,122.74
2013-12-12,122.61
2013-12-13,122.63
2013-12-16,122.6
2013-12-17,122.64
2013-12-18,122.52
2013-12-19,122.54
2013-12-20,122.44
2013-12-23,122.38
2013-12-24,122.38
2013-12-27,121.98
2013-12-30,122.06
2014-01-02,122.18
2014-01-03,122.28
2014-01-06,122.35
2014-01-07,122.44
2014-01-08,122.37
2014-01-09,122.21
2014-01-13,122.6
2014-01-14,122.62
2014-01-15,122.49
2014-01-16,122.7
2014-01-17,122.88
2014-01-18,122.88
2014-01-20,123.04
2014-01-21,123.0
2014-01-22,122.9
2014-01-23,122.89
2014-01-24,123.16
2014-01-27,123.21
2014-01-28,123.24
2014-01-29,123.38
2014-01-30,123.58
2014-01-31,123.98
2014-02-03,124.03
2014-02-04,123.96
2014-02-05,123.95
2014-02-06,123.59
2014-02-07,123.85
2014-02-08,123.59
2014-02-09,123.59
2014-02-10,123.77
2014-02-11,123.73
2014-02-12,123.61
2014-02-13,123.83
2014-02-14,123.72
2014-02-15,123.59
2014-02-16,123.59
2014-02-17,123.76
2014-02-18,123.89
2014-02-19,123.93
2014-02-20,123.73
2014-02-21,123.94
2014-02-22,123.59
2014-02-23,123.59
2014-02-24,123.83
2014-02-25,123.95
2014-02-26,124.24
2014-02-27,124.47
2014-02-28,124.04
2014-03-01,123.59
2014-03-02,123.59
2014-03-03,124.23
2014-03-04,124.27
2014-03-05,124.36
2014-03-06,124.11
2014-03-07,124.2
2014-03-10,124.24
2014-03-11,124.15
2014-03-12,124.37
2014-03-13,124.64
2014-03-14,124.62
2014-03-17,124.54
2014-03-18,124.62
2014-03-19,124.51
2014-03-20,124.16
2014-03-21,124.29
2014-03-24,124.48
2014-03-25,124.59
2014-03-26,124.78
2014-03-27,124.99
2014-03-28,124.91
2014-03-29,124.91
2014-03-31,124.85
2014-04-01,124.7
2014-04-02,124.54
2014-04-03,124.78
2014-04-04,125.32
2014-04-07,125.19
2014-04-08,125.03
2014-04-09,124.89
2014-04-10,125.26
2014-04-11,125.27
2014-04-14,125.24
2014-04-15,125.56
2014-04-16,125.49
2014-04-17,125.24
2014-04-22,125.1
2014-04-23,125.09
2014-04-24,125.1
2014-04-25,125.27
2014-04-28,125.14
2014-04-29,125.25
2014-04-30,125.49
2014-05-02,125.68
2014-05-05,125.63
2014-05-06,125.61
2014-05-07,125.52
2014-05-08,125.82
2014-05-09,125.84
2014-05-12,125.77
2014-05-13,126.03
2014-05-14,126.4
2014-05-15,126.53
2014-05-16,126.43
2014-05-19,126.34
2014-05-20,126.25
2014-05-21,126.23
2014-05-22,126.38
2014-05-23,126.38
2014-05-26,126.42
2014-05-27,126.61
2014-05-28,126.81
2014-05-29,126.76
2014-05-30,126.59
2014-06-02,126.6
2014-06-03,126.43
2014-06-04,126.37
2014-06-05,126.75
2014-06-06,125.65
2014-06-09,125.55
2014-06-10,125.28
2014-06-11,125.36
2014-06-12,125.4
2014-06-13,125.4
2014-06-16,125.46
2014-06-17,125.24
2014-06-18,125.38
2014-06-19,125.64
2014-06-20,125.51
2014-06-23,125.55
2014-06-24,125.58
2014-06-25,125.83
2014-06-26,125.89
2014-06-27,125.76
2014-06-30,125.86
2014-07-01,125.91
2014-07-02,125.75
2014-07-03,125.87
2014-07-04,125.95
2014-07-07,126.0
2014-07-08,126.17
2014-07-09,126.15
2014-07-10,126.2
2014-07-11,126.2
2014-07-14,126.16
2014-07-15,126.17
2014-07-16,126.25
2014-07-17,126.3
2014-07-18,126.25
2014-07-21,126.3
2014-07-22,126.25
2014-07-23,126.4
2014-07-24,126.28
2014-07-25,126.39
2014-07-28,126.34
2014-07-29,126.42
2014-07-30,126.31
2014-07-31,126.36
2014-08-01,126.39
2014-08-04,126.42
2014-08-05,126.27
2014-08-06,126.4
2014-08-07,126.52
2014-08-08,126.62
2014-08-11,126.55
2014-08-12,126.62
2014-08-13,126.74
2014-08-14,126.82
2014-08-15,126.99
2014-08-18,126.74
2014-08-19,126.78
2014-08-20,126.84
2014-08-21,126.8
2014-08-22,126.81
2014-08-25,127.09
2014-08-26,127.15
2014-08-27,127.3
2014-08-28,127.3
2014-08-29,127.28
2014-09-01,127.26
2014-09-02,127.14
2014-09-03,127.08
2014-09-04,127.48
2014-09-05,127.67
2014-09-08,128.76
2014-09-09,128.52
2014-09-10,128.36
2014-09-11,128.26
2014-09-12,128.09
2014-09-15,128.12
2014-09-16,128.01
2014-09-17,128.19
2014-09-18,127.87
2014-09-19,128.22
2014-09-22,128.34
2014-09-23,128.3
2014-09-24,128.36
2014-09-25,128.46
2014-09-26,128.53
2014-09-29,128.52
2014-09-30,128.55
2014-10-01,128.73
2014-10-02,128.6
2014-10-03,128.48
2014-10-06,128.55
2014-10-07,128.47
2014-10-08,128.57
2014-10-09,128.67
2014-10-10,128.61
2014-10-13,128.5
2014-10-14,128.72
2014-10-15,128.85
2014-10-16,128.3
2014-10-17,128.19
2014-10-20,128.17
2014-10-21,128.28
2014-10-22,128.38
2014-10-23,128.38
2014-10-24,128.31
2014-10-27,128.36
2014-10-28,128.4
2014-10-29,128.43
2014-10-30,128.65
2014-10-31,128.88
2014-11-03,128.67
2014-11-04,128.84
2014-11-05,128.82
2014-11-06,128.86
2014-11-07,128.9
2014-11-10,128.89
2014-11-11,128.95
2014-11-12,128.95
2014-11-13,128.94
2014-11-14,129.02
2014-11-17,128.97
2014-11-19,128.68
2014-11-20,128.8
2014-11-21,128.9
2014-11-24,128.97
2014-11-25,129.04
2014-11-26,129.02
2014-11-27,129.14
2014-11-28,129.06
2014-12-01,128.97
2014-12-02,128.95
2014-12-03,129.05
2014-12-04,128.98
2014-12-05,128.96
2014-12-08,127.54
2014-12-09,127.45
2014-12-10,127.45
2014-12-11,127.43
2014-12-12,127.56
2014-12-15,127.53
2014-12-16,127.59
2014-12-17,127.63
2014-12-18,127.61
2014-12-19,127.64
2014-12-22,127.71
2014-12-23,127.7
2014-12-24,127.7
2014-12-29,127.87
2014-12-30,127.89
2014-12-31,127.89
2015-01-02,128.01
2015-01-05,128.06
2015-01-06,128.16
2015-01-07,128.04
2015-01-08,127.99
2015-01-09,128.09
2015-01-12,128.13
2015-01-13,128.27
2015-01-14,128.51
2015-01-15,128.5
2015-01-16,128.62
2015-01-19,128.57
2015-01-20,128.38
2015-01-21,128.13
2015-01-22,128.27
2015-01-23,128.57
2015-01-26,128.33
2015-01-27,128.29
2015-01-28,128.37
2015-01-29,128.4
2015-01-30,128.62
2015-02-02,128.68
2015-02-03,128.62
2015-02-04,128.65
2015-02-05,128.62
2015-02-06,128.55
2015-02-09,128.58
2015-02-10,128.5
2015-02-11,128.55
2015-02-12,128.67
2015-02-13,128.65
2015-02-16,128.58
2015-02-17,128.49
2015-02-18,128.56
2015-02-19,128.54
2015-02-20,128.55
2015-02-23,128.65
2015-02-24,128.67
2015-02-25,128.79
2015-02-26,128.9
2015-02-27,128.8
2015-03-02,128.69
2015-03-03,128.65
2015-03-04,128.7
2015-03-05,128.76
2015-03-06,130.07
2015-03-09,130.3
2015-03-10,130.47
2015-03-11,130.55
2015-03-12,130.5
2015-03-13,130.35
2015-03-16,130.29
2015-03-17,130.1
2015-03-18,130.3
2015-03-19,130.37
2015-03-20,130.43
2015-03-23,130.09
2015-03-24,130.06
2015-03-25,130.09
2015-03-26,130.2
2015-03-27,130.2
2015-03-30,130.15
2015-03-31,130.32
2015-04-01,130.28
2015-04-02,130.25
2015-04-07,130.32
2015-04-08,130.51
2015-04-09,130.58
2015-04-10,130.63
2015-04-13,130.59
2015-04-14,130.66
2015-04-15,130.74
2015-04-16,130.67
2015-04-17,130.63
2015-04-20,130.59
2015-04-21,130.65
2015-04-22,130.45
2015-04-23,130.53
2015-04-24,130.54
2015-04-27,130.53
2015-04-28,130.61
2015-04-29,130.09
2015-04-30,129.87
2015-05-04,129.69
2015-05-05,129.44
2015-05-06,129.21
2015-05-07,129.19
2015-05-08,129.58
2015-05-11,129.39
2015-05-12,129.16
2015-05-13,129.23
2015-05-14,129.15
2015-05-15,129.29
2015-05-18,129.26
2015-05-19,129.41
2015-05-20,129.34
2015-05-21,129.36
2015-05-22,129.43
2015-05-25,129.43
2015-05-26,129.62
2015-05-27,129.65
2015-05-28,129.66
2015-05-29,129.8
2015-06-01,129.73
2015-06-02,129.23
2015-06-03,128.9
2015-06-04,128.94
2015-06-05,128.7
2015-06-08,126.89
2015-06-09,126.72
2015-06-10,126.64
2015-06-11,126.81
2015-06-12,126.74
2015-06-15,126.49
2015-06-16,126.59
