Date,Settle
2013-09-05,130.78
2013-09-06,131.11
2013-09-09,129.63
2013-09-10,128.79
2013-09-11,129.29
2013-09-12,129.73
2013-09-13,129.93
2013-09-16,130.5
2013-09-17,130.41
2013-09-18,130.22
2013-09-19,131.09
2013-09-20,130.74
2013-09-23,131.18
2013-09-24,131.84
2013-09-25,132.2
2013-09-26,132.06
2013-09-27,132.31
2013-09-30,132.49
2013-10-01,132.46
2013-10-02,132.42
2013-10-03,132.21
2013-10-04,132.15
2013-10-08,132.29
2013-10-10,131.91
2013-10-11,132.09
2013-10-14,132.11
2013-10-15,131.7
2013-10-16,131.49
2013-10-17,132.05
2013-10-18,132.46
2013-10-21,132.38
2013-10-22,133.13
2013-10-23,133.52
2013-10-24,133.52
2013-10-25,133.64
2013-10-28,133.76
2013-10-29,133.98
2013-10-30,134.35
2013-10-31,134.68
2013-11-01,134.7
2013-11-04,134.78
2013-11-05,134.03
2013-11-06,134.0
2013-11-07,134.59
2013-11-08,134.04
2013-11-11,134.02
2013-11-12,133.66
2013-11-13,134.25
2013-11-14,134.68
2013-11-15,134.54
2013-11-18,134.68
2013-11-19,134.36
2013-11-20,134.44
2013-11-21,134.22
2013-11-22,134.34
2013-11-25,134.57
2013-11-26,134.89
2013-11-27,134.8
2013-11-28,134.83
2013-11-29,135.03
2013-12-02,134.75
2013-12-03,135.08
2013-12-04,134.56
2013-12-05,134.05
2013-12-06,134.16
2013-12-09,132.37
2013-12-10,132.51
2013-12-11,132.64
2013-12-12,132.5
2013-12-13,132.61
2013-12-16,132.6
2013-12-17,132.64
2013-12-18,132.47
2013-12-19,132.31
2013-12-20,132.42
2013-12-23,132.18
2013-12-24,132.18
2013-12-27,131.36
2013-12-30,131.44
2014-01-02,131.55
2014-01-03,131.62
2014-01-06,131.88
2014-01-07,132.22
2014-01-08,132.1
2014-01-09,131.71
2014-01-13,132.55
2014-01-14,132.75
2014-01-15,132.59
2014-01-16,133.05
2014-01-17,133.45
2014-01-18,133.45
2014-01-20,133.67
2014-01-21,133.57
2014-01-22,133.27
2014-01-23,133.49
2014-01-24,134.04
2014-01-27,134.18
2014-01-28,134.17
2014-01-29,134.48
2014-01-30,134.91
2014-01-31,135.78
2014-02-03,135.9
2014-02-04,135.79
2014-02-05,135.81
2014-02-06,135.16
2014-02-07,135.59
2014-02-08,135.16
2014-02-09,135.16
2014-02-10,135.28
2014-02-11,135.21
2014-02-12,134.89
2014-02-13,135.29
2014-02-14,135.2
2014-02-15,135.16
2014-02-16,135.16
2014-02-17,135.22
2014-02-18,135.48
2014-02-19,135.58
2014-02-20,135.16
2014-02-21,135.67
2014-02-22,135.16
2014-02-23,135.16
2014-02-24,135.6
2014-02-25,135.96
2014-02-26,136.49
2014-02-27,137.21
2014-02-28,136.51
2014-03-01,135.16
2014-03-02,135.16
2014-03-03,137.03
2014-03-04,136.79
2014-03-05,136.75
2014-03-06,134.4
2014-03-07,134.6
2014-03-10,134.72
2014-03-11,134.49
2014-03-12,134.92
2014-03-13,135.44
2014-03-14,135.62
2014-03-17,135.52
2014-03-18,135.62
2014-03-19,135.25
2014-03-20,134.9
2014-03-21,135.26
2014-03-24,135.66
2014-03-25,135.75
2014-03-26,136.11
2014-03-27,136.59
2014-03-28,136.39
2014-03-29,136.39
2014-03-31,136.27
2014-04-01,135.97
2014-04-02,135.62
2014-04-03,135.89
2014-04-04,136.8
2014-04-07,136.72
2014-04-08,136.43
2014-04-09,136.28
2014-04-10,136.94
2014-04-11,137.03
2014-04-14,137.01
2014-04-15,137.78
2014-04-16,137.64
2014-04-17,137.37
2014-04-22,137.02
2014-04-23,137.24
2014-04-24,137.18
2014-04-25,137.62
2014-04-28,137.39
2014-04-29,137.33
2014-04-30,137.84
2014-05-02,138.11
2014-05-05,137.97
2014-05-06,138.1
2014-05-07,137.93
2014-05-08,138.45
2014-05-09,138.57
2014-05-12,138.35
2014-05-13,138.82
2014-05-14,139.52
2014-05-15,140.08
2014-05-16,139.78
2014-05-19,139.59
2014-05-20,139.27
2014-05-21,139.19
2014-05-22,139.5
2014-05-23,139.56
2014-05-26,139.51
2014-05-27,139.85
2014-05-28,140.57
2014-05-29,140.45
2014-05-30,140.17
2014-06-02,140.1
2014-06-03,139.56
2014-06-04,139.3
2014-06-05,139.82
2014-06-06,139.04
2014-06-09,139.16
2014-06-10,138.64
2014-06-11,138.68
2014-06-12,138.63
2014-06-13,138.76
2014-06-16,138.96
2014-06-17,138.36
2014-06-18,138.78
2014-06-19,139.6
2014-06-20,139.33
2014-06-23,139.55
2014-06-24,139.69
2014-06-25,140.43
2014-06-26,140.71
2014-06-27,140.45
2014-06-30,140.53
2014-07-01,140.54
2014-07-02,140.11
2014-07-03,140.22
2014-07-04,140.53
2014-07-07,140.6
2014-07-08,141.06
2014-07-09,140.98
2014-07-10,141.1
2014-07-11,141.15
2014-07-14,141.07
2014-07-15,141.07
2014-07-16,141.4
2014-07-17,141.78
2014-07-18,141.87
2014-07-21,142.05
2014-07-22,141.81
2014-07-23,142.21
2014-07-24,141.84
2014-07-25,142.11
2014-07-28,142.22
2014-07-29,142.61
2014-07-30,142.19
2014-07-31,142.08
2014-08-01,142.39
2014-08-04,142.46
2014-08-05,141.95
2014-08-06,142.45
2014-08-07,142.84
2014-08-08,143.18
2014-08-11,143.03
2014-08-12,143.15
2014-08-13,143.49
2014-08-14,143.83
2014-08-15,144.33
2014-08-18,143.69
2014-08-19,143.97
2014-08-20,144.17
2014-08-21,144.08
2014-08-22,144.16
2014-08-25,144.82
2014-08-26,145.07
2014-08-27,145.62
2014-08-28,145.68
2014-08-29,145.54
2014-09-01,145.51
2014-09-02,144.98
2014-09-03,144.66
2014-09-04,144.93
2014-09-05,145.48
2014-09-08,143.64
2014-09-09,142.86
2014-09-10,142.72
2014-09-11,142.37
2014-09-12,141.96
2014-09-15,142.08
2014-09-16,141.97
2014-09-17,142.35
2014-09-18,141.77
2014-09-19,142.58
2014-09-22,142.92
2014-09-23,143.05
2014-09-24,143.13
2014-09-25,143.44
2014-09-26,143.51
2014-09-29,143.54
2014-09-30,143.75
2014-10-01,144.2
2014-10-02,144.01
2014-10-03,143.88
2014-10-06,144.04
2014-10-07,143.86
2014-10-08,144.0
2014-10-09,144.16
2014-10-10,144.16
2014-10-13,144.01
2014-10-14,144.66
2014-10-15,145.36
2014-10-16,144.09
2014-10-17,143.57
2014-10-20,143.41
2014-10-21,143.59
2014-10-22,143.59
2014-10-23,143.59
2014-10-24,143.55
2014-10-27,143.77
2014-10-28,143.86
2014-10-29,143.89
2014-10-30,144.42
2014-10-31,144.86
2014-11-03,144.53
2014-11-04,145.07
2014-11-05,144.84
2014-11-06,144.88
2014-11-07,144.94
2014-11-10,144.93
2014-11-11,145.06
2014-11-12,145.09
2014-11-13,145.17
2014-11-14,145.43
2014-11-17,145.45
2014-11-18,145.39
2014-11-19,144.97
2014-11-20,145.47
2014-11-21,145.85
2014-11-24,145.84
2014-11-25,146.4
2014-11-26,146.58
2014-11-27,147.1
2014-11-28,147.23
2014-12-01,147.02
2014-12-02,146.68
2014-12-03,146.72
2014-12-04,146.57
2014-12-05,146.6
2014-12-08,145.5
2014-12-09,145.58
2014-12-10,145.65
2014-12-11,145.74
2014-12-12,146.32
2014-12-15,146.25
2014-12-16,146.53
2014-12-17,146.62
2014-12-18,146.37
2014-12-19,146.48
2014-12-22,146.59
2014-12-23,146.72
2014-12-24,146.72
2014-12-29,147.13
2014-12-30,147.22
2014-12-31,147.22
2015-01-02,147.77
2015-01-05,147.49
2015-01-06,148.05
2015-01-07,147.66
2015-01-08,147.48
2015-01-09,147.64
2015-01-12,147.84
2015-01-13,148.01
2015-01-14,148.86
2015-01-15,148.71
2015-01-16,148.95
2015-01-19,149.08
2015-01-20,148.89
2015-01-21,148.33
2015-01-22,149.17
2015-01-23,149.79
2015-01-26,149.38
2015-01-27,149.47
2015-01-28,149.47
2015-01-29,149.3
2015-01-30,149.95
