Date,Settle
2013-09-09,21.0
2013-09-10,20.0
2013-09-11,19.5
2013-09-12,19.25
2013-09-13,19.5
2013-09-16,19.15
2013-09-17,19.3
2013-09-18,18.64
2013-09-19,18.85
2013-09-20,18.45
2013-09-23,18.6
2013-09-24,18.1
2013-09-25,18.05
2013-09-26,18.0
2013-09-27,18.25
2013-09-30,19.2
2013-10-01,18.85
2013-10-02,19.25
2013-10-03,20.1
2013-10-04,20.15
2013-10-08,21.3
2013-10-10,20.25
2013-10-11,18.9
2013-10-14,19.85
2013-10-15,18.45
2013-10-16,19.28
2013-10-17,18.2
2013-10-18,17.55
2013-10-21,17.6
2013-10-22,17.4
2013-10-23,17.8
2013-10-24,17.35
2013-10-25,17.25
2013-10-28,17.3
2013-10-29,16.9
2013-10-30,17.1
2013-10-31,16.95
2013-11-01,17.15
2013-11-04,17.05
2013-11-05,17.25
2013-11-06,17.1
2013-11-07,17.2
2013-11-08,17.35
2013-11-11,17.3
2013-11-12,17.45
2013-11-13,17.55
2013-11-14,16.55
2013-11-15,16.25
2013-11-18,15.75
2013-11-19,15.85
2013-11-20,15.26
2013-11-21,16.2
2013-11-22,16.1
2013-11-25,15.85
2013-11-26,15.75
2013-11-27,15.55
2013-11-28,15.35
2013-11-29,15.75
2013-12-02,15.95
2013-12-03,16.6
2013-12-04,16.9
2013-12-05,17.0
2013-12-06,16.3
2013-12-09,15.95
2013-12-10,16.1
2013-12-11,16.65
2013-12-12,17.1
2013-12-13,17.3
2013-12-16,17.45
2013-12-17,18.15
2013-12-18,17.11
2013-12-19,17.3
2013-12-20,17.2
2013-12-23,17.1
2013-12-24,17.1
2013-12-27,16.95
2013-12-30,17.0
2014-01-02,17.95
2014-01-03,17.75
2014-01-06,17.8
2014-01-07,17.15
2014-01-08,17.45
2014-01-09,17.6
2014-01-13,16.9
2014-01-14,16.75
2014-01-15,16.55
2014-01-16,16.95
2014-01-17,16.45
2014-01-18,16.45
2014-01-20,16.1
2014-01-21,16.0
2014-01-22,16.64
2014-01-23,18.05
2014-01-24,19.85
2014-01-27,19.75
2014-01-28,19.4
2014-01-29,19.9
2014-01-30,20.1
2014-01-31,20.85
2014-02-03,22.35
2014-02-04,22.2
2014-02-05,22.15
2014-02-06,20.75
2014-02-07,19.45
2014-02-08,20.75
2014-02-09,20.75
2014-02-10,19.3
2014-02-11,18.1
2014-02-12,17.95
2014-02-13,17.85
2014-02-14,17.3
2014-02-15,20.75
2014-02-16,20.75
2014-02-17,17.3
2014-02-18,17.3
2014-02-19,17.96
2014-02-20,20.75
2014-02-21,17.95
2014-02-22,20.9
2014-02-23,20.9
2014-02-24,17.75
2014-02-25,17.6
2014-02-26,17.6
2014-02-27,18.0
2014-02-28,17.75
2014-03-01,20.9
2014-03-02,20.9
2014-03-03,20.3
2014-03-04,18.5
2014-03-05,18.6
2014-03-06,18.15
2014-03-07,19.45
2014-03-10,19.75
2014-03-11,19.65
2014-03-12,20.15
2014-03-13,21.45
2014-03-14,23.0
2014-03-17,21.55
2014-03-18,22.85
2014-03-19,18.75
2014-03-20,18.4
2014-03-21,18.2
2014-03-24,19.2
2014-03-25,18.6
2014-03-26,18.15
2014-03-27,18.2
2014-03-28,17.9
2014-03-31,17.85
2014-04-01,17.55
2014-04-02,17.45
2014-04-03,17.3
2014-04-04,17.25
2014-04-07,17.95
2014-04-08,17.85
2014-04-09,17.55
2014-04-10,17.55
2014-04-11,18.65
2014-04-14,18.55
2014-04-15,19.45
2014-04-16,18.19
2014-04-17,18.7
2014-04-22,18.15
2014-04-23,18.5
2014-04-24,18.55
2014-04-25,19.4
2014-04-28,19.1
2014-04-29,18.5
2014-04-30,18.45
2014-05-02,18.75
2014-05-05,18.7
2014-05-06,18.85
2014-05-07,18.5
2014-05-08,17.9
2014-05-09,18.05
2014-05-12,17.35
2014-05-13,17.1
2014-05-14,17.05
2014-05-15,18.0
2014-05-16,17.1
2014-05-19,16.4
2014-05-20,16.0
2014-05-21,15.13
2014-05-22,17.05
2014-05-23,17.2
2014-05-26,16.8
2014-05-27,16.8
2014-05-28,16.7
2014-05-29,16.75
2014-05-30,16.9
2014-06-02,16.75
2014-06-03,16.95
2014-06-04,16.65
2014-06-05,15.75
2014-06-06,14.8
2014-06-09,14.45
2014-06-10,14.15
2014-06-11,14.45
2014-06-12,14.5
2014-06-13,14.65
2014-06-16,15.1
2014-06-17,14.2
2014-06-18,13.26
2014-06-19,14.75
2014-06-20,14.65
2014-06-23,14.95
2014-06-24,14.8
2014-06-25,15.35
2014-06-26,15.55
