Date,Settle
2013-09-09,965.0
2013-09-10,965.0
2013-09-11,965.0
2013-09-12,965.0
2013-09-13,965.0
2013-09-16,965.0
2013-09-17,965.0
2013-09-18,958.0
2013-09-19,948.0
2013-09-20,948.0
2013-09-23,948.0
2013-09-24,948.0
2013-09-25,947.0
2013-09-26,915.0
2013-09-27,915.0
2013-09-30,915.0
2013-10-01,898.0
2013-10-02,905.0
2013-10-03,905.0
2013-10-04,905.0
2013-10-08,905.0
2013-10-10,930.0
2013-10-11,930.0
2013-10-14,930.0
2013-10-15,930.0
2013-10-16,930.0
2013-10-17,930.0
2013-10-18,930.0
2013-10-21,930.0
2013-10-22,930.0
2013-10-23,930.0
2013-10-24,930.0
2013-10-25,930.0
2013-10-28,935.0
2013-10-29,935.0
2013-10-30,920.0
2013-10-31,925.0
2013-11-01,925.0
2013-11-04,935.0
2013-11-05,920.0
2013-11-06,935.0
2013-11-07,938.0
2013-11-08,935.0
2013-11-11,940.0
2013-11-12,948.0
2013-11-13,963.0
2013-11-14,975.0
2013-11-15,975.0
2013-11-18,975.0
2013-11-19,975.0
2013-11-20,985.0
2013-11-21,985.0
2013-11-22,985.0
2013-11-25,985.0
2013-11-26,985.0
2013-11-27,990.0
2013-11-28,990.0
2013-11-29,995.0
2013-12-02,990.0
2013-12-03,990.0
2013-12-04,990.0
2013-12-05,993.0
2013-12-06,993.0
2013-12-09,993.0
2013-12-10,993.0
2013-12-11,993.0
2013-12-12,993.0
2013-12-13,993.0
2013-12-16,993.0
2013-12-17,993.0
2013-12-18,977.0
2013-12-19,993.0
2013-12-20,1003.0
2013-12-23,1003.0
2013-12-24,1003.0
2013-12-27,1003.0
2013-12-30,1003.0
2014-01-02,1003.0
2014-01-03,1003.0
2014-01-06,1010.0
2014-01-07,1010.0
2014-01-08,1015.0
2014-01-09,1015.0
2014-01-13,1025.0
2014-01-14,1028.0
2014-01-15,1028.0
2014-01-16,1028.0
2014-01-17,1028.0
2014-01-18,1028.0
2014-01-20,1028.0
2014-01-21,1028.0
2014-01-22,1028.0
2014-01-23,1028.0
2014-01-24,1028.0
2014-01-27,1028.0
2014-01-28,1000.0
2014-01-29,1010.0
2014-01-30,1000.0
2014-01-31,1010.0
2014-02-03,1015.0
2014-02-04,1010.0
2014-02-05,1003.0
2014-02-06,1003.0
2014-02-07,1003.0
2014-02-08,1003.0
2014-02-09,1003.0
2014-02-10,1003.0
2014-02-11,1003.0
2014-02-12,1003.0
2014-02-13,975.0
2014-02-14,975.0
2014-02-15,1003.0
2014-02-16,1003.0
2014-02-17,975.0
2014-02-18,975.0
