Date,Settle
2011-11-18,0.03177
2011-11-21,0.03153
2011-11-22,0.03046
2011-11-23,0.03093
2011-11-24,0.03046
2011-11-25,0.03097
2011-11-28,0.0308
2011-11-29,0.03068
2011-11-30,0.03017
2011-12-01,0.03025
2011-12-02,0.03038
2011-12-05,0.0304
2011-12-06,0.03077
2011-12-07,0.03074
2011-12-08,0.03089
2011-12-09,0.03092
2011-12-12,0.0311
2011-12-13,0.03128
2011-12-14,0.03144
2011-12-15,0.03136
2011-12-16,0.03151
2011-12-19,0.0316
2011-12-20,0.03151
2011-12-21,0.03126
2011-12-22,0.03084
2011-12-23,0.03073
2011-12-27,0.03096
2011-12-28,0.0314
2011-12-29,0.0317
2011-12-30,0.03178
2012-01-03,0.03129
2012-01-04,0.03146
2012-01-05,0.03165
2012-01-06,0.03171
2012-01-09,0.03155
2012-01-10,0.03121
2012-01-11,0.03141
2012-01-12,0.03125
2012-01-13,0.03158
2012-01-16,0.03158
2012-01-17,0.03115
2012-01-18,0.03153
2012-01-19,0.03168
2012-01-20,0.03174
2012-01-23,0.03215
2012-01-24,0.03225
2012-01-25,0.03249
2012-01-26,0.03282
2012-01-27,0.03288
2012-01-30,0.03267
2012-01-31,0.03276
2012-02-01,0.03295
2012-02-02,0.03293
2012-02-03,0.03292
2012-02-06,0.03315
2012-02-07,0.03344
2012-02-08,0.03342
2012-02-09,0.03346
2012-02-10,0.03313
2012-02-13,0.03332
2012-02-14,0.0331
2012-02-15,0.03311
2012-02-16,0.03318
2012-02-17,0.0333
2012-02-20,0.0333
2012-02-21,0.0335
2012-02-22,0.03362
2012-02-23,0.03375
2012-02-24,0.03421
2012-02-27,0.03433
2012-02-28,0.0345
2012-02-29,0.03423
2012-03-01,0.0342
2012-03-02,0.03408
2012-03-05,0.03402
2012-03-06,0.03371
2012-03-07,0.03365
2012-03-08,0.03398
2012-03-09,0.03397
2012-03-12,0.03382
2012-03-13,0.03391
2012-03-14,0.03388
2012-03-15,0.03384
2012-03-16,0.02884
2012-03-19,0.02869
2012-03-20,0.02886
2012-03-21,0.02887
2012-03-22,0.02902
2012-03-23,0.03399
2012-03-26,0.03418
2012-03-27,0.0341
2012-03-28,0.03362
2012-03-29,0.0333
2012-03-30,0.03349
2012-04-02,0.03356
2012-04-03,0.03363
2012-04-04,0.03338
2012-04-05,0.03337
2012-04-06,0.03321
2012-04-09,0.03327
2012-04-10,0.033
2012-04-11,0.03319
2012-04-12,0.0335
2012-04-13,0.03324
2012-04-16,0.03324
2012-04-17,0.0336
2012-04-18,0.03355
2012-04-19,0.03355
2012-04-20,0.03365
2012-04-23,0.0336
2012-04-24,0.0338
2012-04-25,0.03384
2012-04-26,0.0339
2012-04-27,0.03394
2012-04-30,0.03379
2012-05-01,0.03393
2012-05-02,0.03375
2012-05-03,0.03355
2012-05-04,0.03335
2012-05-07,0.03323
2012-05-08,0.03304
2012-05-09,0.03276
2012-05-10,0.03298
2012-05-11,0.03288
2012-05-14,0.0327
2012-05-15,0.03236
2012-05-16,0.03195
2012-05-17,0.03189
2012-05-18,0.0317
2012-05-21,0.03196
2012-05-22,0.03187
2012-05-23,0.03134
2012-05-24,0.0313
2012-05-25,0.031
2012-05-28,0.031
2012-05-29,0.03091
2012-05-30,0.03043
2012-05-31,0.02973
2012-06-01,0.02961
2012-06-04,0.02991
2012-06-05,0.03004
2012-06-06,0.03091
2012-06-07,0.03095
2012-06-08,0.03081
2012-06-11,0.03047
2012-06-12,0.03037
2012-06-13,0.0308
2012-06-14,0.03073
2012-06-15,0.03079
2012-06-18,0.03031
2012-06-19,0.03046
2012-06-20,0.03021
2012-06-21,0.02972
2012-06-22,0.0297
2012-06-25,0.02961
2012-06-26,0.02999
2012-06-27,0.02993
2012-06-28,0.02974
2012-06-29,0.03041
2012-07-02,0.03029
2012-07-03,0.03072
2012-07-04,0.03072
2012-07-05,0.03037
2012-07-06,0.03003
2012-07-09,0.02996
2012-07-10,0.03004
2012-07-11,0.03024
2012-07-12,0.03025
2012-07-13,0.03037
2012-07-16,0.03037
2012-07-17,0.03046
2012-07-18,0.03067
2012-07-19,0.03109
2012-07-20,0.03091
2012-07-23,0.03037
2012-07-24,0.03014
2012-07-25,0.03033
2012-07-26,0.03064
2012-07-27,0.03087
2012-07-30,0.03086
2012-07-31,0.03083
2012-08-01,0.0307
2012-08-02,0.03043
2012-08-03,0.03096
2012-08-06,0.0314
2012-08-07,0.03147
2012-08-08,0.03156
2012-08-09,0.0311
2012-08-10,0.0311
2012-08-13,0.03124
2012-08-14,0.03126
2012-08-15,0.03117
2012-08-16,0.0312
2012-08-17,0.03095
2012-08-20,0.03103
2012-08-21,0.03125
2012-08-22,0.03131
2012-08-23,0.03145
2012-08-24,0.03134
2012-08-27,0.0312
2012-08-28,0.03117
2012-08-29,0.03092
2012-08-30,0.03062
2012-08-31,0.03088
2012-09-03,0.03088
2012-09-04,0.03088
2012-09-05,0.03091
2012-09-06,0.03121
2012-09-07,0.03156
2012-09-10,0.03156
2012-09-11,0.03174
2012-09-12,0.03184
2012-09-13,0.03217
2012-09-14,0.03285
2012-09-17,0.032585
2012-09-18,0.03188
2012-09-19,0.03167
2012-09-20,0.03155
2012-09-21,0.03174
2012-09-24,0.0316
2012-09-25,0.03173
2012-09-26,0.03149
2012-09-27,0.03182
2012-09-28,0.03166
2012-10-01,0.03175
2012-10-02,0.03181
2012-10-03,0.03161
2012-10-04,0.03206
2012-10-05,0.03188
2012-10-08,0.03175
2012-10-09,0.03173
2012-10-10,0.03177
2012-10-11,0.03189
2012-10-12,0.03186
2012-10-15,0.03172
2012-10-16,0.03206
2012-10-17,0.03219
2012-10-18,0.0322
2012-10-19,0.0321
2012-10-22,0.03184
2012-10-23,0.03157
2012-10-24,0.03153
2012-10-25,0.03163
2012-10-26,0.0316
2012-10-29,0.03148
2012-10-30,0.03162
2012-10-31,0.03165
2012-11-01,0.0317
2012-11-02,0.03155
2012-11-05,0.03144
2012-11-06,0.03165
2012-11-07,0.03151
2012-11-08,0.03151
2012-11-09,0.03149
2012-11-12,0.03145
2012-11-13,0.0313
2012-11-14,0.03135
2012-11-15,0.0314
2012-11-16,0.03132
2012-11-19,0.03164
2012-11-20,0.03184
2012-11-21,0.03194
2012-11-22,0.03194
2012-11-23,0.0321
2012-11-26,0.0321
2012-11-27,0.03211
2012-11-28,0.032
2012-11-29,0.03229
2012-11-30,0.03229
2012-12-03,0.03228
2012-12-04,0.03233
2012-12-05,0.03238
2012-12-06,0.0323
2012-12-07,0.0324
2012-12-10,0.03249
2012-12-11,0.03253
2012-12-12,0.03272
2012-12-13,0.03259
2012-12-14,0.0326
2012-12-17,0.032472
2012-12-18,0.03196
2012-12-19,0.03204
2012-12-20,0.03201
2012-12-21,0.03198
2012-12-24,0.03223
2012-12-26,0.03232
2012-12-27,0.03252
2012-12-28,0.03246
2012-12-31,0.0325
2013-01-02,0.0327
2013-01-03,0.0326
2013-01-04,0.03253
2013-01-07,0.03256
2013-01-08,0.0326
2013-01-09,0.0326
2013-01-10,0.03273
2013-01-11,0.03264
2013-01-14,0.03273
2013-01-15,0.03272
2013-01-16,0.03269
2013-01-17,0.03277
2013-01-18,0.03274
2013-01-21,0.03274
2013-01-22,0.03281
2013-01-23,0.0329
2013-01-24,0.033
2013-01-25,0.03303
2013-01-28,0.03286
2013-01-29,0.03304
2013-01-30,0.03305
2013-01-31,0.03309
2013-02-01,0.03327
2013-02-04,0.03305
2013-02-05,0.03317
2013-02-06,0.03306
2013-02-07,0.03288
2013-02-08,0.03298
2013-02-11,0.03298
2013-02-12,0.0331
2013-02-13,0.0331
2013-02-14,0.03306
2013-02-15,0.03306
2013-02-18,0.03306
2013-02-19,0.03312
2013-02-20,0.03298
2013-02-21,0.03267
2013-02-22,0.03279
2013-02-25,0.03274
2013-02-26,0.03254
2013-02-27,0.03264
2013-02-28,0.03258
2013-03-01,0.03251
2013-03-04,0.03244
2013-03-05,0.03257
2013-03-06,0.03248
2013-03-07,0.03252
2013-03-08,0.03244
2013-03-11,0.03252
2013-03-12,0.03252
2013-03-13,0.03244
2013-03-14,0.03252
2013-03-15,0.03255
2013-03-18,0.03197
2013-03-19,0.03177
2013-03-20,0.03194
2013-03-21,0.03187
2013-03-22,0.03197
2013-03-25,0.03189
2013-03-26,0.03195
2013-03-27,0.03179
2013-03-28,0.03172
2013-04-01,0.03175
2013-04-02,0.03154
2013-04-03,0.03121
2013-04-04,0.03127
2013-04-05,0.03132
2013-04-08,0.03166
2013-04-09,0.03188
2013-04-10,0.03201
2013-04-11,0.03203
2013-04-12,0.03182
2013-04-15,0.03147
2013-04-16,0.03166
2013-04-17,0.03103
2013-04-18,0.03131
2013-04-19,0.03124
2013-04-22,0.03139
2013-04-23,0.03133
2013-04-24,0.0315
2013-04-25,0.03184
2013-04-26,0.03171
2013-04-29,0.03205
2013-04-30,0.03193
2013-05-01,0.03169
2013-05-02,0.03185
2013-05-03,0.03199
2013-05-06,0.03199
2013-05-07,0.03198
2013-05-08,0.03197
2013-05-09,0.03182
2013-05-10,0.03165
2013-05-13,0.0317
2013-05-14,0.03168
2013-05-15,0.03159
2013-05-16,0.03171
2013-05-17,0.03165
2013-05-20,0.03186
2013-05-21,0.03187
2013-05-22,0.03174
2013-05-23,0.03173
2013-05-24,0.03174
2013-05-27,0.03174
2013-05-28,0.03161
2013-05-29,0.03152
2013-05-30,0.03143
2013-05-31,0.03125
2013-06-03,0.03133
2013-06-04,0.03124
2013-06-05,0.03102
2013-06-06,0.03104
2013-06-07,0.03102
2013-06-10,0.03094
2013-06-11,0.03084
2013-06-12,0.03101
2013-06-13,0.03125
2013-06-14,0.03151
2013-06-17,0.031732
2013-06-18,0.03079
2013-06-19,0.03034
2013-06-20,0.02979
2013-06-21,0.03006
2013-06-24,0.03009
2013-06-25,0.03002
2013-06-26,0.02991
2013-06-27,0.03008
2013-06-28,0.03005
2013-07-01,0.02994
2013-07-02,0.02978
2013-07-03,0.0298
2013-07-04,0.0298
2013-07-05,0.02964
2013-07-08,0.02976
2013-07-09,0.02995
2013-07-10,0.03003
2013-07-11,0.03036
2013-07-12,0.03032
2013-07-15,0.03038
2013-07-16,0.03052
2013-07-17,0.03059
2013-07-18,0.0305
2013-07-19,0.03066
2013-07-22,0.03064
2013-07-23,0.03067
2013-07-24,0.03053
2013-07-25,0.03033
2013-07-26,0.03025
2013-07-29,0.03021
2013-07-30,0.03009
2013-07-31,0.03012
2013-08-01,0.03001
2013-08-02,0.03026
2013-08-05,0.03016
2013-08-06,0.03012
2013-08-07,0.03012
2013-08-08,0.03028
2013-08-09,0.03025
2013-08-12,0.03012
2013-08-13,0.03006
2013-08-14,0.03006
2013-08-15,0.03024
2013-08-16,0.03025
2013-08-19,0.0302
2013-08-20,0.03022
2013-08-21,0.03008
2013-08-22,0.03013
2013-08-23,0.03016
2013-08-26,0.03011
2013-08-27,0.03003
2013-08-28,0.03002
2013-08-29,0.03002
2013-08-30,0.02995
2013-09-02,0.02995
2013-09-03,0.02975
2013-09-04,0.02994
2013-09-05,0.02986
2013-09-06,0.03001
2013-09-09,0.03013
2013-09-10,0.0303
2013-09-11,0.03049
2013-09-12,0.03061
2013-09-13,0.03082
2013-09-16,3e-06
2013-09-17,0.03061
2013-09-18,0.03093
2013-09-19,0.03114
2013-09-20,0.031
2013-09-23,0.03101
2013-09-24,0.03094
2013-09-25,0.03073
2013-09-26,0.03052
2013-09-27,0.03052
2013-09-30,0.03048
2013-10-01,0.03064
2013-10-02,0.03066
2013-10-03,0.03072
2013-10-04,0.03072
2013-10-07,0.03066
2013-10-08,0.03052
2013-10-09,0.03059
2013-10-10,0.0307
2013-10-11,0.03065
2013-10-14,0.03064
2013-10-15,0.03067
2013-10-16,0.03085
2013-10-17,0.03107
2013-10-18,0.03105
2013-10-21,0.03101
