Date,Settle
2007-05-11,832.5
2007-05-14,830.45
2007-05-15,830.0
2007-05-16,834.75
2007-05-17,833.0
2007-05-18,839.5
2007-05-21,840.25
2007-05-22,840.25
2007-05-23,839.4
2007-05-24,832.0
2007-05-25,835.5
2007-05-29,838.75
2007-05-30,844.75
2007-05-31,844.65
2007-06-01,848.5
2007-06-04,849.15
2007-06-05,845.4
2007-06-06,835.35
2007-06-07,820.75
2007-06-08,830.0
2007-06-11,832.0
2007-06-12,822.25
2007-06-13,833.5
2007-06-14,838.5
2007-06-15,843.25
2007-06-18,842.05
2007-06-19,843.75
2007-06-20,831.95
2007-06-21,836.5
2007-06-22,827.5
2007-06-25,823.0
2007-06-26,814.75
2007-06-27,826.25
2007-06-28,825.5
2007-06-29,824.95
2007-07-02,833.75
2007-07-03,836.5
2007-07-04,836.5
2007-07-05,836.0
2007-07-06,841.1
2007-07-09,841.0
2007-07-10,829.0
2007-07-11,834.5
2007-07-12,848.0
2007-07-13,850.0
2007-07-16,849.5
2007-07-17,848.95
2007-07-18,846.75
2007-07-19,849.75
2007-07-20,841.25
2007-07-23,843.5
2007-07-24,829.0
2007-07-25,829.1
2007-07-26,809.0
2007-07-27,793.25
2007-07-30,805.75
2007-07-31,796.0
2007-08-01,799.75
2007-08-02,806.25
2007-08-03,785.5
2007-08-06,797.0
2007-08-07,805.5
2007-08-08,816.75
2007-08-09,792.25
2007-08-10,788.75
2007-08-13,791.25
2007-08-14,779.75
2007-08-15,768.0
2007-08-16,772.0
2007-08-20,786.15
2007-08-21,787.1
2007-08-22,797.5
2007-08-23,796.85
2007-08-24,806.25
2007-08-27,798.4
2007-08-28,781.35
2007-08-29,795.9
2007-08-30,794.05
2007-08-31,802.8
2007-09-03,802.8
2007-09-04,810.25
2007-09-05,803.6
2007-09-06,804.9
2007-09-07,794.4
2007-09-10,791.9
2007-09-11,800.9
2007-09-12,802.8
2007-09-13,807.05
2007-09-14,807.5
2007-09-17,802.8
2007-09-18,826.05
2007-09-19,831.25
2007-09-20,825.3
2007-09-21,832.68
2007-09-24,832.68
2007-09-25,830.85
2007-09-26,834.3
2007-09-27,840.25
2007-09-28,837.2
2007-10-01,847.2
2007-10-02,846.15
2007-10-03,844.2
2007-10-04,845.2
2007-10-05,855.1
2007-10-08,851.0
2007-10-09,858.75
2007-10-10,857.3
2007-10-11,853.2
2007-10-12,858.05
2007-10-15,850.2
2007-10-16,842.9
2007-10-17,846.1
2007-10-18,842.9
2007-10-19,821.3
2007-10-22,825.35
2007-10-23,831.7
2007-10-24,830.05
2007-10-25,830.85
2007-10-26,840.2
2007-10-29,843.05
2007-10-30,837.1
2007-10-31,847.6
2007-11-01,826.8
2007-11-02,826.7
2007-11-05,819.6
2007-11-06,830.45
2007-11-07,808.9
2007-11-08,804.9
2007-11-09,793.35
2007-11-12,784.35
2007-11-13,807.2
2007-11-14,805.1
2007-11-15,793.7
2007-11-16,795.2
2007-11-19,783.05
2007-11-20,787.2
2007-11-21,775.2
2007-11-22,775.2
2007-11-23,784.2
2007-11-26,768.1
2007-11-27,777.0
2007-11-28,800.6
2007-11-29,801.15
2007-11-30,808.05
2007-12-03,803.65
2007-12-04,797.6
2007-12-05,809.4
2007-12-06,821.05
2007-12-07,821.2
2007-12-10,827.8
2007-12-11,805.0
2007-12-12,810.85
2007-12-13,810.4
2007-12-14,799.25
2007-12-17,787.1
2007-12-18,792.1
2007-12-19,790.9
2007-12-20,797.45
2007-12-21,803.52
2007-12-24,803.52
2007-12-26,822.0
2007-12-27,811.45
2007-12-28,809.4
2007-12-31,805.05
2008-01-02,795.25
2008-01-03,794.3
2008-01-04,774.1
2008-01-07,772.35
2008-01-08,759.1
2008-01-09,766.75
2008-01-10,770.85
2008-01-11,764.65
2008-01-14,771.15
2008-01-15,753.6
2008-01-16,746.8
2008-01-17,727.3
2008-01-18,719.85
2008-01-21,683.0
2008-01-22,711.5
2008-01-23,729.25
2008-01-24,734.8
2008-01-25,725.7
2008-01-28,737.3
2008-01-29,741.85
2008-01-30,737.4
2008-01-31,751.7
2008-02-01,762.1
2008-02-04,752.45
2008-02-05,733.1
2008-02-06,725.4
2008-02-07,731.25
2008-02-08,726.7
2008-02-11,730.5
2008-02-12,736.6
2008-02-13,744.4
2008-02-14,737.35
2008-02-15,737.15
