Date,Settle
2008-03-18,95.8
2008-03-19,95.8
2008-03-20,95.875
2008-03-25,95.795
2008-03-26,95.81
2008-03-27,95.81
2008-03-28,95.785
2008-03-31,95.855
2008-04-01,95.835
2008-04-02,95.78
2008-04-03,95.83
2008-04-04,95.855
2008-04-07,95.825
2008-04-08,95.77
2008-04-09,95.775
2008-04-10,95.785
2008-04-11,95.86
2008-04-14,95.83
2008-04-15,95.74
2008-04-16,95.675
2008-04-17,95.67
2008-04-18,95.56
2008-04-21,95.645
2008-04-22,95.69
2008-04-23,95.695
2008-04-24,95.655
2008-04-25,95.685
2008-04-28,95.67
2008-04-29,95.73
2008-04-30,95.745
2008-05-01,95.79
2008-05-02,95.65
2008-05-05,95.625
2008-05-06,95.725
2008-05-07,95.735
2008-05-08,95.815
2008-05-09,95.84
2008-05-12,95.805
2008-05-13,95.77
2008-05-14,95.7
2008-05-15,95.64
2008-05-16,95.7
2008-05-19,95.675
2008-05-20,95.715
2008-05-21,95.655
2008-05-22,95.69
2008-05-23,95.695
2008-05-26,95.655
2008-05-27,95.635
2008-05-28,95.545
2008-05-29,95.46
2008-05-30,95.475
2008-06-02,95.53
2008-06-03,95.46
2008-06-04,95.57
2008-06-05,95.425
2008-06-06,95.98
2008-06-09,95.715
2008-06-10,95.74
2008-06-11,95.81
2008-06-12,95.5
2008-06-13,95.435
2008-06-16,95.405
2008-06-17,95.355
2008-06-18,95.335
2008-06-19,95.27
2008-06-20,95.335
2008-06-23,95.325
2008-06-24,95.335
2008-06-25,95.29
2008-06-26,95.41
2008-06-27,95.395
2008-06-30,95.305
2008-07-01,95.3
2008-07-02,95.22
2008-07-03,95.24
2008-07-04,95.345
2008-07-07,95.405
2008-07-08,95.425
2008-07-09,95.425
2008-07-10,95.415
2008-07-11,95.35
2008-07-14,95.405
2008-07-15,95.4
2008-07-16,95.36
2008-07-17,95.31
2008-07-18,95.235
2008-07-21,95.18
2008-07-22,95.175
2008-07-23,95.155
2008-07-24,95.19
2008-07-25,95.165
2008-07-28,95.22
2008-07-29,95.255
2008-07-30,95.345
2008-07-31,95.395
2008-08-01,95.4
2008-08-04,95.425
2008-08-05,95.44
2008-08-06,95.46
2008-08-07,95.595
2008-08-08,95.62
2008-08-11,95.64
2008-08-12,95.68
2008-08-13,95.69
2008-08-14,95.675
2008-08-15,95.72
2008-08-18,95.725
2008-08-19,95.76
2008-08-20,95.695
2008-08-21,95.625
2008-08-22,95.54
2008-08-25,95.64
2008-08-26,95.67
2008-08-27,95.59
2008-08-28,95.595
2008-08-29,95.61
2008-09-01,95.68
2008-09-02,95.65
2008-09-03,95.675
2008-09-04,95.765
2008-09-05,95.835
2008-09-08,95.735
2008-09-09,95.79
2008-09-10,95.745
2008-09-11,95.68
2008-09-12,95.6
2008-09-15,95.51
2008-09-16,95.465
2008-09-17,95.39
2008-09-18,95.32
2008-09-19,95.21
2008-09-22,95.2
2008-09-23,95.255
2008-09-24,95.31
2008-09-25,95.275
2008-09-26,95.295
2008-09-29,95.385
2008-09-30,95.33
2008-10-01,95.39
2008-10-02,95.47
2008-10-03,95.52
2008-10-06,95.64
2008-10-07,95.565
2008-10-08,95.575
2008-10-09,95.54
2008-10-10,95.415
2008-10-13,95.33
2008-10-14,95.335
2008-10-15,95.33
2008-10-16,95.395
2008-10-17,95.44
2008-10-20,95.485
2008-10-21,95.57
2008-10-22,95.655
2008-10-23,95.725
2008-10-24,95.79
2008-10-27,95.805
2008-10-28,95.755
2008-10-29,95.795
2008-10-30,95.835
2008-10-31,95.765
2008-11-03,95.795
2008-11-04,95.745
2008-11-05,95.795
2008-11-06,95.89
2008-11-07,95.93
2008-11-10,96.005
2008-11-11,95.995
2008-11-12,96.015
2008-11-13,95.99
2008-11-14,96.015
2008-11-17,95.84
2008-11-18,95.655
2008-11-19,95.765
2008-11-20,95.845
2008-11-21,95.885
2008-11-24,95.835
2008-11-25,95.93
2008-11-26,96.03
2008-11-27,96.07
2008-11-28,96.02
2008-12-01,96.155
2008-12-02,96.18
2008-12-03,96.21
2008-12-04,96.115
2008-12-05,96.145
2008-12-08,95.95
2008-12-09,95.875
2008-12-10,95.975
2008-12-11,96.005
2008-12-12,95.815
2008-12-15,95.915
2008-12-16,95.91
2008-12-17,96.09
2008-12-18,96.07
2008-12-19,95.96
2008-12-22,96.02
2008-12-23,95.95
2008-12-24,95.84
2008-12-29,95.95
2008-12-30,96.17
