Date,Settle
2013-10-08,4134.0
2013-10-09,4127.0
2013-10-10,4217.0
2013-10-11,4222.0
2013-10-12,4222.0
2013-10-13,4222.0
2013-10-14,4222.5
2013-10-15,4256.0
2013-10-16,4243.0
2013-10-17,4240.0
2013-10-18,4275.5
2013-10-19,4280.5
2013-10-20,4280.5
2013-10-21,4269.0
2013-10-22,4288.0
2013-10-23,4254.5
2013-10-24,4270.0
2013-10-25,4266.0
2013-10-26,4266.0
2013-10-27,4266.0
2013-10-28,4246.0
2013-10-29,4272.0
2013-10-30,4268.0
2013-10-31,4294.5
2013-11-01,4265.5
2013-11-03,4265.5
2013-11-04,4282.0
2013-11-05,4244.5
2013-11-06,4279.5
2013-11-07,4273.5
2013-11-08,4252.5
2013-11-09,4252.5
2013-11-10,4252.5
2013-11-11,4284.0
2013-11-12,4258.5
2013-11-13,4235.0
2013-11-14,4278.0
2013-11-15,4290.6
2013-11-16,4281.5
2013-11-17,4281.5
2013-11-18,4309.5
2013-11-19,4262.0
2013-11-20,4258.0
2013-11-21,4244.0
2013-11-22,4268.5
2013-11-23,4268.5
2013-11-24,4268.5
2013-11-25,4290.5
2013-11-26,4268.0
2013-11-27,4283.0
2013-11-28,4293.0
2013-11-29,4286.0
2013-11-30,4286.0
2013-12-01,4286.0
2013-12-02,4277.0
2013-12-03,4164.0
2013-12-04,4139.0
2013-12-05,4092.0
2013-12-06,4123.0
2013-12-07,4123.0
2013-12-08,4123.0
2013-12-09,4126.5
2013-12-10,4085.5
2013-12-11,4080.0
2013-12-12,4062.5
2013-12-16,4117.5
2013-12-17,4069.0
2013-12-18,4108.5
2013-12-19,4176.5
2013-12-20,4186.7
2013-12-23,4220.0
2013-12-24,4222.5
2013-12-25,4222.5
2013-12-27,4281.0
2013-12-30,4279.5
2013-12-31,4298.5
2014-01-01,4298.5
2014-01-02,4261.0
2014-01-03,4261.0
2014-01-06,4228.5
2014-01-07,4261.0
2014-01-08,4260.5
2014-01-09,4228.5
2014-01-12,4252.0
2014-01-13,4265.0
2014-01-14,4273.5
2014-01-15,4330.5
2014-01-16,4319.5
2014-01-17,4327.6
2014-01-18,4327.6
2014-01-19,4328.5
2014-01-20,4323.5
2014-01-21,4325.0
2014-01-22,4327.0
2014-01-23,4282.5
2014-01-24,4162.5
2014-01-25,4162.5
2014-01-26,4162.5
2014-01-27,4145.0
2014-01-28,4185.5
2014-01-29,4157.0
2014-01-30,4180.5
2014-01-31,4167.0
2014-02-01,4167.0
2014-02-02,4167.0
2014-02-03,4108.5
2014-02-04,4117.5
2014-02-05,4118.0
2014-02-06,4189.0
2014-02-07,4228.5
2014-02-08,4228.5
2014-02-09,4228.5
2014-02-10,4236.5
2014-02-11,4284.5
2014-02-12,4305.5
2014-02-13,4314.0
2014-02-14,4340.0
2014-02-15,4340.0
2014-02-16,4340.0
2014-02-17,4336.5
2014-02-18,4332.5
2014-02-19,4341.0
2014-02-20,4356.0
2014-02-21,4372.8
2014-02-22,4382.5
2014-02-23,4382.5
2014-02-24,4418.5
2014-02-25,4416.0
2014-02-26,4400.5
2014-02-27,4399.0
2014-02-28,4404.5
2014-03-01,4404.5
2014-03-02,4404.5
2014-03-03,4290.0
2014-03-04,4395.0
2014-03-05,4389.5
