Date,Settle
2013-10-08,368.25
2013-10-09,373.75
2013-10-10,377.75
2013-10-11,372.75
2013-10-12,372.75
2013-10-13,372.75
2013-10-14,373.5
2013-10-15,371.5
2013-10-16,377.5
2013-10-17,376.5
2013-10-18,378.0
2013-10-19,378.0
2013-10-20,378.0
2013-10-21,380.25
2013-10-22,378.5
2013-10-23,380.25
2013-10-24,375.5
2013-10-25,370.0
2013-10-26,370.0
2013-10-27,370.0
2013-10-28,365.25
2013-10-29,362.5
2013-10-30,367.75
2013-10-31,373.75
2013-11-01,376.0
2013-11-03,376.0
2013-11-04,373.0
2013-11-05,376.0
2013-11-06,374.5
2013-11-07,377.75
2013-11-08,376.75
2013-11-09,376.75
2013-11-10,376.75
2013-11-11,379.75
2013-11-12,380.5
2013-11-13,380.0
2013-11-14,381.75
2013-11-15,378.5
2013-11-16,378.5
2013-11-17,378.5
2013-11-18,377.5
2013-11-19,372.25
2013-11-20,373.75
2013-11-21,379.0
2013-11-22,378.0
2013-11-23,378.0
2013-11-24,378.0
2013-11-25,376.0
2013-11-26,378.25
2013-11-27,378.75
2013-11-28,379.0
2013-11-29,378.0
2013-11-30,378.0
2013-12-01,378.0
2013-12-02,377.5
2013-12-03,377.5
2013-12-04,378.25
2013-12-05,377.5
2013-12-06,374.5
2013-12-07,374.5
2013-12-08,374.5
2013-12-09,371.75
2013-12-10,365.25
2013-12-11,369.0
2013-12-12,366.0
2013-12-16,366.5
2013-12-17,363.75
2013-12-18,361.25
2013-12-19,367.5
2013-12-20,368.5
2013-12-23,369.25
2013-12-24,367.75
2013-12-25,367.75
2013-12-27,367.0
2013-12-30,367.0
2013-12-31,366.5
2014-01-01,366.5
2014-01-02,362.5
2014-01-03,362.5
2014-01-06,367.25
2014-01-07,362.5
2014-01-08,356.5
2014-01-09,358.0
2014-01-12,356.25
2014-01-13,360.25
2014-01-14,361.75
2014-01-15,363.0
2014-01-16,360.25
2014-01-17,360.5
2014-01-18,360.5
2014-01-19,360.5
2014-01-20,361.25
2014-01-21,359.0
2014-01-22,357.0
2014-01-23,358.5
2014-01-24,358.0
2014-01-25,358.0
2014-01-26,358.0
2014-01-27,360.5
2014-01-28,363.0
2014-01-29,363.25
2014-01-30,366.5
2014-01-31,369.0
2014-02-01,364.25
2014-02-02,364.25
2014-02-03,364.5
2014-02-04,371.5
2014-02-05,375.0
2014-02-06,377.75
2014-02-07,376.25
2014-02-08,376.25
2014-02-09,376.25
2014-02-10,374.0
2014-02-11,373.5
2014-02-12,376.75
2014-02-13,378.25
2014-02-14,383.0
2014-02-15,383.0
2014-02-16,383.0
2014-02-17,388.25
2014-02-18,387.25
2014-02-19,381.25
2014-02-20,389.0
2014-02-21,392.0
2014-02-22,392.0
2014-02-23,392.0
2014-02-24,390.0
2014-02-25,389.75
2014-02-26,394.5
2014-02-27,397.0
2014-02-28,394.75
2014-03-01,394.75
2014-03-02,394.75
2014-03-03,400.0
2014-03-04,402.0
2014-03-05,406.75
2014-03-06,414.0
2014-03-07,411.75
2014-03-10,409.0
2014-03-11,410.25
2014-03-12,403.0
2014-03-13,400.5
2014-03-14,402.5
2014-03-17,396.75
2014-03-18,400.0
2014-03-19,405.25
2014-03-20,402.75
2014-03-21,401.25
2014-03-24,404.5
2014-03-25,408.75
2014-03-26,409.25
2014-03-27,411.0
2014-03-28,412.25
2014-03-31,407.0
2014-04-01,409.75
2014-04-02,409.75
2014-04-03,411.0
2014-04-04,408.75
2014-04-07,411.0
2014-04-08,413.25
2014-04-09,415.5
2014-04-10,415.5
2014-04-11,417.0
2014-04-14,416.5
2014-04-15,419.75
2014-04-16,424.0
2014-04-17,423.75
2014-04-22,422.25
2014-04-23,415.5
2014-04-24,406.75
2014-04-25,396.0
2014-04-28,402.5
2014-04-29,410.5
2014-04-30,416.0
2014-05-01,363.25
2014-05-02,359.25
2014-05-05,357.0
2014-05-06,355.75
2014-05-07,353.0
2014-05-08,357.0
2014-05-09,359.0
2014-05-12,359.25
2014-05-13,362.75
2014-05-14,361.25
2014-05-15,359.25
2014-05-16,360.0
2014-05-19,357.5
2014-05-21,358.25
2014-05-22,361.75
2014-05-23,358.5
2014-05-26,356.0
2014-05-27,353.25
2014-05-28,350.0
2014-05-29,350.5
2014-05-30,350.5
2014-06-02,348.0
2014-06-03,345.0
2014-06-04,346.0
2014-06-05,345.75
2014-06-06,344.25
2014-06-09,344.5
2014-06-10,346.75
2014-06-11,347.25
2014-06-12,348.5
2014-06-13,351.25
2014-06-16,350.25
2014-06-17,346.75
2014-06-18,347.5
2014-06-19,351.5
2014-06-20,353.25
2014-06-23,350.5
2014-06-24,349.0
2014-06-25,351.75
2014-06-26,352.5
2014-06-27,347.75
2014-06-30,343.25
2014-07-01,340.25
2014-07-02,337.25
2014-07-03,337.5
2014-07-04,337.75
2014-07-07,334.25
2014-07-08,335.75
2014-07-09,333.75
2014-07-10,333.5
2014-07-11,331.25
2014-07-14,331.5
2014-07-15,330.0
2014-07-16,325.75
2014-07-17,322.75
2014-07-18,317.25
2014-07-21,309.0
2014-07-22,314.75
2014-07-23,321.75
2014-07-24,319.25
2014-07-25,317.75
2014-07-28,320.0
2014-07-29,319.5
2014-07-30,317.25
2014-08-04,328.0
2014-08-05,325.75
2014-08-06,325.75
2014-08-08,328.0
2014-08-11,324.75
2014-08-12,322.25
2014-08-13,321.75
2014-08-14,322.5
2014-08-15,321.75
2014-08-18,321.5
2014-08-19,319.5
2014-08-20,320.75
2014-08-21,323.5
2014-08-22,324.75
2014-08-25,321.5
2014-08-26,324.25
2014-08-27,325.75
2014-08-28,328.5
2014-08-29,323.75
2014-09-01,323.5
2014-09-02,326.5
2014-09-03,323.0
2014-09-04,323.25
2014-09-05,325.25
2014-09-08,324.75
2014-09-09,324.0
2014-09-10,323.25
2014-09-11,321.25
2014-09-12,321.5
2014-09-15,323.5
2014-09-16,324.0
2014-09-17,325.75
2014-09-18,323.0
2014-09-19,318.25
2014-09-22,310.5
2014-09-23,311.25
2014-09-24,314.75
2014-09-25,317.0
2014-09-26,315.5
2014-09-29,317.5
2014-09-30,318.75
2014-10-01,320.25
2014-10-02,320.75
2014-10-03,325.0
2014-10-06,331.25
2014-10-07,330.75
2014-10-08,328.0
2014-10-09,326.25
2014-10-10,324.0
2014-10-13,322.25
2014-10-14,323.5
2014-10-15,322.75
2014-10-16,322.75
2014-10-17,322.0
2014-10-20,317.75
2014-10-21,320.25
2014-10-22,323.25
2014-10-23,323.75
2014-10-24,323.0
2014-10-28,328.0
2014-10-29,334.5
2014-10-30,329.25
2014-10-31,330.5
2014-11-03,341.0
2014-11-04,336.0
2014-11-05,334.0
2014-11-06,335.75
2014-11-07,334.5
2014-11-10,335.0
2014-11-11,340.25
2014-11-12,337.5
2014-11-13,337.25
2014-11-14,335.75
2014-11-17,336.5
2014-11-18,339.0
2014-11-19,336.5
2014-11-20,337.75
2014-11-21,339.0
2014-11-24,342.0
2014-11-25,344.75
2014-11-26,343.25
2014-11-27,337.75
2014-11-28,337.0
2014-12-01,338.25
2014-12-02,337.0
2014-12-03,337.25
2014-12-04,336.75
2014-12-05,340.25
2014-12-08,343.0
2014-12-09,343.0
2014-12-10,339.5
2014-12-11,342.5
2014-12-12,342.75
2014-12-15,348.0
2014-12-16,344.0
2014-12-17,344.75
2014-12-18,349.5
2014-12-19,349.25
2014-12-22,350.5
2014-12-23,352.0
2014-12-24,353.5
2014-12-29,355.25
2014-12-30,354.75
2014-12-31,351.0
2015-01-02,356.5
2015-01-03,355.75
2015-01-06,355.75
2015-01-07,360.25
2015-01-08,361.5
2015-01-09,361.25
2015-01-12,355.75
2015-01-13,357.0
2015-01-14,355.25
2015-01-15,354.0
2015-01-16,357.0
2015-01-19,358.0
2015-01-20,354.75
2015-01-21,355.0
2015-01-22,355.25
2015-01-23,356.5
2015-01-26,352.75
2015-01-27,346.25
2015-01-28,339.0
2015-01-29,341.5
2015-01-30,350.25
2015-03-02,365.25
2015-03-03,364.75
2015-03-04,365.75
2015-03-05,361.75
2015-03-06,362.5
2015-03-09,365.75
2015-03-10,365.75
2015-03-11,371.0
2015-03-12,368.25
2015-03-13,369.0
2015-03-16,371.0
2015-03-17,369.25
2015-03-18,370.25
2015-03-19,371.0
2015-03-20,371.25
2015-03-23,371.5
2015-03-24,370.0
2015-03-25,366.0
2015-03-26,367.5
2015-03-27,363.75
2015-03-30,363.75
2015-03-31,367.0
2015-04-01,368.25
2015-04-02,363.75
2015-04-07,363.75
2015-04-08,365.25
2015-04-09,369.5
2015-04-10,369.75
2015-04-13,374.5
2015-04-14,374.75
2015-04-15,375.0
2015-04-16,371.5
2015-04-17,374.0
2015-04-20,375.75
2015-04-21,375.75
2015-04-22,375.25
2015-04-23,378.5
2015-04-24,375.5
2015-04-27,376.75
2015-04-28,378.75
2015-04-29,356.5
2015-04-30,343.75
2015-05-04,354.0
2015-05-05,356.25
2015-05-06,356.0
2015-05-07,352.0
2015-05-08,354.25
2015-05-11,359.0
2015-05-12,356.25
2015-05-13,355.75
2015-05-14,354.5
2015-05-15,353.75
2015-05-18,355.75
2015-05-19,357.75
2015-05-20,359.75
2015-05-21,359.5
2015-05-22,359.0
2015-05-25,359.25
2015-05-26,363.0
2015-05-27,362.0
2015-05-28,362.5
2015-05-29,365.75
2015-06-01,376.5
2015-06-02,375.75
2015-06-03,374.75
2015-06-04,372.0
2015-06-05,376.5
2015-06-08,374.5
2015-06-09,372.75
2015-06-10,371.0
2015-06-11,362.25
2015-06-12,372.5
2015-06-15,371.0
