Date,Settle
2013-10-02,129.82
2013-10-03,130.45
2013-10-04,130.08
2013-10-07,129.3
2013-10-08,129.78
2013-10-10,129.16
2013-10-11,130.55
2013-10-15,131.24
2013-10-16,130.72
2013-10-17,130.21
2013-10-18,132.13
2013-10-21,132.3
2013-10-22,132.14
2013-10-23,131.51
2013-10-24,131.0
2013-10-25,130.59
2013-10-28,130.74
2013-10-29,130.19
2013-10-30,132.25
2013-10-31,131.37
2013-11-01,131.79
2013-11-04,131.39
2013-11-05,131.12
2013-11-06,131.22
2013-11-07,130.41
2013-11-08,129.87
2013-11-11,131.28
2013-11-12,130.21
2013-11-13,128.71
2013-11-15,130.54
2013-11-18,132.29
2013-11-19,132.07
2013-11-21,131.95
2013-11-22,132.35
2013-11-25,132.18
2013-11-26,132.58
2013-11-27,133.05
2013-11-28,132.81
2013-11-29,132.79
2013-12-02,133.62
2013-12-03,133.29
2013-12-04,132.18
2013-12-05,131.46
2013-12-06,131.11
2013-12-09,131.53
2013-12-10,131.02
2013-12-11,129.11
2013-12-12,129.35
2013-12-27,130.83
2014-01-10,131.54
2014-01-13,131.75
2014-01-14,131.08
2014-01-15,131.43
2014-01-16,132.01
2014-01-17,133.19
2014-01-20,132.48
2014-01-21,132.53
2014-01-22,132.2
2014-01-23,130.6
2014-01-24,129.12
2014-01-27,126.65
2014-01-28,126.4
2014-01-29,126.06
2014-01-30,125.07
2014-02-04,122.74
2014-02-05,121.5
2014-02-06,122.69
2014-02-07,123.51
2014-02-10,123.21
2014-02-11,124.86
2014-02-12,126.81
2014-02-13,126.54
2014-02-14,127.14
2014-02-17,127.24
2014-02-18,128.12
2014-02-19,129.17
2014-02-20,127.85
2014-02-21,129.05
2014-02-24,128.2
2014-02-25,127.48
2014-02-26,127.58
2014-02-27,129.05
2014-02-28,129.01
2014-03-03,127.6
2014-03-04,128.41
2014-03-05,128.34
2014-03-06,128.77
2014-03-07,128.2
2014-03-10,126.69
2014-03-11,126.98
2014-03-12,125.43
2014-03-13,124.65
2014-03-14,123.44
2014-03-17,123.59
2014-03-18,123.57
2014-03-19,123.56
2014-03-20,121.49
2014-03-21,122.48
2014-03-24,123.69
2014-03-25,123.75
2014-03-26,124.32
2014-03-27,124.21
2014-03-31,125.16
2014-04-01,127.19
2014-04-02,128.39
2014-04-03,128.74
2014-04-04,128.98
2014-04-07,127.48
2014-04-08,127.76
2014-04-09,128.95
2014-04-10,130.99
2014-04-11,131.74
2014-04-14,131.75
2014-04-15,130.28
2014-04-16,130.42
2014-04-17,130.66
2014-04-22,130.78
2014-04-23,129.9
2014-04-24,130.13
2014-04-25,128.04
2014-04-28,127.69
2014-04-29,129.03
2014-04-30,125.78
2014-05-02,126.94
2014-05-05,126.04
2014-05-07,125.05
2014-05-08,124.31
2014-05-09,124.86
2014-05-12,126.78
2014-05-13,127.45
2014-05-14,128.39
2014-05-15,128.99
2014-05-16,129.54
2014-05-19,129.63
2014-05-20,130.25
2014-05-21,129.27
2014-05-22,130.01
2014-05-23,130.31
2014-05-26,130.45
2014-05-27,130.89
2014-05-28,131.31
2014-05-29,131.54
2014-05-30,131.06
2014-06-03,131.45
2014-06-04,131.05
2014-06-05,130.96
2014-06-06,130.27
2014-06-09,130.62
2014-06-10,130.8
2014-06-11,130.22
2014-06-12,130.73
2014-06-13,131.3
2014-06-16,131.09
2014-06-17,130.28
2014-06-18,130.02
2014-06-19,130.87
2014-06-20,130.83
2014-06-23,129.12
2014-06-24,129.66
2014-06-25,129.77
2014-06-26,131.0
2014-06-27,131.15
2014-06-30,130.06
2014-07-02,133.22
2014-07-03,133.33
2014-07-07,133.34
2014-07-08,132.93
2014-07-09,131.23
2014-07-10,131.46
2014-07-11,131.43
2014-07-14,131.5
2014-07-15,131.78
2014-07-16,132.32
2014-07-17,132.27
2014-07-21,131.92
2014-07-22,133.48
2014-07-23,134.01
2014-07-24,134.83
2014-07-25,135.42
2014-07-28,136.1
2014-07-29,137.53
2014-07-30,138.31
2014-07-31,138.36
2014-08-04,136.68
2014-08-05,137.05
2014-08-06,136.83
2014-08-07,135.83
2014-08-08,135.26
2014-08-11,136.36
2014-08-12,136.36
2014-08-13,137.3
2014-08-14,137.67
2014-08-15,138.13
2014-08-18,137.74
2014-08-19,139.21
2014-08-20,140.1
2014-08-21,139.04
2014-08-22,139.55
2014-08-25,140.06
2014-08-26,139.32
2014-08-27,138.48
2014-08-28,137.83
2014-08-29,137.06
2014-09-01,137.19
2014-09-02,137.08
2014-09-03,138.94
2014-09-04,138.73
2014-09-05,138.41
2014-09-08,137.72
2014-09-10,136.38
2014-09-11,136.85
2014-09-12,136.52
2014-09-15,135.55
2014-09-16,134.89
2014-09-17,135.08
2014-09-18,134.55
2014-09-19,135.83
2014-09-22,134.42
2014-09-23,133.73
2014-09-24,133.5
2014-09-25,132.78
2014-09-26,133.06
2014-09-29,129.94
2014-09-30,128.38
2014-10-03,128.56
2014-10-06,130.15
2014-10-07,130.64
2014-10-08,129.96
2014-10-09,131.5
2014-10-10,129.45
2014-10-13,130.01
2014-10-14,129.81
2014-10-15,130.44
2014-10-16,129.32
2014-10-17,129.9
2014-10-20,129.59
2014-10-21,130.0
2014-10-22,131.59
2014-10-23,131.5
2014-10-27,130.68
2014-10-28,131.93
2014-10-29,132.98
2014-10-30,132.51
2014-10-31,133.67
2014-11-03,133.53
2014-11-04,132.71
2014-11-05,131.94
2014-11-06,131.66
2014-11-07,131.49
2014-11-10,132.87
2014-11-11,133.33
2014-11-12,134.1
2014-11-13,134.76
2014-11-14,135.15
2014-11-17,134.03
2014-11-18,132.55
2014-11-19,132.0
2014-11-20,131.61
2014-11-21,131.75
2014-11-24,133.1
2014-11-25,133.04
2014-11-26,134.38
2014-11-27,133.72
2014-11-28,133.17
2014-12-01,130.6
2014-12-02,131.32
2014-12-03,130.5
2014-12-04,131.06
2014-12-05,131.79
2014-12-08,131.03
2014-12-09,129.87
2014-12-10,130.16
2014-12-11,129.06
2014-12-12,128.86
2014-12-15,127.43
2014-12-16,125.34
2014-12-17,123.92
2014-12-18,124.43
2014-12-19,126.07
2014-12-22,126.63
2014-12-23,126.81
2014-12-24,127.54
2014-12-29,128.75
2014-12-30,127.59
2014-12-31,127.73
2015-01-02,128.12
2015-01-05,126.79
2015-01-06,124.8
2015-01-07,124.88
2015-01-08,125.36
2015-01-09,125.51
2015-01-12,127.15
2015-01-13,128.29
2015-01-14,127.94
2015-01-15,128.59
2015-01-16,127.61
2015-01-19,127.09
2015-01-20,127.27
2015-01-21,128.04
2015-01-22,129.03
2015-01-23,130.93
2015-01-26,131.24
2015-01-27,132.14
2015-01-28,132.46
2015-01-30,131.62
2015-02-02,131.2
2015-02-03,130.56
2015-02-04,131.1
2015-02-05,130.72
2015-02-06,131.57
2015-02-09,130.99
2015-02-10,130.79
2015-02-11,129.74
2015-02-12,129.2
2015-02-13,130.44
2015-02-16,130.77
2015-02-17,131.0
2015-02-18,131.25
2015-02-23,131.07
2015-02-24,129.74
2015-02-25,129.97
2015-02-26,129.91
2015-02-27,129.11
2015-03-02,129.42
2015-03-03,130.16
2015-03-04,129.67
2015-03-05,127.82
2015-03-06,127.97
2015-03-09,126.68
2015-03-10,126.11
2015-03-11,125.35
2015-03-12,124.9
2015-03-13,124.09
2015-03-16,123.8
2015-03-17,123.64
2015-03-18,124.29
2015-03-19,126.16
2015-03-20,125.79
2015-03-23,126.39
2015-03-24,126.4
2015-03-25,127.69
2015-03-26,127.78
2015-03-27,128.09
2015-03-30,128.76
2015-03-31,128.22
2015-04-01,128.8
2015-04-02,129.28
2015-04-08,132.42
2015-04-09,135.66
2015-04-10,137.23
2015-04-13,139.29
2015-04-14,138.56
2015-04-15,137.75
2015-04-16,137.39
2015-04-17,137.62
2015-04-20,135.86
2015-04-21,137.33
2015-04-22,137.18
2015-04-23,137.54
2015-04-24,140.05
2015-04-27,142.29
2015-04-28,142.09
2015-04-29,142.33
2015-04-30,141.65
2015-05-04,141.82
2015-05-05,140.35
2015-05-06,139.72
2015-05-07,139.04
2015-05-08,140.62
2015-05-11,140.19
2015-05-12,139.05
2015-05-13,138.48
2015-05-14,138.48
2015-05-15,141.49
2015-05-18,140.78
2015-05-19,140.47
2015-05-20,140.09
2015-05-21,140.47
2015-05-22,142.11
2015-05-26,142.44
2015-05-27,141.35
2015-05-28,139.37
2015-05-29,137.74
2015-06-01,138.03
2015-06-02,137.22
2015-06-03,139.16
2015-06-04,138.77
2015-06-05,137.84
2015-06-08,136.97
2015-06-09,135.69
2015-06-10,134.82
2015-06-11,135.61
2015-06-12,136.95
2015-06-15,135.42
2015-06-16,134.72
2015-06-17,135.4
2015-06-18,135.9
2015-06-19,136.73
2015-06-22,137.77
2015-06-23,139.07
2015-06-24,138.45
2015-06-25,138.29
2015-06-26,136.3
2015-06-29,133.68
2015-06-30,134.27
2015-07-02,135.11
2015-07-03,134.01
2015-07-06,130.42
2015-07-07,130.27
2015-07-08,124.05
2015-07-09,128.99
2015-07-10,130.36
2015-07-13,132.44
2015-07-14,132.09
2015-07-15,132.31
2015-07-16,133.08
2015-07-17,134.37
2015-07-20,134.45
2015-07-21,134.41
2015-07-22,133.21
2015-07-23,134.07
2015-07-24,132.94
2015-07-27,129.64
2015-07-28,130.96
2015-07-29,131.82
2015-07-30,131.56
2015-07-31,132.16
2015-08-03,131.64
2015-08-04,131.33
2015-08-05,132.14
2015-08-06,131.77
2015-08-10,131.49
2015-08-11,131.19
2015-08-12,128.28
2015-08-13,127.87
2015-08-14,127.86
2015-08-17,126.94
2015-08-18,125.27
2015-08-19,123.48
2015-08-20,121.32
2015-08-24,113.74
2015-08-25,114.83
2015-08-26,113.25
2015-08-27,116.06
2015-08-31,114.91
2015-09-01,113.04
2015-09-02,111.62
2015-09-03,111.62
2015-09-07,110.61
2015-09-08,114.12
2015-09-09,118.06
2015-09-10,115.64
2015-09-11,115.19
2015-09-14,115.68
2015-09-15,114.32
2015-09-16,116.73
2015-09-17,116.06
2015-09-18,116.79
2015-09-21,116.07
2015-09-22,116.31
2015-09-23,113.86
2015-09-24,112.86
2015-09-25,113.16
2015-09-29,110.05
2015-09-30,111.13
2015-10-02,114.17
2015-10-05,115.93
2015-10-06,115.83
2015-10-07,118.34
2015-10-08,118.35
2015-10-12,119.6
2015-10-13,118.9
2015-10-14,118.5
2015-10-15,120.51
2015-10-19,121.07
2015-10-20,120.57
2015-10-22,120.08
2015-10-23,121.56
2015-10-26,121.4
2015-10-27,121.47
2015-10-28,121.02
2015-10-29,120.76
2015-11-02,118.17
2015-11-03,119.19
2015-11-04,120.98
2015-11-05,121.16
