Date,Settle
2013-10-01,1441.9
2013-10-02,1443.7
2013-10-03,1444.7
2013-10-04,1443.3
2013-10-07,1445.0
2013-10-08,1443.6
2013-10-09,1444.1
2013-10-10,1443.5
2013-10-11,1443.8
2013-10-14,1444.0
2013-10-15,1441.7
2013-10-16,1444.5
2013-10-17,1446.5
2013-10-18,1448.0
2013-10-21,1447.4
2013-10-22,1447.5
2013-10-23,1449.1
2013-10-24,1448.8
2013-10-25,1448.5
2013-10-28,1448.3
2013-10-29,1449.9
2013-10-30,1451.4
2013-10-31,1450.2
2013-11-01,1450.7
2013-11-04,1449.7
2013-11-05,1449.6
2013-11-06,1448.4
2013-11-07,1451.1
2013-11-08,1450.9
2013-11-11,1450.5
2013-11-12,1449.1
2013-11-13,1449.1
2013-11-15,1446.7
2013-11-18,1448.2
2013-11-19,1449.7
2013-11-21,1447.3
2013-11-22,1447.8
2013-11-25,1447.4
2013-11-26,1449.9
2013-11-27,1450.6
2013-11-28,1451.1
2013-11-29,1450.9
2013-12-02,1449.8
2013-12-03,1448.6
2013-12-04,1448.6
2013-12-05,1448.1
2013-12-06,1444.9
2013-12-09,1446.7
2013-12-11,1441.6
2013-12-12,1440.8
2014-01-07,1438.9
2014-01-08,1437.3
2014-01-09,1437.5
2014-01-10,1438.1
2014-01-13,1440.4
2014-01-14,1442.6
2014-01-15,1442.5
2014-01-16,1441.8
2014-01-17,1442.2
2014-01-20,1443.0
2014-01-21,1440.7
2014-01-22,1441.9
2014-01-23,1444.0
2014-01-24,1447.3
2014-01-27,1446.5
2014-01-28,1445.8
2014-01-29,1446.0
2014-01-30,1447.5
2014-01-31,1447.7
2014-02-03,1447.7
2014-02-04,1447.2
2014-02-05,1448.7
2014-02-06,1447.7
2014-02-07,1447.0
2014-02-10,1448.5
2014-02-11,1448.5
2014-02-12,1448.1
2014-02-13,1449.2
2014-02-14,1449.4
2014-02-17,1448.8
2014-02-18,1449.4
2014-02-19,1449.9
2014-02-20,1451.5
2014-02-21,1450.7
2014-02-24,1450.8
2014-02-25,1451.9
2014-02-26,1451.6
2014-02-27,1451.9
2014-02-28,1451.7
2014-03-03,1452.4
2014-03-04,1452.2
2014-03-05,1450.9
2014-03-06,1451.2
2014-03-07,1450.9
2014-03-11,1447.5
2014-03-12,1447.9
2014-03-13,1445.8
2014-03-14,1447.5
2014-03-17,1447.8
2014-03-18,1448.8
2014-03-19,1449.4
2014-03-20,1450.0
2014-03-21,1450.0
2014-03-24,1449.2
2014-03-25,1449.1
2014-03-26,1447.1
2014-03-27,1447.7
2014-03-28,1447.7
2014-03-31,1446.3
2014-04-01,1446.3
2014-04-02,1447.5
2014-04-03,1445.4
2014-04-04,1445.3
2014-04-07,1449.1
2014-04-08,1448.7
2014-04-09,1448.9
2014-04-10,1450.2
2014-04-11,1450.1
2014-04-14,1450.4
2014-04-15,1450.9
2014-04-16,1450.4
2014-04-17,1450.7
2014-04-18,1450.8
2014-04-21,1450.3
2014-04-22,1450.6
2014-04-23,1449.6
2014-04-24,1448.6
2014-04-25,1448.8
2014-04-28,1449.8
2014-04-29,1449.4
2014-04-30,1449.1
2014-05-01,1449.8
2014-05-02,1450.9
2014-05-05,1450.9
2014-05-06,1450.3
2014-05-07,1452.2
2014-05-08,1451.2
2014-05-09,1451.3
2014-05-12,1450.8
2014-05-13,1450.8
2014-05-14,1451.5
2014-05-15,1452.4
2014-05-16,1453.1
2014-05-19,1452.4
2014-05-20,1452.5
2014-05-21,1451.9
2014-05-22,1451.6
2014-05-23,1452.5
2014-05-26,1452.5
2014-05-27,1452.5
2014-05-28,1454.0
2014-05-29,1454.6
2014-05-30,1454.7
2014-06-02,1454.2
2014-06-03,1453.2
2014-06-04,1453.4
2014-06-05,1453.4
2014-06-06,1455.4
2014-06-09,1454.7
2014-06-11,1452.0
2014-06-12,1452.0
2014-06-13,1452.1
2014-06-16,1452.0
2014-06-17,1453.1
2014-06-18,1452.4
2014-06-19,1453.5
2014-06-20,1454.0
2014-06-23,1454.0
2014-06-24,1454.5
2014-06-25,1455.6
2014-06-26,1456.4
2014-06-27,1457.0
2014-06-30,1456.4
2014-07-01,1456.8
2014-07-02,1456.5
2014-07-03,1456.1
2014-07-07,1456.2
2014-07-08,1457.5
2014-07-09,1458.1
2014-07-10,1458.9
2014-07-11,1459.7
2014-07-14,1458.8
2014-07-15,1458.5
2014-07-16,1458.6
2014-07-17,1459.8
2014-07-21,1457.8
2014-07-22,1458.5
2014-07-23,1459.6
2014-07-24,1459.8
2014-07-25,1458.7
2014-07-28,1459.5
2014-07-29,1460.2
2014-07-30,1460.1
2014-07-31,1459.3
2014-08-01,1459.3
2014-08-04,1460.0
2014-08-05,1460.7
2014-08-06,1460.5
2014-08-07,1459.7
2014-08-08,1462.0
2014-08-11,1461.0
2014-08-12,1461.3
2014-08-13,1461.0
2014-08-14,1461.8
2014-08-15,1461.9
2014-08-18,1462.1
2014-08-19,1462.2
2014-08-20,1460.0
2014-08-21,1459.0
2014-08-22,1461.0
2014-08-25,1460.9
2014-08-26,1461.7
2014-08-27,1462.7
2014-08-28,1462.8
2014-08-29,1462.1
2014-09-01,1462.4
2014-09-02,1461.2
2014-09-03,1460.9
2014-09-04,1461.6
2014-09-05,1460.9
2014-09-08,1461.9
2014-09-10,1455.3
2014-09-11,1455.1
2014-09-12,1453.9
2014-09-15,1452.9
2014-09-16,1453.8
2014-09-17,1455.6
2014-09-18,1454.5
2014-09-19,1455.2
2014-09-22,1457.2
2014-09-23,1457.7
2014-09-24,1458.5
2014-09-25,1459.3
2014-09-26,1458.8
2014-09-29,1458.5
2014-09-30,1458.1
2014-10-01,1458.8
2014-10-02,1459.2
2014-10-03,1459.8
2014-10-06,1459.7
2014-10-07,1460.9
2014-10-08,1461.8
2014-10-09,1462.4
2014-10-10,1461.3
2014-10-13,1462.0
2014-10-14,1461.9
2014-10-15,1462.9
2014-10-16,1463.1
2014-10-17,1463.5
2014-10-20,1463.1
2014-10-21,1463.5
2014-10-22,1463.3
2014-10-23,1463.3
2014-10-27,1464.8
2014-10-28,1465.7
2014-10-29,1465.3
2014-10-30,1465.5
2014-10-31,1466.6
2014-11-03,1466.7
2014-11-04,1466.5
2014-11-05,1466.5
2014-11-06,1464.6
2014-11-07,1463.8
2014-11-10,1466.2
2014-11-11,1461.3
2014-11-12,1458.6
2014-11-13,1461.1
2014-11-14,1462.7
2014-11-17,1461.9
2014-11-18,1460.4
