Date,Settle
2013-10-01,-0.6
2013-10-02,-0.6
2013-10-03,-0.65
2013-10-04,-0.5
2013-10-07,-0.55
2013-10-08,-0.65
2013-10-10,-0.75
2013-10-11,-1.0
2013-10-14,-0.92
2013-10-16,-0.55
2013-10-17,-0.44
2013-10-18,-0.29
2013-10-31,-0.8
2013-11-01,-0.2
2013-11-04,-0.26
2013-11-05,-0.4
2013-11-06,-0.5
2013-11-07,-0.55
2013-11-08,-0.68
2013-11-11,-0.3
2013-11-13,-0.07
2013-11-15,0.25
2013-11-18,0.16
2013-11-19,0.13
2013-11-21,-0.15
2013-11-22,-0.15
2013-11-25,-1.25
2013-11-26,-1.25
2013-11-27,-1.25
2013-11-28,-1.0
2013-12-02,-0.7
2013-12-03,-0.25
2013-12-04,-0.25
2013-12-05,0.15
2013-12-06,0.3
2013-12-09,0.6
2013-12-10,1.0
2013-12-11,1.35
2013-12-12,1.0
2013-12-27,0.2
2014-01-07,0.7
2014-01-08,0.35
2014-01-09,0.25
2014-01-10,0.2
2014-01-15,0.1
2014-01-16,-0.05
2014-01-17,-0.2
2014-01-20,-0.2
2014-01-21,-0.3
2014-01-22,-0.3
2014-01-23,-0.4
2014-01-24,-0.4
2014-01-27,-0.37
2014-01-28,-0.15
2014-01-30,0.07
2014-02-03,-0.1
2014-02-04,-0.07
2014-02-05,-0.5
2014-02-06,-0.47
2014-02-07,-0.35
2014-02-10,-0.4
2014-02-11,-0.45
2014-02-12,-0.75
2014-02-13,-0.76
2014-02-14,-0.93
2014-02-17,-0.85
2014-02-18,-0.85
2014-02-19,-0.85
2014-02-20,-0.85
2014-02-21,-0.85
2014-02-24,-0.75
2014-02-25,-0.8
2014-02-26,-0.8
2014-02-27,-0.8
2014-02-28,-0.75
2014-03-03,-1.38
2014-03-04,-1.33
2014-03-05,-1.33
2014-03-06,-1.48
2014-03-07,-1.45
2014-03-10,-1.3
2014-03-11,-1.35
2014-03-12,-1.35
2014-03-13,-1.35
2014-03-14,-1.22
2014-03-17,-1.38
2014-03-18,-1.85
2014-03-19,-1.85
2014-03-20,-1.85
2014-03-21,-1.7
2014-03-24,-1.73
2014-03-25,-2.0
2014-03-26,-2.0
2014-03-27,-2.0
2014-03-28,-2.0
2014-04-01,-1.95
2014-04-02,-2.0
2014-04-03,-2.08
2014-04-04,-2.3
2014-04-07,-2.19
2014-04-08,-2.2
2014-04-09,-2.6
2014-04-10,-2.6
2014-04-11,-2.55
2014-04-14,-2.35
2014-04-15,-2.3
2014-04-16,-2.3
2014-04-17,-2.3
2014-04-21,-2.25
2014-04-22,-2.4
2014-04-23,-2.4
2014-04-24,-2.4
2014-04-25,-2.4
2014-04-28,-2.4
2014-04-29,-2.4
2014-05-02,-2.5
2014-05-05,-2.5
2014-05-06,-2.45
2014-05-07,-2.3
2014-05-08,-2.2
2014-05-09,-2.1
2014-05-12,-2.0
2014-05-14,-2.15
2014-05-15,-2.25
2014-05-16,-2.29
2014-05-19,-2.35
2014-05-20,-2.35
2014-05-21,-2.35
2014-05-22,-2.25
2014-05-23,-2.1
2014-05-26,-2.1
2014-05-27,-2.1
2014-05-28,-2.6
2014-05-29,-2.6
2014-06-02,-1.25
2014-06-03,-1.12
2014-06-04,-1.11
2014-06-05,-1.02
2014-06-06,-0.65
2014-06-09,-0.42
2014-06-10,-0.26
2014-06-11,-0.48
2014-06-12,-0.65
2014-06-13,-0.67
2014-06-16,-0.54
2014-06-17,-0.5
2014-06-18,-0.38
2014-06-19,0.1
2014-06-20,0.25
2014-06-23,0.32
2014-06-24,0.22
2014-06-25,0.18
2014-06-26,0.18
2014-07-01,-0.41
2014-07-02,-0.52
2014-07-03,-0.57
2014-07-07,-0.35
2014-07-08,-0.5
2014-07-09,-0.55
2014-07-10,-0.35
2014-07-11,-0.3
2014-07-14,-0.2
2014-07-15,-0.15
2014-07-16,-0.13
2014-07-17,-0.17
2014-07-21,-0.25
2014-07-22,-0.21
2014-07-23,-0.13
2014-07-24,0.02
2014-07-25,0.09
2014-07-29,0.08
2014-07-30,0.03
2014-08-01,-0.17
2014-08-04,-0.18
2014-08-05,-0.15
2014-08-06,-0.12
2014-08-07,-0.12
2014-08-08,0.14
2014-08-11,0.1
2014-08-12,0.1
2014-08-13,0.13
2014-08-14,0.18
2014-08-15,0.23
2014-08-18,0.24
2014-08-19,0.17
2014-08-20,-0.02
2014-08-21,-0.25
2014-08-22,-0.29
2014-08-25,-0.45
2014-08-26,-0.29
2014-08-27,-0.4
2014-08-28,-0.45
2014-08-29,-0.13
2014-09-01,-0.44
2014-09-02,-0.35
2014-09-03,0.17
2014-09-04,0.15
2014-09-05,0.14
2014-09-08,0.5
2014-09-09,0.27
2014-09-10,0.2
2014-09-11,0.22
2014-09-12,0.25
2014-09-15,0.16
2014-09-16,0.15
2014-09-17,0.18
2014-09-18,0.14
2014-09-19,0.32
2014-09-22,0.32
2014-09-23,0.4
2014-09-24,0.5
2014-09-25,0.45
2014-09-26,0.4
2014-09-29,0.41
2014-10-01,0.48
2014-10-02,0.52
2014-10-03,0.45
2014-10-07,0.45
2014-10-08,0.87
2014-10-09,0.63
2014-10-10,0.7
2014-10-13,0.7
2014-10-14,0.72
2014-10-15,0.73
2014-10-16,0.79
2014-10-17,1.19
2014-10-20,1.98
2014-10-21,1.68
2014-10-23,1.73
2014-10-27,1.7
2014-10-28,1.85
2014-10-29,2.15
2014-10-30,1.85
2014-11-03,1.8
2014-11-04,2.1
2014-11-05,2.15
2014-11-06,2.57
2014-11-07,2.55
2014-11-10,2.55
2014-11-11,2.83
2014-11-12,3.12
2014-11-13,2.83
2014-11-14,2.0
2014-11-17,1.96
2014-11-18,2.5
2014-11-19,2.5
2014-11-20,2.42
2014-11-21,2.35
2014-11-24,2.3
2014-11-25,2.22
2014-11-26,1.9
2014-11-27,2.05
2014-11-28,2.56
2014-12-01,1.1
2014-12-02,1.35
2014-12-03,1.82
2014-12-04,1.85
2014-12-05,1.67
2014-12-08,1.45
2014-12-09,1.39
2014-12-10,1.26
2014-12-11,1.18
2014-12-12,1.04
2014-12-15,1.07
2014-12-16,1.1
2014-12-17,1.23
2014-12-18,1.39
2014-12-19,1.65
2014-12-22,1.56
2014-12-23,1.48
2014-12-24,1.37
2014-12-26,1.25
2014-12-29,1.2
2014-12-30,1.0
2014-12-31,1.25
2015-01-02,0.29
2015-01-05,-0.14
2015-01-07,0.38
2015-01-08,0.48
2015-01-09,0.16
2015-01-12,0.28
2015-01-13,0.55
2015-01-14,0.6
2015-01-15,1.23
2015-01-16,1.28
2015-01-19,1.35
2015-01-20,1.52
2015-01-21,1.23
2015-01-22,1.1
2015-01-23,1.21
2015-01-26,1.15
2015-01-27,1.6
2015-01-28,2.0
2015-01-29,1.97
2015-01-30,0.99
2015-02-02,3.1
2015-02-03,2.92
2015-02-04,2.58
2015-02-05,2.53
2015-02-06,2.78
2015-02-09,2.79
2015-02-10,2.51
2015-02-11,2.12
2015-02-12,1.3
2015-02-13,1.35
2015-02-16,2.0
2015-02-17,2.31
2015-02-18,2.3
2015-02-23,1.84
2015-02-24,1.4
2015-02-25,1.55
2015-02-26,1.53
2015-02-27,2.11
2015-03-02,-0.85
2015-03-03,-0.47
2015-03-04,-0.48
2015-03-05,-0.43
2015-03-06,-0.85
2015-03-09,-0.8
2015-03-10,-0.9
2015-03-11,-1.12
2015-03-12,-1.1
2015-03-13,-1.1
2015-03-16,-0.85
2015-03-17,-0.62
2015-03-18,-0.75
2015-03-19,-0.98
2015-03-20,-1.04
2015-03-23,-1.08
2015-03-24,-0.81
2015-03-25,-0.83
2015-03-26,-0.62
2015-03-27,-0.54
2015-03-30,-0.49
2015-03-31,-0.73
2015-04-01,-0.8
2015-04-02,-0.75
2015-04-06,-0.69
2015-04-07,-0.48
2015-04-08,-0.48
2015-04-09,-0.42
2015-04-10,-0.57
2015-04-13,-0.58
2015-04-14,-0.49
2015-04-15,-0.35
2015-04-16,-0.26
2015-04-17,-0.2
2015-04-23,-0.01
2015-04-24,-0.01
2015-04-27,-0.01
2015-04-28,-0.13
2015-04-29,-0.18
2015-04-30,-0.29
2015-05-04,-0.28
2015-05-05,-0.16
2015-05-06,0.1
2015-05-07,0.09
2015-05-08,0.37
2015-05-11,0.2
2015-05-12,0.02
2015-05-13,-0.2
2015-05-14,-0.3
2015-05-15,-0.24
2015-05-18,-0.26
2015-05-19,-0.38
2015-05-20,-0.31
2015-05-21,-0.21
2015-05-22,-0.25
2015-05-25,-0.3
2015-05-26,-0.28
2015-05-27,-0.3
2015-05-28,-0.35
2015-05-29,-0.33
2015-06-02,-0.35
2015-06-03,-0.22
2015-06-04,-0.2
2015-06-05,-0.2
2015-06-08,-0.28
2015-06-09,-0.4
2015-06-10,-0.5
2015-06-11,-0.51
2015-06-12,-0.5
2015-06-15,-0.37
2015-06-16,-0.13
2015-06-17,-0.15
2015-06-18,-0.14
2015-06-19,-0.14
2015-06-22,-0.03
2015-06-23,-0.05
2015-06-24,-0.16
2015-06-25,-0.09
2015-06-26,-0.07
2015-06-29,-0.05
2015-06-30,-0.17
2015-07-01,0.23
2015-07-02,0.29
2015-07-03,0.25
2015-07-06,0.2
2015-07-07,0.32
2015-07-08,0.23
2015-07-09,0.28
2015-07-10,0.2
2015-07-13,0.4
2015-07-14,0.61
2015-07-15,0.89
2015-07-16,1.3
2015-07-20,1.02
2015-07-21,1.02
2015-07-22,1.25
2015-07-23,1.75
2015-07-24,1.85
2015-07-27,1.9
2015-07-28,1.82
2015-07-29,1.76
2015-07-30,0.74
2015-07-31,0.73
2015-08-03,0.98
2015-08-04,0.4
2015-08-05,0.57
2015-08-06,0.1
2015-08-11,-0.07
2015-08-12,-0.33
2015-08-13,-0.06
2015-08-14,0.1
2015-08-17,0.23
2015-08-18,0.02
2015-08-19,0.12
2015-08-20,0.25
2015-08-24,0.01
2015-08-25,0.05
2015-08-27,-0.03
2015-08-31,-0.04
2015-09-01,-0.1
2015-09-02,0.2
2015-09-03,0.17
2015-09-07,-0.34
2015-09-08,0.15
2015-09-09,-0.1
2015-09-10,-0.51
2015-09-14,-0.58
2015-09-15,-0.62
2015-09-16,-0.45
2015-09-17,-0.41
2015-09-18,-0.44
2015-09-21,-0.53
2015-09-22,-0.53
2015-09-23,-0.55
2015-09-25,-0.52
2015-09-28,-0.5
2015-09-29,-0.49
2015-09-30,-0.48
2015-10-01,0.83
2015-10-02,0.74
2015-10-05,0.88
2015-10-06,0.8
2015-10-07,0.73
2015-10-08,0.25
2015-10-12,0.16
2015-10-13,0.17
2015-10-14,0.1
2015-10-15,0.19
2015-10-19,0.25
2015-10-20,0.25
2015-10-21,0.19
2015-10-22,0.13
2015-10-23,0.13
2015-10-26,0.1
2015-10-27,0.13
2015-10-28,0.16
2015-10-29,0.16
2015-11-02,0.8
2015-11-03,0.75
2015-11-04,0.55
2015-11-05,0.44
2015-11-09,0.49
2015-11-11,0.44
2015-11-12,0.25
2015-11-16,0.08
2015-11-18,0.06
2015-11-19,0.02
2015-11-23,-0.06
2015-11-24,-0.07
2015-11-25,-0.01
2015-11-26,-0.02
2015-11-30,-0.01
2015-12-01,0.23
2015-12-02,0.18
2015-12-03,0.18
2015-12-07,-0.07
2015-12-08,-0.05
2015-12-09,0.2
2015-12-10,0.21
2015-12-14,0.68
2015-12-15,0.71
2015-12-16,1.0
2015-12-17,1.31
2015-12-21,0.98
2015-12-22,0.89
2015-12-23,0.84
2015-12-24,0.84
2015-12-28,0.81
2015-12-29,0.82
2015-12-30,0.81
2015-12-31,0.81
2016-01-04,1.55
2016-01-05,1.42
2016-01-06,1.32
2016-01-07,1.1
2016-01-11,1.29
2016-01-12,1.56
2016-01-13,1.83
2016-01-14,1.67
2016-01-18,1.47
2016-01-19,1.63
