Date,Settle
2013-10-01,3.5
2013-10-02,2.25
2013-10-03,2.0
2013-10-04,2.75
2013-10-07,2.0
2013-10-08,3.0
2013-10-10,3.5
2013-10-11,3.25
2013-10-14,3.0
2013-10-16,3.0
2013-10-17,2.5
2013-10-18,3.0
2013-10-21,3.0
2013-10-22,3.0
2013-10-23,3.0
2013-10-24,4.25
2013-10-25,9.0
2013-10-28,11.0
2013-10-29,11.0
2013-11-01,10.0
2013-11-04,8.25
2013-11-05,6.75
2013-11-06,5.5
2013-11-07,4.5
2013-11-08,4.5
2013-11-11,4.25
2013-11-12,3.75
2013-11-13,3.43
2013-11-15,3.25
2013-11-18,3.25
2013-11-19,3.75
2013-11-21,5.0
2013-11-22,5.25
2013-11-25,4.0
2013-11-26,3.5
2013-11-27,4.5
2013-11-28,4.5
2013-11-29,4.45
2013-12-02,4.5
2013-12-03,5.25
2013-12-04,5.25
2013-12-05,6.0
2013-12-06,5.5
2013-12-09,6.5
2013-12-10,5.5
2013-12-11,5.75
2013-12-12,6.0
2013-12-27,5.75
2014-01-07,7.25
2014-01-08,7.75
2014-01-09,9.0
2014-01-10,9.0
2014-01-13,8.75
2014-01-14,9.25
2014-01-15,9.0
2014-01-16,9.25
2014-01-17,9.25
2014-01-20,8.0
2014-01-21,9.25
2014-01-22,9.0
2014-01-23,8.5
2014-01-24,9.0
2014-01-27,4.0
2014-01-28,4.0
2014-01-29,9.0
2014-02-03,7.75
2014-02-04,4.75
2014-02-05,4.44
2014-02-06,5.5
2014-02-07,6.0
2014-02-10,5.75
2014-02-11,5.0
2014-02-12,5.0
2014-02-13,5.25
2014-02-14,5.25
2014-02-17,5.25
2014-02-18,5.25
2014-02-19,5.25
2014-02-20,5.25
2014-02-21,5.25
2014-02-24,5.25
2014-02-25,6.0
2014-02-26,6.0
2014-02-27,6.0
2014-03-03,5.75
2014-03-04,5.0
2014-03-05,4.75
2014-03-06,4.75
2014-03-07,5.75
2014-03-10,6.25
2014-03-11,5.25
2014-03-12,6.0
2014-03-13,5.75
2014-03-14,8.5
2014-03-17,8.0
2014-03-18,6.5
2014-03-19,6.5
2014-03-20,9.5
2014-03-21,9.5
2014-03-24,9.5
2014-03-25,9.5
2014-03-26,9.5
2014-03-27,9.5
2014-03-28,9.0
2014-03-31,7.89
2014-04-01,8.5
2014-04-02,8.75
2014-04-03,8.75
2014-04-04,8.75
2014-04-07,8.25
2014-04-08,7.75
2014-04-09,7.75
2014-04-10,6.75
2014-04-11,7.0
2014-04-14,7.0
2014-04-15,7.0
2014-04-16,7.0
2014-04-17,7.0
2014-04-21,7.0
2014-04-22,7.0
2014-04-23,7.0
2014-04-24,7.0
2014-04-25,7.0
2014-04-28,8.0
2014-04-29,8.0
2014-04-30,9.07
2014-05-02,7.0
2014-05-05,7.0
2014-05-06,8.0
2014-05-07,8.5
2014-05-08,10.25
2014-05-09,10.5
2014-05-12,10.75
2014-05-14,10.75
2014-05-15,10.25
2014-05-16,9.77
2014-05-19,10.75
2014-05-20,10.75
2014-05-21,10.75
2014-05-22,10.5
2014-05-23,10.25
2014-05-26,10.25
2014-05-27,10.25
2014-05-28,10.25
2014-05-29,10.25
2014-05-30,10.97
2014-06-02,12.75
2014-06-03,13.25
2014-06-04,12.25
2014-06-05,11.63
2014-06-06,11.0
2014-06-09,10.63
2014-06-10,9.87
2014-06-11,9.75
2014-06-12,8.87
2014-06-13,8.75
2014-06-16,8.0
2014-06-17,7.5
2014-06-18,7.75
2014-06-19,7.5
2014-06-20,7.38
2014-06-23,6.87
2014-06-24,7.0
2014-06-25,7.25
2014-06-26,6.75
2014-06-27,6.37
2014-07-01,5.5
2014-07-02,5.5
2014-07-03,5.87
2014-07-07,6.13
2014-07-08,6.25
2014-07-09,6.25
2014-07-10,7.5
2014-07-11,6.38
2014-07-14,5.75
2014-07-15,4.76
2014-07-16,4.75
2014-07-17,4.37
2014-07-21,4.38
2014-07-22,4.25
2014-07-23,2.75
2014-07-24,2.0
2014-07-25,2.37
2014-07-29,2.75
2014-07-30,3.12
2014-08-01,8.37
2014-08-04,8.12
2014-08-05,7.25
2014-08-06,6.38
2014-08-07,6.87
2014-08-08,6.13
2014-08-11,5.5
2014-08-12,5.0
2014-08-13,5.75
2014-08-14,5.25
2014-08-15,4.62
2014-08-18,5.38
2014-08-19,5.5
2014-08-20,5.25
2014-08-21,5.25
2014-08-22,5.25
2014-08-25,5.25
2014-08-26,6.25
2014-08-27,6.75
2014-08-28,6.75
2014-08-29,6.43
2014-09-01,9.25
2014-09-02,8.25
2014-09-03,7.88
2014-09-04,7.62
2014-09-05,7.63
2014-09-08,7.12
2014-09-09,7.0
2014-09-10,7.12
2014-09-11,6.25
2014-09-12,5.88
2014-09-15,5.25
2014-09-16,6.25
2014-09-17,6.25
2014-09-18,6.0
2014-09-19,6.12
2014-09-22,6.37
2014-09-23,7.0
2014-09-24,7.0
2014-09-25,7.25
2014-09-26,6.62
2014-09-29,6.5
2014-10-01,7.75
2014-10-02,7.12
2014-10-03,7.12
2014-10-07,7.0
2014-10-08,6.5
2014-10-09,6.12
2014-10-10,5.87
2014-10-13,6.38
2014-10-14,6.13
2014-10-15,5.75
2014-10-16,5.75
2014-10-17,6.0
2014-10-20,6.75
2014-10-21,6.12
2014-10-23,6.75
2014-10-27,6.75
2014-10-28,6.75
2014-10-29,6.5
2014-10-30,6.75
2014-10-31,7.02
2014-11-03,8.5
2014-11-04,7.87
2014-11-05,7.12
2014-11-06,6.75
2014-11-07,6.25
2014-11-10,6.38
2014-11-11,6.12
2014-11-12,5.5
2014-11-13,5.25
2014-11-14,4.5
2014-11-17,4.5
2014-11-18,4.13
2014-11-19,3.5
2014-11-20,3.25
2014-11-21,3.25
2014-11-24,3.5
2014-11-25,3.62
2014-11-26,3.25
2014-11-27,3.62
2014-11-28,5.23
2014-12-01,4.5
2014-12-02,4.25
2014-12-03,4.0
2014-12-04,3.75
2014-12-05,3.88
2014-12-08,3.5
2014-12-09,3.13
2014-12-10,3.5
2014-12-11,2.75
2014-12-12,3.5
2014-12-15,3.87
2014-12-16,3.5
2014-12-17,4.0
2014-12-18,4.25
2014-12-19,4.25
2014-12-22,4.75
2014-12-23,4.25
2014-12-24,2.5
2014-12-26,4.0
2014-12-29,4.75
2014-12-30,4.88
2014-12-31,3.49
2015-01-02,7.75
2015-01-05,7.62
2015-01-06,7.25
2015-01-07,5.63
2015-01-08,5.0
2015-01-09,5.5
2015-01-12,5.5
2015-01-13,5.5
2015-01-14,5.63
2015-01-15,5.75
2015-01-16,5.88
2015-01-19,6.38
2015-01-20,6.12
2015-01-21,6.25
2015-01-22,5.87
2015-01-23,7.75
2015-01-26,7.75
2015-01-27,6.62
2015-01-28,6.63
2015-01-29,6.7
2015-01-30,7.04
2015-02-02,11.0
2015-02-03,10.25
2015-02-04,10.37
2015-02-05,10.37
2015-02-06,9.12
2015-02-09,9.5
2015-02-10,9.75
2015-02-11,9.13
2015-02-12,9.0
2015-02-13,9.87
2015-02-16,10.38
2015-02-17,10.25
2015-02-18,10.5
2015-02-23,10.62
2015-02-24,10.62
2015-02-25,9.5
2015-02-26,9.75
2015-02-27,12.03
2015-03-02,14.0
2015-03-03,12.62
2015-03-04,12.0
2015-03-05,11.75
2015-03-06,11.5
2015-03-09,11.0
2015-03-10,11.25
2015-03-11,9.0
2015-03-12,8.12
2015-03-13,8.5
2015-03-16,8.5
2015-03-17,8.5
2015-03-18,9.0
