Date,Settle
2013-10-16,3363.0
2013-10-17,3327.0
2013-10-18,3301.0
2013-10-21,3304.0
2013-10-22,3285.0
2013-10-23,3262.0
2013-10-24,3253.0
2013-10-25,3233.0
2013-10-28,3203.0
2013-10-29,3205.0
2013-10-30,3218.0
2013-10-31,3296.0
2013-11-01,3296.0
2013-11-02,3296.0
2013-11-04,3296.0
2013-11-05,3309.0
2013-11-06,3313.0
2013-11-07,3400.0
2013-11-08,3400.0
2013-11-11,3400.0
2013-11-12,3400.0
2013-11-13,3400.0
2013-11-14,3400.0
2013-11-15,3400.0
2013-11-18,3440.0
2013-11-19,3448.0
2013-11-20,3452.0
2013-11-21,3458.0
2013-11-22,3464.0
2013-11-25,3477.0
2013-11-26,3500.0
2013-11-27,3493.0
2013-11-28,3524.0
2013-11-29,3487.0
2013-12-02,3487.0
2013-12-03,3549.0
2013-12-04,3567.0
2013-12-05,3500.0
2013-12-06,3500.0
2013-12-09,3500.0
2013-12-10,3500.0
2013-12-11,3500.0
2013-12-12,3500.0
2013-12-13,3500.0
2013-12-16,3400.0
2013-12-17,3545.0
2013-12-18,3530.0
2013-12-19,3540.0
2013-12-20,3537.0
2013-12-23,3506.0
2013-12-24,3498.0
2013-12-25,3465.0
2013-12-26,3435.0
2013-12-27,3439.0
2013-12-30,3417.0
2013-12-31,3344.0
2014-01-07,3220.0
2014-01-08,3208.0
2014-01-09,3228.0
2014-01-10,3222.0
2014-01-13,3225.0
2014-01-14,3245.0
2014-01-15,3267.0
2014-01-16,3267.0
2014-01-17,3267.0
2014-01-18,3267.0
2014-01-20,3266.0
2014-01-21,3232.0
2014-01-22,3237.0
2014-01-23,3255.0
2014-01-24,3269.0
2014-01-27,3239.0
2014-01-28,3215.0
2014-01-29,3215.0
2014-01-30,3245.0
2014-02-07,3195.0
2014-02-10,3196.0
2014-02-11,3196.0
2014-02-12,3138.0
2014-02-13,3140.0
2014-02-14,3219.0
2014-02-18,3234.0
2014-02-19,3229.0
2014-02-20,3198.0
2014-02-21,3176.0
2014-02-24,3127.0
2014-02-25,3130.0
2014-02-26,3128.0
2014-02-27,3125.0
2014-02-28,3038.0
2014-03-03,3038.0
2014-03-04,3038.0
2014-03-05,3099.0
2014-03-06,3132.0
2014-03-07,3132.0
2014-03-11,3046.0
2014-03-12,3046.0
2014-03-13,3100.0
2014-03-14,3091.0
2014-03-18,3131.0
2014-03-19,3160.0
2014-03-20,3211.0
2014-03-21,3227.0
2014-03-24,3195.0
2014-03-25,3214.0
2014-03-26,3220.0
2014-03-27,3231.0
2014-03-28,3264.0
2014-03-31,3318.0
2014-04-01,3251.0
2014-04-02,3251.0
2014-04-03,3300.0
2014-04-04,3300.0
2014-04-08,3300.0
2014-04-09,3300.0
2014-04-10,3300.0
2014-04-11,3300.0
2014-04-14,3300.0
2014-04-15,3299.0
2014-04-16,3288.0
2014-04-17,3279.0
2014-04-18,3233.0
2014-04-21,3230.0
2014-04-22,3215.0
2014-04-23,3246.0
2014-04-24,3282.0
2014-04-25,3277.0
2014-04-28,3258.0
2014-04-29,3315.0
2014-04-30,3317.0
2014-05-05,3308.0
2014-05-06,3321.0
2014-05-07,3321.0
2014-05-08,3320.0
2014-05-09,3324.0
2014-05-12,3350.0
2014-05-13,3354.0
2014-05-14,3350.0
2014-05-15,3239.0
2014-05-16,3184.0
2014-05-19,3141.0
2014-05-20,3050.0
2014-05-21,3033.0
2014-05-22,3011.0
2014-05-23,2995.0
2014-05-26,3001.0
2014-05-27,3022.0
2014-05-28,3003.0
2014-05-29,2995.0
2014-05-30,2983.0
2014-06-03,2894.0
2014-06-04,2894.0
2014-06-05,2894.0
2014-06-06,2894.0
2014-06-09,2780.0
2014-06-10,2850.0
2014-06-11,2850.0
2014-06-12,2850.0
2014-06-13,2850.0
2014-06-16,2834.0
2014-06-17,2830.0
2014-06-18,2834.0
2014-06-19,2853.0
2014-06-20,2867.0
2014-06-23,2896.0
2014-06-24,2859.0
2014-06-25,2878.0
2014-06-26,2908.0
2014-06-27,2866.0
2014-06-30,2811.0
2014-07-01,2750.0
2014-07-02,2856.0
2014-07-03,2856.0
2014-07-04,2856.0
2014-07-07,2856.0
2014-07-08,2950.0
2014-07-09,2940.0
2014-07-10,2940.0
2014-07-11,2900.0
2014-07-14,2900.0
2014-07-15,3146.0
2014-07-16,3147.0
2014-07-17,3189.0
2014-07-18,3239.0
2014-07-22,3210.0
2014-07-23,3202.0
2014-07-24,3202.0
2014-07-25,3238.0
2014-07-28,3366.0
2014-07-29,3229.0
2014-07-30,3161.0
2014-07-31,3053.0
2014-08-01,3053.0
2014-08-04,3060.0
2014-08-05,3060.0
2014-08-06,3060.0
2014-08-07,3060.0
2014-08-08,3060.0
2014-08-11,3060.0
2014-08-12,3060.0
2014-08-13,3060.0
2014-08-14,3060.0
2014-08-15,3057.0
2014-08-18,3053.0
2014-08-19,3046.0
2014-08-21,3029.0
2014-08-22,3036.0
2014-08-25,3017.0
2014-08-26,3010.0
2014-08-27,3005.0
2014-08-28,2921.0
2014-08-29,2900.0
2014-09-01,2824.0
2014-09-02,2828.0
2014-09-03,2828.0
2014-09-04,2828.0
2014-09-05,2828.0
2014-09-09,2715.0
2014-09-10,2707.0
2014-09-11,2810.0
2014-09-12,2855.0
2014-09-15,2729.0
2014-09-16,2706.0
2014-09-17,2693.0
2014-09-18,2672.0
2014-09-19,2611.0
2014-09-22,2535.0
2014-09-23,2495.0
2014-09-24,2516.0
2014-09-25,2503.0
2014-09-26,2533.0
2014-09-29,2523.0
2014-09-30,2502.0
2014-10-08,2495.0
2014-10-09,2497.0
2014-10-10,2489.0
2014-10-13,2544.0
2014-10-14,2597.0
2014-10-15,2595.0
2014-10-16,2595.0
2014-10-17,2585.0
2014-10-20,2587.0
2014-10-21,2595.0
2014-10-22,2589.0
2014-10-23,2571.0
2014-10-24,2597.0
2014-10-27,2621.0
2014-10-28,2641.0
2014-10-29,2649.0
2014-10-30,2636.0
2014-10-31,2654.0
2014-11-03,2622.0
2014-11-04,2622.0
2014-11-05,2622.0
2014-11-06,2650.0
2014-11-07,2652.0
2014-11-10,2645.0
2014-11-11,2630.0
2014-11-12,2642.0
2014-11-13,2650.0
2014-11-14,2650.0
2014-11-17,2638.0
2014-11-18,2623.0
2014-11-19,2609.0
2014-11-20,2590.0
2014-11-21,2597.0
2014-11-24,2606.0
2014-11-25,2597.0
2014-11-26,2597.0
2014-11-27,2620.0
2014-11-28,2644.0
2014-12-01,2628.0
2014-12-02,2657.0
2014-12-03,2670.0
2014-12-04,2670.0
2014-12-05,2670.0
2014-12-08,2670.0
2014-12-09,2630.0
2014-12-10,2630.0
2014-12-11,2630.0
2014-12-12,2630.0
2014-12-15,2667.0
2014-12-16,2643.0
2014-12-17,2641.0
2014-12-18,2643.0
2014-12-19,2644.0
2014-12-22,2600.0
2014-12-23,2552.0
2014-12-24,2563.0
2014-12-25,2575.0
2014-12-26,2574.0
2014-12-29,2589.0
2014-12-30,2636.0
2014-12-31,2607.0
2015-01-05,2569.0
2015-01-06,2589.0
2015-01-07,2577.0
2015-01-08,2575.0
2015-01-09,2564.0
2015-01-12,2518.0
2015-01-13,2471.0
2015-01-14,2457.0
2015-01-15,2405.0
2015-01-16,2388.0
2015-01-19,2341.0
2015-01-20,2330.0
2015-01-21,2323.0
2015-01-22,2300.0
2015-01-23,2296.0
2015-01-26,2238.0
2015-01-27,2220.0
2015-01-28,2204.0
2015-01-29,2212.0
2015-01-30,2188.0
2015-02-02,2175.0
2015-02-03,2197.0
2015-02-04,2208.0
2015-02-05,2174.0
2015-02-06,2173.0
2015-02-09,2201.0
2015-02-10,2242.0
2015-02-11,2242.0
2015-02-12,2233.0
2015-02-13,2240.0
2015-02-16,2247.0
2015-02-17,2243.0
2015-02-25,2217.0
2015-02-26,2221.0
2015-02-27,2208.0
2015-03-02,2132.0
2015-03-03,2141.0
2015-03-04,2157.0
2015-03-05,2148.0
2015-03-06,2126.0
2015-03-09,2139.0
2015-03-10,2105.0
2015-03-11,2111.0
2015-03-12,2146.0
2015-03-13,2160.0
2015-03-16,2267.0
2015-03-17,2295.0
2015-03-18,2289.0
2015-03-19,2296.0
2015-03-20,2299.0
2015-03-23,2344.0
2015-03-24,2353.0
2015-03-25,2382.0
2015-03-26,2380.0
2015-03-27,2355.0
2015-03-30,2355.0
2015-03-31,2287.0
2015-04-01,2265.0
2015-04-02,2300.0
2015-04-03,2300.0
2015-04-07,2202.0
2015-04-08,2210.0
2015-04-09,2210.0
