Date,Settle
1992-08-31,96.17
1992-09-01,96.08
1992-09-02,96.16
1992-09-03,96.12
1992-09-04,96.13
1992-09-07,96.17
1992-09-08,96.12
1992-09-09,96.12
1992-09-10,96.0
1992-09-11,96.01
1992-09-14,96.52
1992-09-16,96.45
1992-09-17,96.44
1992-09-18,96.44
1992-09-21,96.41
1992-09-22,96.39
1992-09-24,96.44
1992-09-25,96.44
1992-09-28,96.48
1992-09-29,96.44
1992-09-30,96.47
1992-10-01,96.46
1992-10-02,96.47
1992-10-05,96.43
1992-10-06,96.44
1992-10-07,96.4
1992-10-08,96.4
1992-10-09,96.4
1992-10-12,96.36
1992-10-13,96.38
1992-10-14,96.37
1992-10-15,96.37
1992-10-16,96.38
1992-10-19,96.42
1992-10-20,96.4
1992-10-21,96.37
1992-10-22,96.38
1992-10-23,96.38
1992-10-26,96.37
1992-10-27,96.36
1992-10-28,96.36
1992-10-29,96.39
1992-10-30,96.42
1992-11-02,96.4
1992-11-04,96.38
1992-11-05,96.36
1992-11-06,96.36
1992-11-09,96.36
1992-11-10,96.33
1992-11-11,96.32
1992-11-12,96.34
1992-11-13,96.36
1992-11-16,96.35
1992-11-17,96.34
1992-11-18,96.33
1992-11-19,96.34
1992-11-20,96.32
1992-11-24,96.31
1992-11-25,96.29
1992-11-26,96.26
1992-11-27,96.24
1992-11-30,96.22
1992-12-01,96.25
1992-12-02,96.3
1992-12-03,96.3
1992-12-04,96.3
1992-12-07,96.31
1992-12-08,96.27
1992-12-09,96.27
1992-12-10,96.27
1992-12-11,96.25
1992-12-14,96.22
1992-12-15,96.41
1992-12-16,96.46
1992-12-17,96.47
1992-12-18,96.46
1992-12-21,96.46
1992-12-22,96.43
1992-12-24,96.43
1992-12-25,96.46
1992-12-28,96.45
1992-12-29,96.43
1992-12-30,96.44
1992-12-31,96.45
1993-01-04,96.45
1993-01-05,96.53
1993-01-06,96.53
1993-01-07,96.54
1993-01-08,96.55
1993-01-11,96.52
1993-01-12,96.53
1993-01-13,96.51
1993-01-14,96.53
1993-01-18,96.54
1993-01-19,96.52
1993-01-20,96.56
