Date,Settle
2014-02-18,579.167
2014-02-19,579.081
2014-02-20,579.462
2014-02-21,578.974
2014-02-24,579.419
2014-02-25,578.287
2014-02-26,578.17
2014-02-27,577.812
2014-02-28,577.813
2014-03-03,577.813
2014-03-04,577.813
2014-03-07,578.338
2014-03-11,575.99
2014-03-12,575.291
2014-03-13,574.364
2014-03-14,577.733
2014-03-17,573.393
2014-03-18,574.583
2014-03-19,573.94
2014-03-20,573.464
2014-03-21,583.428
2014-03-24,574.939
2014-03-25,574.305
2014-03-26,578.506
2014-03-27,575.227
2014-03-28,575.26
2014-03-31,574.976
2014-04-01,574.976
2014-04-02,571.725
2014-04-03,575.656
2014-04-04,576.675
2014-04-07,570.889
2014-04-08,577.159
2014-04-09,577.072
2014-04-10,576.2
2014-04-11,574.841
2014-04-14,579.864
2014-04-15,578.551
2014-04-16,576.489
2014-04-17,576.192
2014-04-21,577.161
2014-04-22,576.496
2014-04-23,576.383
2014-04-24,576.816
2014-04-25,576.011
2014-04-28,575.039
2014-04-29,575.568
2014-04-30,575.3
2014-05-01,575.3
2014-05-02,568.378
2014-05-05,566.579
2014-05-06,563.991
2014-05-07,571.302
2014-05-08,570.268
2014-05-09,567.476
2014-05-12,568.875
2014-05-13,571.615
2014-05-14,572.651
2014-05-15,572.856
2014-05-16,573.911
2014-05-19,573.653
2014-05-20,574.066
2014-05-21,575.077
2014-05-22,575.279
2014-05-23,575.628
2014-05-27,574.948
2014-05-28,574.633
2014-05-29,574.643
2014-05-30,574.513
2014-06-02,574.513
2014-06-03,576.088
2014-06-04,573.103
2014-06-05,575.516
2014-06-06,573.749
2014-06-09,576.763
2014-06-10,575.177
2014-06-11,577.149
2014-06-12,585.019
2014-06-13,582.236
2014-06-16,583.698
2014-06-17,585.295
2014-06-18,587.967
2014-06-19,589.597
2014-06-20,589.518
2014-06-23,588.999
2014-06-24,588.852
2014-06-25,588.079
2014-06-26,587.295
2014-06-27,587.254
2014-06-30,587.167
2014-07-01,587.167
2014-07-02,582.016
2014-07-03,581.409
2014-07-07,576.043
2014-07-08,571.171
2014-07-09,570.625
2014-07-10,575.487
2014-07-11,569.489
2014-07-14,572.105
2014-07-15,569.652
2014-07-16,572.231
2014-07-17,572.871
2014-07-18,570.477
2014-07-21,572.447
2014-07-22,571.419
2014-07-23,573.012
2014-07-24,571.943
2014-07-25,573.362
2014-07-28,572.347
2014-07-29,572.287
2014-07-30,572.025
2014-07-31,572.12
2014-08-01,572.12
2014-08-04,566.819
2014-08-05,562.053
2014-08-06,561.575
2014-08-07,566.612
2014-08-08,564.453
2014-08-11,563.268
2014-08-12,559.684
2014-08-13,564.704
2014-08-14,557.12
2014-08-15,561.302
2014-08-18,559.145
2014-08-19,559.491
2014-08-20,561.195
2014-08-21,561.097
2014-08-22,559.613
2014-08-25,560.825
2014-08-26,560.305
2014-08-27,561.549
2014-08-28,561.694
2014-08-29,561.7
2014-09-02,561.7
2014-09-03,559.475
2014-09-04,554.634
2014-09-05,552.526
2014-09-08,551.913
2014-09-09,547.397
2014-09-10,547.659
2014-09-11,548.519
2014-09-12,543.287
2014-09-15,541.989
2014-09-16,543.698
2014-09-17,543.419
2014-09-18,542.264
2014-09-19,543.2
2014-09-22,541.943
2014-09-23,541.947
2014-09-24,542.205
2014-09-25,542.817
2014-09-26,542.806
2014-09-29,542.779
2014-09-30,542.693
2014-10-01,542.693
2014-10-02,527.212
2014-10-03,517.207
2014-10-06,517.29
2014-10-07,512.546
