Date,Settle
2014-02-18,2.09655
2014-02-19,2.10671
2014-02-20,2.10322
2014-02-21,2.1027
2014-02-24,2.1053
2014-02-25,2.10033
2014-02-26,2.10204
2014-02-27,2.10237
2014-02-28,2.10434
2014-03-03,2.10211
2014-03-04,2.10211
2014-03-05,2.11378
2014-03-07,2.13378
2014-03-11,2.13711
2014-03-12,2.13265
2014-03-13,2.1567
2014-03-14,2.20985
2014-03-17,2.18372
2014-03-18,2.16962
2014-03-19,2.16217
2014-03-20,2.16396
2014-03-21,2.16247
2014-03-24,2.15503
2014-03-25,2.15699
2014-03-26,2.16601
2014-03-27,2.17173
2014-03-28,2.1719
2014-03-31,2.1697
2014-04-01,2.17048
2014-04-02,2.1477
2014-04-03,2.18693
2014-04-04,2.23176
2014-04-07,2.21091
2014-04-08,2.22049
2014-04-09,2.23455
2014-04-10,2.24909
2014-04-11,2.25244
2014-04-14,2.2733
2014-04-15,2.28301
2014-04-16,2.27193
2014-04-17,2.25977
2014-04-21,2.26318
2014-04-22,2.25732
2014-04-23,2.25051
2014-04-24,2.25324
2014-04-25,2.25057
2014-04-28,2.25086
2014-04-29,2.24988
2014-04-30,2.24824
2014-05-01,2.24887
2014-05-02,2.17852
2014-05-05,2.15318
2014-05-06,2.14676
2014-05-07,2.16335
2014-05-08,2.16403
2014-05-09,2.16807
2014-05-12,2.17128
2014-05-13,2.17616
2014-05-14,2.18858
2014-05-15,2.17864
2014-05-16,2.18543
2014-05-19,2.18165
2014-05-20,2.18318
2014-05-21,2.18693
2014-05-22,2.18844
2014-05-23,2.19117
2014-05-27,2.18741
2014-05-28,2.18452
2014-05-29,2.1847
2014-05-30,2.18375
2014-06-02,2.18375
2014-06-03,2.1456
2014-06-04,2.13875
2014-06-05,2.13792
2014-06-06,2.13319
2014-06-09,2.15568
2014-06-10,2.15521
2014-06-11,2.16908
2014-06-12,2.21298
2014-06-13,2.21441
2014-06-16,2.21238
2014-06-17,2.21045
2014-06-18,2.21009
2014-06-19,2.21209
2014-06-20,2.21137
2014-06-23,2.20521
2014-06-24,2.20589
2014-06-25,2.20503
2014-06-26,2.20402
2014-06-27,2.20423
2014-06-30,2.20333
2014-07-01,2.20298
2014-07-02,2.18185
2014-07-03,2.18128
2014-07-07,2.16338
2014-07-08,2.15517
2014-07-09,2.15179
2014-07-10,2.17307
2014-07-11,2.15085
2014-07-14,2.16233
2014-07-15,2.15776
2014-07-16,2.16037
2014-07-17,2.17153
2014-07-18,2.17023
2014-07-21,2.17688
2014-07-22,2.17835
2014-07-23,2.18236
2014-07-24,2.18142
2014-07-25,2.18824
2014-07-28,2.18404
