Date,Settle
2014-03-13,8.94
2014-03-14,9.91
2014-03-17,10.01
2014-03-18,10.91
2014-03-19,9.23
2014-03-20,9.91
2014-03-21,9.39
2014-03-24,8.69
2014-03-25,8.66
2014-03-26,9.02
2014-03-27,8.83
2014-03-28,8.98
2014-03-31,9.0
2014-04-01,9.02
2014-04-02,10.0
2014-04-03,9.63
2014-04-04,8.99
2014-04-07,8.9
2014-04-08,7.44
2014-04-09,7.08
2014-04-10,8.28
2014-04-11,8.82
2014-04-14,8.72
2014-04-15,9.02
2014-04-16,8.7
2014-04-17,8.26
2014-04-21,8.49
2014-04-22,8.67
2014-04-23,8.7
2014-04-24,8.72
2014-04-25,8.57
2014-04-28,8.65
2014-04-29,8.67
2014-04-30,8.68
2014-05-01,8.68
2014-05-02,7.45
2014-05-05,7.42
2014-05-06,7.1
2014-05-07,6.88
2014-05-08,6.92
2014-05-09,7.0
2014-05-12,7.25
2014-05-13,7.43
2014-05-14,7.46
2014-05-15,7.41
2014-05-16,7.32
2014-05-19,6.84
2014-05-20,6.85
2014-05-21,7.38
2014-05-22,7.37
2014-05-23,7.29
2014-05-27,8.06
2014-05-28,7.33
2014-05-29,7.38
2014-05-30,7.38
2014-06-02,7.38
2014-06-03,6.51
2014-06-04,6.43
2014-06-05,6.01
2014-06-06,5.79
2014-06-09,5.41
2014-06-10,4.98
2014-06-11,5.35
2014-06-12,5.72
2014-06-13,5.65
2014-06-16,5.89
2014-06-17,6.15
2014-06-18,6.11
2014-06-19,6.26
2014-06-20,6.31
2014-06-23,6.33
2014-06-24,6.47
2014-06-25,6.42
2014-06-26,6.42
2014-06-27,6.54
2014-06-30,6.55
2014-07-01,6.56
2014-07-02,8.46
2014-07-03,8.26
2014-07-07,8.93
2014-07-08,9.08
2014-07-09,9.3
2014-07-10,9.46
2014-07-11,9.78
2014-07-14,11.17
2014-07-15,10.01
2014-07-16,9.98
2014-07-17,9.54
2014-07-18,9.35
2014-07-21,9.38
2014-07-22,10.03
2014-07-23,10.47
2014-07-24,10.32
2014-07-25,10.51
2014-07-28,10.46
2014-07-29,10.27
2014-07-30,10.3
2014-07-31,10.5
2014-08-01,10.47
2014-08-04,9.64
2014-08-05,9.9
2014-08-06,10.58
2014-08-07,11.89
2014-08-08,12.59
2014-08-11,13.12
2014-08-12,12.54
2014-08-13,12.77
2014-08-14,12.53
2014-08-15,12.65
2014-08-18,13.56
2014-08-19,13.99
2014-08-20,12.63
2014-08-21,12.29
2014-08-22,12.28
2014-08-25,12.15
2014-08-26,12.11
2014-08-27,11.95
2014-08-28,11.93
2014-08-29,12.02
2014-09-02,12.05
2014-09-03,7.85
2014-09-04,7.23
2014-09-05,7.52
2014-09-08,7.51
2014-09-09,7.5
2014-09-10,7.66
2014-09-11,7.7
2014-09-12,8.32
2014-09-15,8.92
2014-09-16,8.65
2014-09-17,8.4
2014-09-18,8.51
2014-09-19,8.69
2014-09-22,8.78
2014-09-23,8.53
2014-09-24,8.35
2014-09-25,8.28
2014-09-26,8.27
2014-09-29,8.32
2014-09-30,8.32
2014-10-01,8.33
2014-10-02,6.44
2014-10-03,6.28
2014-10-06,6.29
2014-10-07,6.29
2014-10-08,5.94
2014-10-09,5.92
2014-10-10,6.0
2014-10-13,6.09
2014-10-14,6.65
2014-10-15,6.79
2014-10-16,6.56
2014-10-17,6.33
2014-10-20,6.62
2014-10-21,6.94
2014-10-22,6.64
2014-10-23,6.42
2014-10-24,5.98
2014-10-27,6.11
2014-10-28,6.07
2014-10-29,6.04
2014-10-30,6.03
2014-10-31,6.04
2014-11-03,6.05
2014-11-04,3.28
2014-11-05,2.34
2014-11-06,2.65
2014-11-07,2.67
2014-11-10,2.3
2014-11-11,1.91
2014-11-12,1.78
2014-11-13,1.79
2014-11-14,1.82
2014-11-17,1.72
2014-11-18,1.66
2014-11-19,1.36
2014-11-20,1.42
2014-11-21,1.41
2014-11-24,1.36
2014-11-25,1.27
2014-11-26,1.21
2014-11-28,0.82
2014-12-01,1.36
2014-12-02,0.72
2014-12-03,0.65
2014-12-04,0.68
2014-12-05,0.73
2014-12-08,0.97
2014-12-09,0.98
2014-12-10,1.11
2014-12-11,1.19
2014-12-12,1.56
2014-12-15,-1.98
2014-12-16,-2.15
2014-12-17,-1.99
2014-12-18,-1.91
2014-12-19,-2.12
2014-12-22,-2.1
2014-12-23,-2.08
2014-12-24,-2.09
2014-12-26,-2.05
2015-01-02,-2.65
2015-01-05,-2.48
2015-01-06,-3.17
2015-01-07,-2.51
2015-01-08,-2.37
2015-01-09,-2.26
2015-01-12,-2.36
2015-01-13,-2.34
2015-01-14,-2.73
2015-01-15,-2.93
2015-01-16,-2.78
2015-01-20,-3.08
2015-01-21,-3.23
2015-01-22,-2.68
2015-01-23,-2.83
2015-01-26,-2.41
2015-01-27,-1.77
2015-01-29,-1.94
2015-01-30,-1.8
2015-02-02,-1.67
2015-02-03,-1.42
2015-02-04,-1.56
2015-02-05,-1.35
2015-02-06,-1.18
2015-02-09,-1.16
2015-02-10,-1.05
2015-02-11,-1.05
2015-02-12,0.91
2015-02-13,-1.05
2015-02-17,-1.06
2015-02-18,-1.26
2015-02-19,-1.19
2015-02-20,-1.34
2015-02-23,-1.44
2015-02-24,-1.89
2015-02-25,-1.97
2015-02-26,-1.07
2015-02-27,0.62
2015-03-02,0.88
2015-03-03,-1.24
2015-03-04,-1.23
2015-03-05,-1.3
2015-03-06,-1.26
2015-03-10,-1.32
2015-03-11,-1.31
2015-03-12,-1.22
2015-03-13,-1.16
2015-03-16,-1.12
2015-03-17,0.89
2015-03-18,0.9
2015-03-19,0.66
2015-03-20,0.62
2015-03-23,0.57
2015-03-24,0.54
2015-03-25,0.67
2015-03-26,0.53
2015-03-27,0.51
2015-03-30,0.49
2015-03-31,0.48
2015-04-01,0.48
2015-04-02,0.48
2015-04-06,0.26
2015-04-07,0.3
2015-04-08,0.4
2015-04-09,0.56
2015-04-10,0.43
2015-04-13,0.46
2015-04-14,0.47
2015-04-15,0.54
2015-04-16,0.58
2015-04-17,0.67
2015-04-20,0.68
