Date,Settle
1998-04-16,16.19
1998-04-17,15.89
1998-04-20,16.02
1998-04-21,16.08
1998-04-22,16.05
1998-04-23,16.11
1998-04-24,16.17
1998-04-27,16.36
1998-04-28,16.53
1998-04-29,16.44
1998-04-30,16.56
1998-05-01,16.92
1998-05-05,16.69
1998-05-06,16.54
1998-05-07,16.61
1998-05-08,16.43
1998-05-11,16.4
1998-05-12,16.4
1998-05-13,16.3
1998-05-14,16.37
1998-10-16,16.23
1998-10-19,15.88
1998-10-20,16.17
1998-10-21,16.24
1998-10-22,16.09
1998-10-23,16.17
1998-10-26,16.33
1998-10-27,16.18
1998-10-28,16.47
1998-10-29,16.41
1998-10-30,16.52
1998-11-02,16.26
1998-11-03,16.36
1998-11-04,16.21
1998-11-05,16.02
1998-11-06,16.16
1998-11-09,15.83
1998-11-10,16.08
1998-11-11,16.06
1998-11-12,16.13
1998-11-13,15.75
1999-04-16,15.17
1999-04-19,14.99
1999-04-20,14.72
1999-04-21,14.85
1999-04-22,14.82
1999-04-23,14.71
1999-04-26,14.61
1999-04-27,14.81
1999-04-28,15.11
1999-04-29,15.11
1999-04-30,15.27
1999-05-04,15.56
1999-05-05,15.9
1999-05-06,15.65
1999-05-07,15.75
1999-05-10,16.14
1999-05-11,16.15
1999-05-12,15.92
1999-05-13,16.05
1999-05-14,16.15
1999-10-15,18.2
1999-10-18,17.6
1999-10-19,17.6
1999-10-20,17.74
1999-10-21,17.94
1999-10-22,18.0
1999-10-25,17.76
1999-10-26,17.65
1999-10-27,17.56
1999-10-28,17.1
1999-10-29,17.28
1999-11-01,17.64
1999-11-02,17.02
1999-11-03,17.11
1999-11-04,16.91
1999-11-05,16.81
1999-11-08,17.0
1999-11-09,17.36
1999-11-10,17.54
1999-11-11,17.53
1999-11-12,17.85
1999-11-15,17.84
2000-04-14,18.68
2000-04-17,18.75
2000-04-18,18.71
2000-04-19,18.68
2000-04-20,18.75
2000-04-25,18.6
2000-04-26,18.58
2000-04-27,18.63
2000-04-28,18.88
2000-05-02,18.93
2000-05-03,18.47
2000-05-04,18.51
2000-05-05,18.92
2000-05-08,19.33
2000-05-09,19.71
2000-05-10,19.51
2000-05-11,19.43
2000-05-12,19.28
2000-05-15,19.51
2000-05-16,19.43
2000-10-17,23.17
