Date,Settle
2014-01-03,-12.64
2014-01-06,-13.01
2014-01-07,-13.3
2014-01-08,-14.17
2014-01-09,-14.09
2014-01-10,-13.84
2014-01-13,-14.04
2014-01-14,-13.32
2014-01-16,-12.67
2014-01-17,-12.8
2014-01-21,-12.73
2014-01-22,-12.62
2014-01-23,-12.2
2014-01-24,-12.48
2014-01-27,-12.43
2014-01-28,-12.23
2014-01-29,-12.3
2014-01-30,-12.23
2014-01-31,-12.19
2014-02-03,-12.19
2014-02-04,-8.51
2014-02-05,-8.74
2014-02-06,-9.12
2014-02-07,-9.34
2014-02-10,-8.56
2014-02-11,-8.74
2014-02-12,-8.56
2014-02-13,-8.63
2014-02-14,-8.92
2014-02-18,-8.58
2014-02-19,8.27
2014-02-20,-8.26
2014-02-21,-8.29
2014-02-24,-8.33
2014-02-25,-8.3
2014-02-26,-8.19
2014-02-27,8.15
2014-02-28,-8.14
2014-03-03,-8.14
2014-03-04,-5.95
2014-03-05,-6.22
2014-03-06,-6.37
2014-03-07,-6.28
2014-03-10,-6.65
2014-03-11,-7.68
2014-03-12,-8.65
2014-03-13,-8.22
2014-03-14,-8.59
2014-03-17,-8.03
2014-03-18,-7.64
2014-03-19,-7.07
2014-03-20,-7.43
2014-03-21,-7.41
2014-03-24,-7.34
2014-03-25,-7.47
2014-03-26,-7.28
2014-03-27,7.24
2014-03-28,7.24
2014-03-31,-7.22
2014-04-01,-7.22
2014-04-02,-5.4
2014-04-03,-5.99
2014-04-04,5.73
2014-04-07,5.61
2014-04-08,-5.41
2014-04-09,-4.96
2014-04-10,-4.81
2014-04-11,-4.55
2014-04-14,-5.25
2014-04-15,-5.54
2014-04-16,5.63
2014-04-17,-5.43
2014-04-21,5.5
2014-04-22,-5.93
2014-04-23,-5.97
2014-04-24,-6.14
2014-04-25,-6.26
2014-04-28,-6.01
2014-04-29,-6.05
2014-04-30,6.09
2014-05-01,6.09
2014-05-02,8.71
2014-05-05,-8.19
2014-05-06,-7.66
2014-05-07,-7.51
2014-05-08,-7.79
2014-05-09,-7.83
2014-05-12,-7.76
2014-05-13,-7.57
2014-05-14,-7.64
2014-05-15,-7.88
2014-05-16,-7.99
2014-05-19,-7.59
2014-05-20,-7.65
2014-05-21,7.38
2014-05-22,-7.42
2014-05-23,-7.32
2014-05-27,-7.27
2014-05-28,-7.44
2014-05-29,-7.36
2014-05-30,-7.39
2014-06-02,-7.39
2014-06-03,-5.98
2014-06-04,-5.62
2014-06-05,-6.09
2014-06-06,-5.76
2014-06-09,5.46
2014-06-10,5.28
2014-06-11,5.56
2014-06-12,-6.12
2014-06-13,-5.92
2014-06-16,-6.14
2014-06-17,-6.61
2014-06-18,-7.09
2014-06-19,-7.22
2014-06-20,-6.87
2014-06-23,-6.87
2014-06-24,-6.98
2014-06-25,-6.8
2014-06-26,6.79
2014-06-27,6.81
2014-06-30,-6.77
2014-07-01,-6.77
2014-07-02,-6.92
2014-07-03,-7.04
2014-07-07,-6.87
2014-07-08,-6.09
2014-07-09,-6.48
2014-07-10,-6.36
2014-07-11,-6.61
2014-07-14,-6.79
2014-07-15,-6.88
2014-07-16,-6.41
2014-07-17,-5.87
2014-07-18,-5.68
2014-07-21,-5.43
2014-07-22,-5.47
2014-07-23,-5.46
2014-07-24,-5.49
2014-07-25,5.77
2014-07-28,5.7
2014-07-29,5.82
2014-07-30,-5.77
2014-07-31,-5.85
2014-08-01,-5.85
2014-08-04,-7.75
2014-08-05,-7.84
2014-08-06,-8.2
2014-08-07,-8.52
2014-08-08,-7.99
2014-08-11,7.52
2014-08-12,6.99
2014-08-13,-7.57
2014-08-14,-7.23
2014-08-15,-7.24
2014-08-18,-6.98
2014-08-19,-7.45
2014-08-20,-7.44
2014-08-21,-7.39
2014-08-22,-7.38
2014-08-25,-7.54
2014-08-26,-7.42
2014-08-27,-7.44
2014-08-28,-7.35
2014-08-29,-7.32
2014-09-02,-7.32
2014-09-03,7.8
2014-09-04,-7.88
2014-09-05,-8.07
2014-09-08,-8.15
2014-09-09,-7.46
2014-09-10,-7.45
2014-09-11,-6.75
2014-09-12,-6.55
2014-09-15,-6.15
2014-09-16,5.74
2014-09-17,-5.96
2014-09-18,-5.98
2014-09-19,-6.4
2014-09-22,-6.21
2014-09-23,-5.98
2014-09-24,-5.7
2014-09-25,-5.77
