Date,Settle
2001-01-02,0.5085
2001-01-03,0.5115
2001-01-04,0.509
2001-01-05,0.5065
2001-01-08,0.5075
2001-01-09,0.5095
2001-01-10,0.5095
2001-01-11,0.506
2001-01-12,0.5085
2001-01-16,0.508
2001-01-17,0.5065
2001-01-18,0.5075
2001-01-19,0.507
2001-01-22,0.5075
2001-01-23,0.506
2001-01-24,0.504
2001-01-25,0.504
2001-01-26,0.504
2001-01-29,0.5035
2001-01-30,0.5055
2001-01-31,0.5045
2001-02-01,0.5
2001-02-02,0.5005
2001-02-05,0.4965
2001-02-06,0.498
2001-02-07,0.497
2001-02-08,0.5
2001-02-09,0.503
2001-02-12,0.5025
2001-02-13,0.502
2001-02-14,0.502
2001-02-15,0.5015
2001-02-16,0.5
2001-02-20,0.497
2001-02-21,0.4885
2001-02-22,0.49
2001-02-23,0.491
2001-02-26,0.491
2001-02-27,0.491
2001-02-28,0.489
2001-03-01,0.4802
2001-03-02,0.4839
2001-03-05,0.4849
2001-03-06,0.4823
2001-03-07,0.4804
2001-03-08,0.4782
2001-03-09,0.4796
2001-03-12,0.4768
2001-03-13,0.476
2001-03-14,0.4726
2001-03-15,0.4676
2001-03-16,0.4609
2001-03-19,0.4632
2001-03-20,0.4712
2001-03-21,0.4627
2001-03-22,0.459
2001-03-23,0.4506
2001-03-26,0.4595
2001-03-27,0.4626
2001-03-28,0.4617
2001-03-29,0.4559
2001-03-30,0.4545
2001-04-02,0.4533
2001-04-03,0.4513
2001-04-04,0.4537
2001-04-05,0.4531
2001-04-06,0.4553
2001-04-09,0.4554
2001-04-10,0.4612
2001-04-11,0.4569
2001-04-12,0.4559
2001-04-16,0.4507
2001-04-17,0.4492
2001-04-18,0.455
2001-04-19,0.4492
2001-04-20,0.439
2001-04-23,0.4353
2001-04-24,0.4359
2001-04-25,0.4349
2001-04-26,0.438
2001-04-27,0.447
2001-04-30,0.449
2001-05-01,0.449
2001-05-02,0.4431
2001-05-03,0.4468
2001-05-04,0.4471
2001-05-07,0.4497
2001-05-08,0.4439
2001-05-09,0.4388
2001-05-10,0.4353
2001-05-11,0.4343
2001-05-14,0.4302
2001-05-15,0.4256
2001-05-16,0.4281
2001-05-17,0.4315
2001-05-18,0.4334
2001-05-21,0.4281
2001-05-22,0.4296
2001-05-23,0.4252
2001-05-24,0.4233
2001-05-25,0.4283
2001-05-29,0.4276
2001-05-30,0.4237
2001-05-31,0.425
2001-06-01,0.4053
2001-06-04,0.406
2001-06-05,0.4049
2001-06-06,0.4055
2001-06-07,0.4094
2001-06-08,0.4079
2001-06-11,0.4085
2001-06-12,0.405
2001-06-13,0.4032
2001-06-14,0.4032
2001-06-15,0.4042
2001-06-18,0.3931
2001-06-19,0.3925
2001-06-20,0.392
2001-06-21,0.4068
2001-06-22,0.4191
2001-06-25,0.425
2001-06-26,0.4201
2001-06-27,0.4175
2001-06-28,0.4254
2001-06-29,0.4229
2001-07-02,0.4187
2001-07-03,0.415
2001-07-05,0.3992
2001-07-06,0.4
2001-07-09,0.3968
2001-07-10,0.39
2001-07-11,0.39
2001-07-12,0.3764
2001-07-13,0.38
2001-07-16,0.38
2001-07-17,0.3881
2001-07-18,0.389
2001-07-19,0.3906
2001-07-20,0.3994
2001-07-23,0.4061
2001-07-24,0.3962
2001-07-25,0.3946
2001-07-26,0.3936
2001-07-27,0.3945
2001-07-30,0.3945
2001-07-31,0.3968
2001-08-01,0.392
2001-08-02,0.3947
2001-08-03,0.3924
2001-08-06,0.3994
2001-08-07,0.401
2001-08-08,0.3989
2001-08-09,0.399
2001-08-10,0.4005
2001-08-13,0.3958
2001-08-14,0.3937
2001-08-15,0.3972
2001-08-16,0.3969
2001-08-17,0.3929
2001-08-20,0.3929
2001-08-21,0.3892
2001-08-22,0.3936
2001-08-23,0.393
2001-08-24,0.3907
2001-08-27,0.3894
2001-08-28,0.3898
2001-08-29,0.3919
2001-08-30,0.3952
2001-08-31,0.3922
2001-09-04,0.3735
2001-09-05,0.3715
2001-09-06,0.3682
2001-09-07,0.3682
2001-09-10,0.3676
2001-09-11,0.3676
2001-09-13,0.3594
2001-09-14,0.3558
2001-09-17,0.3594
2001-09-18,0.357
2001-09-19,0.3541
2001-09-20,0.3494
2001-09-21,0.3494
2001-09-24,0.344
2001-09-25,0.357
2001-09-26,0.3555
2001-09-27,0.3596
2001-09-28,0.3661
2001-10-01,0.3621
2001-10-02,0.3603
2001-10-03,0.3563
2001-10-04,0.3562
2001-10-05,0.3541
2001-10-09,0.3479
2001-10-10,0.35
2001-10-11,0.3487
2001-10-12,0.3487
2001-10-15,0.3524
2001-10-16,0.3595
2001-10-17,0.3579
2001-10-18,0.3553
2001-10-19,0.3538
2001-10-22,0.3605
2001-10-23,0.3582
2001-10-24,0.3547
2001-10-25,0.3609
2001-10-26,0.3601
2001-10-29,0.36
2001-10-30,0.3611
2001-10-31,0.3646
2001-11-01,0.3695
2001-11-02,0.369
2001-11-05,0.3785
2001-11-06,0.3784
2001-11-07,0.3858
2001-11-08,0.3909
2001-11-09,0.391
2001-11-13,0.3931
2001-11-14,0.3898
2001-11-15,0.3898
2001-11-16,0.3939
2001-11-19,0.3943
2001-11-20,0.3898
2001-11-21,0.3933
2001-11-23,0.3982
2001-11-26,0.4022
2001-11-27,0.4035
2001-11-28,0.4021
2001-11-29,0.3931
2001-11-30,0.3952
2001-12-03,0.3908
2001-12-04,0.3929
2001-12-05,0.3933
2001-12-06,0.3962
2001-12-07,0.4
2001-12-10,0.4118
2001-12-11,0.4034
2001-12-12,0.4055
2001-12-13,0.4053
2001-12-14,0.4047
2001-12-17,0.4088
2001-12-18,0.4175
2001-12-19,0.4194
2001-12-20,0.4117
2001-12-21,0.4115
2001-12-24,0.4115
2001-12-26,0.4159
2001-12-27,0.4135
2001-12-28,0.4181
2001-12-31,0.4181
2002-01-02,0.4208
2002-01-03,0.4229
2002-01-04,0.4164
2002-01-07,0.4177
2002-01-08,0.41
2002-01-09,0.4102
2002-01-10,0.4022
2002-01-11,0.4069
2002-01-14,0.4073
2002-01-15,0.4114
2002-01-16,0.4143
2002-01-17,0.4107
2002-01-18,0.4123
2002-01-22,0.4122
2002-01-23,0.4117
2002-01-24,0.41
2002-01-25,0.4079
2002-01-28,0.4061
2002-01-29,0.4037
2002-01-30,0.4049
2002-01-31,0.4084
2002-02-01,0.4097
2002-02-04,0.4073
2002-02-05,0.408
2002-02-06,0.4071
2002-02-07,0.4022
2002-02-08,0.4032
2002-02-11,0.4032
2002-02-12,0.4032
2002-02-13,0.4117
2002-02-14,0.4084
2002-02-15,0.4093
2002-02-19,0.4135
2002-02-20,0.4114
2002-02-21,0.4114
2002-02-22,0.4117
2002-02-25,0.4171
2002-02-26,0.4171
2002-02-27,0.4235
2002-02-28,0.4261
2002-03-01,0.409
2002-03-04,0.4128
2002-03-05,0.4122
2002-03-06,0.4061
2002-03-07,0.4054
2002-03-08,0.4092
2002-03-11,0.4085
2002-03-12,0.4133
2002-03-13,0.4109
2002-03-14,0.412
2002-03-15,0.4117
2002-03-18,0.4129
2002-03-19,0.415
2002-03-20,0.4126
2002-03-21,0.4122
2002-03-22,0.4102
2002-03-25,0.4108
2002-03-26,0.4132
2002-03-27,0.4177
2002-03-28,0.4176
2002-04-01,0.4215
2002-04-02,0.4226
2002-04-03,0.4205
2002-04-04,0.4228
2002-04-05,0.4276
2002-04-08,0.4424
2002-04-09,0.4324
2002-04-10,0.4309
2002-04-11,0.43
2002-04-12,0.4258
2002-04-15,0.4219
2002-04-16,0.423
2002-04-17,0.4225
2002-04-18,0.4203
2002-04-19,0.4217
2002-04-22,0.4196
2002-04-23,0.4174
2002-04-24,0.4172
2002-04-25,0.4153
2002-04-26,0.4165
2002-04-29,0.416
2002-04-30,0.4176
2002-05-01,0.4176
2002-05-02,0.4142
2002-05-03,0.4089
2002-05-06,0.406
2002-05-07,0.4103
2002-05-08,0.4079
2002-05-09,0.4022
2002-05-10,0.3998
2002-05-13,0.3971
2002-05-14,0.3961
2002-05-15,0.3982
2002-05-16,0.3998
2002-05-17,0.4016
2002-05-20,0.4029
2002-05-21,0.4019
2002-05-22,0.3982
2002-05-23,0.3923
2002-05-24,0.3947
2002-05-28,0.3957
2002-05-29,0.398
2002-05-30,0.398
2002-05-31,0.3966
2002-06-03,0.3757
2002-06-04,0.3729
2002-06-05,0.3841
2002-06-06,0.3631
2002-06-07,0.3648
2002-06-10,0.3656
2002-06-11,0.3585
2002-06-12,0.3495
2002-06-13,0.355
2002-06-14,0.3541
2002-06-17,0.3589
2002-06-18,0.3562
2002-06-19,0.3559
2002-06-20,0.3481
2002-06-21,0.3348
2002-06-24,0.3429
2002-06-25,0.3421
2002-06-26,0.3377
2002-06-27,0.336
2002-06-28,0.3406
2002-07-01,0.3412
2002-07-02,0.3366
2002-07-03,0.3425
2002-07-05,0.3395
2002-07-08,0.342
2002-07-09,0.342
2002-07-10,0.3427
2002-07-11,0.3462
2002-07-12,0.3474
2002-07-15,0.3421
2002-07-16,0.3425
2002-07-17,0.3395
2002-07-18,0.344
2002-07-19,0.3415
2002-07-22,0.3395
2002-07-23,0.3367
2002-07-24,0.3342
2002-07-25,0.327
2002-07-26,0.3279
2002-07-29,0.3145
2002-07-30,0.3059
2002-07-31,0.3124
2002-08-01,0.32
2002-08-02,0.3351
2002-08-05,0.33
2002-08-06,0.3234
2002-08-07,0.3331
2002-08-08,0.3437
2002-08-09,0.3316
2002-08-12,0.3215
2002-08-13,0.3174
2002-08-14,0.3125
2002-08-15,0.31
2002-08-16,0.3189
2002-08-19,0.3262
2002-08-20,0.3243
2002-08-21,0.327
2002-08-22,0.3166
2002-08-23,0.3236
2002-08-26,0.3276
2002-08-27,0.32
2002-08-28,0.3215
2002-08-29,0.3275
2002-08-30,0.3305
2002-09-03,0.319
2002-09-04,0.3176
2002-09-05,0.3135
2002-09-06,0.3131
2002-09-09,0.3181
2002-09-10,0.3128
2002-09-11,0.3156
2002-09-12,0.3146
2002-09-13,0.3153
2002-09-16,0.3098
2002-09-17,0.3064
2002-09-18,0.3008
