Date,Settle
2014-02-18,0.40118
2014-02-19,0.40868
2014-02-20,0.39783
2014-02-21,0.40355
2014-02-24,0.39845
2014-02-25,0.39247
2014-02-26,0.39013
2014-02-27,0.38803
2014-02-28,0.38829
2014-03-03,0.38829
2014-03-04,0.38829
2014-03-06,0.31411
2014-03-07,0.31714
2014-03-11,0.31488
2014-03-12,0.30902
2014-03-13,0.30604
2014-03-14,0.30113
2014-03-17,0.3036
2014-03-18,0.30063
2014-03-19,0.30095
2014-03-20,0.29902
2014-03-21,0.2986
2014-03-24,0.29792
2014-03-25,0.29917
2014-03-26,0.29955
2014-03-27,0.30036
2014-03-28,0.30045
2014-03-31,0.3
2014-04-01,0.30012
2014-04-02,0.28304
2014-04-03,0.2869
2014-04-04,0.28679
2014-04-07,0.28722
2014-04-08,0.29111
2014-04-09,0.29284
2014-04-10,0.29327
2014-04-11,0.29327
2014-04-14,0.29182
2014-04-15,0.29284
2014-04-16,0.29094
2014-04-17,0.29554
2014-04-21,0.29423
2014-04-22,0.29384
2014-04-23,0.29411
2014-04-24,0.29393
2014-04-25,0.2933
2014-04-28,0.29387
2014-04-29,0.29384
2014-04-30,0.29378
2014-05-01,0.29381
2014-05-02,0.28662
2014-05-05,0.28679
2014-05-06,0.29219
2014-05-07,0.29256
2014-05-08,0.2877
2014-05-09,0.28784
2014-05-12,0.28438
2014-05-13,0.28276
2014-05-14,0.28239
2014-05-15,0.28412
2014-05-16,0.28369
2014-05-19,0.2854
2014-05-20,0.28693
2014-05-21,0.28642
2014-05-22,0.28605
2014-05-23,0.28645
2014-05-27,0.28658
2014-05-28,0.28699
2014-05-29,0.28702
2014-05-30,0.28729
2014-06-02,0.28726
2014-06-03,0.29631
2014-06-04,0.29346
2014-06-05,0.29239
2014-06-06,0.29346
2014-06-09,0.29095
2014-06-10,0.28836
2014-06-11,0.28804
2014-06-12,0.29235
2014-06-13,0.29298
2014-06-16,0.29226
2014-06-17,0.29292
2014-06-18,0.29128
2014-06-19,0.29066
2014-06-20,0.29051
2014-06-23,0.28956
2014-06-24,0.29086
2014-06-25,0.29071
2014-06-26,0.29009
2014-06-27,0.29006
2014-06-30,0.29006
2014-07-01,0.29012
2014-07-02,0.27343
2014-07-03,0.27346
2014-07-07,0.26918
2014-07-08,0.2644
2014-07-09,0.26304
2014-07-10,0.25895
2014-07-11,0.2598
2014-07-14,0.25864
2014-07-15,0.2583
2014-07-16,0.256
2014-07-17,0.24639
2014-07-18,0.24906
2014-07-21,0.24582
2014-07-22,0.24494
2014-07-23,0.24432
2014-07-24,0.24429
2014-07-25,0.24526
2014-07-28,0.24543
2014-07-29,0.24651
2014-07-30,0.24668
2014-07-31,0.24673
2014-08-01,0.24673
2014-08-04,0.22423
2014-08-05,0.22777
2014-08-06,0.22565
2014-08-07,0.22461
2014-08-08,0.22747
2014-08-11,0.22563
2014-08-12,0.22563
2014-08-13,0.22256
2014-08-14,0.22402
2014-08-15,0.22527
2014-08-18,0.22557
2014-08-19,0.22637
2014-08-20,0.22589
2014-08-21,0.22631
2014-08-22,0.22652
2014-08-25,0.22786
2014-08-26,0.22741
2014-08-27,0.22774
2014-08-28,0.22786
2014-08-29,0.22792
2014-09-02,0.22792
2014-09-03,0.22399
2014-09-04,0.22343
2014-09-05,0.22503
2014-09-08,0.22852
2014-09-09,0.23375
2014-09-10,0.23268
2014-09-11,0.22932
2014-09-12,0.23212
2014-09-15,0.23518
2014-09-16,0.23571
2014-09-17,0.23438
2014-09-18,0.23342
2014-09-19,0.23557
2014-09-22,0.23452
2014-09-23,0.23357
2014-09-24,0.2336
2014-09-25,0.23318
2014-09-26,0.23304
2014-09-29,0.23339
2014-09-30,0.23342
2014-10-01,0.23345
2014-10-02,0.23457
2014-10-03,0.24139
2014-10-06,0.23598
2014-10-07,0.23647
2014-10-08,0.23451
2014-10-09,0.23269
2014-10-10,0.23055
2014-10-13,0.23185
2014-10-14,0.22872
2014-10-15,0.22598
2014-10-16,0.22582
2014-10-17,0.2269
2014-10-20,0.22413
2014-10-21,0.22416
2014-10-22,0.22397
2014-10-23,0.22389
2014-10-24,0.22356
2014-10-27,0.22302
2014-10-28,0.22345
2014-10-29,0.22446
2014-10-30,0.22432
2014-10-31,0.22465
2014-11-03,0.22459
2014-11-04,0.2399
2014-11-05,0.23806
2014-11-06,0.24167
2014-11-07,0.2375
2014-11-10,0.23566
2014-11-11,0.23622
2014-11-12,0.23573
2014-11-13,0.22806
2014-11-14,0.22889
2014-11-17,0.22892
2014-11-18,0.22573
2014-11-19,0.2183
2014-11-20,0.21993
2014-11-21,0.22257
2014-11-24,0.22212
2014-11-25,0.22302
2014-11-26,0.22337
2014-11-28,0.2233
2014-12-01,0.2233
2014-12-02,0.17619
2014-12-03,0.15494
2014-12-04,0.15398
2014-12-05,0.17131
2014-12-08,0.16017
2014-12-09,0.17125
2014-12-10,0.16173
2014-12-12,0.17023
2014-12-15,0.16932
2014-12-16,0.17074
2014-12-17,0.17605
2014-12-18,0.17795
2014-12-19,0.17441
2014-12-22,0.17395
2014-12-23,0.17574
2014-12-24,0.17463
2014-12-26,0.17463
2015-01-02,0.18938
2015-01-05,0.1835
2015-01-06,0.18388
2015-01-07,0.18379
2015-01-08,0.1885
2015-01-09,0.1955
2015-01-12,0.19382
2015-01-13,0.19675
2015-01-14,0.20244
2015-01-15,0.20088
2015-01-16,0.19806
2015-01-20,0.196
2015-01-21,0.19613
2015-01-22,0.19294
2015-01-23,0.19313
2015-01-26,0.19291
2015-01-27,0.19456
2015-01-29,0.19353
2015-01-30,0.19363
2015-02-02,0.19381
2015-02-03,0.1774
2015-02-04,0.17063
2015-02-05,0.16773
2015-02-06,0.17076
2015-02-09,0.17204
2015-02-10,0.17336
2015-02-11,0.17747
2015-02-12,0.17605
2015-02-13,0.17618
2015-02-17,0.17684
2015-02-18,0.17855
2015-02-19,0.17878
2015-02-20,0.18217
2015-02-23,0.18191
2015-02-24,0.18286
2015-02-25,0.18303
2015-02-26,0.18388
2015-02-27,0.1848
2015-03-02,0.1849
2015-03-03,0.185
2015-03-04,0.18716
2015-03-05,0.19045
2015-03-06,0.18727
2015-03-10,0.18375
2015-03-11,0.18373
2015-03-12,0.185
2015-03-13,0.18426
2015-03-16,0.18503
2015-03-17,0.18688
2015-03-18,0.18719
2015-03-19,0.18435
2015-03-20,0.18466
2015-03-23,0.18446
2015-03-24,0.18463
2015-03-25,0.18435
2015-03-26,0.18381
2015-03-27,0.18332
2015-03-30,0.18341
2015-03-31,0.18344
2015-04-01,0.18344
2015-04-02,0.18344
2015-04-06,0.16515
2015-04-07,0.16622
2015-04-08,0.16521
2015-04-09,0.16471
2015-04-10,0.16426
2015-04-13,0.16342
2015-04-14,0.1642
2015-04-15,0.16628
2015-04-16,0.1692
2015-04-17,0.16908
2015-04-20,0.16878
2015-04-21,0.17247
2015-04-22,0.17271
2015-04-23,0.17229
2015-04-24,0.17092
2015-04-27,0.17063
2015-04-28,0.17063
2015-04-29,0.17116
2015-04-30,0.17128
2015-05-01,0.17122
2015-05-04,0.18075
2015-05-05,0.18069
2015-05-06,0.18231
2015-05-07,0.18334
2015-05-08,0.19378
2015-05-11,0.19184
2015-05-12,0.19347
2015-05-13,0.19472
2015-05-14,0.19153
2015-05-15,0.19135
2015-05-18,0.19281
2015-05-19,0.19306
2015-05-20,0.19294
2015-05-21,0.19313
2015-05-22,0.1925
2015-05-26,0.19266
2015-05-27,0.19194
2015-05-28,0.19053
2015-05-29,0.19103
2015-06-01,0.19103
2015-06-02,0.1856
2015-06-03,0.185
2015-06-04,0.18071
2015-06-05,0.1767
2015-06-08,0.1802
2015-06-09,0.18745
2015-06-10,0.18781
2015-06-11,0.18716
2015-06-12,0.18608
2015-06-15,0.18642
2015-06-16,0.18648
2015-06-17,0.18707
2015-06-18,0.18614
2015-06-19,0.18645
2015-06-22,0.18622
2015-06-23,0.18685
2015-06-24,0.18778
2015-06-25,0.18875
2015-06-26,0.1881
2015-06-29,0.18847
2015-06-30,0.18858
2015-07-01,0.18864
2015-07-02,0.18165
2015-07-06,0.17142
2015-07-07,0.16935
2015-07-08,0.17332
2015-07-09,0.17798
2015-07-10,0.18111
2015-07-14,0.18386
2015-07-15,0.18421
2015-07-16,0.18395
2015-07-17,0.18276
2015-07-20,0.18278
2015-07-21,0.18477
2015-07-22,0.18605
2015-07-23,0.18597
2015-07-24,0.185
2015-07-27,0.18557
2015-07-28,0.18676
2015-07-29,0.18702
2015-07-30,0.18648
2015-07-31,0.18648
2015-08-03,0.18648
2015-08-04,0.19524
2015-08-05,0.20027
2015-08-06,0.20027
2015-08-07,0.19768
2015-08-10,0.19917
2015-08-11,0.19917
2015-08-12,0.20286
2015-08-13,0.19932
2015-08-14,0.19878
2015-08-17,0.19753
2015-08-18,0.19693
2015-08-19,0.19667
2015-08-20,0.19777
2015-08-21,0.19548
2015-08-24,0.19423
2015-08-25,0.1947
2015-08-26,0.19464
2015-08-27,0.1947
2015-08-28,0.1947
2015-08-31,0.19467
2015-09-01,0.19461
2015-09-02,0.18688
2015-09-03,0.18732
2015-09-04,0.18462
2015-09-08,0.18711
2015-09-09,0.18471
2015-09-10,0.18693
2015-09-11,0.18646
2015-09-14,0.18795
2015-09-15,0.18753
2015-09-16,0.18652
2015-09-17,0.18741
2015-09-18,0.18792
2015-09-21,0.18774
2015-09-22,0.18833
2015-09-23,0.18866
2015-09-24,0.18955
2015-09-25,0.18952
2015-09-28,0.1903
2015-09-29,0.19012
2015-09-30,0.19006
2015-10-01,0.19009
2015-10-02,0.19333
2015-10-05,0.19276
2015-10-06,0.1954
2015-10-07,0.1979
2015-10-08,0.19682
2015-10-09,0.19637
2015-10-12,0.19764
2015-10-13,0.19799
2015-10-14,0.1983
2015-10-15,0.19824
2015-10-16,0.19702
2015-10-19,0.19815
2015-10-20,0.19815
2015-10-21,0.1973
2015-10-22,0.19773
2015-10-23,0.19705
2015-10-26,0.1969
2015-10-27,0.19713
2015-10-28,0.19651
2015-10-29,0.19653
2015-10-30,0.19634
2015-11-02,0.19634
2015-11-03,0.18316
2015-11-04,0.18372
2015-11-05,0.18796
2015-11-06,0.18592
2015-11-09,0.18356
