Date,Settle
2014-02-18,100.51
2014-02-19,100.83
2014-02-20,100.78
2014-02-21,100.61
2014-02-24,100.77
2014-02-25,100.57
2014-02-26,100.69
2014-02-27,100.67
2014-02-28,100.68
2014-03-03,104.69
2014-03-04,103.19
2014-03-05,101.51
2014-03-06,101.62
2014-03-07,102.43
2014-03-10,101.34
2014-03-11,100.59
2014-03-12,99.27
2014-03-13,99.42
2014-03-14,99.79
2014-03-17,99.32
2014-03-18,99.97
2014-03-19,100.13
2014-03-20,100.0
2014-03-21,100.18
2014-03-24,100.22
2014-03-25,100.13
2014-03-26,100.33
2014-03-27,100.48
2014-03-28,100.51
2014-03-31,101.36
2014-04-01,99.54
2014-04-02,99.42
2014-04-03,100.04
2014-04-04,100.77
2014-04-07,100.21
2014-04-08,101.79
2014-04-09,102.48
2014-04-10,102.33
2014-04-11,102.51
2014-04-14,102.77
2014-04-15,102.63
2014-04-16,102.65
2014-04-17,102.82
2014-04-21,102.91
2014-04-22,102.26
2014-04-23,102.17
2014-04-24,102.29
2014-04-25,102.03
2014-04-28,102.07
2014-04-29,102.11
2014-04-30,99.53
2014-05-01,99.2
2014-05-02,99.5
2014-05-05,99.24
2014-05-06,99.22
2014-05-07,100.27
2014-05-08,99.91
2014-05-09,99.73
2014-05-12,100.14
2014-05-13,100.82
2014-05-14,101.21
2014-05-15,100.85
2014-05-16,101.07
2014-05-19,101.3
2014-05-20,101.37
2014-05-21,101.95
2014-05-22,101.85
2014-05-23,102.0
2014-05-27,101.95
2014-05-28,101.75
2014-05-29,101.84
2014-05-30,102.5
2014-06-02,102.28
2014-06-03,102.45
2014-06-04,102.43
2014-06-05,102.3
2014-06-06,102.44
2014-06-09,103.74
2014-06-10,103.69
2014-06-11,103.74
2014-06-12,105.07
2014-06-13,105.29
2014-06-16,105.32
2014-06-17,105.1
2014-06-18,104.96
2014-06-19,105.14
2014-06-20,105.4
2014-06-23,105.21
2014-06-24,105.18
2014-06-25,105.27
2014-06-26,105.17
2014-06-27,105.16
2014-06-30,105.17
2014-07-01,105.15
2014-07-02,104.34
2014-07-03,103.96
2014-07-07,103.52
2014-07-08,103.38
2014-07-09,102.54
2014-07-10,103.01
2014-07-11,101.58
2014-07-14,101.66
2014-07-15,101.1
2014-07-16,101.72
2014-07-17,102.6
2014-07-18,102.51
2014-07-21,102.93
2014-07-22,102.77
2014-07-23,103.0
2014-07-24,102.72
2014-07-25,102.72
2014-07-28,102.65
2014-07-29,102.55
2014-07-30,102.49
2014-07-31,97.89
2014-08-01,97.57
2014-08-04,97.96
2014-08-05,97.18
2014-08-06,96.83
2014-08-07,97.18
2014-08-08,97.36
2014-08-11,97.65
2014-08-12,97.17
2014-08-13,97.32
2014-08-14,95.95
2014-08-15,96.7
2014-08-18,96.04
2014-08-19,95.56
2014-08-20,95.84
2014-08-21,96.01
2014-08-22,95.92
2014-08-25,95.85
2014-08-26,95.94
2014-08-27,95.95
2014-08-28,96.01
2014-08-29,95.69
2014-09-02,92.66
2014-09-03,95.17
2014-09-04,94.22
2014-09-05,93.27
2014-09-08,92.75
2014-09-09,92.75
2014-09-10,91.98
2014-09-11,92.72
