Date,Settle
2014-02-18,109.09
2014-02-19,109.1
2014-02-20,109.04
2014-02-21,108.9
2014-02-24,109.1
2014-02-25,108.87
2014-02-26,108.88
2014-02-27,108.82
2014-02-28,108.82
2014-03-03,108.82
2014-03-04,109.14
2014-03-06,107.99
2014-03-07,108.71
2014-03-10,107.99
2014-03-11,108.27
2014-03-12,107.92
2014-03-13,107.64
2014-03-14,108.38
2014-03-17,107.35
2014-03-18,107.61
2014-03-19,107.2
2014-03-20,107.43
2014-03-21,107.59
2014-03-24,107.56
2014-03-25,107.6
2014-03-26,107.61
2014-03-27,107.72
2014-03-28,107.75
2014-03-31,107.73
2014-04-01,105.59
2014-04-02,104.82
2014-04-03,106.03
2014-04-04,106.5
2014-04-07,105.82
2014-04-08,107.2
2014-04-09,107.44
2014-04-10,107.14
2014-04-11,107.06
2014-04-14,108.02
2014-04-15,108.17
2014-04-16,108.28
2014-04-17,108.25
2014-04-21,108.41
2014-04-22,108.19
2014-04-23,108.14
2014-04-24,108.43
2014-04-25,108.29
2014-04-28,108.08
2014-04-29,108.16
2014-04-30,108.12
2014-05-01,107.46
2014-05-02,108.21
2014-05-05,107.43
2014-05-06,106.88
2014-05-07,107.78
2014-05-08,107.7
2014-05-09,107.56
2014-05-12,107.9
2014-05-13,108.39
2014-05-14,108.85
2014-05-15,108.73
2014-05-16,109.06
2014-05-19,108.89
2014-05-20,109.02
2014-05-21,109.33
2014-05-22,109.27
2014-05-23,109.32
2014-05-27,109.22
2014-05-28,109.19
2014-05-29,109.2
2014-05-30,109.18
2014-06-02,108.45
2014-06-03,108.43
2014-06-04,108.05
2014-06-05,108.39
2014-06-06,108.2
2014-06-09,109.2
2014-06-10,108.97
2014-06-11,109.3
2014-06-12,111.19
2014-06-13,111.21
2014-06-16,111.46
2014-06-17,111.71
2014-06-18,112.05
2014-06-19,112.36
2014-06-20,112.27
2014-06-23,112.08
2014-06-24,112.16
2014-06-25,112.07
2014-06-26,111.96
2014-06-27,111.97
2014-06-30,111.92
2014-07-01,112.19
2014-07-02,111.26
2014-07-03,111.0
2014-07-07,110.39
2014-07-08,109.47
2014-07-09,109.02
2014-07-10,109.37
2014-07-11,108.19
2014-07-14,108.45
2014-07-15,107.98
2014-07-16,108.13
2014-07-17,108.47
2014-07-18,108.19
2014-07-21,108.36
2014-07-22,108.24
2014-07-23,108.46
2014-07-24,108.21
2014-07-25,108.49
2014-07-28,108.35
2014-07-29,108.37
2014-07-30,108.26
2014-07-31,108.24
2014-08-01,105.22
2014-08-04,105.71
2014-08-05,105.02
2014-08-06,105.03
2014-08-07,105.7
2014-08-08,105.35
2014-08-11,105.17
2014-08-12,104.16
2014-08-13,104.89
2014-08-14,103.18
2014-08-15,103.94
2014-08-18,103.02
2014-08-19,103.01
2014-08-20,103.28
2014-08-21,103.4
2014-08-22,103.3
2014-08-25,103.39
2014-08-26,103.36
2014-08-27,103.39
2014-08-28,103.36
2014-08-29,104.34
2014-09-02,100.79
2014-09-03,102.97
2014-09-04,102.11
2014-09-05,101.34
2014-09-08,100.9
2014-09-09,100.21
2014-09-10,99.43
2014-09-11,99.47
2014-09-12,98.94
2014-09-15,98.9
2014-09-16,99.48
2014-09-17,99.44
2014-09-18,98.92
2014-09-19,99.18
2014-09-22,98.72
2014-09-23,98.69
2014-09-24,98.71
2014-09-25,98.72
2014-09-26,98.72
2014-09-29,98.74
2014-09-30,98.63
2014-10-01,94.49
2014-10-02,93.75
2014-10-03,92.74
2014-10-06,93.14
2014-10-07,92.53
2014-10-08,91.94
2014-10-09,90.91
2014-10-10,91.04
2014-10-13,90.26
2014-10-14,87.84
2014-10-15,87.11
2014-10-16,88.0
2014-10-17,88.16
2014-10-20,87.83
