Date,Settle
2014-02-18,72.23
2014-02-19,71.91
2014-02-20,71.6
2014-02-21,71.6
2014-02-24,71.97
2014-02-25,71.87
2014-02-26,74.49
2014-02-27,75.31
2014-02-28,75.31
2014-03-03,75.31
2014-03-04,75.31
2014-03-05,75.31
2014-03-06,75.31
2014-03-07,74.17
2014-03-11,71.65
2014-03-12,72.1
2014-03-13,71.14
2014-03-14,71.14
2014-03-17,70.4
2014-03-18,69.25
2014-03-19,68.09
2014-03-20,66.73
2014-03-21,66.73
2014-03-24,66.75
2014-03-25,66.89
2014-03-26,67.02
2014-03-27,64.56
2014-03-28,64.66
2014-03-31,63.43
2014-04-01,63.43
2014-04-02,63.43
2014-04-03,63.43
2014-04-04,63.43
2014-04-07,42.09
2014-04-08,41.87
2014-04-09,41.67
2014-04-10,41.41
2014-04-11,41.41
2014-04-14,41.96
2014-04-15,41.84
2014-04-16,41.7
2014-04-17,41.76
2014-04-21,41.8
2014-04-22,41.95
2014-04-23,42.11
2014-04-24,42.22
2014-04-25,42.22
2014-04-28,43.14
2014-04-29,43.87
2014-04-30,43.87
2014-05-01,43.87
2014-05-02,43.87
2014-05-05,43.87
2014-05-06,47.63
2014-05-07,48.08
2014-05-08,48.43
2014-05-09,48.43
2014-05-12,49.32
2014-05-13,49.31
2014-05-14,49.17
2014-05-15,49.03
2014-05-16,49.03
2014-05-19,48.68
2014-05-20,48.85
2014-05-21,49.34
2014-05-22,49.19
2014-05-23,49.19
2014-05-27,49.56
2014-05-28,49.3
2014-05-29,49.27
2014-05-30,49.27
2014-06-02,49.27
2014-06-03,49.27
2014-06-04,49.27
2014-06-05,49.27
2014-06-06,51.11
2014-06-09,50.03
2014-06-10,49.34
2014-06-11,48.66
2014-06-12,47.76
2014-06-13,47.76
2014-06-16,47.72
2014-06-17,48.15
2014-06-18,48.08
2014-06-19,47.55
2014-06-20,47.55
2014-06-23,46.84
2014-06-24,46.34
2014-06-25,46.05
2014-06-26,45.71
2014-06-27,45.71
2014-06-30,45.65
2014-07-01,45.65
2014-07-02,45.65
2014-07-03,45.65
2014-07-07,45.65
2014-07-08,56.81
