Date,Settle
2014-03-07,102.78
2014-03-11,99.79
2014-03-12,103.68
2014-03-13,103.04
2014-03-14,103.04
2014-03-17,104.23
2014-03-18,102.9
2014-03-19,101.68
2014-03-20,100.24
2014-03-21,100.24
2014-03-24,101.44
2014-03-25,102.23
2014-03-26,103.03
2014-03-27,100.59
2014-03-28,99.83
2014-03-31,98.36
2014-04-01,98.36
2014-04-02,98.36
2014-04-03,98.36
2014-04-04,98.36
2014-04-07,53.62
2014-04-08,53.17
2014-04-09,52.65
2014-04-10,52.05
2014-04-11,52.05
2014-04-14,52.47
2014-04-15,52.61
2014-04-16,52.36
2014-04-17,52.12
2014-04-21,51.69
2014-04-22,51.53
2014-04-23,51.37
2014-04-24,51.08
2014-04-25,51.08
2014-04-28,51.2
2014-04-29,51.6
2014-04-30,51.6
2014-05-01,51.6
2014-05-02,51.6
2014-05-05,51.6
2014-05-06,56.43
2014-05-07,56.91
2014-05-08,57.51
2014-05-09,57.51
2014-05-12,59.51
2014-05-13,59.36
2014-05-14,59.07
2014-05-15,58.8
2014-05-16,58.8
2014-05-19,58.56
2014-05-20,59.26
2014-05-21,60.39
2014-05-22,60.08
2014-05-23,60.08
2014-05-27,61.68
2014-05-28,61.05
2014-05-29,60.63
2014-05-30,60.63
2014-06-02,60.63
2014-06-03,60.63
2014-06-04,60.63
2014-06-05,60.63
2014-06-06,63.51
2014-06-09,62.86
2014-06-10,62.59
2014-06-11,61.79
2014-06-12,60.86
2014-06-13,60.86
2014-06-16,61.78
2014-06-17,64.08
2014-06-18,64.15
2014-06-19,63.31
2014-06-20,63.31
2014-06-23,62.59
2014-06-24,62.23
2014-06-25,62.17
2014-06-26,61.73
2014-06-27,61.73
2014-06-30,61.65
2014-07-01,61.65
2014-07-02,61.65
2014-07-03,61.65
2014-07-07,61.65
2014-07-08,84.8
2014-07-09,82.79
2014-07-10,80.7
2014-07-11,80.7
2014-07-14,78.25
2014-07-15,77.02
2014-07-16,75.8
2014-07-17,74.57
2014-07-18,74.57
2014-07-21,67.91
2014-07-22,66.46
2014-07-23,64.33
2014-07-24,62.18
2014-07-25,62.18
2014-07-28,57.92
2014-07-29,55.57
2014-07-30,53.61
2014-07-31,53.61
2014-08-01,53.61
2014-08-04,53.61
2014-08-05,53.61
2014-08-06,53.61
2014-08-07,56.88
2014-08-08,56.88
2014-08-11,55.34
2014-08-12,54.7
2014-08-13,53.85
2014-08-14,52.91
2014-08-15,52.91
2014-08-18,52.26
2014-08-19,51.94
2014-08-20,51.65
2014-08-21,51.39
2014-08-22,51.39
2014-08-25,50.49
2014-08-26,50.12
2014-08-27,49.44
2014-08-28,48.7
2014-08-29,48.7
2014-09-02,48.7
2014-09-03,48.7
2014-09-04,48.7
2014-09-05,48.7
2014-09-08,52.47
2014-09-09,52.56
2014-09-10,52.85
2014-09-11,52.21
2014-09-12,52.21
2014-09-15,51.62
2014-09-16,51.42
2014-09-17,51.45
2014-09-18,51.28
2014-09-19,51.28
2014-09-22,50.95
2014-09-23,50.7
2014-09-24,50.66
2014-09-25,50.77
2014-09-26,50.77
2014-09-29,51.16
2014-09-30,51.16
2014-10-01,51.16
2014-10-02,51.16
2014-10-03,51.16
2014-10-06,51.16
2014-10-07,48.75
2014-10-08,48.92
2014-10-09,48.87
2014-10-10,48.87
2014-10-13,49.6
2014-10-14,49.58
2014-10-15,49.41
2014-10-16,48.87
2014-10-17,48.87
2014-10-20,48.63
2014-10-21,48.4
2014-10-22,48.07
2014-10-23,47.86
2014-10-24,47.86
2014-10-27,48.24
2014-10-28,48.28
2014-10-29,48.43
2014-10-30,48.38
2014-10-31,48.38
2014-11-03,48.38
2014-11-04,48.38
2014-11-05,48.38
2014-11-06,48.38
2014-11-07,49.38
2014-11-10,48.95
2014-11-11,48.97
2014-11-12,49.34
2014-11-13,49.54
2014-11-14,49.54
2014-11-17,51.5
2014-11-18,52.71
2014-11-19,53.07
2014-11-20,53.16
2014-11-21,53.16
2014-11-24,51.95
2014-11-25,51.9
2014-11-26,51.9
2014-11-28,51.9
2014-12-01,51.44
2014-12-02,51.44
2014-12-03,51.44
2014-12-04,51.44
2014-12-05,49.17
2014-12-08,49.02
2014-12-09,48.87
2014-12-10,48.72
2014-12-12,48.03
2014-12-15,46.95
2014-12-17,46.08
2014-12-18,45.78
2014-12-19,45.78
2014-12-22,44.75
2014-12-23,44.08
2014-12-24,44.07
2014-12-26,44.07
2015-01-02,63.63
2015-01-07,65.91
2015-01-08,66.03
2015-01-09,66.03
2015-01-12,64.36
2015-01-13,63.72
2015-01-14,62.95
2015-01-15,62.08
2015-01-16,62.08
2015-01-20,58.15
2015-01-21,56.79
2015-01-22,55.44
2015-01-23,55.44
2015-01-26,54.69
2015-01-27,54.54
2015-01-29,52.58
2015-01-30,52.58
2015-02-02,52.58
2015-02-03,52.58
2015-02-04,52.58
2015-02-05,52.58
2015-02-06,58.4
2015-02-09,55.56
2015-02-10,54.26
2015-02-11,54.55
2015-02-12,55.52
2015-02-13,55.52
2015-02-17,68.76
2015-02-18,80.97
2015-02-19,88.85
2015-02-20,88.85
2015-02-23,99.41
2015-02-24,101.41
2015-02-25,105.01
2015-02-26,108.51
2015-02-27,108.51
2015-03-02,108.51
2015-03-03,108.51
2015-03-04,108.51
2015-03-05,108.51
2015-03-06,56.84
2015-03-10,54.82
2015-03-11,54.17
2015-03-12,53.82
2015-03-13,53.82
2015-03-16,52.26
2015-03-17,52.15
2015-03-18,51.89
2015-03-19,52.03
2015-03-20,52.03
2015-03-23,51.97
2015-03-24,51.56
2015-03-25,50.96
2015-03-26,50.66
2015-03-27,50.66
2015-03-30,49.7
2015-04-01,49.7
2015-04-02,49.7
2015-04-06,49.7
2015-04-07,49.7
2015-04-08,43.6
2015-04-09,43.55
2015-04-10,43.55
2015-04-13,43.62
2015-04-14,43.64
2015-04-15,43.87
2015-04-16,43.93
2015-04-17,43.93
2015-04-20,44.67
2015-04-21,44.85
2015-04-22,45.2
2015-04-23,45.32
2015-04-24,45.32
2015-04-27,45.96
2015-04-28,45.8
2015-04-29,45.59
2015-04-30,45.59
2015-05-01,45.59
2015-05-04,45.59
2015-05-05,45.59
2015-05-06,45.59
2015-05-07,48.66
2015-05-08,48.66
2015-05-11,51.76
2015-05-12,51.52
2015-05-13,51.39
2015-05-14,51.58
2015-05-15,51.58
2015-05-18,51.79
2015-05-19,53.44
2015-05-20,53.83
2015-05-21,53.21
2015-05-22,53.21
2015-05-26,54.14
2015-05-27,54.01
2015-05-28,53.87
2015-05-29,53.87
2015-06-01,53.87
2015-06-02,53.87
2015-06-03,53.87
2015-06-04,53.87
2015-06-05,48.0
2015-06-08,48.1
2015-06-09,48.21
2015-06-10,49.22
2015-06-11,50.05
2015-06-12,50.05
2015-06-16,51.28
2015-06-17,51.79
2015-06-18,52.42
2015-06-19,52.42
2015-06-22,55.37
2015-06-23,55.47
2015-06-24,55.22
2015-06-25,54.92
2015-06-26,54.92
