Date,Settle
1995-01-03,97.54
1995-01-04,97.49
1995-01-05,97.49
1995-01-06,97.51
1995-01-09,97.53
1995-01-10,97.56
1995-01-11,97.59
1995-01-12,97.59
1995-01-13,97.6
1995-01-16,97.61
1995-01-17,97.64
1995-01-18,97.66
1995-01-19,97.67
1995-01-20,97.67
1995-01-23,97.69
1995-01-24,97.7
1995-01-25,97.7
1995-01-26,97.68
1995-01-27,97.7
1995-01-30,97.67
1995-01-31,97.66
1995-02-01,97.64
1995-02-02,97.62
1995-02-03,97.66
1995-02-06,97.66
1995-02-07,97.65
1995-02-08,97.65
1995-02-09,97.67
1995-02-10,97.67
1995-02-13,97.67
1995-02-14,97.67
1995-02-15,97.69
1995-02-16,97.69
1995-02-17,97.69
1995-02-20,97.69
1995-02-21,97.69
1995-02-22,97.7
1995-02-23,97.7
1995-02-24,97.71
1995-02-27,97.74
1995-02-28,97.71
1995-03-01,97.71
1995-03-02,97.71
1995-03-03,97.74
1995-03-06,97.73
1995-03-07,97.73
1995-03-08,97.81
1995-03-09,97.78
1995-03-10,97.83
1995-03-13,97.87
1995-03-14,97.95
1995-03-15,97.98
1995-03-16,98.03
1995-03-17,98.05
1995-03-20,98.05
1995-03-21,98.07
1995-03-22,98.09
1995-03-23,98.13
1995-03-24,98.17
1995-03-27,98.14
1995-03-28,98.27
1995-03-29,98.27
1995-03-30,98.21
1995-03-31,98.35
1995-04-03,98.4
1995-04-04,98.42
1995-04-05,98.42
1995-04-06,98.44
1995-04-07,98.43
1995-04-10,98.46
1995-04-11,98.46
1995-04-12,98.45
1995-04-13,98.55
1995-04-14,98.6
1995-04-17,98.66
1995-04-18,98.69
1995-04-19,98.64
1995-04-20,98.61
1995-04-21,98.58
1995-04-24,98.61
1995-04-25,98.61
1995-04-26,98.6
1995-04-27,98.57
1995-04-28,98.56
1995-05-01,98.56
1995-05-02,98.59
1995-05-03,98.61
1995-05-04,98.6
1995-05-05,98.62
1995-05-08,98.63
1995-05-09,98.62
1995-05-10,98.62
1995-05-11,98.62
1995-05-12,98.61
1995-05-15,98.62
1995-05-16,98.59
1995-05-17,98.61
1995-05-18,98.62
1995-05-19,98.67
1995-05-22,98.68
1995-05-23,98.69
1995-05-24,98.68
1995-05-25,98.73
1995-05-26,98.87
