Date,Settle
2014-02-18,60.09
2014-02-19,59.6
2014-02-20,59.05
2014-02-21,57.9
2014-02-24,56.0
2014-02-25,55.81
2014-02-26,57.18
2014-02-27,58.8
2014-02-28,58.8
2014-03-03,58.8
2014-03-04,58.8
2014-03-05,58.8
2014-03-06,58.8
2014-03-07,64.1
2014-03-10,62.96
2014-03-11,62.56
2014-03-12,62.92
2014-03-13,63.09
2014-03-14,62.15
2014-03-17,61.41
2014-03-18,61.05
2014-03-19,60.64
2014-03-20,60.25
2014-03-21,59.02
2014-03-24,58.04
2014-03-25,58.41
2014-03-26,58.78
2014-03-27,58.1
2014-03-28,57.02
2014-03-31,55.39
2014-04-01,55.39
2014-04-02,55.39
2014-04-03,55.39
2014-04-04,55.39
2014-04-07,40.67
2014-04-08,40.46
2014-04-09,40.24
2014-04-10,39.96
2014-04-11,39.39
2014-04-14,38.17
2014-04-15,38.16
2014-04-16,38.08
2014-04-17,37.95
2014-04-21,36.23
2014-04-22,36.02
2014-04-23,35.88
2014-04-24,35.7
2014-04-25,35.41
2014-04-28,34.47
2014-04-29,34.29
2014-04-30,34.29
2014-05-01,34.29
2014-05-02,34.29
2014-05-05,34.29
2014-05-06,35.92
2014-05-07,35.86
2014-05-08,35.79
2014-05-09,35.97
2014-05-12,35.73
2014-05-13,35.55
2014-05-14,35.38
2014-05-15,35.24
2014-05-16,35.02
2014-05-19,34.11
2014-05-20,33.89
2014-05-21,33.71
2014-05-22,33.54
2014-05-23,32.98
2014-05-27,31.43
2014-05-28,31.24
2014-05-29,31.07
2014-05-30,30.67
2014-06-02,30.67
2014-06-03,30.67
2014-06-04,30.67
2014-06-05,30.67
2014-06-06,34.19
2014-06-09,33.59
2014-06-10,33.46
2014-06-11,33.3
2014-06-12,33.08
2014-06-13,32.66
2014-06-16,31.65
2014-06-17,31.6
2014-06-18,31.5
2014-06-19,31.3
2014-06-20,30.89
2014-06-23,29.92
2014-06-24,29.78
2014-06-25,29.71
2014-06-26,29.61
2014-06-27,29.5
2014-06-30,29.12
2014-07-01,29.12
2014-07-02,29.12
2014-07-03,29.12
2014-07-07,29.12
2014-07-08,36.51
2014-07-09,36.24
2014-07-10,35.93
2014-07-11,35.66
2014-07-14,34.85
2014-07-15,34.59
2014-07-16,34.34
2014-07-17,34.08
2014-07-18,33.31
2014-07-21,31.57
2014-07-22,31.28
2014-07-23,30.98
2014-07-24,30.64
2014-07-25,30.11
2014-07-28,28.89
2014-07-29,28.46
2014-07-30,28.09
2014-07-31,28.09
2014-08-01,28.09
2014-08-04,28.09
2014-08-05,28.09
2014-08-06,28.09
2014-08-07,31.02
2014-08-08,30.74
2014-08-11,30.01
2014-08-12,29.83
2014-08-13,29.61
2014-08-14,29.32
2014-08-15,28.71
2014-08-18,27.71
2014-08-19,27.53
2014-08-20,27.35
2014-08-21,27.2
2014-08-22,26.77
2014-08-25,25.67
2014-08-26,25.52
2014-08-27,25.37
2014-08-28,25.15
2014-08-29,24.63
2014-09-02,24.46
2014-09-03,24.46
2014-09-04,24.46
2014-09-05,24.46
2014-09-08,32.53
2014-09-09,32.37
2014-09-10,32.24
2014-09-11,32.04
2014-09-12,31.33
2014-09-15,29.92
2014-09-16,29.65
2014-09-17,29.32
2014-09-18,28.98
2014-09-19,28.12
2014-09-22,26.6
2014-09-23,26.3
2014-09-24,26.0
2014-09-25,25.71
2014-09-26,24.74
2014-09-29,23.46
2014-09-30,23.46
2014-10-01,23.46
2014-10-02,23.46
2014-10-03,23.46
2014-10-06,23.46
2014-10-07,33.06
2014-10-08,32.69
2014-10-09,32.34
2014-10-10,31.37
2014-10-13,29.6
2014-10-14,29.4
2014-10-15,29.19
2014-10-16,28.91
2014-10-17,28.2
2014-10-20,27.4
2014-10-21,27.18
2014-10-22,26.94
2014-10-23,26.65
2014-10-24,25.97
2014-10-27,24.8
2014-10-28,24.6
2014-10-29,24.39
2014-10-30,24.22
2014-10-31,24.22
2014-11-03,24.22
2014-11-04,24.22
2014-11-05,24.22
2014-11-06,24.22
2014-11-07,38.81
2014-11-10,38.08
2014-11-11,37.91
2014-11-12,37.82
2014-11-13,37.76
2014-11-14,37.88
2014-11-17,37.39
2014-11-18,37.68
2014-11-19,37.68
2014-11-20,37.68
2014-11-21,37.47
2014-11-24,36.4
2014-11-25,36.15
2014-11-26,35.64
2014-11-28,35.64
2014-12-01,34.35
2014-12-02,34.35
2014-12-03,34.35
2014-12-04,34.35
2014-12-05,38.12
2014-12-08,37.07
2014-12-09,36.84
2014-12-10,36.62
2014-12-11,36.39
2014-12-12,35.86
2014-12-15,34.78
2014-12-16,34.55
2014-12-17,34.35
2014-12-18,34.13
2014-12-19,33.73
2014-12-22,32.39
2014-12-23,32.02
2014-12-24,30.36
2014-12-26,30.36
2014-12-29,26.14
2015-01-02,51.65
2015-01-07,48.86
2015-01-08,48.73
2015-01-09,48.18
2015-01-12,46.07
2015-01-13,45.7
2015-01-14,45.38
2015-01-15,44.95
2015-01-16,43.72
2015-01-20,40.34
2015-01-21,39.76
2015-01-22,39.19
2015-01-23,37.91
2015-01-26,35.6
2015-01-27,35.52
2015-01-29,34.73
2015-01-30,34.24
2015-02-02,34.24
2015-02-03,34.24
2015-02-04,34.24
2015-02-05,34.24
2015-02-06,48.72
2015-02-09,45.16
2015-02-10,44.51
2015-02-11,44.52
2015-02-12,44.96
2015-02-13,46.08
2015-02-17,58.29
2015-02-18,61.23
2015-02-19,63.68
2015-02-20,69.26
2015-02-23,72.04
2015-02-24,73.23
2015-02-25,74.68
2015-02-26,75.74
2015-02-27,78.84
2015-03-02,78.84
2015-03-03,78.84
2015-03-04,78.84
2015-03-05,78.84
2015-03-06,40.91
2015-03-10,39.55
2015-03-11,39.29
2015-03-12,39.0
2015-03-13,38.03
2015-03-16,36.55
2015-03-17,36.43
2015-03-18,36.27
2015-03-19,36.09
2015-03-20,35.4
2015-03-23,34.51
2015-03-24,34.31
2015-03-25,34.01
2015-03-26,33.72
2015-03-27,33.48
2015-03-30,32.6
2015-04-01,32.6
2015-04-02,32.6
2015-04-06,32.6
2015-04-07,32.6
2015-04-08,27.89
2015-04-09,27.64
2015-04-10,27.21
2015-04-13,26.39
2015-04-14,26.14
2015-04-15,25.9
2015-04-16,25.61
2015-04-17,25.17
2015-04-20,24.14
2015-04-21,23.93
2015-04-22,23.79
2015-04-23,23.73
2015-04-24,23.49
2015-04-27,22.93
2015-04-28,22.72
2015-04-29,22.5
2015-04-30,22.5
2015-05-01,22.5
2015-05-04,22.5
2015-05-05,22.5
2015-05-06,22.5
2015-05-07,29.98
2015-05-08,29.97
2015-05-11,29.58
2015-05-12,29.43
2015-05-13,29.26
2015-05-14,29.1
2015-05-15,29.2
2015-05-18,29.25
2015-05-19,29.07
2015-05-20,28.89
2015-05-21,28.68
2015-05-22,28.11
2015-05-26,26.53
2015-05-27,26.29
2015-05-28,26.08
2015-05-29,25.83
2015-06-01,25.38
2015-06-02,25.38
2015-06-03,25.38
2015-06-04,25.38
2015-06-05,23.09
2015-06-08,21.74
2015-06-09,21.57
2015-06-10,21.42
2015-06-11,21.31
2015-06-12,21.49
2015-06-16,21.1
2015-06-17,20.96
2015-06-18,20.78
2015-06-19,20.47
2015-06-22,20.05
2015-06-23,19.93
2015-06-24,19.81
2015-06-25,19.71
2015-06-26,19.16
2015-07-01,17.97
2015-07-02,17.97
2015-07-06,17.97
2015-07-07,17.97
2015-07-08,22.71
2015-07-09,22.48
2015-07-10,22.1
2015-07-14,21.19
2015-07-15,20.94
2015-07-16,20.64
2015-07-17,20.46
2015-07-20,20.73
2015-07-21,20.59
2015-07-22,20.31
2015-07-23,20.05
2015-07-24,19.64
2015-07-27,19.14
2015-07-28,19.1
2015-07-29,19.03
2015-07-30,18.9
2015-07-31,18.9
2015-08-03,18.9
2015-08-04,18.9
2015-08-05,18.9
2015-08-06,18.9
2015-08-07,25.5
2015-08-10,25.02
2015-08-11,24.82
2015-08-12,24.62
2015-08-13,24.41
2015-08-14,24.36
2015-08-17,24.18
2015-08-18,24.08
2015-08-19,23.97
2015-08-20,23.86
2015-08-21,23.5
2015-08-24,22.75
2015-08-25,22.6
2015-08-26,22.39
2015-08-27,22.18
2015-08-28,21.66
2015-08-31,20.95
2015-09-01,20.95
2015-09-02,20.95
2015-09-03,20.95
2015-09-04,20.95
2015-09-08,23.62
2015-09-09,23.53
2015-09-10,23.39
2015-09-11,22.86
2015-09-14,21.83
2015-09-15,21.55
2015-09-16,21.33
2015-09-17,21.03
2015-09-18,20.95
2015-09-21,20.16
2015-09-22,19.97
2015-09-23,19.79
2015-09-24,19.63
2015-09-25,19.46
2015-09-28,18.97
2015-09-29,18.94
2015-09-30,0.0
2015-10-01,18.94
2015-10-02,18.94
2015-10-05,18.94
2015-10-06,18.94
2015-10-07,24.22
2015-10-08,24.12
2015-10-09,24.01
2015-10-12,23.38
2015-10-13,23.26
2015-10-14,23.18
2015-10-15,23.1
2015-10-16,23.08
2015-10-19,23.19
2015-10-20,23.1
2015-10-21,23.01
2015-10-22,22.91
2015-10-23,22.67
2015-10-26,21.96
2015-10-27,21.83
2015-10-28,21.7
2015-10-29,21.59
2015-10-30,21.42
2015-11-02,21.42
2015-11-03,21.42
2015-11-04,21.42
2015-11-05,21.42
2015-11-06,24.06
2015-11-09,23.6
2015-11-10,23.46
2015-11-11,23.28
2015-11-12,23.12
2015-11-13,22.91
2015-11-16,22.29
2015-11-17,22.11
2015-11-18,21.93
2015-11-19,21.8
2015-11-20,21.57
2015-11-23,20.9
2015-11-24,20.78
2015-11-25,20.19
2015-11-27,19.36
2015-11-30,18.59
2015-12-01,18.59
2015-12-02,18.59
2015-12-03,18.59
2015-12-04,18.59
2015-12-07,22.32
2015-12-08,22.19
2015-12-09,21.94
2015-12-10,21.68
2015-12-11,20.94
2015-12-14,19.86
2015-12-15,19.72
2015-12-16,19.59
2015-12-17,19.41
2015-12-18,19.29
2015-12-21,18.91
2015-12-22,18.67
2015-12-23,18.36
2015-12-24,17.5
2015-12-28,15.41
2015-12-29,15.28
2015-12-30,15.13
2015-12-31,30.79
2016-01-04,28.61
2016-01-05,28.71
2016-01-06,28.59
2016-01-07,28.34
2016-01-08,27.78
2016-01-11,26.69
2016-01-12,26.61
2016-01-13,26.44
2016-01-14,26.18
2016-01-15,25.65
2016-01-19,25.52
2016-01-20,25.45
2016-01-21,25.39
2016-01-22,25.47
2016-01-25,25.56
2016-01-26,25.35
2016-01-27,25.21
2016-01-28,25.02
2016-01-29,24.54
2016-02-01,23.9
2016-02-02,23.9
2016-02-03,23.9
2016-02-04,23.9
2016-02-05,26.32
2016-02-08,25.26
2016-02-09,25.13
2016-02-10,25.2
2016-02-11,25.35
2016-02-12,26.64
2016-02-16,0.0
2016-02-17,0.0
2016-02-18,0.0
2016-02-19,0.0
2016-02-22,25.03
2016-02-23,24.7
2016-02-24,24.34
2016-02-25,24.03
2016-02-26,23.21
2016-03-07,17.43
2016-03-08,17.28
2016-03-09,17.14
2016-03-10,17.07
2016-03-11,16.97
2016-03-14,16.8
2016-03-15,16.71
2016-03-16,16.61
2016-03-17,16.54
2016-03-18,16.69
2016-03-21,16.94
2016-03-22,16.92
2016-03-23,16.85
2016-03-24,16.76
2016-03-28,16.85
2016-03-29,16.91
2016-03-30,16.82
2016-03-31,16.82
2016-04-01,16.82
2016-04-04,16.82
2016-04-05,16.82
2016-04-06,16.82
2016-04-07,17.39
2016-04-08,17.68
2016-04-11,17.91
