Date,Settle
2014-02-18,0.432
2014-02-19,0.505
2014-02-20,0.594
2014-02-21,0.615
2014-02-24,0.593
2014-02-25,0.619
2014-02-26,0.603
2014-02-27,0.616
2014-02-28,0.628
2014-03-03,0.649
2014-03-04,0.649
2014-03-06,0.592
2014-03-07,0.637
2014-03-10,0.7
2014-03-11,0.756
2014-03-12,0.751
2014-03-13,0.703
2014-03-14,0.704
2014-03-17,0.783
2014-03-18,0.8
2014-03-19,0.872
2014-03-20,0.903
2014-03-21,1.033
2014-03-24,1.027
2014-03-25,1.129
2014-03-26,1.152
2014-03-27,1.147
2014-03-28,1.204
2014-03-31,1.222
2014-04-01,1.233
2014-04-02,2.116
2014-04-03,2.105
2014-04-04,1.958
2014-04-07,1.232
2014-04-08,0.919
2014-04-09,0.708
2014-04-10,0.78
2014-04-11,0.684
2014-04-14,0.568
2014-04-15,0.367
2014-04-16,0.216
2014-04-17,0.047
2014-04-21,0.057
2014-04-22,0.078
2014-04-23,0.033
2014-04-24,0.059
2014-04-25,0.119
2014-04-28,0.107
2014-04-29,0.132
2014-04-30,0.132
2014-05-01,0.137
2014-05-02,0.288
2014-05-05,0.68
2014-05-06,0.82
2014-05-07,0.86
2014-05-08,0.887
2014-05-09,1.235
2014-05-12,1.462
2014-05-13,1.717
2014-05-14,1.685
2014-05-15,1.702
2014-05-16,1.791
2014-05-19,1.559
2014-05-20,1.212
2014-05-21,1.305
2014-05-22,1.273
2014-05-23,1.248
2014-05-27,1.199
2014-05-28,1.239
2014-05-29,1.279
2014-05-30,1.311
2014-06-02,1.306
2014-06-03,0.202
2014-06-04,0.358
2014-06-05,0.372
2014-06-06,0.308
2014-06-09,0.221
2014-06-10,0.293
2014-06-11,0.25
2014-06-12,0.465
2014-06-13,0.769
2014-06-16,1.065
2014-06-17,0.947
2014-06-18,0.628
2014-06-19,0.428
2014-06-20,0.369
2014-06-23,0.38
2014-06-24,0.494
2014-06-25,0.563
2014-06-26,0.572
2014-06-27,0.63
2014-06-30,0.613
2014-07-01,0.635
2014-07-02,0.595
2014-07-03,0.725
2014-07-07,0.81
2014-07-08,0.842
2014-07-09,0.816
2014-07-10,0.753
2014-07-11,0.969
2014-07-14,0.927
2014-07-15,0.973
2014-07-16,1.019
2014-07-17,1.031
2014-07-18,0.987
2014-07-21,0.979
2014-07-22,0.98
2014-07-23,1.009
2014-07-24,1.066
2014-07-25,1.044
2014-07-28,1.051
2014-07-29,1.043
2014-07-30,1.072
2014-07-31,1.103
2014-08-01,1.123
2014-08-04,0.713
2014-08-05,0.514
2014-08-06,0.726
2014-08-07,0.702
2014-08-08,0.626
2014-08-11,0.643
2014-08-12,0.627
2014-08-13,0.65
2014-08-14,0.662
