Date,Settle
2014-02-18,24.63
2014-02-19,24.88
2014-02-20,24.9
2014-02-21,24.37
2014-02-24,24.33
2014-02-25,24.32
2014-02-26,24.2
2014-02-27,24.15
2014-02-28,24.25
2014-03-03,24.27
2014-03-04,24.27
2014-03-06,22.74
2014-03-07,22.78
2014-03-10,22.6
2014-03-11,23.0
2014-03-12,23.3
2014-03-13,22.92
2014-03-14,23.19
2014-03-17,22.44
2014-03-18,22.43
2014-03-19,21.96
2014-03-20,22.45
2014-03-21,22.25
2014-03-24,22.0
2014-03-25,22.2
2014-03-26,22.04
2014-03-27,22.06
2014-03-28,22.1
2014-03-31,22.02
2014-04-01,22.02
2014-04-02,20.06
2014-04-03,20.86
2014-04-04,20.14
2014-04-07,20.07
2014-04-08,19.97
2014-04-09,19.72
2014-04-10,19.45
2014-04-11,19.19
2014-04-14,20.21
2014-04-15,20.37
2014-04-16,20.9
2014-04-17,20.93
2014-04-21,20.92
2014-04-22,21.35
2014-04-23,21.16
2014-04-24,21.36
2014-04-25,21.4
2014-04-28,21.12
2014-04-29,21.11
2014-04-30,21.12
2014-05-01,21.12
2014-05-02,22.18
2014-05-05,22.14
2014-05-06,21.48
2014-05-07,21.78
2014-05-08,21.9
2014-05-09,21.67
2014-05-12,21.57
2014-05-13,21.36
2014-05-14,21.4
2014-05-15,21.29
2014-05-16,21.11
2014-05-19,20.67
2014-05-20,20.76
2014-05-21,20.26
2014-05-22,20.32
2014-05-23,20.22
2014-05-27,20.14
2014-05-28,20.33
2014-05-29,20.18
2014-05-30,20.14
2014-06-02,20.16
2014-06-03,16.47
2014-06-04,15.83
2014-06-05,17.11
2014-06-06,16.69
2014-06-09,15.88
2014-06-10,15.42
2014-06-11,15.93
2014-06-12,16.81
2014-06-13,16.56
2014-06-16,16.75
2014-06-17,17.34
2014-06-18,17.86
2014-06-19,17.88
2014-06-20,17.61
2014-06-23,17.63
2014-06-24,17.75
2014-06-25,17.58
2014-06-26,17.6
2014-06-27,17.5
2014-06-30,17.47
2014-07-01,17.48
2014-07-02,17.23
2014-07-03,16.98
2014-07-07,17.05
2014-07-08,15.77
2014-07-09,16.53
2014-07-10,16.75
2014-07-11,17.35
2014-07-14,17.6
2014-07-15,17.73
2014-07-16,17.15
2014-07-17,16.3
2014-07-18,16.14
2014-07-21,16.05
2014-07-22,16.16
2014-07-23,16.2
2014-07-24,16.44
2014-07-25,16.89
2014-07-28,16.77
2014-07-29,16.99
2014-07-30,16.99
2014-07-31,17.07
2014-08-01,17.07
2014-08-04,20.98
2014-08-05,21.1
2014-08-06,22.5
2014-08-07,22.92
2014-08-08,22.16
2014-08-11,21.95
2014-08-12,21.47
2014-08-13,22.83
2014-08-14,22.22
2014-08-15,21.96
2014-08-18,21.8
2014-08-19,22.51
2014-08-20,22.46
2014-08-21,22.46
2014-08-22,22.47
2014-08-25,22.59
2014-08-26,22.56
2014-08-27,22.61
2014-08-28,22.52
2014-08-29,22.49
2014-09-02,22.5
2014-09-03,23.7
2014-09-04,23.37
2014-09-05,23.77
2014-09-08,23.78
2014-09-09,23.14
2014-09-10,22.85
2014-09-11,22.19
2014-09-12,22.12
2014-09-15,21.79
2014-09-16,21.16
2014-09-17,21.1
2014-09-18,21.06
2014-09-19,21.33
2014-09-22,21.2
2014-09-23,20.99
2014-09-24,20.75
2014-09-25,20.88
2014-09-26,20.76
2014-09-29,20.69
2014-09-30,20.75
2014-10-01,20.77
2014-10-02,19.0
2014-10-03,19.15
2014-10-06,18.88
2014-10-07,19.54
2014-10-08,19.57
2014-10-09,19.81
2014-10-10,20.82
2014-10-13,20.63
2014-10-14,20.63
2014-10-15,20.69
2014-10-16,20.37
2014-10-17,20.94
2014-10-20,20.94
2014-10-21,20.96
2014-10-22,20.69
2014-10-23,20.54
2014-10-24,20.52
2014-10-27,20.59
2014-10-28,20.52
2014-10-29,20.76
2014-10-30,20.83
2014-10-31,20.82
2014-11-03,20.85
2014-11-04,23.06
2014-11-05,21.64
2014-11-06,23.01
2014-11-07,23.73
2014-11-10,23.68
2014-11-11,23.11
2014-11-12,22.59
2014-11-13,22.05
2014-11-14,21.99
2014-11-17,21.74
2014-11-18,21.66
2014-11-19,21.36
2014-11-20,21.05
2014-11-21,21.2
2014-11-24,21.26
2014-11-25,21.48
2014-11-26,21.39
2014-11-28,21.53
2014-12-01,21.22
2014-12-02,17.52
2014-12-03,16.45
2014-12-04,16.53
2014-12-05,16.85
2014-12-08,17.08
2014-12-09,16.66
2014-12-10,17.0
2014-12-11,17.25
2014-12-12,16.6
2014-12-15,16.71
2014-12-16,16.19
2014-12-17,16.99
2014-12-18,16.71
2014-12-19,15.82
2014-12-22,16.29
2014-12-23,16.11
2014-12-24,15.47
2014-12-26,15.76
2014-12-29,15.15
2015-01-02,16.05
2015-01-05,16.9
2015-01-06,17.92
2015-01-07,16.89
2015-01-08,16.66
2015-01-09,16.12
2015-01-12,15.95
2015-01-13,15.57
2015-01-14,15.51
2015-01-15,16.11
2015-01-16,15.71
2015-01-20,16.32
2015-01-21,16.07
2015-01-22,16.84
2015-01-23,17.29
2015-01-26,17.32
2015-01-27,17.2
2015-01-29,17.02
2015-01-30,17.28
2015-02-02,17.26
2015-02-03,21.65
2015-02-04,22.64
2015-02-05,22.51
2015-02-06,23.01
2015-02-09,23.19
2015-02-10,23.87
2015-02-11,23.97
2015-02-12,24.63
2015-02-13,24.82
2015-02-17,24.67
2015-02-18,24.08
2015-02-19,24.69
2015-02-20,24.35
2015-02-23,25.45
2015-02-24,25.15
2015-02-25,25.28
2015-02-26,25.42
2015-02-27,25.46
2015-03-02,25.41
2015-03-03,27.12
2015-03-04,25.3
2015-03-05,25.17
2015-03-06,25.66
2015-03-10,24.72
2015-03-11,24.98
2015-03-12,24.51
2015-03-13,24.14
2015-03-16,24.22
2015-03-17,24.53
2015-03-18,25.33
2015-03-19,24.84
2015-03-20,24.56
2015-03-23,24.32
2015-03-24,24.05
2015-03-25,23.88
2015-03-26,23.96
2015-03-27,24.01
2015-03-30,24.03
2015-03-31,23.99
2015-04-01,23.97
2015-04-02,23.97
2015-04-06,18.57
2015-04-07,17.79
2015-04-08,17.96
2015-04-09,18.52
2015-04-10,19.07
2015-04-13,19.36
2015-04-14,19.07
2015-04-15,19.41
2015-04-16,19.61
2015-04-17,19.5
2015-04-20,19.17
2015-04-21,19.26
2015-04-22,19.64
2015-04-23,19.86
2015-04-24,20.06
2015-04-27,20.05
2015-04-28,20.01
2015-04-30,20.0
2015-05-01,20.01
2015-05-04,21.76
2015-05-05,22.04
2015-05-06,21.77
2015-05-07,21.31
2015-05-08,20.9
2015-05-11,20.62
2015-05-12,20.96
2015-05-13,21.37
2015-05-14,21.67
2015-05-15,21.85
2015-05-18,21.66
2015-05-19,21.57
2015-05-20,21.47
2015-05-21,21.45
2015-05-22,21.36
2015-05-26,21.29
2015-05-27,21.12
2015-05-28,21.14
2015-05-29,21.19
2015-06-01,21.17
2015-06-02,18.06
2015-06-03,17.41
2015-06-04,16.71
2015-06-05,15.71
2015-06-08,15.97
2015-06-09,16.75
2015-06-10,16.83
2015-06-11,16.48
2015-06-12,16.16
2015-06-15,15.84
2015-06-16,15.86
2015-06-17,16.34
2015-06-18,16.22
2015-06-19,15.78
2015-06-22,15.62
2015-06-23,15.63
2015-06-24,15.74
2015-06-25,15.77
2015-06-26,15.77
2015-06-30,15.74
2015-07-01,15.84
2015-07-02,17.58
2015-07-06,16.65
2015-07-07,16.85
2015-07-08,17.59
2015-07-09,17.25
2015-07-10,17.34
2015-07-14,16.68
2015-07-15,16.27
2015-07-16,16.48
2015-07-17,16.57
2015-07-20,16.8
2015-07-21,16.98
2015-07-22,17.56
2015-07-23,17.57
2015-07-24,17.35
2015-07-27,17.19
2015-07-28,17.11
2015-07-29,16.96
2015-07-30,16.98
2015-07-31,17.07
2015-08-03,17.04
2015-08-04,16.6
2015-08-05,16.73
2015-08-06,17.46
2015-08-07,17.86
2015-08-10,18.54
2015-08-11,18.92
2015-08-12,19.58
2015-08-13,19.77
2015-08-14,19.34
2015-08-17,19.55
2015-08-18,19.28
2015-08-19,19.32
2015-08-20,18.98
2015-08-21,18.81
2015-08-24,18.57
2015-08-25,18.34
2015-08-26,18.35
2015-08-27,18.49
2015-08-28,18.47
2015-08-31,18.52
2015-09-01,18.49
2015-09-02,18.07
2015-09-03,17.38
2015-09-04,17.16
2015-09-08,17.36
2015-09-09,16.65
2015-09-10,16.65
2015-09-11,16.59
2015-09-14,15.66
2015-09-15,15.3
2015-09-16,14.66
2015-09-17,14.51
2015-09-18,14.65
2015-09-21,14.15
2015-09-22,14.69
2015-09-23,15.11
2015-09-24,15.18
2015-09-25,15.01
2015-09-28,14.92
2015-09-29,15.04
2015-09-30,15.11
2015-10-01,15.11
2015-10-02,14.82
2015-10-05,15.02
2015-10-06,15.22
2015-10-07,14.5
2015-10-08,13.8
2015-10-09,13.52
2015-10-12,12.62
2015-10-13,12.3
2015-10-14,12.53
2015-10-15,12.86
2015-10-16,12.6
2015-10-19,12.46
2015-10-20,12.52
2015-10-21,12.92
2015-10-22,13.07
2015-10-23,13.19
2015-10-26,13.12
2015-10-27,13.31
2015-10-28,13.31
2015-10-29,13.29
2015-10-30,13.31
2015-11-02,13.29
2015-11-03,14.29
2015-11-04,13.57
2015-11-05,13.96
2015-11-06,14.86
2015-11-09,14.77
2015-11-10,14.93
2015-11-11,14.7
2015-11-12,14.47
2015-11-13,14.07
2015-11-16,13.62
2015-11-17,13.81
2015-11-18,13.81
2015-11-19,13.92
2015-11-20,13.98
2015-11-23,14.12
2015-11-24,14.15
2015-11-25,14.16
2015-11-27,14.12
2015-11-30,14.0
2015-12-01,14.06
2015-12-02,9.55
2015-12-03,10.98
2015-12-04,11.33
2015-12-07,11.18
