Date,Settle
1988-01-04,1.435
1988-01-05,1.4
1988-01-06,1.34
1988-01-07,1.3225
1988-01-08,1.322
1988-01-11,1.3555
1988-01-12,1.332
1988-01-13,1.24
1988-01-14,1.21
1988-01-15,1.21
1988-01-18,1.273
1988-01-19,1.2475
1988-01-20,1.16
1988-01-21,1.153
1988-01-22,1.204
1988-01-25,1.124
1988-01-26,1.154
1988-01-27,1.062
1988-01-28,0.981
1988-01-29,0.9575
1988-02-01,0.9
1988-02-02,0.9135
1988-02-03,0.9385
1988-02-04,0.9605
1988-02-05,0.954
1988-02-08,0.958
1988-02-09,0.971
1988-02-10,1.017
1988-02-11,1.01
1988-02-12,1.0285
1988-02-16,1.058
1988-02-17,1.045
1988-02-18,0.9875
1988-02-19,0.967
1988-02-22,0.94
1988-02-23,0.911
1988-02-24,0.928
1988-02-25,0.948
1988-02-26,0.875
1988-02-29,0.909
1988-03-01,0.931
1988-03-02,0.952
1988-03-03,0.98
1988-03-04,1.01
1988-03-07,1.0225
1988-03-08,0.995
1988-03-09,1.035
1988-03-10,1.051
1988-03-11,1.064
1988-03-14,1.05
1988-03-15,1.011
1988-03-16,1.035
1988-03-17,1.033
1988-03-18,1.04
1988-03-21,1.027
1988-03-22,1.034
1988-03-23,1.077
1988-03-24,1.1395
1988-03-25,1.1375
1988-03-28,1.076
1988-03-29,1.0425
1988-03-30,1.06
1988-03-31,1.053
1988-04-04,1.0675
1988-04-05,1.06
1988-04-06,1.0375
1988-04-07,1.063
1988-04-08,1.044
1988-04-11,1.002
1988-04-12,0.9565
1988-04-13,0.9295
1988-04-14,0.9595
1988-04-15,0.9745
1988-04-18,0.957
1988-04-19,0.949
1988-04-20,0.922
1988-04-21,0.92
1988-04-22,0.936
1988-04-25,0.9095
1988-04-26,0.8935
1988-04-27,0.918
1988-04-28,0.91
1988-04-29,0.938
1988-05-02,0.942
1988-05-03,0.959
1988-05-04,0.975
1988-05-05,0.966
1988-05-06,0.9785
1988-05-09,1.0065
1988-05-10,1.019
1988-05-11,1.005
1988-05-12,1.02
1988-05-13,1.0175
1988-05-16,1.003
1988-05-17,1.03
1988-05-18,1.035
1988-05-19,1.0345
1988-05-20,1.035
1988-05-23,1.015
1988-05-24,0.98
