Date,Settle
1988-01-04,0.5276
1988-01-05,0.5359
1988-01-06,0.5348
1988-01-07,0.5379
1988-01-08,0.5373
1988-01-11,0.5176
1988-01-12,0.5127
1988-01-13,0.5085
1988-01-14,0.5146
1988-01-15,0.5057
1988-01-18,0.5071
1988-01-19,0.5119
1988-01-20,0.5095
1988-01-21,0.4904
1988-01-22,0.4919
1988-01-25,0.5013
1988-01-26,0.4976
1988-01-27,0.4873
1988-01-28,0.4901
1988-01-29,0.4801
1988-02-01,0.4632
1988-02-02,0.4691
1988-02-03,0.4788
1988-02-04,0.483
1988-02-05,0.4898
1988-02-08,0.492
1988-02-09,0.486
1988-02-10,0.4728
1988-02-11,0.4735
1988-02-12,0.466
1988-02-16,0.4637
1988-02-17,0.4558
1988-02-18,0.4508
1988-02-19,0.458
1988-02-22,0.4579
1988-02-23,0.4646
1988-02-24,0.464
1988-02-25,0.4522
1988-02-26,0.457
1988-02-29,0.4716
1988-03-01,0.4347
1988-03-02,0.4393
1988-03-03,0.4289
1988-03-04,0.4354
1988-03-07,0.4341
1988-03-08,0.4349
1988-03-09,0.4303
1988-03-10,0.4393
1988-03-11,0.4469
1988-03-14,0.4334
1988-03-15,0.4347
1988-03-16,0.4408
1988-03-17,0.4422
1988-03-18,0.4505
1988-03-21,0.454
1988-03-22,0.4626
1988-03-23,0.4773
1988-03-24,0.474
1988-03-25,0.4778
1988-03-28,0.4817
1988-03-29,0.4815
1988-03-30,0.486
1988-03-31,0.4815
1988-04-04,0.46
1988-04-05,0.452
1988-04-06,0.4534
1988-04-07,0.4573
1988-04-08,0.4546
1988-04-11,0.4788
1988-04-12,0.4891
1988-04-13,0.4902
1988-04-14,0.4951
1988-04-15,0.4975
1988-04-18,0.505
1988-04-19,0.4968
1988-04-20,0.4931
1988-04-21,0.5054
1988-04-22,0.506
1988-04-25,0.5121
1988-04-26,0.5204
1988-04-27,0.5177
1988-04-28,0.5097
1988-04-29,0.5179
1988-05-02,0.4595
1988-05-03,0.4677
1988-05-04,0.462
1988-05-05,0.4657
1988-05-06,0.4742
1988-05-09,0.4767
1988-05-10,0.4774
1988-05-11,0.4746
1988-05-12,0.4723
1988-05-13,0.4747
1988-05-16,0.4798
1988-05-17,0.4778
1988-05-18,0.4707
1988-05-19,0.4763
1988-05-20,0.4771
1988-05-23,0.4691
1988-05-24,0.4731
1988-05-25,0.4731
1988-05-26,0.4819
1988-05-27,0.4778
1988-05-31,0.4823
1988-06-01,0.4731
1988-06-02,0.4738
1988-06-03,0.4713
