Date,Settle
2014-02-18,19.33
2014-02-19,20.12
2014-02-20,20.659
2014-02-21,19.752
2014-02-24,19.424
2014-02-25,19.801
2014-02-26,19.956
2014-02-27,19.831
2014-02-28,19.829
2014-03-03,19.829
2014-03-04,18.65
2014-03-06,17.628
2014-03-07,17.896
2014-03-11,16.715
2014-03-12,16.072
2014-03-13,16.193
2014-03-14,16.023
2014-03-17,15.904
2014-03-18,16.133
2014-03-19,16.276
2014-03-20,16.375
2014-03-21,16.201
2014-03-24,16.128
2014-03-25,16.186
2014-03-26,16.161
2014-03-27,16.215
2014-03-28,16.234
2014-03-31,16.198
2014-04-01,15.699
2014-04-02,15.62
2014-04-03,15.914
2014-04-04,15.505
2014-04-07,15.602
2014-04-08,15.618
2014-04-09,15.974
2014-04-10,15.853
2014-04-11,15.777
2014-04-14,15.92
2014-04-15,15.94
2014-04-16,16.301
2014-04-17,16.289
2014-04-21,16.183
2014-04-22,16.283
2014-04-23,16.069
2014-04-24,16.115
2014-04-25,16.03
2014-04-28,16.033
2014-04-29,16.023
2014-04-30,15.994
2014-05-01,14.928
2014-05-02,14.506
2014-05-05,14.681
2014-05-06,14.563
2014-05-07,15.012
2014-05-08,14.863
2014-05-09,14.606
2014-05-12,14.584
2014-05-13,14.763
2014-05-14,14.746
2014-05-15,14.601
2014-05-16,14.33
2014-05-19,14.275
2014-05-20,14.279
2014-05-21,14.021
2014-05-22,14.052
2014-05-23,14.045
2014-05-27,14.028
2014-05-28,14.001
2014-05-29,13.941
2014-05-30,13.895
2014-06-02,12.4
2014-06-03,11.959
2014-06-04,11.661
2014-06-05,12.465
2014-06-06,12.361
2014-06-09,12.004
2014-06-10,12.021
2014-06-11,12.256
2014-06-12,12.577
2014-06-13,12.512
2014-06-16,12.487
2014-06-17,12.648
2014-06-18,12.7
2014-06-19,12.588
2014-06-20,12.654
2014-06-23,12.628
2014-06-24,12.64
2014-06-25,12.631
2014-06-26,12.648
2014-06-27,12.576
2014-06-30,12.566
2014-07-01,12.893
2014-07-02,12.534
2014-07-03,12.119
2014-07-07,12.227
2014-07-08,11.744
2014-07-09,12.115
2014-07-10,12.441
2014-07-11,12.689
2014-07-14,12.75
2014-07-15,12.792
2014-07-16,12.691
2014-07-17,12.376
2014-07-18,12.394
2014-07-21,12.453
2014-07-22,12.507
2014-07-23,12.575
2014-07-24,12.776
2014-07-25,12.917
2014-07-28,12.845
2014-07-29,12.935
2014-07-30,12.977
2014-07-31,12.99
2014-08-01,15.153
2014-08-04,14.873
2014-08-05,14.633
2014-08-06,15.678
2014-08-07,15.68
2014-08-08,15.418
2014-08-11,15.669
2014-08-12,15.727
2014-08-13,16.477
2014-08-14,16.207
2014-08-15,16.073
2014-08-18,16.152
2014-08-19,16.366
2014-08-20,16.231
2014-08-21,16.278
2014-08-22,16.261
2014-08-25,16.264
2014-08-26,16.351
2014-08-27,16.416
2014-08-28,16.395
2014-08-29,16.377
2014-09-02,16.671
2014-09-03,17.254
2014-09-04,16.999
2014-09-05,17.151
2014-09-08,17.251
2014-09-09,17.376
2014-09-10,17.01
2014-09-11,17.042
2014-09-12,17.17
2014-09-15,17.193
2014-09-16,16.973
2014-09-17,16.787
2014-09-18,16.718
2014-09-19,16.535
2014-09-22,16.574
2014-09-23,16.557
2014-09-24,16.593
2014-09-25,16.638
2014-09-26,16.668
2014-09-29,16.662
2014-09-30,16.664
2014-10-01,17.046
2014-10-02,17.075
2014-10-03,17.262
2014-10-06,17.041
2014-10-07,17.157
2014-10-08,16.725
2014-10-09,16.533
2014-10-10,17.085
2014-10-13,17.775
2014-10-14,18.034
2014-10-15,18.438
2014-10-16,17.807
2014-10-17,18.195
2014-10-20,18.307
2014-10-21,18.44
2014-10-22,18.381
2014-10-23,18.064
2014-10-24,18.061
2014-10-27,18.064
2014-10-28,18.159
2014-10-29,18.248
2014-10-30,18.244
2014-10-31,18.261
2014-11-03,19.484
2014-11-04,19.444
2014-11-05,19.17
2014-11-06,19.934
2014-11-07,20.878
2014-11-10,20.712
2014-11-11,21.098
