Date,Settle
2014-02-18,45.08
2014-02-19,44.95
2014-02-20,44.79
2014-02-21,44.71
2014-02-24,44.76
2014-02-25,45.04
2014-02-26,45.09
2014-02-27,45.42
2014-02-28,45.42
2014-03-03,45.42
2014-03-04,45.42
2014-03-05,45.42
2014-03-06,45.42
2014-03-07,47.36
2014-03-10,46.0
2014-03-11,45.6
2014-03-12,45.39
2014-03-13,45.08
2014-03-14,44.21
2014-03-17,43.34
2014-03-18,42.81
2014-03-19,42.46
2014-03-20,42.16
2014-03-21,41.37
2014-03-24,40.49
2014-03-25,40.31
2014-03-26,40.1
2014-03-27,39.78
2014-03-28,39.04
2014-03-31,38.06
2014-04-01,38.06
2014-04-02,38.06
2014-04-03,38.06
2014-04-04,38.06
2014-04-07,31.34
2014-04-08,31.33
2014-04-09,31.34
2014-04-10,31.35
2014-04-11,31.38
2014-04-14,31.56
2014-04-15,31.74
2014-04-16,31.78
2014-04-17,31.73
2014-04-21,31.42
2014-04-22,31.4
2014-04-23,31.34
2014-04-24,31.3
2014-04-25,31.4
2014-04-28,31.47
2014-04-29,31.49
2014-04-30,31.49
2014-05-01,31.49
2014-05-02,31.49
2014-05-05,31.49
2014-05-06,30.79
2014-05-07,30.77
2014-05-08,30.75
2014-05-09,30.94
2014-05-12,31.16
2014-05-13,31.12
2014-05-14,31.03
2014-05-15,31.02
2014-05-16,31.22
2014-05-19,31.1
2014-05-20,31.08
2014-05-21,31.04
2014-05-22,30.97
2014-05-23,31.11
2014-05-27,31.36
2014-05-28,31.33
2014-05-29,31.23
2014-05-30,31.58
2014-06-02,31.58
2014-06-03,31.58
2014-06-04,31.58
2014-06-05,31.58
2014-06-06,29.75
2014-06-09,29.29
2014-06-10,29.15
2014-06-11,28.97
2014-06-12,28.75
2014-06-13,28.35
2014-06-16,27.64
2014-06-17,27.6
2014-06-18,27.54
2014-06-19,27.44
2014-06-20,27.57
2014-06-23,27.42
2014-06-24,27.32
2014-06-25,27.23
2014-06-26,27.19
2014-06-27,27.67
2014-06-30,28.01
2014-07-01,28.01
2014-07-02,28.01
2014-07-03,28.01
2014-07-07,28.01
2014-07-08,29.97
2014-07-09,29.82
2014-07-10,29.63
2014-07-11,29.69
2014-07-14,29.41
2014-07-15,29.25
2014-07-16,29.04
2014-07-17,28.86
2014-07-18,28.7
2014-07-21,28.19
2014-07-22,28.04
2014-07-23,27.87
2014-07-24,27.69
2014-07-25,27.71
2014-07-28,27.22
2014-07-29,27.01
2014-07-30,26.83
2014-07-31,26.83
2014-08-01,26.83
2014-08-04,26.83
2014-08-05,26.83
2014-08-06,26.83
2014-08-07,27.87
2014-08-08,28.1
2014-08-11,28.03
2014-08-12,27.94
2014-08-13,27.83
2014-08-14,27.71
2014-08-15,27.76
2014-08-18,27.56
2014-08-19,27.52
2014-08-20,27.47
2014-08-21,27.43
2014-08-22,27.69
2014-08-25,27.85
2014-08-26,27.79
2014-08-27,27.73
2014-08-28,27.69
2014-08-29,27.91
2014-09-02,28.15
2014-09-03,28.15
2014-09-04,28.15
2014-09-05,28.15
2014-09-08,28.17
2014-09-09,28.1
2014-09-10,28.05
2014-09-11,28.0
2014-09-12,28.03
2014-09-15,27.85
2014-09-16,27.76
2014-09-17,27.69
2014-09-18,27.56
2014-09-19,27.79
2014-09-22,27.73
2014-09-23,27.68
2014-09-24,27.6
2014-09-25,27.54
2014-09-26,27.66
2014-09-29,27.74
2014-09-30,27.74
2014-10-01,27.74
2014-10-02,27.74
2014-10-03,27.74
2014-10-06,27.74
2014-10-07,29.37
2014-10-08,29.29
2014-10-09,29.26
2014-10-10,29.38
2014-10-13,29.19
2014-10-14,29.13
2014-10-15,29.07
2014-10-16,29.01
2014-10-17,29.03
2014-10-20,28.89
2014-10-21,28.85
2014-10-22,28.84
2014-10-23,28.73
2014-10-24,28.79
2014-10-27,28.49
2014-10-28,28.39
2014-10-29,28.33
2014-10-30,28.28
2014-10-31,28.28
2014-11-03,28.28
2014-11-04,28.28
2014-11-05,28.28
2014-11-06,28.28
2014-11-07,30.15
2014-11-10,30.35
2014-11-11,30.36
2014-11-12,30.41
2014-11-13,30.5
2014-11-14,30.92
2014-11-17,31.3
2014-11-18,31.38
2014-11-19,31.48
2014-11-20,31.61
2014-11-21,31.94
2014-11-24,32.0
2014-11-25,32.01
2014-11-26,32.03
2014-11-28,32.03
2014-12-01,32.05
2014-12-02,32.05
2014-12-03,32.05
2014-12-04,32.05
2014-12-05,31.81
2014-12-08,31.57
2014-12-09,31.53
2014-12-10,31.48
2014-12-11,31.42
2014-12-12,31.28
2014-12-15,30.76
2014-12-16,30.67
2014-12-17,30.65
2014-12-18,30.59
2014-12-19,30.49
2014-12-22,30.05
2014-12-23,29.82
2014-12-24,29.15
2014-12-26,29.15
2014-12-29,27.85
2015-01-02,32.48
2015-01-05,32.4
2015-01-07,32.59
2015-01-08,32.52
2015-01-09,32.32
2015-01-12,31.51
2015-01-13,31.4
2015-01-14,31.27
2015-01-15,31.11
2015-01-16,30.74
2015-01-20,29.68
2015-01-21,29.49
2015-01-22,29.3
2015-01-23,28.87
2015-01-26,28.12
2015-01-27,27.98
2015-01-29,27.62
2015-01-30,27.19
2015-02-02,27.19
2015-02-03,27.19
2015-02-04,27.19
2015-02-05,27.19
2015-02-06,28.79
2015-02-09,28.08
2015-02-10,28.04
2015-02-11,27.96
2015-02-12,27.93
2015-02-13,28.02
2015-02-17,28.19
2015-02-18,28.89
2015-02-19,29.75
2015-02-20,30.37
2015-02-23,32.46
2015-02-24,32.62
2015-02-25,32.84
2015-02-26,33.19
2015-02-27,33.91
2015-03-02,33.91
2015-03-03,33.91
2015-03-04,33.91
2015-03-05,33.91
2015-03-06,32.28
2015-03-10,30.14
2015-03-11,30.04
2015-03-12,29.91
2015-03-13,29.61
2015-03-16,29.02
2015-03-17,28.94
2015-03-18,28.83
2015-03-19,28.74
2015-03-20,28.49
2015-03-23,28.09
2015-03-24,27.97
2015-03-25,27.83
2015-03-26,27.75
2015-03-27,27.7
2015-03-30,27.24
2015-04-01,27.24
2015-04-02,27.24
2015-04-06,27.24
2015-04-07,27.24
2015-04-08,26.34
2015-04-09,26.3
2015-04-10,26.15
2015-04-13,25.81
2015-04-14,25.74
2015-04-15,25.64
2015-04-16,25.57
2015-04-17,25.39
2015-04-20,24.95
2015-04-21,24.88
2015-04-22,24.87
2015-04-23,24.88
2015-04-24,24.84
2015-04-27,24.71
2015-04-28,24.69
2015-04-29,24.64
2015-04-30,24.64
2015-05-01,24.64
2015-05-04,24.64
2015-05-05,24.64
2015-05-06,24.64
2015-05-07,25.21
2015-05-08,25.49
2015-05-11,25.55
2015-05-12,25.5
2015-05-13,25.45
2015-05-14,25.43
2015-05-15,25.57
2015-05-18,25.67
2015-05-19,25.61
2015-05-20,25.55
2015-05-21,25.48
2015-05-22,25.51
2015-05-26,25.28
2015-05-27,25.22
2015-05-28,25.13
2015-05-29,25.16
2015-06-01,28.67
2015-06-02,28.63
2015-06-03,28.4
2015-06-04,28.1
2015-06-05,28.1
2015-06-08,28.6
2015-06-09,29.6
2015-06-10,29.6
2015-06-11,28.56
2015-06-12,28.1
2015-06-16,28.6
2015-06-17,27.48
2015-06-18,26.85
2015-06-19,26.85
2015-06-22,26.91
2015-06-23,26.48
2015-06-24,26.23
2015-06-25,26.41
2015-06-26,25.73
2015-07-01,24.98
2015-07-02,24.71
2015-07-06,24.98
2015-07-07,24.14
2015-07-08,24.08
2015-07-09,23.93
2015-07-10,24.0
2015-07-13,24.23
2015-07-14,24.35
2015-07-15,24.4
2015-07-16,24.48
2015-07-17,24.45
2015-07-20,24.3
2015-07-21,24.53
2015-07-22,24.53
