Date,Settle
2014-03-05,0.5125
2014-03-06,0.5125
2014-03-07,0.51625
2014-03-11,0.52625
2014-03-12,0.51875
2014-03-13,0.51375
2014-03-14,0.51875
2014-03-17,0.51375
2014-03-18,0.51375
2014-03-19,0.51625
2014-03-20,0.5175
2014-03-21,0.5175
2014-03-24,0.5175
2014-03-25,0.5125
2014-03-26,0.5125
2014-03-27,0.51375
2014-03-28,0.52
2014-03-31,0.52125
2014-04-01,0.51625
2014-04-02,0.5125
2014-04-03,0.52
2014-04-04,0.52
2014-04-07,0.52
2014-04-08,0.52
2014-04-09,0.525
2014-04-10,0.53
2014-04-11,0.5375
2014-04-14,0.54375
2014-04-15,0.535
2014-04-16,0.53125
2014-04-17,0.54
2014-04-21,0.54375
2014-04-22,0.55125
2014-04-23,0.56625
2014-04-24,0.57
2014-04-25,0.57
2014-04-28,0.56875
2014-04-29,0.55875
2014-04-30,0.57625
2014-05-01,0.57
2014-05-02,0.57
2014-05-05,0.57
2014-05-06,0.57
2014-05-07,0.55875
2014-05-08,0.55
2014-05-09,0.5475
2014-05-12,0.54125
2014-05-13,0.54125
2014-05-14,0.535
2014-05-15,0.535
2014-05-16,0.5425
2014-05-19,0.545
2014-05-20,0.54125
2014-05-21,0.54125
2014-05-22,0.54625
2014-05-23,0.54625
2014-05-27,0.54375
2014-05-28,0.54625
2014-05-29,0.545
2014-05-30,0.545
2014-06-02,0.55
2014-06-03,0.555
2014-06-04,0.55
2014-06-05,0.56375
2014-06-06,0.56375
2014-06-09,0.56375
2014-06-10,0.55
2014-06-11,0.54625
2014-06-12,0.54125
2014-06-13,0.54375
2014-06-16,0.55
2014-06-17,0.5575
2014-06-18,0.5625
2014-06-19,0.56625
2014-06-20,0.575
2014-06-23,0.56625
2014-06-24,0.5575
2014-06-25,0.5575
2014-06-26,0.555
2014-06-27,0.55125
2014-06-30,0.5475
2014-07-01,0.54875
2014-07-02,0.55125
2014-07-03,0.555
2014-07-07,0.5775
2014-07-08,0.5775
2014-07-09,0.58625
2014-07-10,0.605
2014-07-11,0.63
2014-07-14,0.63875
2014-07-15,0.6375
2014-07-16,0.6375
2014-07-17,0.64
2014-07-18,0.625
2014-07-21,0.625
2014-07-22,0.625
2014-07-23,0.6625
2014-07-24,0.6242
2014-07-25,0.61393
2014-07-28,0.61334
2014-07-29,0.6275
2014-07-30,0.63625
2014-07-31,0.6325
2014-08-01,0.69
2014-08-04,0.69
2014-08-05,0.68
2014-08-06,0.68107
2014-08-07,0.68199
2014-08-08,0.6825
2014-08-11,0.68113
2014-08-12,0.68015
2014-08-13,0.6575
2014-08-14,0.665
2014-08-15,0.665
2014-08-18,0.665
2014-08-19,0.675
2014-08-20,0.6731
2014-08-21,0.675
2014-08-22,0.68
2014-08-25,0.685
2014-08-26,0.68625
2014-08-27,0.7
2014-08-28,0.725
2014-08-29,0.71
2014-09-02,0.70375
2014-09-03,0.70375
2014-09-04,0.685
2014-09-05,0.68
2014-09-08,0.6925
2014-09-09,0.7025
2014-09-10,0.705
2014-09-11,0.70137
2014-09-12,0.71375
2014-09-15,0.73
2014-09-16,0.7159
2014-09-17,0.76
2014-09-18,0.7575
2014-09-19,0.765
2014-09-22,0.765
2014-09-23,0.725
2014-09-24,0.725
2014-09-25,0.7175
2014-09-26,0.7075
2014-09-29,0.7025
2014-09-30,0.6675
2014-10-01,0.65125
2014-10-02,0.65625
2014-10-03,0.68
2014-10-06,0.6875
2014-10-07,0.6825
2014-10-08,0.6825
2014-10-09,0.68125
2014-10-10,0.675
2014-10-13,0.6475
2014-10-14,0.65125
2014-10-15,0.6525
2014-10-16,0.6425
2014-10-17,0.64375
2014-10-20,0.61875
2014-10-21,0.61875
2014-10-22,0.605
2014-10-23,0.58875
2014-10-24,0.5875
2014-10-27,0.5925
2014-10-28,0.5925
2014-10-29,0.5725
2014-10-30,0.5925
2014-10-31,0.55875
2014-11-03,0.55875
2014-11-04,0.5625
2014-11-05,0.535
2014-11-06,0.5075
2014-11-07,0.52
2014-11-10,0.51875
2014-11-11,0.5175
2014-11-12,0.5225
2014-11-13,0.52125
2014-11-14,0.56
2014-11-17,0.55875
2014-11-18,0.555
2014-11-19,0.53125
2014-11-20,0.52375
2014-11-21,0.52875
2014-11-24,0.53
2014-11-25,0.52375
2014-11-26,0.51875
2014-11-28,0.515
2014-12-01,0.495
2014-12-02,0.48
2014-12-03,0.47
2014-12-04,0.46688
2014-12-05,0.445
2014-12-08,0.445
2014-12-09,0.42375
2014-12-10,0.425
2014-12-11,0.4175
2014-12-12,0.40125
2014-12-15,0.3825
2014-12-16,0.3875
2014-12-17,0.4075
2014-12-18,0.43
2014-12-19,0.43
2014-12-22,0.42
2014-12-23,0.43
2014-12-24,0.43
2014-12-26,0.43125
2015-01-02,0.43
2015-01-05,0.425
2015-01-06,0.425
2015-01-07,0.3875
2015-01-08,0.39
2015-01-09,0.3775
2015-01-12,0.36
2015-01-13,0.36
2015-01-14,0.37
2015-01-15,0.37375
2015-01-16,0.3675
2015-01-20,0.355
2015-01-21,0.3575
2015-01-22,0.3575
2015-01-23,0.3675
2015-01-26,0.3575
2015-01-27,0.36
2015-01-29,0.355
2015-01-30,0.35
2015-02-02,0.35
2015-02-03,0.36
2015-02-04,0.36375
2015-02-05,0.37
2015-02-06,0.365
2015-02-09,0.35625
2015-02-10,0.3475
2015-02-11,0.345
2015-02-12,0.345
2015-02-13,0.35125
2015-02-17,0.34375
2015-02-18,0.3475
2015-02-19,0.345
2015-02-20,0.3475
2015-02-23,0.35125
2015-02-24,0.3525
2015-02-25,0.35
2015-02-26,0.3475
2015-02-27,0.345
2015-03-02,0.34125
2015-03-03,0.34125
2015-03-04,0.335
2015-03-05,0.34
2015-03-06,0.34
2015-03-10,0.33625
2015-03-11,0.345
2015-03-12,0.34625
2015-03-13,0.335
2015-03-16,0.335
2015-03-17,0.34
2015-03-18,0.34875
2015-03-19,0.34
2015-03-20,0.345
2015-03-23,0.3425
2015-03-24,0.33875
2015-03-25,0.3375
2015-03-26,0.345
2015-03-27,0.34125
2015-03-30,0.3475
2015-04-01,0.3525
2015-04-02,0.35
2015-04-06,0.345
2015-04-07,0.3475
2015-04-08,0.345
2015-04-09,0.345
2015-04-10,0.3425
2015-04-13,0.3425
2015-04-14,0.3375
2015-04-15,0.345
2015-04-16,0.35
2015-04-17,0.3475
2015-04-20,0.35125
2015-04-21,0.35375
2015-04-22,0.355
2015-04-23,0.35875
2015-04-24,0.355
2015-04-27,0.3575
2015-04-28,0.3575
2015-04-29,0.36
2015-04-30,0.3575
2015-05-01,0.36375
2015-05-04,0.36125
2015-05-05,0.36375
2015-05-06,0.365
2015-05-07,0.36375
2015-05-08,0.36
2015-05-11,0.36
2015-05-12,0.36
2015-05-13,0.36
2015-05-14,0.36
2015-05-15,0.36
2015-05-18,0.36
2015-05-19,0.35875
2015-05-20,0.3575
2015-05-21,0.36125
2015-05-22,0.3575
2015-05-26,0.35875
2015-05-27,0.3575
2015-05-28,0.3575
2015-05-29,0.36
2015-06-01,0.36375
2015-06-02,0.36125
2015-06-03,0.36
2015-06-04,0.36125
2015-06-05,0.36125
2015-06-08,0.36
2015-06-09,0.3575
2015-06-10,0.35625
2015-06-11,0.35625
2015-06-12,0.355
2015-06-15,0.35375
2015-06-16,0.35375
2015-06-17,0.3575
2015-06-18,0.3575
2015-06-19,0.36125
2015-06-22,0.36
2015-06-23,0.35875
2015-06-24,0.35625
2015-06-25,0.35625
2015-06-26,0.355
2015-06-29,0.3525
2015-06-30,0.355
2015-07-01,0.35
2015-07-02,0.35
2015-07-06,0.3475
2015-07-07,0.3475
2015-07-08,0.35
2015-07-09,0.355
2015-07-10,0.34875
2015-07-14,0.3475
2015-07-15,0.34875
2015-07-16,0.35
2015-07-17,0.3475
2015-07-20,0.3475
2015-07-21,0.3475
2015-07-22,0.3475
2015-07-23,0.345
