Date,Settle
2014-03-05,57.05
2014-03-06,56.1
2014-03-07,56.25
2014-03-11,56.55
2014-03-12,56.85
2014-03-13,57.2
2014-03-14,57.2
2014-03-17,57.6
2014-03-18,57.7
2014-03-19,57.7
2014-03-20,57.6
2014-03-21,57.6
2014-03-24,57.6
2014-03-25,57.55
2014-03-26,57.55
2014-03-27,57.55
2014-03-28,57.65
2014-03-31,57.64
2014-04-01,57.65
2014-04-02,57.4
2014-04-03,57.05
2014-04-04,57.15
2014-04-07,57.3
2014-04-08,57.3
2014-04-09,57.25
2014-04-10,57.25
2014-04-11,57.25
2014-04-14,57.35
2014-04-15,57.55
2014-04-16,57.5
2014-04-17,57.45
2014-04-21,57.45
2014-04-22,57.65
2014-04-23,57.65
2014-04-24,57.75
2014-04-25,57.9
2014-04-28,58.0
2014-04-29,58.2
2014-04-30,58.2
2014-05-01,58.2
2014-05-02,58.05
2014-05-05,58.05
2014-05-06,57.8
2014-05-07,57.8
2014-05-08,57.8
2014-05-09,57.85
2014-05-12,57.85
2014-05-13,57.9
2014-05-14,57.9
2014-05-15,57.9
2014-05-16,57.8
2014-05-19,57.95
2014-05-20,57.95
2014-05-21,57.95
2014-05-22,57.95
2014-05-23,57.95
2014-05-27,57.9
2014-05-28,57.9
2014-05-29,57.85
2014-05-30,58.1
2014-06-02,58.12
2014-06-03,56.5
2014-06-04,56.65
2014-06-05,56.6
2014-06-06,55.9
2014-06-09,56.0
2014-06-10,56.1
2014-06-11,56.1
2014-06-12,56.0
2014-06-13,56.05
2014-06-16,56.4
2014-06-17,56.35
2014-06-18,56.25
2014-06-19,56.1
2014-06-20,56.15
2014-06-23,56.3
2014-06-24,56.1
2014-06-25,56.1
2014-06-26,56.05
2014-06-27,56.5
2014-06-30,56.49
2014-07-01,54.0
2014-07-02,54.4
2014-07-03,53.8
2014-07-07,54.2
2014-07-08,54.85
2014-07-09,54.5
2014-07-10,54.45
2014-07-11,54.25
2014-07-14,54.2
2014-07-15,54.1
2014-07-16,54.0
2014-07-17,53.85
2014-07-18,53.9
2014-07-21,53.9
2014-07-22,54.15
2014-07-23,54.2
2014-07-24,54.2
2014-07-25,54.45
2014-07-28,54.44
2014-07-29,53.8
2014-07-30,53.8
2014-07-31,53.75
2014-08-01,53.7
2014-08-04,54.2
2014-08-05,54.85
2014-08-06,54.55
2014-08-07,54.45
2014-08-08,54.6
2014-08-11,54.2
2014-08-12,54.25
2014-08-13,54.2
2014-08-14,54.05
2014-08-15,53.95
2014-08-18,53.9
2014-08-19,53.8
2014-08-20,53.65
2014-08-21,53.6
2014-08-22,53.45
2014-08-25,53.45
2014-08-26,53.45
2014-08-27,53.15
2014-08-28,53.05
2014-08-29,53.35
2014-09-02,53.33
2014-09-03,51.65
2014-09-04,51.6
2014-09-05,51.65
2014-09-08,51.7
2014-09-09,51.55
2014-09-10,51.55
2014-09-11,51.6
2014-09-12,51.6
2014-09-15,52.3
2014-09-16,52.25
2014-09-17,52.05
2014-09-18,51.6
2014-09-19,51.6
2014-09-22,51.6
2014-09-23,51.55
2014-09-24,51.55
2014-09-25,51.8
2014-09-26,52.45
2014-09-29,52.44
2014-09-30,50.75
2014-10-01,50.55
2014-10-02,50.5
2014-10-03,50.55
2014-10-06,50.9
2014-10-07,51.25
2014-10-08,51.5
2014-10-09,51.75
2014-10-10,51.45
2014-10-13,51.3
2014-10-14,51.35
2014-10-15,51.15
2014-10-16,50.9
2014-10-17,50.5
2014-10-20,50.85
2014-10-21,50.85
2014-10-22,50.85
2014-10-23,50.65
2014-10-24,51.0
2014-10-27,51.0
2014-10-28,51.0
2014-10-29,50.9
2014-10-30,51.05
2014-10-31,51.3
2014-11-03,51.3
2014-11-04,50.0
2014-11-05,49.8
2014-11-06,50.45
2014-11-07,50.5
2014-11-10,51.05
2014-11-11,50.8
2014-11-12,50.65
2014-11-13,50.9
2014-11-14,50.95
2014-11-17,51.0
2014-11-18,51.0
2014-11-19,51.0
2014-11-20,51.05
2014-11-21,50.8
2014-11-24,50.85
2014-11-25,50.85
2014-11-26,51.1
2014-11-28,51.5
2014-12-01,51.48
2014-12-02,49.9
2014-12-03,49.95
2014-12-04,49.8
2014-12-05,49.85
2014-12-08,49.85
